施設名称,所在地,備考,緯度,経度
北品川病院 デイサービスセンター,東京都品川区北品川1-23-19北品川病院3F,"品川区北品川1-23-19北品川病院3F",35.6211499,139.7413646
西五反田訪問看護ステーション,東京都品川区西五反田3-6-6,"品川区西五反田3-6-6 併設在宅介護支援センター在宅サービスセンターケアホーム西五反田さくらハイツ西五反田",35.6278326,139.7168956
荏原特別養護老人ホーム(三徳会),東京都品川区荏原2-9-6,"特別養護老人ホーム社会福祉法人三徳会 荏原2-9-6 電話:5750-2941  併設:品川区保健所・荏原健康センター・在宅介護支援センター・荏原在宅サービスセンター",35.6169983,139.7111465
特別養護老人ホーム「成幸ホーム」(三徳会),東京都品川区中延1-8-7,"特別養護老人ホーム社会福祉法人三徳会中延1-8-7 電話:3787-3616 併設:成幸在宅介護支援センター・成幸在宅サービスセンター・中延シルバーセンター",35.6120520,139.7119203
特別養護老人ホーム「かえで荘」(品川総合福祉センター),東京都品川区八潮5-1-1,"特別養護老人ホーム社会福祉法人品川総合福祉センター 八潮5-1-1 電話:3790-4729 併設:福祉工場「しながわ」・さつき園・かもめ園",35.6050737,139.7524117
特別養護老人ホーム「晴楓ホーム」(福栄会),東京都品川区東品川3-1-8,"特別養護老人ホーム社会福祉法人福栄会東品川3-1-8 電話:5479-2981併設:在宅介護支援センター・在宅サービスセンター・軽費老人ホーム東海ホーム・しいのき学園",35.6169739,139.7465204
軽費老人ホーム「東海ホーム」(福栄会),東京都品川区東品川3-1-8,"軽費老人ホーム 社会福祉法人福栄会東品川3-1-8 電話:5479-2981  併設:在宅介護支援センター・在宅サービスセンター・特別養護老人ホーム・ 晴楓ホーム・しいのき学園",35.6170187,139.7466710
戸越台特別養護老人ホーム(三徳会),東京都品川区戸越1-15-23,"特別養護老人ホーム社会福祉法人三徳会戸越1-15-23 電話:5750-1054併設:戸越台中学校・在宅介護支援センター・在宅サービスセンター",35.6155780,139.7173755
中延特別養護老人ホーム(品川総合福祉センター),東京都品川区中延6-8-8,"特別養護老人ホーム社会福祉法人品川総合福祉センター中延6-8-8電話:3787-2951  併設:在宅介護支援センター・在宅サービスセンター",35.6017258,139.7117421
特別養護老人ホーム「ロイヤルサニー」(春光福祉会),東京都品川区西大井2-4-4,"特別養護老人ホーム社会福祉法人春光福祉会西大井2-4-4 電話:5743-6111",35.5997972,139.7224908
老人保健施設「ケアセンター南大井」(さくら会),東京都品川区南大井5-19-1,"老人保健施設社会福祉法人さくら会南大井5-19-1 電話:5753-3901併設:在宅介護支援センター・在宅サービスセンター・訪問看護ステーション・さくらハイツ南大井",35.5946424,139.7340076
高齢者の安心の住まい「さくらハイツ南大井」(さくら会),東京都品川区南大井5-19-1,"品川区南大井5-19-1 電話:5753-3900併設:老人保健施設(ケアセンター南大井)・在宅介護支援センター・在宅サービスセンター・訪問看護ステーション",35.5946960,139.7338598
ケアホーム西五反田(さくら会),東京都品川区西五反田3-6-6,"介護の必要な高齢者の住まい品川区西五反田3-6-6 電話:5434-7831併設:在宅介護支援センター・在宅サービスセンター・訪問看護ステーション・さくらハイツ西五反田",35.6278821,139.7164947
高齢者の安心の住まい「さくらハイツ西五反田」(さくら会),東京都品川区西五反田3-6-6,"品川区西五反田3-6-6 電話:5434-7831併設:在宅介護支援センター・在宅サービスセンター・訪問看護ステーション・ケアホーム西五反田",35.6281595,139.7166795
東品川シルバーセンター,東京都品川区東品川3-32-10,"利用できる方:区内在住の満60歳以上の方 利用時間:午前9時～午後5時 休館日:日曜日、祝日(敬老の日は開館、翌日休館)、年末年始 東品川3-32-10(併設:東品川文化センター) 電話:3472-2944",35.6128677,139.7505676
五反田シルバーセンター,東京都品川区東五反田2-15-6,"利用できる方:区内在住の満60歳以上の方 利用時間:午前9時～午後5時 休館日:日曜日、祝日(敬老の日は開館、翌日休館)、年末年始 東五反田2-15-6(併設:五反田保育園・五反田ふれあいデイホーム) 電話3445-0296",35.6219188,139.7293940
関ヶ原シルバーセンター,東京都品川区東大井6-11-11,"利用できる方:区内在住の満60歳以上の方 利用時間:午前9時～午後5時 休館日:日曜日、祝日(敬老の日は開館、翌日休館)、年末年始 東大井6-11-11(併設:いきいきラボ関が原) 電話:3765-7022",35.6018977,139.7364958
後地シルバーセンター,東京都品川区小山2-9-19,"利用できる方:区内在住の満60歳以上の方 利用時間:午前9時～午後5時 休館日:日曜日、祝日(敬老の日は開館、翌日休館)、年末年始 小山2-9-19(併設:後地児童センター) 電話:3781-6506",35.6206006,139.7091517
品川区シルバー人材センター,東京都品川区北品川3-11-16品川第一地域センタービル内,"品川区北品川3-11-16品川第一地域センタービル内併設サポしながわ",35.6165542,139.7399689
品川児童相談所,東京都品川区北品川3-7-21,品川区北品川3-7-21,35.6176202,139.7405926
心身障害者福祉会館,東京都品川区旗の台5-2-2,"障害のある方たちの活動の拠点として、簡単な作業、生活訓練、相談、部屋の貸し出しなどを行っています。所在地:旗の台5-2-2 電話:3785-3322～3 FAX :3785-3353 交通:東急大井町線・池上線「旗の台」駅南口下車徒歩3分",35.6049899,139.7004337
障害者支援施設かもめ,東京都品川区八潮5-1-1,"品川区八潮5-1-1 品川総合福祉センター内併設特護老人ホームかえで荘福祉工場「しながわ」かもめ園",35.6050961,139.7525486
重症心身障害者通所事業「ピッコロ」,東京都品川区八潮5-3-8,品川区八潮5-3-8,35.6031079,139.7518643
サンかもめ(品川総合福祉センター),東京都品川区八潮5-10-27,品川区八潮5-10-27,35.6002174,139.7516196
第一しいのき学園(福栄会),東京都品川区東品川3-1-8,"品川区東品川3-1-8 併設在宅介護支援センター在宅サービスセンター特養老人ホーム晴楓ホーム軽費老人ホーム東海ホーム",35.6171709,139.7469227
第二しいのき学園(福栄会),東京都品川区東品川3-1-8,"品川区東品川3-1-8 併設在宅介護支援センター在宅サービスセンター特養老人ホーム晴楓ホーム軽費老人ホーム東海ホーム",35.6171800,139.7470706
西大井つばさの家(福栄会),東京都品川区西大井5-7-24,品川区西大井5-7-24,35.5992571,139.7165478
西大井福祉園(福栄会),東京都品川区西大井5-7-24,品川区西大井5-7-24,35.5992974,139.7166463
ふれあい作業所,東京都品川区西大井4-9-9,品川区西大井4-9-9,35.5962214,139.7202756
家庭あんしんセンター,東京都品川区平塚2-12-2,"4階建ての母子・障害者総合福祉施設。1階は、受付と障害者住宅。2階は、子育て支援センター、ファミリーサポートセンター、障害者生活支援センター。3・4階は、母子生活支援施設「ひまわり荘」所在地　平塚2-12-2電話　5749-1031(代表) FAX 　5749-1035",35.6170536,139.7129395
知的障害者入所施設「かがやき園」,東京都品川区西大井6-2-14,"品川区西大井6-2-14 電話:3772-8171FAX:3772-8177交通:都営地下鉄中延駅徒歩8分都営地下鉄馬込駅徒歩8分JR線西大井駅徒歩10分",35.6009602,139.7151972
品川景徳学園,東京都品川区旗の台5-25-19,品川区旗の台5-25-19,35.6028324,139.7009996
品川区社会福祉協議会,東京都品川区大井1-14-1大井1丁目共同ビル内,"所在地:大井1-14-1 大井1丁目共同ビル電話 社会福祉協議会事務局:5718-7171ボランティアセンター:5718-7172さわやかサービス:5718-7173 業務時間:午前9時～午後5時 休業日:日曜日、祝日、年末年始(事務局は土曜日休業)",35.6076285,139.7315014
品川ボランティアセンター,東京都品川区大井1-14-1大井1丁目共同ビル内,"品川区大井1-14-1大井1丁目共同ビル品川区社会福祉協議会内併設さわやかサービス品川成年後見センター福祉ショップ「テルべ」",35.6075784,139.7315617
さわやかサービス,東京都品川区大井1-14-1大井1丁目共同ビル内,"品川区大井1-14-1大井1丁目共同ビル品川区社会福祉協議会内併設品川ボランティアセンター品川成年後見センター福祉ショップ「テルべ」",35.6077107,139.7314695
成年後見センター,東京都品川区大井1-14-1大井1丁目共同ビル内,"品川区大井1-14-1大井1丁目共同ビル品川区社会福祉協議会内併設品川ボランティアセンターさわやかサービス福祉ショップ「テルべ」",35.6076284,139.7313875
品川介護福祉専門学校,東京都品川区西品川1-28-3,"品川区西品川1-28-3 中小企業センター併設",35.6094310,139.7274926
衛生試験所,東京都品川区北品川3-11-16,"品川区北品川3-11-16 併設品川第一地域センターサポしながわシルバー人材センター",35.6167452,139.7401527
大井保健センター,東京都品川区大井2-27-20,"品川区大井2-27-20 併設大井第二地域センター大井備蓄倉庫",35.6040338,139.7304744
品川保健センター,東京都品川区北品川3-11-22,"品川区北品川3-11-22 併設品川健康センター",35.6165072,139.7407084
荏原保健センター,東京都品川区荏原2-9-6,"品川区荏原2-9-6 併設荏原健康センター荏原特別養護老人ホーム在宅介護支援センター在宅サービスセンター",35.6171708,139.7114685
品川健康センター,東京都品川区北品川3-11-22,"品川区北品川3-11-22 併設品川区保健センター",35.6166189,139.7406399
荏原健康センター,東京都品川区荏原2-9-6,"品川区荏原2-9-6 併設荏原特別養護老人ホー在宅介護支援センター在宅サービスセンター",35.6170994,139.7115946
台場在宅介護支援センター,東京都品川区東品川1-8-30,"在宅で介護しているご家族の相談を専門家が受け、必要なサービスへつなげ、支援・手助けするところです。 北品川3-11-16 電話:5479-8593 担当地区:北品川、東品川1・2・5丁目",35.6166355,139.7401221
上大崎在宅介護支援センター,東京都品川区上大崎1-3-12,"在宅で介護しているご家族の相談を専門家が受け、必要なサービスへつなげ、支援・手助けするところです。 品川区上大崎1-3-12 電話:3473-1831担当地区:上大崎、東五反田、西五反田 併設:上大崎シルバーセンター",35.6345705,139.7221741
大井第二在宅介護支援センター,東京都品川区大井3-15-7,"在宅で介護しているご家族の相談を専門家が受け、必要なサービスへつなげ、支援・手助けするところです。 品川区大井3-15-7電話:5743-2943担当地区:西大井2～6丁目、大井6～7丁目",35.6024012,139.7295035
北品川シルバーセンター,東京都品川区北品川1-29-12,"利用できる方:区内在住の満60歳以上の方 利用時間:午前9時～午後5時 休館日:日曜日、祝日(敬老の日は開館、翌日休館)、年末年始 北品川1-29-12 電話:3471-6507",35.6206472,139.7417534
南品川シルバーセンター,東京都品川区南品川5-10-3,"利用できる方:区内在住の満60歳以上の方 利用時間:午前9時～午後5時 休館日:日曜日、祝日(敬老の日は開館、翌日休館)、年末年始 南品川5-10-3電話:3471-7000",35.6101825,139.7399215
上大崎シルバーセンター,東京都品川区上大崎1-3-12,"利用できる方:区内在住の満60歳以上の方 利用時間:午前9時～午後5時 休館日:日曜日、祝日(敬老の日は開館、翌日休館)、年末年始 上大崎1-3-12(併設:上大崎在宅介護支援センター) 電話:3449-1750",35.6346151,139.7220371
西五反田シルバーセンター,東京都品川区西五反田3-9-10,"利用できる方:区内在住の満60歳以上の方 利用時間:午前9時～午後5時 休館日:日曜日、祝日(敬老の日は開館、翌日休館)、年末年始 品川区西五反田3-9-10 (併設:西五反田保育園)電話:3493-0076",35.6264581,139.7169380
小山シルバーセンター,東京都品川区小山5-17-18,"利用できる方:区内在住の満60歳以上の方 利用時間:午前9時～午後5時 休館日:日曜日、祝日(敬老の日は開館、翌日休館)、年末年始小山5-17-18 電話　3785-6420",35.6148389,139.7013897
旗の台シルバーセンター,東京都品川区旗の台4-13-1,"利用できる方:区内在住の満60歳以上の方 利用時間:午前9時～午後5時 休館日:日曜日、祝日(敬老の日は開館、翌日休館)、年末年始 旗の台4-13-1 電話:3783-7479",35.6026002,139.7046836
ゆたかシルバーセンター,東京都品川区豊町3-2-15,"利用できる方:区内在住の満60歳以上の方 利用時間:午前9時～午後5時 休館日:日曜日、祝日(敬老の日は開館、翌日休館)、年末年始 豊町3-2-15(併設:公益社団法人品川区シルバー人材センターゆたか支所) 電話:3781-5424",35.6083505,139.7196219
南大井シルバーセンター,東京都品川区南大井3-7-13,"利用できる方:区内在住の満60歳以上の方 利用時間:午前9時～午後5時 休館日:日曜日、祝日(敬老の日は開館、翌日休館)、年末年始 品川区南大井3-7-13 (併設:南大井図書館・南大井児童センター・南大井保育園)電話:3761-6540",35.5916892,139.7343949
品川区シルバー人材センター東大井支所,東京都品川区東大井1-4-14,品川区東大井1-4-14,35.6057191,139.7450655
品川区シルバー人材センター荏原支部,東京都品川区荏原2-16-18,品川区荏原2-16-18,35.6166713,139.7090216
品川区シルバー人材センターゆたか分室,東京都品川区豊町3-2-15,品川区豊町3-2-15,35.6083182,139.7194982
品川児童学園,東京都品川区南品川3-7-7,品川区南品川3-7-7,35.6073314,139.7447659
北品川つばさの家(知的障害者生活ホーム),東京都品川区北品川3-7-21,品川区北品川3-7-21,35.6177109,139.7407122
かもめ第1工房,東京都品川区北品川3-7-21,,35.6175512,139.7407110
第三北品川病院,東京都品川区北品川3-3-7,品川区北品川3-3-7,35.6213381,139.7388487
大村病院,東京都品川区大井3-27-11,品川区大井3-27-11,35.6002614,139.7299362
昭和大学病院,東京都品川区旗の台1-5-8,品川区旗の台1-5-8,35.6083941,139.7035712
旗の台脳神経外科病院,東京都品川区旗の台5-17-16,品川区旗の台5-17-16,35.6036215,139.6986957
"平塚橋ゆうゆうプラザ（平塚橋高齢者多世代交流支援施設）",東京都品川区西中延1-2-8,"住所：東京都品川区西中延1-2-8電話：03-5498-7021利用できる方：区内在住の満60歳以上の方、多世代交流事業を実施する方開館時間：午前9時～午後9時30分（日曜・祝日は午後5時まで）休館日：年末年始（12月29日～1月3日）",35.6143775,139.7098573
東京ハートセンター,東京都品川区北品川5-4-12,"24時間体制で心臓血管外科医・循環器内科医が院内待機、いつでも心臓病の救急対応が可能所在地:北品川5-4-12電話:5789-8100",35.6212321,139.7322703
福栄会,東京都品川区東品川3-1-8,"交通機関:京浜急行「新馬場」北口徒歩10分 
運営法人:(社福)福栄会 開設:平成2年5月 建物概要:地上8階建て",35.6170592,139.7468072
南大井高齢者保健福祉複合施設,東京都品川区南大井5-19-1,"所在地:品川区南大井5-19-1 交通機関:JR京浜東北線「大森」東口徒歩10分 運営法人:(社福)さくら会 開設:平成12年5月 建物概要:地下1階地上8階",35.5949383,139.7334680
春光福祉会,東京都品川区西大井2-4-4,"所在地:品川区西大井2-4-4 交通機関:JR横須賀線「西大井」徒歩2分 運営法人:(社福)春光福祉会 開設:平成12年4月 建物概要:地上4階地下1階",35.6000932,139.7226148
荏原複合施設,東京都品川区荏原2-9-6,"所在地:品川区荏原2-9-6 交通機関:東急目黒線「武蔵小山」徒歩10分 東急池上線「戸越銀座」徒歩7分 運営法人:(社福)三徳会 開設 : 平成9年5月 建物概要 : 地上7階地下1階",35.6169561,139.7114291
三徳会,東京都品川区中延1-8-7,"所在地:品川区中延1-8-7 交通機関: 東急池上線「荏原中延」徒歩3分 東急大井町線「中延」徒歩10分 都営浅草線「戸越」徒歩10分 運営法人:(社福)三徳会 開設:昭和57年11月 建物概要:地上4階",35.6121296,139.7118303
中延複合施設,東京都品川区中延6-8-8,"所在地:品川区中延6-8-8 交通機関:大井町線「荏原町」「中延」徒歩7分 都営浅草線「中延」徒歩7分 運営法人:(社福)品川総合福祉センター 開設 : 平成10年5月 建物概要 :地上6階地下1階",35.6017877,139.7115895
戸越台複合施設,東京都品川区戸越1-15-23,"所在地 :品川区戸越1-15-23 
交通機関 :東急池上線「戸越銀座」徒歩3分 都営浅草線「戸越」徒歩2分 運営法人 :(社福)三徳会 開設 : 平成8年5月  建物概要  地上10階地下1階",35.6156604,139.7176217
品川総合福祉センター,東京都品川区八潮5-1-1,"所在地: 品川区八潮5-1-1 交通機関:品川駅東口からバス「大井町東口行き」あるいは大井町東口から「品川駅東口行き」で「品川総合福祉センター前」下車 運営法人 :(社福)品川総合福祉センター 開設 : 昭和58年4月1日 建物概要 : 地上6階地下1階",35.6051628,139.7524143
西五反田高齢者等複合施設,東京都品川区西五反田3-6-6,"所在地 : 品川区西五反田3-6-6 交通機関 東急目黒線「不動前」徒歩7分 JR山手線「五反田」徒歩9分 JR山手線「目黒」徒歩10分 運営法人 :(社福)さくら会 開設　: 平成16年4月 建物概要 :高層棟地上14階・低層棟地上4階",35.6279307,139.7166983
障害者生活支援センター,東京都品川区旗の台5-2-2,"旗の台5-2-2(心身障害者福祉会館内)相談員や福祉司による相談受付や講習会、講演会、また障害をもつ仲間同士のカウンセリング(ピアカウンセリング)など地域で自立生活をおくるための支援に努めています。",35.6049721,139.7005296精神障害者地域生活支援センター「たいむ」,東京都品川区西五反田2-24-2,"西五反田2-24-2地域で生活する精神障害者とご家族の方々が利用できる施設です。",35.6259908,139.7193451
かもめ第3工房,東京都品川区西五反田2-24-2,,35.6259557,139.7194176
品川区医師会,東京都品川区北品川3-7-25,品川区医師会,35.6171155,139.7406576
ウェルカムセンター原・交流施設,東京都品川区西大井2-5-21,,35.5990008,139.7214195
西大井いきいきセンター,東京都品川区西大井2-5-21,"利用できる方:区内在住の満60歳以上の方 利用時間:午前9時～午後5時 休館日:日曜日、祝日(敬老の日は開館、翌日休館)、年末年始 西大井2-5-21 電話:5718-1330運営:社会福祉法人こうほうえん",35.5989778,139.7222357
ケアネット通所介護　旗の台,東京都品川区旗の台3-4-9エンゼルハイツピュアネス,東京都品川区旗の台3-4-9エンゼルハイツピュアネス,35.6061030,139.7084710
㈱ケアサービスデイサービスセンター大森,東京都品川区南大井6-3-8ガーデニア大森,東京都品川区南大井6-3-8ガーデニア大森,35.5922360,139.7335170
㈱仁済デイサービスセンター大井,東京都品川区大井1-49-12大井町ビル,東京都品川区大井1-49-12大井町ビル,35.6059140,139.7332127
小山倶楽部（小規模多機能型居宅介護）,東京都品川区小山7-14-4,東京都品川区小山7-14-4,35.6089890,139.6968409
グループホーム小山（認知症高齢者グループホーム）,東京都品川区小山7-14-4,東京都品川区小山7-14-4,35.6090000,139.6967740
グループホームロイヤル西大井（認知症高齢者グループホーム）,東京都品川区西大井2-4-4,東京都品川区西大井2-4-4,35.5998510,139.7226222
グループホームロイヤル中延,東京都品川区中延5-9-22,東京都品川区中延5-9-22,35.6024180,139.7072380
東芝病院,東京都品川区東大井6-3-22,東京都品川区東大井6-3-22,35.6016580,139.7348520
ＮＴＴ東日本関東病院,東京都品川区東五反田5-9-22,東京都品川区東五反田5-9-22,35.6311780,139.7256990
いすゞ病院,東京都品川区南大井6-21-10,東京都品川区南大井6-21-10,35.5895920,139.7326870
大井第二在宅介護支援センター,東京都品川区大井3-15-7,東京都品川区大井3-15-7,35.6023967,139.7295097
八ツ山保育園ふれあいデイホーム,東京都品川区東品川1-1-9,東京都品川区東品川1-1-9,35.6227220,139.7428260
ほっとハウス温々(ぬくぬく),東京都品川区大井3-27-12,東京都品川区大井3-27-12,35.6001850,139.7298030
湯～亀（ゆ～き）,東京都品川区旗の台4-5-18,東京都品川区旗の台4-5-18,35.6026400,139.7055800
医師会立品川区訪問看護ステーション,東京都品川区北品川3-7-25,東京都品川区北品川3-7-25,35.6170304,139.7405236
医師会立荏原訪問看護ステーション,東京都品川区中延1-7-12,東京都品川区中延1-7-12,35.6118630,139.7124430
グループホーム温々(ぬくぬく),東京都品川区大井6-1-1,"東京都品川区大井6-1-1認知症高齢者グループホーム",35.5989990,139.7307670
山中いきいき広場(山中小学校内),東京都品川区大井3-7-19,東京都品川区大井3-7-19,35.6029464,139.7299802
荏原いきいき倶楽部,東京都品川区荏原6-2-8,東京都品川区荏原6-2-8,35.6129330,139.7027490
シルバー人材センターゆたか分室,東京都品川区豊町3-2-15,東京都品川区豊町3-2-15,35.6083828,139.7197554
トット文化館,東京都品川区西品川2-2-16,東京都品川区西品川2-2-16,35.6146830,139.7285610
ふれあい作業所西品川分室,東京都品川区西品川1-28-3,東京都品川区西品川1-28-3,35.6095310,139.7275661
ひまわりの会,東京都品川区二葉3-24-2,"ひまわりの会品川区二葉3-24-2高齢者の介護予防のためのサロンです。",35.6028120,139.7210676
おはなしたまご,東京都品川区東五反田5-24-1,"おはなしたまご品川区東五反田5-24-1小さいお子さんをもつ親子が対象です。",35.6280224,139.7234743
和(なごやか),東京都品川区戸越6-16-10,"和(なごやか)品川区戸越6-16-10電話:3783-2254高齢者の健康カラオケ教室です",35.6068740,139.7152628
ケアホーム西大井こうほうえん,東京都品川区西大井2-5-21,"ケアホーム西大井西大井2-5-21電話:5718-1331",35.5992882,139.7218793
西大井ほっと・サロン,東京都品川区西大井3-1-4,"西大井ほっと・サロン西大井3-1-4電話:3772-9887",35.5979451,139.7236261
月見橋の家,東京都品川区南大井3-7-10,"身体の障害や認知症高齢者など、家庭での介護や支援を必要とする方に、通所による、食事・入浴サービス・日常動作訓練などのサービスを提供する施設です。南大井3-7-10電話:5767-0626 担当地区:大井、南大井、西大井、勝島、東大井",35.5914857,139.7347985
荏原ほっと・サロン,東京都品川区荏原4-12-20,"東京都品川区荏原4-12-20電話　3787-7443",35.6161144,139.7053187
にじのひろば,東京都品川区荏原4-12-20,"東京都品川区荏原4-12-20電話　3787-3757",35.6160598,139.7053227
障害者就労支援センター「げんき品川」,東京都品川区大崎4-11-12,"東京都品川区大崎4-11-12電話　5496-2525",35.6184754,139.7213330
品川保健センター検査室,東京都品川区北品川3-11-16,"東京都品川区北品川3-11-16電話　3474-4951",35.6167360,139.7398625
