種別,"指定
番号
","指定
年月
",名称,数,所在地,所有者,コメント,緯度,経度
彫刻,第9号,昭和59年2月16日,伽藍神倚像,1躯,南品川4-2-16,大龍寺,本像は、膝を開いて椅子に腰かけた姿の高さ73.2センチの木造の像。元禄16年(1703)にこの寺が時宗から黄檗宗に改宗したときに、施入したものと伝えられている。,35.615423 ,139.739756 
彫刻,第15号,平成元年3月14日,銅造阿弥陀如来立像,1躯,北品川2-3-12,養願寺,高さ47.5センチの像。善光寺阿弥陀三尊として鎌倉時代(1192～1333)に制作されたもの。信濃(長野県)の善光寺像は、飛鳥時代(645～710)に百済(現韓国)から伝来。その模作が多く作られたが本像もその一つ。,35.619007 ,139.742328 
彫刻,第16号,平成元年3月14日,木造不動三尊像,3躯,北品川2-3-12,養願寺,不動明王は高さ1メートル12センチ、脇侍の矜羯羅・制た迦童子は約37センチ、共に彩色の像。本像は、金杉村の僧玄雄の発願で、仏師春達が万治元年(1658)に製作したもの。,35.619007 ,139.742328 
彫刻,第21号,平成4年3月10日,木造阿弥陀如来立像,,南品川2-9-5,心海寺,秀麗な顔立ちで、ほどよい肉付きの体をした高さ97.4センチの像。衲衣の文様も、布の質感を巧みに現した自然な皺が深く刻まれ、典型的な鎌倉様式を示している。本像は、京都で制作されて運ばれたという。,35.614411 ,139.742626 
彫刻,第22号,平成18年4月25日,木造日蓮聖人坐像,,南品川4-2-8,本光寺,高さ68.5センチの像。像内納入文書により、慶長19年(1614)に京都上行寺像として開眼供養されたことが判る。等身大に近い堂々とした肖像彫刻で、量感豊かな体躯、丁寧な唐草の盛上文様等桃山時代の作風が残る江戸時代初期の優品である。,35.615542 ,139.740827 
彫刻,第23号,平成31年3月27日,木造菩薩形坐像,,南品川4-4-8,海蔵寺,11世紀前半に作られた高さ66.3センチの一木造りの仏像。髷を結い宝冠や腕輪を付けた菩薩の姿をする一方、如来の衣の着方をした、ほとんど作例がない姿をしている。,35.613854 ,139.741103 
工芸品,第1号,昭和53年11月22日,東海寺梵鐘,1口,北品川3-11-9,東海寺,江戸幕府の御用鋳物師の椎名良寛が元禄5年(1692)に鋳造した高さ1メートル98センチ、口径1メートル6センチの梵鐘。将軍徳川家光の側室桂昌院が寄進し 、 東海寺の住職天倫宗忽(1626～97)の撰文が刻まれている。,35.616144 ,139.738973 
工芸品,第2号,昭和57年2月10日,鏝絵天鈿女命功績図,2面,東品川1-35-8,寄木神社,神社本殿の内側の扉に、伊豆(入江)長八(1815～89)が描いた漆喰の鏝絵。『古事記』や『古語拾遺』に書かれている天の岩戸神話などに取材したもの。,35.618172 ,139.745851 
工芸品,第3号,平成元年3月14日,神輿,1基,北品川3-7-15,品川神社,高さ1メートル36センチ、屋蓋の軒張りが1メートル48センチの屋根の上に鳳凰を置く鳳輦型で、屋根の正面には葵紋が彫り込んである。江戸時代(1603～1868)前期の制作。,35.618491 ,139.739586 
工芸品,第4号,平成12年3月3日,金赤色被桜文ガラス花瓶,1瓶,"大井6-11-1
品川歴史館",品川区,明治時代中期に品川硝子製造所出身の大重仲左衛門が制作したものと伝わる。高さ22.3センチ。乳白色ガラスに金赤色ガラスを被せ、その胴部分にグラヴュール加飾法によるカット文様を施す。文様は桜花と羊歯(シダ)の葉文。,35.596787 ,139.730102 
書跡,第1号,昭和58年3月12日,日什筆曼荼羅,1幅,南品川2-8-23,天妙国寺,曼荼羅本尊は、文永8年(1271)に日蓮(1222～82)が本尊として初めて文字で記したもので、後に日蓮宗内の僧侶が記している。本曼荼羅は、至徳2年(1385)に開祖の日什(1314～92)が玄恵坊に授けたもの。,35.611868 ,139.742899 
書跡,第2号,昭和58年3月12日,日蓮消息文（上野女房御返事）,1幅,南品川2-8-23,天妙国寺,日蓮(1222～82)が、上野(山梨県中巨摩郡櫛形町)に住む南条時光の夫人に宛てた書簡とされる。宝永8年(1711)身延山久遠寺の日享等の鑑定状、元文2年(1737)京都妙満寺日享宛の売渡状が付属している。,35.611868 ,139.742899 
書跡,第3号,昭和58年3月12日,日什諷誦文及置文写,1巻,南品川2-8-23,天妙国寺,諷誦文は、死者追善の法会にその意趣を記して読み上げる文。置文は、日什の意志を伝えるために書いたもので、原本は、寛永14年(1637)に日葉が京都の寂光寺所蔵の日什(1314～92)の自筆本を写した。,35.611868 ,139.742899 
典籍,第2号,平成4年3月10日,妙蓮寺典籍,,南品川1-1-1,妙蓮寺,顕本法華宗の教義・門流・先師関係の典籍を中心とした諸記録17点。「宮谷檀林玄能能化歴代本山法主記」などの史料がある。,35.615122 ,139.741492 
古文書,第1号,昭和56年2月12日,宮川家文書,,"大井6-11-1
品川歴史館",品川区,宮川家に伝わる天明5年(1785)から明治44年(1911)までの文書類で、当時の商家の一端を伝える。宮川家は、南品川宿で江戸時代中期から米商を営み、のちには薪炭の仲買も手がけた商家。,35.596787 ,139.730102 
古文書,第2号,平成2年3月13日,長徳寺文書,,"大井6-11-1
品川歴史館",品川区,徳川家康の寄進状をはじめ、徳川秀忠から家茂までの歴代将軍の朱印状正文、幕末の孝明天皇綸旨や寺領関係の文書など。東京区部では、朱印状正文が現存する例は珍しい。,35.596787 ,139.730102 
古文書,第4号,平成2年3月13日,清徳寺文書,,北品川3-7-22,清徳寺,当寺が鎌倉時代(1192～1333)末期に創建されたことを記した「武蔵国清徳寺再興記」、江戸幕府歴代将軍の朱印状や、当寺の15世玉泉による朱印状書き替えに際する記録など30点。,35.617331 ,139.740584 
古文書,第5号,平成4年3月10日,心海寺文書,,南品川2-9-5,心海寺,江戸時代(1603～1868)中期から明治時代(1868～1912)までの187点におよぶ大量の文書類。住職の法階昇進や、それに伴う上納金に関する文書は、当時の身分制度の解明に貴重な史料。,35.614411 ,139.742626 
古文書,第6号,平成9年4月10日,品川歩行新宿加宿裁許状,,"大井6-11-1
品川歴史館",品川区,従来からあった北品川宿・南品川宿の二宿に加え、歩行新宿の加宿を許すという享保7(1722)年12月に下付された裁許状。歩行新宿が新しく宿場になった経緯が記された貴重な文書。,35.596787 ,139.730102 
古文書,第7号,平成11年2月23日,品川神社文書,,北品川3-7-15,品川神社,天正11年(1583)から明治5年(1872)に至る文書。神社の由緒や絵図、神社と地域の関わり、幕府や明治政府とのさまざまな応答、天王祭や太太神楽のことなどが記されおり、品川の歴史や神社史を知る上で貴重。,35.618491 ,139.739586 
古文書,第8号,平成11年2月23日,宇田川家文書,,"大井6-11-1
品川歴史館",品川区,北品川宿の名主宇田川家に伝来する江戸時代から近代の文書131点。「目黒筋御場絵図」「品川宿絵図」「北品川宿・大崎村絵図」「鶴岡八幡宮遠馬東海道往環沿道図」の4絵図。宿場内の申し合わせ事項をはじめ宿内における伊勢御師の動向に関する文書など、地域の歴史を知るうえで貴重。,35.596787 ,139.730102 
古文書,第9号,平成13年3月19日,大島家文書,,"大井6-11-1
品川歴史館",品川区,幕府に魚介類を献上していたお菜肴八ヶ浦のひとつである品川浦(南品川猟師町)の名主大島家に伝来する江戸時代から近代の文書147点。猟師町としての特徴を示す海苔養殖など水産業の歴史を伝える史料が多い。,35.596787 ,139.730102 
古文書,第11号,平成16年8月24日,願行寺文書,3巻18点,南品川2-1-12,願行寺,願行寺文書のうち「十夜縁起」は、浄土信仰における十夜法要にもとづくものであり、弘治3年（1557）に編述した縁起を、元禄2年（1689）に知恩院（京都）と光明寺（鎌倉）に奥書を求めたものである。その由来と当時の由緒についても言及しており、他の「本尊縁起」や願行寺塔頭や本末関係を示す古文書を含めて仏教史上貴重な資料。,35.614022 ,139.741700 
古文書,第14号,平成25年3月28日,三岳神社文書,,"大井6-11-1
品川歴史館",品川区,江戸時代末期から明治初期における品川宿内の紛争の内済記録と、旧南品川宿参町目にあたる地域の明治初期から現代に至る鎮守祭礼の収支記録であり、内済の様子や祭礼の変遷を知るうえで貴重。7点。,35.596787 ,139.730102 
考古資料,第1号,昭和58年3月12日,法禅寺板碑,121点,北品川2-2-14,法禅寺,安政元年(1854)品川台場築造に際し御殿山で土取作業中に、五輪塔・宝篋印塔等と共に、出土した石造の供養塔121基。秩父青石(緑泥片岩)製で、鎌倉時代末から戦国時代のものが残る。,35.619611 ,139.741722 
歴史資料,第1号,平成元年3月14日,添浦高札（1）,,東品川1-35-8,寄木神社,正徳元年(1711)に町奉行から出された本高札の追加補充として、正徳2年に発せられた「浦々添高札」で、御城米船が海難事故にあったときの取り扱いについてのもの。,35.618172 ,139.745851 
歴史資料,第4号,平成18年11月28日,鯨碑,,東品川1-7-17,利田神社,寛政10年(1789)、品川猟師町沖で、大鯨が発見され、捕らえられた。11代将軍家斉の上覧後、鯨を弔い、事件を後世に伝えるため、建立された碑。,35.621064 ,139.742413 
歴史資料,第5号,平成21年11月25日,天妙国寺五重塔礎石,,南品川2-8-23,天妙国寺,五重塔は「妙国寺絵図」等で知られており、室町時代中頃に建立され、江戸時代初期に再建。その後、元禄十五年に焼失した。移設されているが、その存在を実証するもの。,35.611868 ,139.742899 
有形民俗,第1号,昭和53年11月22日,品川神社富士塚,,北品川3-7-15,品川神社,富士山への信仰から、品川宿丸嘉講の人々が、富士山を拝む場所として、また富士山に登れない人たちにも登れる場所として、明治2年(1869)に造った人工の富士山。,35.618491 ,139.739586 
有形民俗,第2号,昭和53年11月22日,善福寺石造 念仏講供養塔,1基,北品川1-28-9,善福寺,万治元年(1658)に造立の笠塔婆型の供善塔で、刻んである銘文や人名などから、念仏講の人々が死後の往生菩提を生前に祈り、読経や供養などの善行を積むことを意図して造立したもの。,35.620417 ,139.741113 
有形民俗,第6号,昭和55年3月11日,本覚寺石造庚申供養塔,1基,南品川1-10-11,本覚寺,寛文8年(1668)に造立の板碑型の塔。正面に青面金剛と邪鬼、三猿が刻まれ、下方に5名の造立者名と本覚寺という字が見える。本覚寺本来のもので、正門の所に建てられていたが、現在は境内奥に移されている。,35.615217 ,139.742619 
有形民俗,第12号,昭和56年2月12日,紙本着色地獄変相図,1幅,北品川2-2-14,法禅寺,文政11年(1828)に田村屋清七が自ら描いて奉納したもので、地獄の様子と、阿弥陀如来が観音・勢至外4人の菩薩を従え、亡者を極楽世界に迎える様子を描いたもの。,35.619611 ,139.741722 
有形民俗,第13号,昭和56年2月12日,海徳寺板木,20枚,北品川1-2-10,海徳寺,古来各寺院は、参詣者に各種のお札を配布することが多かった。当寺でも、江戸時代(1603～1868)から檀信徒に各種の護符を配布していた。それに使用した大黒天・鬼子母神・淡島尊天・妙見菩薩・清正公・三宝荒神などの板木。,35.622169 ,139.739622 
有形民俗,第16号,昭和60年3月14日,海雲寺千躰荒神堂奉納扁額,27面,南品川3-5-21,海雲寺,本堂の左側にある千躰荒神堂内に懸けてある。内訳は、絵額8面、文字額11面、千社額4面、句額1面、纏図2面、神号額1面。扁額の奉納は昭和時代になって衰えたが、昭和期の奉納が7面もあるのが大変珍しい。,35.608923 ,139.743508 
有形民俗,第27号,平成14年7月25日,紙本着色六道絵,5面,南品川2-8-16,長徳寺,この六道絵は、毎年1月16日と7月16日の年2回、閻魔堂の本尊閻魔王の縁日に堂の前などに掛けられ、参詣者に対して勧善懲悪の理を説く教化の資料とされたものである。地域の民間信仰のあり方をしめすものとして、また民間信仰の遺物として貴重である。,35.613177 ,139.743220 
有形民俗,第29号,平成20年7月22日,法禅寺板木・銅版,,北品川2-2-14,法禅寺,板木は正徳3年（1713）～明治時代にかけての制作で69枚が残存しており、その内容は多種類に及んでいる。銅版は明治前期のもので、阿弥陀浄土図を描き、版も大きく、現在区内で確認されている唯一の銅版である。,35.619611 ,139.741722 
史跡,第1号,昭和53年11月22日,享保21年銘道標,,南品川4-1,区管理,高さ58センチ、正面の幅20センチ余りの道標で、享保21年(1736)に南品川の庚申講中が造立。東海道から南馬場通りを経て目黒に至る道が碑文谷道に分かれる地点にあったが、現在地に移された。,35.615079 ,139.737421 
史跡,第3号,昭和53年11月22日,大正6年銘道標,,西品川3-16,区管理,高さ1メートルほどの角柱型の道標で、四面に、マエオホヰ道・マエヘビクボ道・マエキリガヤ道・マエオホサキテイシャバ道と刻まれている。大正6年(1917)に建てられた比較的新しい道標。,35.615575 ,139.727203 
史跡,第4号,昭和53年11月22日,板垣退助墓,,北品川3-7-15,品川神社,板垣退助(1838～1919)は倒幕運動に力を尽くし、維新後は自由民権運動を進め、自由党を作って総裁となった。遊説中、岐阜で刺客に襲われた時に叫んだ「板垣死すとも自由は死せず」の言は有名。,35.618491 ,139.739586 
史跡,第5号,昭和53年11月22日,奥平家墓域,,南品川4-2-35,清光院,瓦積の土塀に囲まれた598平方メートルの墓域で、慶長19年(1614)に没した二代からの墓石88基がある。奥平家は譜代大名で、中津(大分県)藩主であった。,35.615225 ,139.738883 
史跡,第6号,昭和53年11月22日,渋川春海墓,,北品川4-11-8,東海寺,東海寺墓地にある。春海(1639～1715)は、若くして国史、神道を学ぶとともに天文暦学に長じ、彼の編んだ暦は、貞享元年(1684)に幕府に採用された。,35.617099 ,139.735705 
史跡,第7号,昭和53年11月22日,東海道品川 宿本陣跡,,北品川2-7-21,区管理,品川宿は東海道五十三次の最初の宿場で、本陣は江戸時代(1603～1868)初期には南北両宿にあったが、中期以降は北品川宿の一軒のみとなった。数度の場所替えで現在地に定着し、本陣跡として現在に至っている。,35.618862 ,139.743947 
史跡,第8号,昭和53年11月22日,官営品川 硝子製造所跡,,北品川4-11-5,区管理,当製造所の前身は、太政大臣三条実美が創立した洋式ガラス工場の興業社で、明治9年(1876)に工部省が買収し官営となる。後に民間に蔽い下げられたが解散。現在、レンガ造りの工場は愛知県犬山市の明治村に保存されている。,35.616693 ,139.735642 
史跡,第9号,昭和53年11月22日,松平慶永（春嶽）墓,,南品川5-16-22,個人所有,墓は松平家墓域の右側の方にあり、神式の土まんじゅう型で、角柱型の墓碑が立っている。慶永は福井藩16代の藩主で、幕末の動乱期に開国論を唱え、幕府と朝廷の間を取り持ち、維新のために力を尽くした。　1828～1890,35.607671 ,139.742341 
史跡,第10号,昭和53年11月22日,由利公正墓,,南品川5-16-22,個人所有,墓は海晏寺後丘にひっそりと立っている。公正は福井藩士で、安政元年(1854)から品川台場の築造に従事、維新後は新政府の財政確立に勇めた。明治4年(1871)に東京府知事となり、首都の整備に力を尽くした。　1829～1909,35.607671 ,139.742341 
史跡,第14号,昭和53年11月22日,海蔵寺無縁塔群,,南品川4-4-2,海蔵寺,宝永5年(1798)造立の無縁供養塔(首塚)、慶応元年(1865)造立の津波溺死者供養塔、明治6年(1873)造立の無縁供養塔、大正4年(1915)造立の京浜鉄道轢死者供養塔、昭和7年(1932)造立の関東大震災横死者供養塔などがある。,35.613725 ,139.740714 
史跡,第21号,昭和61年3月14日,流民叢塚碑,1基,北品川2-2-14,法禅寺,天保4年(1833)からの天候不順は数年に及び、多数の餓死者を出し、本寺には500余人が埋葬された。その供養のために明治4年(1871)に建てられた高さ1メートル21センチの碑で、納骨堂の上にあり、正面に当時の惨状が刻まれている。,35.619611 ,139.741722 
史跡,第24号,平成19年12月25日,桃中軒雲右衛門の墓,,南品川2-8-23,天妙国寺,明治、大正時代の浪花節の名手。得意の演題は赤穂浪士の事跡「義士銘々伝」。寄席から劇場に進出するなど浪曲界の黄金時代を築き、浪花節中興の祖とわれ、浪曲史上に偉大な足跡を残した人物である。,35.611868 ,139.742899 
天然記念物,第2号,昭和53年2月14日,品川寺のイチョウ,,南品川3-5-17,品川寺,"当寺の山門の右脇にある整然とした木で、幹囲5メートル35センチ、樹高25メートル,樹齢は約600年。木の勢いも盛んで、光福寺のものに次ぐ大樹。かなり離れた所から眺めることができる。",35.609711 ,139.743527 
天然記念物,第4号,昭和53年2月14日,稼穡稲荷のイチョウ,,北品川2-32-3,六行会,稼穡稲荷神社の神木として護られてきた古木で、幹囲4メートル10センチ、樹高23メートル、樹齢は500～600年。木の勢いも丁盛んで、姿も美しく、遠くからの景観がすばらしい。,35.616759 ,139.742620 
天然記念物,第7号,昭和53年2月14日,法禅寺のイチョウ,,北品川2-2-14,法禅寺,本堂に向かって左側にある。幹囲3メートル40センチ、樹高25メートル、樹齢は約400年。木の勢いもよく、姿も美しい。,35.619611 ,139.741722 
天然記念物,第16号,昭和53年2月14日,大龍寺のシイ,,南品川4-2-16,大龍寺,ブナ科の常緑の高木。本樹の樹種はスダジイ。根廻り3メートル22センチ、樹高9メートル50センチ、樹齢は150～200年。根本から4本に分かれた幹は、美しい風格のある姿を形造っている。,35.615423 ,139.739756 
風俗慣習,第1号,昭和61年3月14日,品川神社富士塚山開き行事,,品川神社,"富士講
品川丸嘉講社",毎年7月1日前後に、講の人びとによって品川神社境内の浅間神社及び富士塚で行われる行事。丸嘉講は近江屋嘉衛門(～1794)によって創設。品川丸嘉講社も江戸時代(1603～1868)末期の成立。,35.618481 ,139.739596 
風俗慣習,第2号,昭和62年3月24日,"品川拍子
（品川神社中心の地域）",,品川神社周辺,品川拍子保存笛睦会,品川拍子は、祭礼時に神輿が巡行するときの囃子となる音楽で、大拍子と呼ばれる締め太鼓と、俗称トンビなどといわれる篠笛によって演奏される。,35.618481 ,139.739596 
風俗慣習,第2号,昭和62年3月24日,"品川拍子
（荏原神社中心の地域）",,荏原神社周辺,"品川拍子
ゆきわ会",品川拍子は、祭礼時に神輿が巡行するときの囃子となる音楽で、大拍子と呼ばれる締め太鼓と、俗称トンビなどといわれる篠笛によって演奏される。,35.617028 ,139.743561 
風俗慣習,第2号,平成14年10月16日,"品川拍子
（利田神社中心の地域）",,利田神社周辺,東品川一・三笛睦会,品川拍子は、祭礼時に神輿が巡行するときの囃子となる音楽で、大拍子と呼ばれる締め太鼓と、俗称トンビなどといわれる篠笛によって演奏される。,35.621273 ,139.742362 
