サービス名,問い合わせ先名称,問い合わせ先電話番号,問い合わせ先FAX番号,サービス詳細webサイト,掲載順,目次,大分類,中分類,小分類,サービス備考,問い合わせ先備考,標準地域コード
健康相談,各保健センター,"","",https://www.city.shinjuku.lg.jp/soshiki/nishi-h01_001004.html,31,相談,生活一般の相談,健康・こころの悩み,"","",http://www.city.shinjuku.lg.jp/soshiki/hc_index.html,http://statdb.nstac.go.jp/lod/sac/C13104
健康相談,保健予防課,03-5273-3862,"",https://www.city.shinjuku.lg.jp/kenkou/index02_02.html,32,相談,生活一般の相談,健康・こころの悩み,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
女性の健康専門相談,女性の健康支援センター,03-3351-5161,03-3351-5166,https://www.city.shinjuku.lg.jp/kenkou/yotsuya-h01_001061_01.html,33,相談,生活一般の相談,健康・こころの悩み,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
歯科保健相談,各保健センター,"","",https://www.city.shinjuku.lg.jp/soshiki/hc_index.html,35,相談,生活一般の相談,健康・こころの悩み,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
エイズ相談・検査,保健予防課予防係,03-5273-3859,03-5273-3820,https://www.city.shinjuku.lg.jp/fukushi/file02_02_00009.html,36,相談,生活一般の相談,健康・こころの悩み,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
こころの健康相談,東京都中部総合精神保健福祉センター　相談専用電話,03-3302-7711,"","",37,相談,生活一般の相談,健康・こころの悩み,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
東京都夜間こころの電話相談,東京都夜間こころの電話相談,03-5155-5028,"",https://www.city.shinjuku.lg.jp/soshiki/0401hokensenta-soudan_00003.html,38,相談,生活一般の相談,健康・こころの悩み,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
こころの病気の相談（精神保健相談・うつ専門相談）,各保健センター,"","",https://www.city.shinjuku.lg.jp/soshiki/0401hokensenta-soudan_00003.html,39,相談,生活一般の相談,健康・こころの悩み,"","",http://www.city.shinjuku.lg.jp/soshiki/hc_index.html,http://statdb.nstac.go.jp/lod/sac/C13104
呼吸器健康相談,健康政策課公害保健係,03-5273-3048,03-5273-3876,"",40,相談,生活一般の相談,健康・こころの悩み,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
在宅医療相談窓口,健康政策課地域医療係,03-5273-3839,03-5273-3876,https://www.city.shinjuku.lg.jp/fukushi/file02_04_00006.html,41,相談,生活一般の相談,健康・こころの悩み,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
がん療養相談窓口,暮らしの保健室,03-3205-3114,03-3205-3115,https://www.city.shinjuku.lg.jp/fukushi/kenko01_001055.html,42,相談,生活一般の相談,健康・こころの悩み,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
在宅歯科相談窓口,新宿区歯科医師会,03-3200-5064,03-3208-0829,"",43,相談,生活一般の相談,健康・こころの悩み,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
在宅歯科相談窓口,新宿区四谷牛込歯科医師会,03-3356-6367,03-3356-6368,"",44,相談,生活一般の相談,健康・こころの悩み,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
障害者・若年者等の就労に関する相談（若年者の就労に関する相談）,新宿区勤労者・仕事支援センター,03-3200-3311,03-3208-3100,https://www.city.shinjuku.lg.jp/seikatsu/shohi01_002319.html,45,相談,生活一般の相談,福祉,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
障害者・若年者等の就労に関する相談（障害者の就労に関する相談）,新宿区勤労者・仕事支援センター,03-3200-3316,03-3208-3100,https://www.city.shinjuku.lg.jp/seikatsu/shohi01_002319.html,46,相談,生活一般の相談,福祉,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
障害者・若年者等の就労に関する相談（その他の就労に関する相談）,新宿区勤労者・仕事支援センター,03-3200-3412,03-3208-3100,https://www.city.shinjuku.lg.jp/seikatsu/shohi01_002319.html,47,相談,生活一般の相談,福祉,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
暮らしの総合相談・ボランティアの相談,新宿区社会福祉協議会　新宿ボランティア・市民活動センター,03-5273-9191,03-5273-3082,https://www.city.shinjuku.lg.jp/fukushi/file06_05_00021.html,48,相談,生活一般の相談,福祉,"","",http://www.shinjuku-shakyo.jp/business/volunteer/,http://statdb.nstac.go.jp/lod/sac/C13104
暮らしの総合相談・ボランティアの相談,新宿区社会福祉協議会　東分室,03-3359-0051,03-3359-0012,https://www.city.shinjuku.lg.jp/fukushi/file06_05_00021.html,49,相談,生活一般の相談,福祉,"","",http://www.shinjuku-shakyo.jp/business/volunteer/,http://statdb.nstac.go.jp/lod/sac/C13104
成年後見専門相談,新宿区成年後見センター,03-5273-4522,03-5273-3082,https://www.city.shinjuku.lg.jp/fukushi/file06_05_00020.html,50,相談,生活一般の相談,福祉,"","",http://www.shinjuku-shakyo.jp/business/centernogoannnai/,http://statdb.nstac.go.jp/lod/sac/C13104
高齢者総合相談,高齢者支援課高齢者相談第一係,03-5273-4593,03-5272-0352,https://www.city.shinjuku.lg.jp/fukushi/file05_03_00002.html,51,相談,生活一般の相談,福祉,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
高齢者総合相談,高齢者支援課高齢者相談第二係,03-5273-4254,03-5272-0352,https://www.city.shinjuku.lg.jp/fukushi/file05_03_00002.html,52,相談,生活一般の相談,福祉,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
障害者総合相談,障害者福祉課相談係,03-5273-4518,03-3209-3441,https://www.city.shinjuku.lg.jp/fukushi/file06_05_00006.html,53,相談,生活一般の相談,福祉,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
障害者総合相談,障害者福祉課支援係,03-5273-4302,03-3209-3441,https://www.city.shinjuku.lg.jp/fukushi/file06_05_00006.html,54,相談,生活一般の相談,福祉,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
身体障害者相談員・知的障害者相談員,障害者福祉課支援係,03-5273-4302,03-3209-3441,https://www.city.shinjuku.lg.jp/fukushi/file06_05_00013.html,55,相談,生活一般の相談,福祉,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
障害者相談,区立障害者福祉センター（相談専用）,03-5292-7890,03-3232-3344,https://www.city.shinjuku.lg.jp/fukushi/shogai01_002121.html,56,相談,生活一般の相談,福祉,"",※来所の際には事前にお問い合わせください。,"",http://statdb.nstac.go.jp/lod/sac/C13104
障害者相談,地域活動支援センターまど,03-3200-9376,03-3200-9345,"",57,相談,生活一般の相談,福祉,"",※来所の際には事前にお問い合わせください。,"",http://statdb.nstac.go.jp/lod/sac/C13104
障害者相談,新宿西共同作業所ラバンス,03-3364-1603,03-3364-1610,"",58,相談,生活一般の相談,福祉,"",※来所の際には事前にお問い合わせください。,http://www.westlavance.com/,http://statdb.nstac.go.jp/lod/sac/C13104
障害者相談,ファロ,03-3350-4437,03-3350-4438,"",59,相談,生活一般の相談,福祉,"",※来所の際には事前にお問い合わせください。,"",http://statdb.nstac.go.jp/lod/sac/C13104
障害者相談,地域活動支援センター「風」,03-3952-6014,03-3952-6044,"",60,相談,生活一般の相談,福祉,"",※来所の際には事前にお問い合わせください。,"",http://statdb.nstac.go.jp/lod/sac/C13104
障害者相談,区立障害者生活支援センター（相談専用）,03-5937-6821,03-3365-7360,"",61,相談,生活一般の相談,福祉,"",※来所の際には事前にお問い合わせください。,http://www.city.shinjuku.lg.jp/fukushi/shogai01_002121.html,http://statdb.nstac.go.jp/lod/sac/C13104
障害者相談,シャロームみなみ風,03-5579-8412,03-5579-8413,"",62,相談,生活一般の相談,福祉,"",※来所の際には事前にお問い合わせください。,http://shalom-minamikaze.jp/,http://statdb.nstac.go.jp/lod/sac/C13104
高次脳機能障害に関する相談,区立障害者福祉センター,03-3232-3711,03-3232-3344,https://www.city.shinjuku.lg.jp/fukushi/file06_06_00007.html,63,相談,生活一般の相談,福祉,"",※来所の際には事前にお問い合わせください。,http://shinjyuku-fukushi-center.org/,http://statdb.nstac.go.jp/lod/sac/C13104
福祉総合電話相談,地域福祉課福祉計画係,03-5273-3623,03-3209-9948,https://www.city.shinjuku.lg.jp/fukushi/file04_00006.html,65,相談,生活一般の相談,福祉,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
福祉サービスに関する法律相談（要予約）,地域福祉課福祉計画係・相談申込専用電話,03-5273-3623,03-3209-9948,https://www.city.shinjuku.lg.jp/fukushi/file04_00006.html,66,相談,生活一般の相談,福祉,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
ひきこもりに関する相談,"","","",https://www.city.shinjuku.lg.jp/kusei/hkkmr2002top.html,67,相談,生活一般の相談,福祉,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
女性相談,生活福祉課相談支援係,03-5273-3884,03-3209-0278,https://www.city.shinjuku.lg.jp/kodomo/file03_06_00004.html,68,相談,生活一般の相談,女性・ひとり親,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
家庭相談,子ども家庭課育成支援係,03-5273-4558,03-3209-1145,https://www.city.shinjuku.lg.jp/kodomo/file03_06_00008.html,69,相談,生活一般の相談,女性・ひとり親,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
ひとり親相談,子ども家庭課育成支援係,03-5273-4558,03-3209-1145,https://www.city.shinjuku.lg.jp/kodomo/file03_06_00007.html,70,相談,生活一般の相談,女性・ひとり親,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
交通事故相談,東京都生活文化局広報広聴部都民の声課,03-5320-7733,"","",71,相談,生活一般の相談,交通事故,"","",http://www.metro.tokyo.lg.jp/tosei/iken-sodan/otoiawase/madoguchi/koe/tominnokoe/index.html,http://statdb.nstac.go.jp/lod/sac/C13104
消費生活相談,新宿消費生活センター（相談室）,03-5273-3830,03-5273-3110,https://www.city.shinjuku.lg.jp/seikatsu/file06_00001.html,72,相談,生活一般の相談,消費生活,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
多重債務特別相談,新宿消費生活センター（相談室）,03-5273-3830,03-5273-3110,https://www.city.shinjuku.lg.jp/seikatsu/file06_00008.html,73,相談,生活一般の相談,消費生活,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
クレジット・サラ金相談（無料）,弁護士会新宿総合法律相談センター,03-6205-9531,"","",74,相談,生活一般の相談,消費生活,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
クレジット・サラ金、成年後見、訴訟に関する相談（無料）,東京司法書士会総合相談センター（四谷総合相談センター）,03-3353-9205,"","",75,相談,生活一般の相談,消費生活,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
クレジット・サラ金利用者の相談（債務整理、家計相談）,日本クレジットカウンセリング協会,0570-03-1640,"","",76,相談,生活一般の相談,消費生活,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
障害者・若年者等の就労に関する相談（若年者の就労に関する相談）,新宿区勤労者・仕事支援センター,03-3200-3311,03-3208-3100,https://www.city.shinjuku.lg.jp/seikatsu/shohi01_002319.html,77,相談,生活一般の相談,仕事,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
障害者・若年者等の就労に関する相談（障害者の就労に関する相談）,新宿区勤労者・仕事支援センター,03-3200-3316,03-3208-3100,https://www.city.shinjuku.lg.jp/seikatsu/shohi01_002319.html,78,相談,生活一般の相談,仕事,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
障害者・若年者等の就労に関する相談（その他の就労に関する相談）,新宿区勤労者・仕事支援センター,03-3200-3412,03-3208-3100,https://www.city.shinjuku.lg.jp/seikatsu/shohi01_002319.html,79,相談,生活一般の相談,仕事,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
内職相談,新宿区勤労者・仕事支援センター,03-3200-3412,03-3208-3100,"",80,相談,生活一般の相談,仕事,"","",http://www.city.shinjuku.lg.jp/shisetsu/map11-11.html,http://statdb.nstac.go.jp/lod/sac/C13104
商工相談,産業振興課産業振興係,03-3344-0702,03-3344-0221,https://www.city.shinjuku.lg.jp/jigyo/file04_05_00003.html,81,相談,生活一般の相談,仕事,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
ビジネス情報支援相談（中央図書館）,中央図書館,03-3364-1421,03-3208-2303,https://www.library.shinjuku.tokyo.jp/business/bijiness-soudan.html,82,相談,生活一般の相談,仕事,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
ビジネス情報支援相談（角筈図書館）,角筈図書館,03-5371-0010,03-5371-0029,https://www.library.shinjuku.tokyo.jp/business/bijiness-soudan.html,83,相談,生活一般の相談,仕事,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
税務相談（要予約）,税務課税務係,03-5273-4135,03-3209-1460,https://www.city.shinjuku.lg.jp/hoken/file04_06_00001.html,84,相談,生活一般の相談,税金・保険料,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
国民健康保険料の休日納付相談,医療保険年金課納付推進係,03-5273-4158,03-3209-1436,https://www.city.shinjuku.lg.jp/hoken/hoken03_001006.html,85,相談,生活一般の相談,税金・保険料,"","",特別な事情により保険料の納付が困難な方について、納付相談を行っています。,http://statdb.nstac.go.jp/lod/sac/C13104
後期高齢者医療保険料の納付相談,高齢者医療担当課高齢者医療係,03-5273-4562,03-3203-6083,"",86,相談,生活一般の相談,税金・保険料,"","",特別な事情により保険料の納付が困難な方について、納付相談を行っています。,http://statdb.nstac.go.jp/lod/sac/C13104
住宅相談　住み替え相談（要予約）,住宅課居住支援係,03-5273-3567,03-3204-2386,https://www.city.shinjuku.lg.jp/seikatsu/file07_02_00011.html,87,相談,生活一般の相談,住まい,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
住宅相談　不動産取引相談（要予約）,住宅課居住支援係,03-5273-3567,03-3204-2386,https://www.city.shinjuku.lg.jp/seikatsu/file07_02_00011.html,88,相談,生活一般の相談,住まい,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
住宅資金融資相談（要予約）,住宅課居住支援係,03-5273-3567,03-3204-2386,https://www.city.shinjuku.lg.jp/seikatsu/jutaku01_001053.html,89,相談,生活一般の相談,住まい,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
マンション管理相談（要予約）,住宅課居住支援係,03-5273-3567,03-3204-2386,https://www.city.shinjuku.lg.jp/seikatsu/file07_02_00012.html,90,相談,生活一般の相談,住まい,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
空家等無料相談会（要予約）,建築調整課,03-5273-3107,03-3209-9227,https://www.city.shinjuku.lg.jp/anzen/kenchikuc01_002046.html,91,相談,生活一般の相談,住まい,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
不動産登記無料相談,東京司法書士会新宿支部,03-3369-0838,"","",92,相談,生活一般の相談,住まい,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
不動産登記無料相談,東京土地家屋調査士会新宿支部,03-3364-6510,"","",93,相談,生活一般の相談,住まい,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
建築紛争相談,建築調整課,03-5273-3544,03-3209-9227,https://www.city.shinjuku.lg.jp/seikatsu/file18_04_00001.html,94,相談,生活一般の相談,住まい,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
建築相談,一般社団法人東京都建築士事務所協会,03-3203-2601,03-3203-2602,"",95,相談,生活一般の相談,建築相談,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
安全安心・建築なんでも相談会,建築指導課,03-5273-3732,03-3209-9227,https://www.city.shinjuku.lg.jp/seikatsu/index18_01.html,96,相談,生活一般の相談,建築相談,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
まちづくりの相談（まちづくり長期計画（都市マスタープラン））,都市計画課都市計画係,03-5273-3527,03-3209-9227,https://www.city.shinjuku.lg.jp/kusei/index29.html,97,相談,生活一般の相談,まちづくり・環境,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
まちづくりの相談（都市計画の決定および内容）,都市計画課都市計画係,03-5273-3527,03-3209-9227,https://www.city.shinjuku.lg.jp/kusei/index13.html,98,相談,生活一般の相談,まちづくり・環境,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
まちづくりの相談（用途地域等）,都市計画課都市計画係,03-5273-3571,03-3209-9227,https://www.city.shinjuku.lg.jp/kusei/index13_08.html,99,相談,生活一般の相談,まちづくり・環境,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
まちづくりの相談（都市施設（道路・河川等）・交通施設・都市計画道路等）,都市計画課都市施設係,03-5273-3547,03-3209-9227,https://www.city.shinjuku.lg.jp/kusei/index35.html,100,相談,生活一般の相談,まちづくり・環境,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
まちづくりの相談（地価公示・東京都基準地価格）,防災都市づくり課,03-5273-3593,03-3209-9227,https://www.city.shinjuku.lg.jp/kusei/index13_02.html,101,相談,生活一般の相談,まちづくり・環境,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
まちづくりの相談（市街地再開発事業）,防災都市づくり課,03-5273-3844,03-3209-9227,https://www.city.shinjuku.lg.jp/kusei/index13_05.html,102,相談,生活一般の相談,まちづくり・環境,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
まちづくりの相談（地区計画、地区ごとのまちづくり）,景観・まちづくり課,03-5273-3569,"",https://www.city.shinjuku.lg.jp/kusei/index13_12.html,103,相談,生活一般の相談,まちづくり・環境,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
まちづくりの相談（建築協定）,景観・まちづくり課,03-5273-3569,"",https://www.city.shinjuku.lg.jp/kusei/keikan01_001058.html,104,相談,生活一般の相談,まちづくり・環境,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
まちづくりの相談（新宿駅周辺の基盤整備（駅前広場、都市計画駐車場等））,新宿駅周辺基盤整備担当課,03-5273-4164,"","",105,相談,生活一般の相談,まちづくり・環境,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
道路（区道）についての相談,道路課工事調整係,03-5273-3579,03-3209-5595,https://www.city.shinjuku.lg.jp/seikatsu/index17.html,106,相談,生活一般の相談,まちづくり・環境,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
道路（都道）についての相談,東京都第三建設事務所,03-3387-5132,"","",107,相談,生活一般の相談,まちづくり・環境,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
道路（国道）についての相談,国土交通省　東京国道事務所代々木出張所,03-3374-9451,03-3299-8386,"",108,相談,生活一般の相談,まちづくり・環境,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
区立公園・児童遊園の相談,みどり公園課公園管理係,03-5273-3914,03-3209-5595,https://www.city.shinjuku.lg.jp/soshiki/380700midori.html,109,相談,生活一般の相談,まちづくり・環境,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
公園等（戸山公園）についての相談,都立戸山公園サービスセンター,03-3200-1702,"","",110,相談,生活一般の相談,まちづくり・環境,"","",https://www.tokyo-park.or.jp/park/format/index002.html,http://statdb.nstac.go.jp/lod/sac/C13104
公園等（明治神宮外苑）についての相談,明治神宮外苑事務所,03-3401-0312,"","",111,相談,生活一般の相談,まちづくり・環境,"","",http://www.meijijingugaien.jp/,http://statdb.nstac.go.jp/lod/sac/C13104
公園等（新宿御苑）についての相談,新宿御苑サービスセンター,03-3350-0151,"","",112,相談,生活一般の相談,まちづくり・環境,"","",https://fng.or.jp/shinjuku/,http://statdb.nstac.go.jp/lod/sac/C13104
みどりに関する相談,みどり公園課みどりの係,03-5273-3924,03-3209-5595,https://www.city.shinjuku.lg.jp/seikatsu/index14_12.html,113,相談,生活一般の相談,まちづくり・環境,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
環境学習相談,環境学習情報センター,03-3348-6277,03-3344-4434,"",114,相談,生活一般の相談,まちづくり・環境,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
公害についての相談,環境対策課公害対策係,03-5273-3764,03-5273-4070,https://www.city.shinjuku.lg.jp/seikatsu/file10_07_00004.html,115,相談,生活一般の相談,まちづくり・環境,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
生涯学習（生涯学習・スポーツ教室全般のさまざまな相談）,新宿未来創造財団「レガス新宿」,03-3232-7701,03-3209-1833,"",116,相談,生活一般の相談,その他,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
家出人の相談,警視庁行方不明者電話相談室,03-3532-0098,"","",117,相談,生活一般の相談,その他,"","",受付時間：月〜金曜日午前8時30分〜午後5時15分,http://statdb.nstac.go.jp/lod/sac/C13104
行方不明の人を捜す相談,警視庁身元不明相談室,03-3592-2440,"","",118,相談,生活一般の相談,その他,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
渡航相談（パスポート）,東京都パスポート案内センター,03-5908-0400,"","",119,相談,生活一般の相談,その他,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
落とし物,警視庁遺失物センター,0570-550-142,"","",120,相談,生活一般の相談,その他,"","","",http://statdb.nstac.go.jp/lod/sac/C13104
り災証明書の交付（火災）,四谷消防署,03-3357-0119,03-3356-8510,https://www.city.shinjuku.lg.jp/seikatsu/chiiki01_001015.html,121,相談,災害（火災・水害・震災）時の相談・総合案内,"","","","",http://statdb.nstac.go.jp/lod/sac/C13104
