名称,名称(英語),カテゴリ,ジャンル,所在地,持ち主,認定1,認定日1,認定2,認定日2,緯度,経度,説明(日本語),説明(英語),画像URL,サムネイル画像URL,ホームページアドレス
西迎寺の阿弥陀如来座像,"",指定有形文化財,彫刻,東京都新宿区舟町13,西迎寺,"",1984-07-06,"","",35.69116,139.72099,"定印を結び、蓮華座上に座る丈六の銅造阿弥陀如来座像である。かつては光背を伴っていたが、現在は失われている。
正面の蓮弁には銘文がある。それによると、この像は元禄7年12月10日に完成されたもので、大檀越の旗本伏見勘七郎為智の寄進により、西迎寺第九世住職・信誉超入上人が造立し、作者は元禄期に活躍した鋳物師・椎名伊予守重廣と兵庫重長であることがわかる。 ","","","",""
中井出世不動尊像,"",指定有形文化財,彫刻,東京都新宿区中落合四丁目18-16（中井出世不動堂）,円空作中井出世不動尊保存講　,"",1984-07-06,"","",35.71915,139.68327,"本尊不動明王と眷属の矜羯羅、制咤迦の二童子で、江戸時代に全国を旅して12万体に及ぶ鉈彫りの仏像を彫ったという天台宗の僧侶円空（1632 〜 95）の作である。
製作年は不明であるが台座裏の銘文から、3体とも尾張国一宮（現愛知県一宮市）の真清田神社の神宮寺（別当寺）般若院に安置されていたが、何らかの理由で、二童子は文化13年（1816）、明王は文政2年（1819）に中井の地に移されたことがわかる。二童子の供をして江戸に下った人物や台座を寄進した人物の名も記されており、それにより台座は中井に移されてから製作されたことがわかる。光背や彩色も後補であろう。
中井では不動院に安置されていたが、明治維新後廃寺となったため村人の手で守られ、大正3年（1914）に不動堂を建て、一心出世不動として信仰された。現在は円空作中井出世不動尊保存講により管理され、昭和44年（1969）には不動堂が再興された。","","","",""
花園神社の唐獅子像,"",指定有形文化財,彫刻,東京都新宿区新宿五丁目17-3,花園神社　,"",1984-11-02,"","",35.69283,139.70569,"文政4年に内藤新宿の氏子たちによって寄進された、区内で唯一の銅造の唐獅子で、靖国通り側の参道に雄（阿形）・雌（吽形）一対で置かれている。
頭は4部分（上頭部・顔・後頭部・髪）に分けて鋳造し、体も胴から後足、前足、尾の3部分をそれぞれ左右に分けて鋳造したものを接合している。
石造の台座は、上段にしめ縄の浮き彫りが表現され、下段には銅板に銘文が刻まれている。それによるとこの唐獅子は、彫物師佐脇主馬の製作した原型により、鋳物師初代村田整珉が鋳造したもので、台座は石工本橋吉兵衛の製作である。また発願者である内藤新宿下町の吉田屋善三郎・尾張屋林蔵・近江屋吉右衛門、援助者の若狭屋太兵衛・東力甚蔵、世話人の嶋名屋五郎兵衛らの名前も記されている。","","","",""
太宗寺の三日月不動像,"",指定有形文化財,彫刻,東京都新宿区新宿二丁目9-2,太宗寺,"",1984-11-02,"","",35.68982,139.70921,"右手に三鈷剣、左手に羂索を持ち、石製の台座上に立つ銅造の不動明王像である。
額の上部に銀製の三日月を戴くため、通称三日月不動と呼ばれ、像の上の天井・屋根には天窓が設けられ、この銀製の三日月に日光（あるいは月光）が射し、輝くよう工夫されている。眼と牙は、本体とは異なる銅合金（赤銅）で造られたものをはめ込んでおり、表情は厳しい中にも端正で落ち着いた趣がある。腕や胸の盛り上がる筋肉も、丸みを帯びたなめらかな曲線を示し、優しさと格調の高さが感じられる。
江戸時代の作とされるが、製作年代・作者は不明である。寺伝によると、この像は高尾山薬王院に奉納するため甲州道中を運搬中、休息のため立ち寄った太宗寺境内で動かなくなったため、不動堂を建立し安置したと伝えられる。","","","",""
熊野神社の水鉢,"",指定有形文化財,工芸品,東京都新宿区西新宿二丁目11-2,熊野神社　,"",1984-11-02,"","",35.69091,139.6882,"文政3年（1820）に淀橋の氏子により奉納された水鉢で、江戸時代後期の狂歌師大田南畝（蜀山人）（1749〜1823）の書による「熊野三山十二叢祠 洋洋神徳 監於斯池 大田覃（落款）」という銘文が刻まれている。
熊野神社は、江戸時代には熊野十二所権現社と呼ばれ、幕府による社殿の整備や修復も行われた。享保年間（1716〜1735）には八代将軍徳川吉宗（1684〜1751）が鷹狩の機会に参詣したと伝えられ、池や滝を擁した周辺の風致は江戸西郊の景勝地として知られた。文人墨客も多数訪れたが、南畝が揮毫したこの水鉢も、そのことを示す文化財である。文政3年（1820）の熊野神社の祭礼には、十二社の大池で角乗り・筏乗りが出るなど盛大なものであったという。この水鉢もその際に奉納された可能性がある。","","","",""
亮朝院の金剛力士石像,"",指定有形文化財,彫刻,東京都新宿区西早稲田三丁目16-24,亮朝院,"",1984-12-07,"","",35.71174,139.71346,"宝永2年（1705）に奉納された珍しい石造の金剛力士像で、区内では唯一のものである。
境内の七面堂の前に阿吽一対で安置されており、阿形は開口して左の拳を振り上げ、吽形は閉口して右の掌を開く。ともに磐座上に立ち、入って来る者を威圧する。全体にめりはりのある見事な彫刻で、石像ではあるが、胸の筋肉の盛り上がりや堂々たる腹、しめ縄状の帯や衣の模様など細かに表現されている。
像の背面には「宝永二乙酉歳三月廿九日 造主施主 尾州住大工如右衛門日匡代」という銘文が刻まれており、奉納年紀と奉納者の名がわかる。","","","",""
誓閑寺の梵鐘,"",指定有形文化財,工芸品,東京都新宿区喜久井町61,誓閑寺,"",1984-12-07,"","",35.70485,139.71944,"天和2年（1682）に近在の住民の寄進により鋳造された区内最古の梵鐘である。
梵鐘の表面は4つに区画され銘文が刻まれている。それによるとこの鐘は、誓閑寺の中興・本誉秋風和尚が発願し天和2年2月5日に完成したもので、近在の住民約300名が寄進し、鋳物師西嶋伊賀守藤原兼長により鋳造されている。
銘文の中で、第一の区画に刻まれている「武州荏原郡牛込馬場下」の記述は、来迎寺の庚申塔にも見られるもので、豊島郡であったはずのこのあたりが荏原郡と記されている資料である。","","","",""
善国寺の毘沙門天像,"",指定有形文化財,彫刻,東京都新宿区神楽坂五丁目36,善国寺,"",1985-07-05,"","",35.70146,139.73917,"右手に鉾、左手に宝塔を持ち磐座上に立つ毘沙門天の立像である。「神楽坂の毘沙門天」として江戸時代より信仰を集めた像で、明治〜大正時代に「山の手銀座」と呼ばれた神楽坂の繁栄は、善国寺毘沙門天の門前町として確立されたものであり、毎月寅の日（のちには午の日も）の縁日は賑わった。また、芝金杉の正伝寺、浅草吉野町の正法寺とともに三毘沙門と称せられた。
寺伝によると、この像は善国寺開山の日惺上人（池上本門寺第十二代貫主）が本門寺に入山する際に、関白二条昭実より贈られたものとされ、文禄4年（1595）に善国寺が馬喰町馬場に創建された際、日惺上人により安置されたと伝えられる。","","","",""
経王寺の大黒天像,"",指定有形文化財,彫刻,東京都新宿区原町一丁目14,経王寺,"",1985-07-05,"","",35.69906,139.72548,"大黒頭巾をかぶり、右手に小槌を、左手には肩に背負った大袋を持ち、俵上に立つ大黒天像である。通常の姿であるが、普通は円満な微笑面が多いのに対し、険しい表情をしている点が珍しい。
寺伝によると、この像は日蓮上人の弟子でのちに日蓮肖像彫刻の名手として多くの作品を残した日法上人（1259〜1341）の作と伝えられ、もとは身延山久遠寺にあったが、慶長3年（1598）現在地に堂を建て移したものという。寛文10年（1670）、寛政4年（1792）と度重なる火災にみまわれたが、いずれも焼け残り、「火伏せ大黒」と称される。また、新宿山ノ手七福神としても信仰を集めている。","","","",""
法善寺の七面明神像,"",指定有形文化財,彫刻,東京都新宿区新宿六丁目20-6,法善寺,"",1985-08-02,"","",35.69754,139.71193,"唐風の衣装に宝冠をかぶり、左手に火炎如意宝珠、右手に鍵を持ち磐座上に立つ七面明神（天女）像である。光背は火炎宝輪で、厨子に安置されている。顔の表情は端正で品があり、全身に施された彩色は極めて細緻なもので、保存状況も良好である。
日護上人（1580〜1649）の作と伝えられ、万治年間（1658〜61）に駿河国大久保から移され、江戸で最初に祀られた七面明神像であるという。また異説として、法善寺の開山日相上人が、鳥取藩主池田伯耆守綱清の依頼により、延宝年間（1673〜81）に大久保に七面堂を建てて安置し、貞享年間（1684〜88）になり法善寺が大森から移ってきたという。
七面明神は、日蓮宗総本山身延山久遠寺の北にそびえる七面山に住む天女で、日蓮上人の説法によって救われたため、龍に姿を変えて身延山を守護したという。","","","",""
布袋像の水鉢,"",指定有形文化財,工芸品,東京都新宿区西早稲田二丁目1-11,穴八幡宮,"",1985-10-04,"","",35.70717,139.71747,"慶安2年（1649）に造立された区内で最古の手水鉢で、左膝を立てた布袋尊が右脇に円形の水鉢を抱えた大変珍しいものである。
水鉢には銘文が刻まれているが摩滅が著しく、年紀以外は判読が難しい。社伝によると、この水鉢は造立当初は江戸城吹上御苑の庭園に置かれていたが、間もなく穴八幡宮の社殿が完成したため、三代将軍徳川家光（1604〜1651）により奉納されたものだと伝えられる。
なお、劣化防止の観点から、現在、本水鉢は別途保存されており（非公開）、参拝者は新しい水鉢を拝観できる。","","","",""
須賀神社の三十六歌仙絵,"",指定有形文化財,絵画,東京都新宿区須賀町5-6,須賀神社　,"",1986-03-07,"","",35.68541,139.72229,"四谷の鎮守須賀神社に伝来する三十六歌仙絵で、三十六歌仙を一人一枚の絵に仕立てている。現在は額に入れられ、社殿内に掲げられている。
当時画家として著名であった四谷大番町（大京町）に住む旗本大岡雲峰（1764〜1848）の絵と、和歌や書画で人気を博した公卿千種有功（1797〜 1854）の書により、天保7年に完成、奉納されたもので、四谷の総鎮守として信仰を集めた須賀神社の隆盛を物語る文化財である。","","","",""
馬水槽,"",指定有形文化財,工芸品,東京都新宿区新宿三丁目38,東日本旅客鉄道株式会社,"",1986-06-06,"","",35.69209,139.70121,"馬水槽は、馬車が全盛であった19世紀のヨーロッパで、町の辻々に設けられ、馬や犬猫などの水飲み場として使用された。
新宿駅東口広場に建つこの馬水槽は、イギリス・ロンドンにあったもので、東京の上水道を整備した土木技術者で東京帝国大学教授をつとめた中島鋭司（1858〜1925）が、明治34年（1901）から翌年にかけてヨーロッパを視察した際に、ロンドン水槽協会から寄贈されたものである。その後海路日本に運ばれ、明治39年（1906）に東京市役所（現東京国際フォーラム）向かいに設置された。大正7年（1918）には麹町の東京市水道局の前に移されたが、この頃までは実際に給水され、御者が馬車から馬を外して休息させる姿が見られたという。しかし、関東大震災と第二次世界大戦で破損したため、昭和32年（1957）に淀橋浄水場（現新宿副都心地区）に移して保存され、さらに昭和39年（1964）9月に新宿駅東口ステーションビル（現ルミネエスト）が完成した際に、モニュメント「みんなの泉」として現在の場所に設置された。
正面の大きな水槽は馬用で、獅子頭の蛇口から給水される。この水槽の下には犬猫用の小さな水槽があり、また反対側には人間用の水飲み場も設けられている。","","","",""
天龍寺の時の鐘,"",指定有形文化財,工芸品,東京都新宿区新宿四丁目3-19,天龍寺,"",1986-08-01,"","",35.68887,139.70406,"明和4 年に、「やぐら時計」とともに常陸笠間藩主牧野備後守貞長により寄進された梵鐘で、江戸の町に時刻を告げる「時の鐘」として使用された。
多摩郡谷保村（現国立市）の鋳物師・関孫兵衛種久の作で、天龍寺には孫兵衛の発行した領収書（代金56 両1 分、銀13 刄）も残っている。
梵鐘の表面には銘文が刻まれている。それによるとこの鐘は、元禄13年（1700）に牧野備後守成貞が寄進した初代、寛保2 年（1742）に寄進された二代目に続く三代目の鐘で、すべて「時の鐘」として使用されていたことがわかる。このあたりは江戸市中の西の端にあたり、武士が登城する際に時間がかかるため、明け六つの鐘を少し早めについたといわれ、また内藤新宿の遊郭で遊んだ人々を送り出す「追い出しの鐘」としても親しまれた。","","","",""
天龍寺のやぐら時計,"",指定有形文化財,工芸品,東京都新宿区新宿四丁目3-19,天龍寺,"",1986-11-07,"","",35.68887,139.70406,"箱型の本体の上に、時を知らせるために打つ鐘を取り付けたいわゆるオランダ時計で、櫓やぐらにのせてあるため「やぐら時計」と呼ばれている。常陸笠間藩主牧野備後守貞長の寄進によるもので、同時に奉納した梵鐘（時の鐘）は、この時計をもとについたという。
時計本体は鉄製の箱で、鈴柱に椀を伏せたような形の鐘が取り付けられ、蝶型の止め金具で止められている。棒天府は一挺で、横腕と重りは失われている。文字盤は24時間制でローマ数字が用いられているが、これは明治6年（1873）の改暦後に付け替えられたものと思われる。文字盤の中央には牧野家の三つ柏紋が付いており、柏の葉の一端が針となっている（24 時間制のため針は1 本）。本体の下からは、動力用・鐘用の重りが2個ずつ紐で下げられており、そのため高さ１ｍほどの櫓にのせてある。","","","",""
大隈重信銅像,"",指定有形文化財,彫刻,東京都新宿区西早稲田一丁目6,早稲田大学,"",1987-03-12,"","",35.70923,139.71909,"早稲田大学の前身東京専門学校の創立者で、早稲田大学の初代総長をつとめた大隈重信（1839〜1922）の銅像で、早稲田大学総長のガウンを着た晩年の大隈を表現している。
早稲田大学創立50周年を記念して、昭和7年10月17日に落成したもので、作者は大隈とも親しかった近代彫刻の第一人者朝倉文夫（1883〜1964）で、原型が台東区谷中の朝倉彫塑館に保管されている。なお、朝倉はこのほかにも2度にわたり大隈重信像を製作している。大正5年（1916）作の芝公園の像と、昭和13年（1938）製作の国会議事堂中央広場の像である。","","","",""
長善寺（笹寺）のめのう観音像,"",指定有形文化財,彫刻,東京都新宿区四谷四丁目4,長善寺（笹寺）,"",1987-06-05,"","",35.68661,139.71782,"右手で玉を、左手で蓮華を持ち、磐座上に座る観音菩薩像である。赤めのうを材料としている点がきわめて珍しく、通称めのう観音と呼ばれている。
小さな宝冠や像と一体の磐座、前後左右数条に分かれた毛髪の表現など、わずか5㎝たらずの小像ながら細密な仕上がりである。容貌はまぶたや耳などに厚みがあり、豊麗で柔和な表情の中にどこか大陸風の印象も受け、明代の中国で製作された可能性も考えられる。
台座は、像と一体の磐座を木製の蓮華座にはめ込み、さらに木製の宝形屋根付の台座に収めている。光背は火炎光背で、昇り龍・下り龍が透かし彫りされている。
寺伝によるとこの像は、二代将軍徳川秀忠（1579〜1632）の継室崇源院（江）（1573〜1626）の念持仏（秀忠自身の念持仏ともいわれる）で、秀忠とゆかりのある長善寺に寄進されたと伝えられる。長善寺の通称「笹寺」は、鷹狩りの途中休息した秀忠が、熊笹が繁る様子を見て命名したと伝えられる。","","","",""
鬼王神社の水鉢,"",指定有形文化財,彫刻,東京都新宿区歌舞伎町二丁目17-5　,稲荷鬼王神社,"",1988-08-05,"","",35.69778,139.70526,"しゃがみこんだ邪鬼の頭上に手水鉢をのせた珍しい水鉢である。製作時期・作者については不明であるが、江戸時代後半のものと思われる。
水鉢の左脇には由来を記した石碑が建っており、この水鉢にまつわる伝説を紹介している。それによるとこの水鉢は、文政年間（1818〜29）より幕臣加賀美某の屋敷内にあったが、毎夜水を浴びるような音がしたので、ある夜、主人が刀で斬りつけた。その後、家人に病気災難が相次いだため、天保4年（1833）鬼王神社に奉納したという。
水鉢を支える邪鬼の肩口にはこの時の刀傷があり、これに水を注いで祈願すると、熱病や子どもの夜泣きが治るといわれ、信仰されたという。","","","",""
聖徳太子画像,"",指定有形文化財,絵画,東京都新宿区四谷三栄町12-16（新宿歴史博物館）,新宿区,"",1990-03-02,"","",35.69006,139.72568,"四谷左官組合の太子講に伝来した聖徳太子の画像で、現在は新宿区に寄贈され、新宿歴史博物館で保管されている。
絵柄は、髪をミズラに結い、柄香炉を持って立つ太子孝養像（太子16 歳の時、父用明天皇を看病する姿を表現したとされる）である。製作年代は不明であるが、裏書に宝暦10年（1760）5月、安政3年（1856）10月22日、昭和9年（1934）2月、同38年（1963）4月の4回にわたる修理年銘と講中の人名が墨書されており、これにより少なくとも江戸時代前半には製作されていたことがわかる。
太子信仰は中世より浄土真宗信徒の間で広まり、江戸時代には庶民、特に大工・左官などの職人の間で信仰され、同業者を中心に太子講が数多く結ばれた。四谷左官組合もその流れをくむものだったが、現在は解散している。","","","",""
太宗寺の観無量寿経曼荼羅,"",指定有形文化財,絵画,東京都新宿区新宿二丁目9-2,太宗寺,"",1990-06-01,"","",35.68982,139.70921,"絵柄は、中央の阿弥陀三尊を中心に、諸尊を配した西方極楽浄土の様子を描いたものである。画像の左右及び下部は細かく区画され、向かって右辺には、観無量寿経にもとづく阿弥陀如来の様々な思想が13景にわたり描かれ（定善義）、左辺には阿闍世王（インドの王）の父王幽閉と、これを悲しんだ皇后が阿弥陀如来に帰依するまでの話が9景にわたり描かれている（序分義）。また下辺は、中央に当麻曼荼羅に記された縁起（天平宝字7 年〈763〉に中将姫の発願により蓮糸を用いて織られた）をそのまま写し、左右には上品上生から下品下生までの9つの来迎往生（死に際して極楽より迎えの来る様子）が描かれている。なお、画像の外側には当麻曼荼羅の表装を模写した描表装が描かれており、その周囲には大正3年（1914）に改めて表装がされている。製作年代・作者は不明であるが、江戸時代前半には製作されていたものと推定される。
太宗寺には、無量寿経曼荼羅・阿弥陀経曼荼羅もあわせ、浄土三部経にもとづく三幅の曼荼羅が揃っており、お盆の7月15･16日頃に開帳されている。","","","",""
