月日（曜日）,予報日数,予報発令地域,予報発令時間,注意報日数,注意報発令地域,注意報発令時間,学校情報日数,学校情報提供地域,学校情報提供時間,オキシダント最高濃度時刻,オキシダント最高濃度測定局,オキシダント最高濃度濃度ppm,被害届出数（人）
7月10日（土）,,,,,,,7,区西部,14:20～ 15:20,14,練馬区北町,0.119,
7月11日（日）,,,,,,,8,区西部,15:20～ 16:20,15,練馬区北町,0.105,
7月12日（月）,,,,,,,9,区北部,14:20～ 16:20,14,荒川区南千住,0.102,
7月17日（土）,,,,,,,10,多摩中部,13:20～ 14:20,13,狛江市中和泉,0.102,
7月19日（月）,,,,,,,11,区北部,15:20～16:20,15,足立区西新井,0.115,
7月19日（月）,,,,,,,11,区西部,15:20～17:20,15,杉並区久我山,0.127,
7月19日（月）,,,,,,,11,区南部,15:20～17:20,13,大田区東糀谷,0.119,
7月19日（月）,,,,2,多摩北部,14:20～ 16:20,11,多摩北部,14:20～17:20,15,武蔵野市関前,0.144,
7月19日（月）,,,,,,,11,多摩中部,13:20～ 16:20,13,調布市深大寺南町,0.137,
7月22日（木）,,,,,,,12,区西部,13:20～ 15:20,13,練馬区石神井町,0.104,
8月5日（木）,,,,,,,13,多摩北部,14:20～18:20,15,小平市小川町,0.122,
7月19日（月）,,,,,,,13,多摩中部,15:20～17:20,14,府中市四谷,0.118,
7月19日（月）,,,,,,,13,多摩西部,15:20～19:20,16,福生市本町,0.129,
7月19日（月）,,,,3,多摩南部,14:20～ 16:20,13,多摩南部,13:20～ 18:20,15,八王子市館町,0.127,
8月26日（木）,1,区東部,10:20～15:20,4,区東部,15:20～19:20,14,区東部,14:20～19:20,16,江戸川区鹿骨,0.143,
8月26日（木）,1,区北部,10:20～16:20,4,区北部,16:20～17:20,14,区北部,15:20～19:20,16,葛飾区鎌倉,0.149,
8月26日（木）,1,区西部,10:20～15:20,4,区西部,15:20～19:20,14,区西部,14:20～20:20,16,練馬区石神井町,0.168,
8月26日（木）,1,区南部,10:20～14:20,4,区南部,14:20～19:20,14,区南部,13:20～19:20,16,世田谷区世田谷,0.163,
8月26日（木）,1,多摩北部,10:20～16:20,4,多摩北部,16:20～18:20,14,多摩北部,15:20～19:20,16,武蔵野市関前,0.163,
8月26日（木）,1,多摩中部,10:20～15:20,4,多摩中部,15:20～18:20,14,多摩中部,14:20～ 19:20,15,狛江市中和泉,0.157,
8月26日（木）,1,多摩西部,10:20～18:20,,,,,,,16,福生市本町,0.102,
8月26日（木）,1,多摩南部,10:20～18:20,,,,14,多摩南部,14:20～ 18:20,15,町田市能ヶ谷,0.125,
8月27日（金）,2,多摩北部,10:20～18:20,,,,,,,21,武蔵野市関前,0.108,
8月27日（金）,2,多摩中部,10:20～18:20,,,,15,多摩中部,18:20～19:20,18,府中市四谷,0.104,
8月27日（金）,2,多摩西部,10:20～18:20,,,,15,多摩西部,18:20～21:20,18,福生市本町,0.113,
8月27日（金）,2,多摩南部,10:20～17:20,5,多摩南部,17:20～18:20,15,多摩南部,17:20～ 21:20,17,町田市金森,0.124,
8月28日（土）,3,区東部,10:20～15:20,,,,16,区東部,12:20～15:20,12,江戸川区春江町,0.12,
8月28日（土）,3,区北部,10:20～13:20,6,区北部,13:20～16:20,16,区北部,12:20～16:20,13,足立区西新井,0.134,
8月28日（土）,3,区西部,10:20～13:20,6,区西部,13:20～15:20,16,区西部,12:20～17:20,14,練馬区北町,0.13,
8月28日（土）,3,区南部,10:20～15:20,,,,16,区南部,12:20～15:20,13,渋谷区宇田川町,0.125,
8月28日（土）,3,多摩北部,10:20～15:20,,,,16,多摩北部,14:20～17:20,13,武蔵野市関前,0.118,
8月28日（土）,3,多摩中部,10:20～15:20,,,,16,多摩中部,13:20～ 16:20,13,狛江市中和泉,0.108,
8月28日（土）,3,多摩西部,10:20～15:20,,,,,,,15,青梅市東青梅,0.098,
8月28日（土）,3,多摩南部,10:20～15:20,,,,,,,13,町田市能ヶ谷,0.098,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
(2)???????? ?,,,,,,,,,,,,,
