"コース","番号","大見出し","施設名","小見出し","紹介文","電話","営業時間","休み","料金","備考","滞在時間","移動距離","所要時間","緯度","経度"
"B新橋","B-1","新橋は鉄道発祥の地。鉄道の歴史にふれながら、カレッタ汐留や虎ノ門ヒルズなど、都市型複合施設を巡るコース","新橋SL広場","新橋駅の待ち合わせのシンボル","静態保存されている新橋駅前のシンボルSL（C11形蒸気機関車）は、毎日12:00、15:00、18:00に汽笛を鳴らします。",,,,,,"5分","約120ｍ","約2分","35.66707321","139.7575887"
"B新橋","B-2","新橋は鉄道発祥の地。鉄道の歴史にふれながら、カレッタ汐留や虎ノ門ヒルズなど、都市型複合施設を巡るコース","旧新橋停車場 鉄道歴史展示室","鉄道発祥地汐留の歴史と鉄道の発展","明治5年（1872年）に開業した日本初で最初の鉄道ターミナル「新橋停車場」の駅舎を、当時と同じ場所に開業当時の外観で再現しています。展示室には発掘調査で出土した汽車土瓶などの遺物を常設展示するほか、当時の駅舎基礎石の遺構を見ることができます。","03-3572-1872","10:00～17:00（入館は閉館の15分前まで）","鉄道歴史展示室の休館日は、月曜日（祝日の場合は翌日休館）","無料","館内工事のため、バリアフリー設備（スロープ）は2024年4月頃まで利用できません。","30分","約440ｍ","約7分","35.66597749","139.7614919"
"B新橋","B-3","新橋は鉄道発祥の地。鉄道の歴史にふれながら、カレッタ汐留や虎ノ門ヒルズなど、都市型複合施設を巡るコース","カレッタ汐留","地上約200ｍから東京湾を一望","食、エンターテインメント、アートなどが一体となった都市型複合施設。46階の無料展望スペース「SKY VIEW」からは東京湾を一望できます。","03-6218-2100","ショップ：10:00～20:00　レストラン：11:00～23:00※店舗により異なる　",,,,"60分","約340ｍ","約6分","35.66454889","139.7624121"
"B新橋","B-4","新橋は鉄道発祥の地。鉄道の歴史にふれながら、カレッタ汐留や虎ノ門ヒルズなど、都市型複合施設を巡るコース","虎ノ門ヒルズ","国際水準の施設が集まる超高層複合タワー","イベントホール、ギャラリー、屋上ガーデンなどが複合する情報発信拠点「TOKYO NODE」、日本初進出のホテル「Andaz Tokyo」のほか、約170のショップや飲食店も大集合。施設と駅・バスターミナルはバリアフリーでつながっています。2023年10月には「虎ノ門ヒルズ ステーションタワー」が開業し、「グローバルビジネスセンター」としての機能が一層強化されました。","03-6406-6192",,,,,"60分","約1410ｍ","約24分","35.66677446","139.7495334"
"B新橋","B-5","新橋は鉄道発祥の地。鉄道の歴史にふれながら、カレッタ汐留や虎ノ門ヒルズなど、都市型複合施設を巡るコース","NHK放送博物館","世界最初の放送専門ミュージアム","「放送のふるさと」愛宕山に昭和31年（1956年）世界初の放送専門ミュージアムとして開館。平成28年（2016年）にリニューアルオープンし、臨場感あふれる8Kスーパーハイビジョンシアターや放送体験できるスタジオが好評です。","03-5400-6900","10:00～16:30","毎週月曜日（祝日の場合を除く）","無料",,"30分","約500ｍ","約8分","35.66377221","139.748313"
"B新橋","B-6","新橋は鉄道発祥の地。鉄道の歴史にふれながら、カレッタ汐留や虎ノ門ヒルズなど、都市型複合施設を巡るコース","愛宕神社","「出世の石段」で知られる神社","自然地形の山として23区最高峰の愛宕山（標高26m）の頂上に祀られ、江戸の防火の神様として多くの信仰を集めました。江戸で最も見晴らしの良い土地として、歌川広重などが版画の題材にもしています。","03-3431-0327",,,,,"20分","約140ｍ","約2分","35.66475574","139.7484704"
"B新橋","Goal","新橋は鉄道発祥の地。鉄道の歴史にふれながら、カレッタ汐留や虎ノ門ヒルズなど、都市型複合施設を巡るコース","東京メトロ日比谷線 神谷町駅4a（階段昇降機）",,,,,,,,,"約470ｍ","約8分","35.66344223","139.7453033"
"C麻布",,"麻布十番商店街を散策しながら、歴史と伝統ある麻布名所を巡るコース",,,,,,,,,,,,,
"C麻布","Start","麻布十番商店街を散策しながら、歴史と伝統ある麻布名所を巡るコース","都営大江戸線・東京メトロ南北線 麻布十番駅1番出口",,,,,,,,,,,"35.65394974","139.7367135"
"C麻布","C-1","麻布十番商店街を散策しながら、歴史と伝統ある麻布名所を巡るコース","パティオ十番・きみちゃん像","麻布十番を見守る女の子","楽しく、ほっとする微笑みの街・麻布十番にある多目的広場「パティオ十番」には、童謡「赤い靴」のモデルとなった女の子「きみちゃん」像があり、街ゆく親子を見守っています。",,,,,,"10分","約330ｍ","約6分","35.65518651","139.7349955"
"C麻布","C-2","麻布十番商店街を散策しながら、歴史と伝統ある麻布名所を巡るコース","麻布十番商店街","楽しく、ほっとする微笑みの街","伝統ある創業100年以上の老舗が何軒も建ち並び、どこか懐かしい雰囲気を漂わせながらも国際色豊かな商店街です。12カ国の大使館の協力で「ほほえみ」をテーマに作られた「微笑みのモニュメント」が点在し、アート散策もできます。","03-3451-5812",,,,,"40分",,,"35.65664958","139.7332673"
"C麻布","C-3","麻布十番商店街を散策しながら、歴史と伝統ある麻布名所を巡るコース","六本木けやき坂通り","季節の移り変わりを身近に感じる散歩道","約400ｍにおよぶ、六本木ヒルズのメインストリート。ゆるやかな坂道にけやき並木や花壇が四季折々の景観を創り出します。季節の移り変わりを身近に感じる散歩道として親しまれ、冬の時期には幻想的なイルミネーションが楽しめます。",,,,,,"15分","約920ｍ","約15分","35.65920228","139.730047"
"C麻布","C-4","麻布十番商店街を散策しながら、歴史と伝統ある麻布名所を巡るコース","スターバックス コーヒー 六本木 蔦屋書店","本とコーヒーが楽しめる寛ぎ空間","書籍や雑誌など幅広いジャンルを取り揃えた書店が併設され、本を試し読みしながらコーヒーを楽しむことができます。日本でも珍しい360度の円形カウンターのほか、けやき坂通り沿いの緑がくつろぎの時間を演出するオープンテラスも人気です。","03-5411-2667","7:00～22:30",,,,"30分",,,"35.65901515","139.7319299"
"C麻布","C-5","麻布十番商店街を散策しながら、歴史と伝統ある麻布名所を巡るコース","十番稲荷神社","カエルの親子が見守る神社","港七福神の「宝船」の巡拝所。神社にある鳥居の左右に七福神の宝船と火の災難から守ってくれるとされるガマがえるの親子の石像があります。","03-3583-6250","開門9:00～17:00",,,,"5分","約440ｍ","約7分","35.65703625","139.7350864"
"C麻布","Goal","麻布十番商店街を散策しながら、歴史と伝統ある麻布名所を巡るコース","都営大江戸線・東京メトロ南北線 麻布十番駅5番出口",,,,,,,,,"約220ｍ","約4分","35.65594485","139.7368794"
"D六本木",,"森美術館、国立新美術館、サントリー美術館からなる「六本木アート・トライアングル」などアートを巡るコース",,,,,,,,,,,,,
"D六本木","Start","森美術館、国立新美術館、サントリー美術館からなる「六本木アート・トライアングル」などアートを巡るコース","都営大江戸線・東京メトロ日比谷線 六本木駅 1c出口",,,,,,,,,,,"35.66167875","139.72953"
"D六本木","D-1","森美術館、国立新美術館、サントリー美術館からなる「六本木アート・トライアングル」などアートを巡るコース","六本木ヒルズ","東京のランドマーク","54階建ての「六本木ヒルズ森タワー」を中心とする「六本木ヒルズ」には、ショップ、レストラン、オフィス、ホテル、映画館、美術館、住宅の他、テレビ局（テレビ朝日）などさまざまな施設があります。森タワー52階にある海抜250m、360度ガラス張りの屋内展望台「東京シティビュー」からは、東京の街を一望できます。","03-6406-6000（六本木ヒルズ総合インフォメーション） ",,,,,"40分","約270ｍ","約5分","35.66064","139.729385"
"D六本木","D-2","森美術館、国立新美術館、サントリー美術館からなる「六本木アート・トライアングル」などアートを巡るコース","森美術館","夜遅くまで楽しめる現代美術館","六本木ヒルズ森タワー53階にある森美術館。現代美術を中心にさまざまなジャンルの展覧会を企画開催しています。22時まで（火曜のみ17時まで）開館しているのも魅力です。","03-5777-8600（ハローダイヤル）","10:00～22:00（火曜日は10:00～17:00）",,"入館料／展覧会により異なる",,"60分","約50ｍ","約1分","35.66030439","139.7292509"
"D六本木","D-3","森美術館、国立新美術館、サントリー美術館からなる「六本木アート・トライアングル」などアートを巡るコース","六本木けやき坂通り","季節の移り変わりを身近に感じる散歩道","約400ｍにおよぶ、六本木ヒルズのメインストリート。ゆるやかな坂道にけやき並木や花壇が四季折々の景観を創り出します。季節の移り変わりを身近に感じる散歩道として親しまれ、冬の時期には幻想的なイルミネーションが楽しめます。",,,,,,"15分","約120ｍ","約2分","35.65920228","139.730047"
"D六本木","D-4","森美術館、国立新美術館、サントリー美術館からなる「六本木アート・トライアングル」などアートを巡るコース","毛利庭園","大名屋敷の名残を感じる贅沢な庭園","面積4300m2の広大な敷地を誇る毛利庭園。平成15年（2003年）六本木ヒルズのオープンとともに現在の形に。江戸時代の大名屋敷の名残を感じる贅沢な庭園は、池、渓流のせせらぎ、四季折々に変化する木々や植物の表情を感じることができる回遊式の日本庭園です。","03-6406-6000　（六本木ヒルズ総合インフォメーション）",,,,,"10分","約590ｍ","約10分","35.6603837","139.7305737"
"D六本木","D-5","森美術館、国立新美術館、サントリー美術館からなる「六本木アート・トライアングル」などアートを巡るコース","国立新美術館","日本が世界に誇る「アートセンター」","日本で5館目の国立美術館として、平成19年（2007年）に開館。波のような曲線のガラスに覆われている美しい外観が特徴で、コレクションを持たずにアートセンターの役割を果たす、新しいタイプの美術館です。","050-5541-8600（ハローダイヤル）","10:00～18:00（最終入場17:30）※企画展会期中の金・土曜日は20:00（最終入場19:30）まで","毎週火曜日（祝日の場合、翌平日休館）","入館料は無料/観覧料は展覧会により異なる",,"60分","約1060ｍ","約18分","35.66501895","139.7264082"
"D六本木","D-6","森美術館、国立新美術館、サントリー美術館からなる「六本木アート・トライアングル」などアートを巡るコース","東京ミッドタウン","都内有数の高さを誇る複合ビル","地上54階、高さ248mの「ミッドタウン・タワー」は、東京都のみならず、日本でも有数の高さを誇る高層ビルです。「東京ミッドタウン」は、広大な緑地と6つの建物からなり、ショップ、レストラン、オフィス、ホテル、住宅、美術館など多様な施設から構成されています。","03-3475-3100",,,,,"40分","約520ｍ","約9分","35.66587136","139.7308263"
"D六本木","D-7","森美術館、国立新美術館、サントリー美術館からなる「六本木アート・トライアングル」などアートを巡るコース","サントリー美術館","「生活の中の美」をテーマとした企画展を開催","東京ミッドタウン ガレリア3階にあるサントリー美術館。国宝、重要文化財を含む約3000件を収蔵。日本美術を中心に、美術の普及・発展に向け企画展を開催しています。展覧会会期中の指定の木曜日に、呈茶席も体験できます（有料）。","03-3479-8600","10:00～18:00（金曜日・土曜日は20:00まで開館 4/17以降の夜間開館延長は金曜日のみ）","毎週火曜日 ※展示替えによる休館有り","入館料／一般・学生（高校生・大学生）料金は展覧会により異なる、中学生以下無料、障害者手帳提示で、本人及び介助の方1名様のみ入館無料 ",,"60分","約120ｍ","約2分","35.66643793","139.7304293"
"D六本木","D-8","森美術館、国立新美術館、サントリー美術館からなる「六本木アート・トライアングル」などアートを巡るコース","21_21 DESIGN SIGHT","デザインを通して世界を見る場所","三宅一生が創設し、安藤忠雄が建築を手がけたデザインの展示施設。日常生活や身近な物事をテーマにした企画展や多彩なワークショップを開催しています。","03-3475-2121","10:00 ～ 19:00（最終入館18:30）","毎週火曜日、展示替え期間","入館料／企画展により異なる。中学生以下無料、障害者手帳提示で本人及び付添い１名計２名まで無料　※開館時間・入場方法・入場料は変更となる可能性がございます",,"40分","約190ｍ","約3分","35.66752536","139.7303598"
"D六本木","D-9","森美術館、国立新美術館、サントリー美術館からなる「六本木アート・トライアングル」などアートを巡るコース","檜町公園","東京ミッドタウンに隣接する憩いの広場","平成19年（2007年）東京ミッドタウンの完成と同時に再整備された公園。江戸時代、長州藩毛利家の下屋敷の庭園跡で、日本庭園や遊具のある芝生広場が広がります。","03-5413-7015",,,,,"20分","約430ｍ","約7分","35.66686836","139.7330863"
"D六本木","Goal","森美術館、国立新美術館、サントリー美術館からなる「六本木アート・トライアングル」などアートを巡るコース","都営大江戸線・東京メトロ日比谷線 六本木駅 7番出口",,,,,,,,,"約460ｍ","約8分","35.66458073","139.7311154"
"E赤坂",,"赤坂氷川神社、豊川稲荷東京別院、東京ミッドタウン、赤坂サカスなど、伝統と現代が織りなす赤坂の魅力を探るコース",,,,,,,,,,,,,
"E赤坂","Start","赤坂氷川神社、豊川稲荷東京別院、東京ミッドタウン、赤坂サカスなど、伝統と現代が織りなす赤坂の魅力を探るコース","都営大江戸線六本木駅 8番出口（東京ミッドタウン直結）",,,,,,,,,,,"35.66486308","139.7307065"
"E赤坂","E-1","赤坂氷川神社、豊川稲荷東京別院、東京ミッドタウン、赤坂サカスなど、伝統と現代が織りなす赤坂の魅力を探るコース","東京ミッドタウン","日本有数の高さを誇る高層ビル","地上54階、高さ248mの「ミッドタウン・タワー」は、東京都内で最高層、かつ日本有数の高さを誇る高層ビルです。「東京ミッドタウン」は、広大な緑地と6つの建物からなり、ショップ、レストラン、オフィス、ホテル、住宅、美術館など多様な施設から構成されています。","03-3475-3100",,,,,"40分","約70ｍ","約2分","35.66587136","139.7308263"
"E赤坂","E-2","赤坂氷川神社、豊川稲荷東京別院、東京ミッドタウン、赤坂サカスなど、伝統と現代が織りなす赤坂の魅力を探るコース","檜町公園","大名屋敷の庭園跡","江戸時代は長州藩松平大膳大夫（毛利家）の下屋敷があったところで、庭園は「清水園」と呼ばれ、江戸の大名屋敷の中でも名園の一つとして知られていました。また、周りに檜の木が多かったことから毛利家の屋敷は「檜屋敷」とも呼ばれ、後の「檜町」という地名の由来となりました。","03-5413-7015",,,,,"20分","約220ｍ","約4分","35.66686836","139.7330863"
"E赤坂","E-3","赤坂氷川神社、豊川稲荷東京別院、東京ミッドタウン、赤坂サカスなど、伝統と現代が織りなす赤坂の魅力を探るコース","赤坂氷川神社","一千年以上の歴史がある神社","現社殿は江戸幕府八代将軍徳川吉宗が建立し、東京都の文化財に指定。元禄のころは浅野土佐守の屋敷がありました。秋に開催される赤坂氷川祭では、江戸の華やかなまつりの文化を今に伝える江戸型山車「赤坂氷川山車」が巡行し、山車の迫力と神輿の熱気が人々を魅了します。","03-3583-1935","9:00～17:00",,,,"10分","約330ｍ","約5分","35.66829322","139.7355751"
"E赤坂","E-4","赤坂氷川神社、豊川稲荷東京別院、東京ミッドタウン、赤坂サカスなど、伝統と現代が織りなす赤坂の魅力を探るコース","勝安房邸跡・旧氷川小学校跡地","幕末の偉人に出会う","勝海舟は、大政奉還に尽力した徳川幕府の家臣で、坂本龍馬や西郷隆盛に多大な影響を与えた人物。その邸宅跡は、後に氷川小学校となり、廃校となった現在は、区民のための複合施設として活用されています。平成28年（2016年）に勝海舟・坂本龍馬師弟像の銅像が建立されました。",,,,,,"5分","約300ｍ","約5分","35.66955706","139.7378968"
"E赤坂","E-5","赤坂氷川神社、豊川稲荷東京別院、東京ミッドタウン、赤坂サカスなど、伝統と現代が織りなす赤坂の魅力を探るコース","氷川公園","噴水とバラ園のある憩いの場","江戸時代前期、この公園付近には広島藩浅野家を本家とする浅野家の本・分家の屋敷があり、赤穂藩浅野内匠頭の屋敷もこの地域にありました。園内には、遊び場、バラ園、噴水などがあり、バラ園は毎年美しい花を咲かせます。見ごろは5月中旬と10月中旬です。",,,,,,"10分","約180ｍ","約3分","35.67091479","139.7371731"
"E赤坂","E-6","赤坂氷川神社、豊川稲荷東京別院、東京ミッドタウン、赤坂サカスなど、伝統と現代が織りなす赤坂の魅力を探るコース","赤坂サカス","赤坂の地に咲く新しい文化の街","赤坂Bizタワーを中心に、テレビ局（TBS放送センター）、シアター、ショップアンドレストラン、住宅棟が集まり、イベント、演劇、音楽、食などさまざまに楽しめる一大エンターテインメント複合施設です。",,,,,,"40分","約280ｍ","約5分","35.67262748","139.7354163"
"E赤坂","E-7","赤坂氷川神社、豊川稲荷東京別院、東京ミッドタウン、赤坂サカスなど、伝統と現代が織りなす赤坂の魅力を探るコース","豊川稲荷東京別院","豊川稲荷直轄の別院","愛知県豊川市にある豊川稲荷妙厳寺唯一の直轄別院で、大岡越前守忠相公が屋敷に「ダ枳尼眞天」（だきにしんてん）像を祀ったのが始まりです。木々に囲まれた境内に神殿が並んでいます。","03-3408-3414","6:00～20:00",,,,"20分","約1160ｍ","約19分","35.67649368","139.732851"
"E赤坂","E-8","赤坂氷川神社、豊川稲荷東京別院、東京ミッドタウン、赤坂サカスなど、伝統と現代が織りなす赤坂の魅力を探るコース","迎賓館赤坂離宮","優雅な佇まいの国宝","世界各国から国王、大統領、首相などの賓客をお迎えする国の迎賓施設。明治42年（1909年）に建設された日本唯一の「ネオ・バロック様式」の西洋風宮殿建築物であり、国宝に指定されています。平成28年（2016年）からは、接遇などに支障のない範囲で通年で一般公開されています。","03-5728-7788（テレフォンサービス）","10:00～17:00（最終受付：本館16:00、庭園16:30） ※詳細は迎賓館赤坂離宮ホームページ参照",,,,"60分","約1020ｍ","約17分","35.68041317","139.7287773"
"E赤坂","Goal","赤坂氷川神社、豊川稲荷東京別院、東京ミッドタウン、赤坂サカスなど、伝統と現代が織りなす赤坂の魅力を探るコース","JR四ツ谷駅 四ツ谷口",,,,,,,,,"約450ｍ","約8分","35.68615853","139.7300796"
"F青山",,"桜の名所、著名人が眠る霊園を抜け、青山の文化芸術にふれるコース",,,,,,,,,,,,,
"F青山","Start","桜の名所、著名人が眠る霊園を抜け、青山の文化芸術にふれるコース","東京メトロ千代田線乃木坂駅 2番出口 ",,,,,,,,,,,"35.66773584","139.7276248"
"F青山","F-1","桜の名所、著名人が眠る霊園を抜け、青山の文化芸術にふれるコース","青山霊園","桜並木が美しい日本初の公営墓地","明治初期に開園した都立霊園で、開設当時の豊かな自然がそのまま残っています。日本近代史における著名人の墓所もあり、歴史を学びながら散策ができます。380本以上ある桜が満開となる季節は多くの人が訪れます。","03-3401-3652",,,,,"40分","約660ｍ","約11分","35.66667679","139.7216481"
"F青山","F-2","桜の名所、著名人が眠る霊園を抜け、青山の文化芸術にふれるコース","斎藤茂吉居住の跡","斎藤茂吉の歌碑を訪ねる","歌人、精神科医であった斎藤茂吉の住居、青山脳病院があった地です。大正13年（1924年）に火事で全焼、再建後、昭和20年（1945年）の空襲で被災し全焼してしまい、現在はマンションが建っており、斎藤茂吉の歌碑が設置されています。",,,,,,"5分","約500ｍ","約8分","35.66417166","139.7173937"
"F青山","F-3","桜の名所、著名人が眠る霊園を抜け、青山の文化芸術にふれるコース","秋山庄太郎写真芸術館","「花」の写真を多く手がけた写真家","写真家秋山庄太郎氏の旧アトリエを改装した美術館です。館のコンセプトは「こころの休み時間」。写真作品や収集した絵画等を展示しています。秋山氏は「花」の写真家としても知られ、花をテーマにした作品展も開催されています。","03-3405-8578","11:00～16:30（入館受付16:00まで）","毎週月曜日・火曜日※展示替え、館内整備等による休館有り","入館料／一般500円、小・中学生300円、障害者手帳提示で、本人及び付添い1名計2名まで各300円","※資料整理ならびに感染症防止のため、館内での展示を見合わせています（令和5年11月時点）。","30分","約140ｍ","約2分","35.66341735","139.717618"
"F青山","F-4","桜の名所、著名人が眠る霊園を抜け、青山の文化芸術にふれるコース","根津美術館","日本・東洋の古美術品を展示","実業家で茶人の初代根津嘉一郎が収集した古美術品、茶器を中心に国宝や重要文化財をはじめとする所蔵品は7600件超を数えます。茶室のある庭園は自然の風趣を生かし、斜面の渓流を取り入れ、都内でも閑静な秀れた庭のひとつといわれています。","03-3400-2536","10:00～17:00（最終入館16:30）、オンライン日時指定予約制","毎週月曜日（祝日の場合は翌日閉館）、展示替え期間、年末年始","入館料／一般1300円（企画展）・1500円（特別展）、学生1000円（企画展）・1200円（特別展）、障害者手帳提示で200円引き、車いすの貸出は展示棟内のみ",,"60分","約130ｍ","約2分","35.6622599","139.717188"
"F青山","F-5","桜の名所、著名人が眠る霊園を抜け、青山の文化芸術にふれるコース","表参道","流行に敏感な人々でにぎわう","けやき並木がシンボルとなっており、明治神宮の参道として整備された歴史があります。参道としてのにぎわいは現在、流行の発信地として姿かたちを変え、連日多くの人でにぎわいます。",,,,,,"30分","約530ｍ","約9分","35.66575211","139.7114417"
"F青山","Goal","桜の名所、著名人が眠る霊園を抜け、青山の文化芸術にふれるコース","東京メトロ千代田線・半蔵門線・銀座線表参道駅 A1出口",,,,,,,,,"約160ｍ","約3分","35.66573467","139.7108462"
"G外苑",,"「絵になる」イチョウ並木を歩きながら、明治の歴史にふれるコース",,,,,,,,,,,,,
"G外苑","Start","「絵になる」イチョウ並木を歩きながら、明治の歴史にふれるコース","東京メトロ銀座線 外苑前駅 4a出口",,,,,,,,,,,"35.67108574","139.7188907"
"G外苑","G-1","「絵になる」イチョウ並木を歩きながら、明治の歴史にふれるコース","TEPIA先端技術館","先端技術を分かりやすく紹介する学びのミュージアム","より良い未来社会のために、様々な課題を解決に導く技術や製品を展示しています。3Dプリンタやレーザー加工機などを利用したものづくり体験講座や、プログラミングの体験ができるクリエイティブラボもあります。","問い合わせはHPをご覧ください","9:30～17:00","月曜日（祝日の場合は翌日閉館）","無料",,"40分","約470ｍ","約8分","35.67303805","139.7169595"
"G外苑","G-2","「絵になる」イチョウ並木を歩きながら、明治の歴史にふれるコース","神宮外苑いちょう並木","東京を代表する風景のひとつ","大正12年（1923年）の植栽以来、外苑のシンボルとなった並木道。300mの並木には、イチョウが青山通り側から樹高順に植えられ、聖徳記念絵画館へ続く道は遠近法の効果で見事な景観美を作っています。",,,,,,"30分","約580ｍ","約10分","35.67443707","139.7198241"
"G外苑","G-3","「絵になる」イチョウ並木を歩きながら、明治の歴史にふれるコース","御鷹の松","言い伝えられる松","江戸幕府三代将軍徳川家光が鷹狩りの途中、後に国立競技場の敷地となった境妙寺で休息していたところ、江戸城より愛鷹「遊女」が飛来し、境内前庭の松に止まったという言い伝えがあります。家光はこれを大いに喜び、この松を「遊女の松」と名付けたと言われて、後に「御鷹の松」と称されるようになり、昭和54年（1979年）に現在地に移設されました。",,,,,,"5分","約680ｍ","約11分","35.67775882","139.7170823"
"G外苑","G-4","「絵になる」イチョウ並木を歩きながら、明治の歴史にふれるコース","聖徳記念絵画館","神宮外苑のシンボル","明治天皇・昭憲皇太后の御聖徳を永く後世に伝えるために造営された、神宮外苑のシンボルです。館内には、明治天皇・昭憲皇太后の御事蹟を伝える壁画が展示されています。国の重要文化財指定。","03-3401-5179","平常10:00～16:30（最終入館16:00）、年末年始（12月29日～1月3日）10:00～16:00（最終入館15:30）    ","水曜日休館","施設維持協力金／500円",,"60分","約290ｍ","約5分","35.67875598","139.7176213"
"G外苑","G-5","「絵になる」イチョウ並木を歩きながら、明治の歴史にふれるコース","樺太日露国境天測標","レプリカの境界天測標石","日露戦争の後、明治38年（1905年）に締結された日露講和条約で、樺太の北緯50度以南は日本の領土となりましたが、その境界を標するために4基の天測標と17標の小標石が建てられました。現在、絵画館前庭西側にあるこの境界天測標石はレプリカで、外苑造営時に当時の樺太庁から奉納されたものです。",,,,,,"5分","約60ｍ","約1分","35.67810865","139.7171661"
"G外苑","G-6","「絵になる」イチョウ並木を歩きながら、明治の歴史にふれるコース","葬場殿趾","楠の大木が月日を感じさせる","葬場殿趾の石碑は、大正元年（1912年）9月13日、明治天皇の御大喪が旧青山練兵場で行われたとき、この場所に御轜車（ひつぎを乗せる車）が安置されたことから、外苑造営にあたり葬場殿を記念として建立されました。石壇の中央にある楠は、建立と同時に植樹された記念樹で、今では堂々とした見事な大木に成長し、石碑に優しい影をなげかけています。",,,,,,"5分","約130ｍ","約2分","35.6790523","139.7174872"
"G外苑","Goal","「絵になる」イチョウ並木を歩きながら、明治の歴史にふれるコース","都営大江戸線 国立競技場駅 A2出口",,,,,,,,,"約740ｍ","約12分","35.67971471","139.7143615"
"H高輪",,"「忠臣蔵」で知られる泉岳寺を中心に、高輪の歴史と水族館を巡るコース",,,,,,,,,,,,,
"H高輪","Start","「忠臣蔵」で知られる泉岳寺を中心に、高輪の歴史と水族館を巡るコース","JR・京浜急行線 品川駅 高輪口",,,,,,,,,,,"35.6287145","139.7380825"
