年月,西暦（年）,月,消費者物価指数/全国,消費者物価指数/東京都 区部,企業物価指数/総平均/全国, 注1) 消費動向指数/世帯消費動向指数（総世帯実質）/全国,生計分析調査（勤労者世帯）/実収入（円）/東京都,生計分析調査（勤労者世帯）/消費支出（円）/東京都,生計分析調査（勤労者世帯）/ 注3)平均消費性向（％）/東京都,生計分析調査（勤労者世帯）/ 注4)公共的料金負担率（％）/東京都, 注2) 実質賃金指数/調 査産業計/東京都
令和2年11月,2020,11,99.5,99.6,99.7,101.6,602763,356537,74.2,26.4,83.2
令和2年12月,2020,12,99.3,99.3,100.2,114.3,1289627,386212,37.4,23.4,180.6
令和3年1月,2021,1,99.8,99.7,100.8,96.3,579517,331469,71.4,27,80.4
令和3年2月,2021,2,99.8,99.8,101.3,91.2,634002,329529,64.1,29.1,79.2
令和3年3月,2021,3,99.9,99.8,102.3,110.9,624431,406160,82.6,26.9,87.9
令和3年4月,2021,4,99.1,99.1,103.2,106.9,655545,409567,76.6,33.8,85.5
令和3年5月,2021,5,99.4,99.5,103.9,99.9,686343,374567,70.5,23.5,83.2
令和3年6月,2021,6,99.5,99.5,104.6,95.4,1136362,306222,35.3,25.1,158
令和3年7月,2021,7,99.7,99.8,105.8,98,835448,347174,52.9,23.3,105.3
令和3年8月,2021,8,99.7,99.8,105.8,- ,- ,- ,- ,- ,- 
,,,,,,,,,,,
東京の物価／令和３年９月分,,,,,,,,,,,
参考表３  主　 要 　指 　標,,,,,,,,,,,
消費者物価指数・消費動向指数　2020年=100(令和２年=100）、企業物価指数・実質賃金指数　2015年=100(平成27年=100）,,,,,,,,,,,
注1)月々の１世帯当たりの世帯人員、世帯主の年齢階級別消費支出額を基準年の世帯分布で加重平均し、30.4日（365日÷12）の額に調整した後、これを消費者物価指数で除して実質化し、さらに平成27年平均を基準として指数化したもの。,,,,,,,,,,,
2)実質賃金指数(現金給与総額）（事業所規模30人以上）=名目賃金指数（現金給与総額）÷東京都区部消費者物価指数（持ち家の帰属家賃を除く総合）×100   2015年=100(平成27年=100）,,,,,,,,,,,
3)平均消費性向＝（消費支出÷可処分所得）×100（可処分所得＝実収入－租税公課等）,,,,,,,,,,,
4)公共的料金負担率＝（公共的料金÷消費支出）×100,,,,,,,,,,,
資料　 総務省統計局(1)／日本銀行(2)／東京都統計部(3),,,,,,,,,,,
