"業態","施設名称","施設所在地","施設方書","施設電話番号","許可番号","許可開始日"
"高度管理医療機器販売業・貸与業","株式会社コンフィデンス","東京都港区赤坂四丁目1番30号","AKABISHI-2ビル 6階","03-5114-3071","30港み生機器第172号","2019/1/18"
"高度管理医療機器販売業・貸与業","信彦佳景株式会社","東京都港区赤坂四丁目5番21号","バルミー赤坂",,"2港み生機器第187号","2021/4/8"
"高度管理医療機器販売業","クラシエル株式会社","東京都港区赤坂四丁目13番5号","赤坂オフィスハイツ","03-4500-7793","31港み生機器第29号","2019/5/31"
"高度管理医療機器販売業・貸与業","日本ベクトン・ディッキンソン株式会社","東京都港区赤坂四丁目15番1号","赤坂ガーデンシティ","03-6234-5450","30港み生機器第35号","2018/6/26"
"高度管理医療機器販売業・貸与業","株式会社オフィス３４６","東京都港区赤坂五丁目2番10号","グリーンパーク赤坂2701",,"31港み生機器第118号","2019/10/10"
"高度管理医療機器販売業・貸与業","キヤノンシステムアンドサポート株式会社　赤坂サービスセンター","東京都港区赤坂五丁目2番20号","赤坂パークビル1F","03-6229-6781","30港み生機器第176号","2019/2/15"
"高度管理医療機器販売業・貸与業","三菱ＨＣキャピタル株式会社　赤坂オフィス","東京都港区赤坂五丁目2番20号","赤坂パークビル","03-6893-4101","30港み生機器第60号","2018/7/17"
"高度管理医療機器販売業・貸与業","赤坂駅前薬局","東京都港区赤坂五丁目4番6号B1",,"03-3560-0123","31港み生機器第136号","2019/12/11"
"高度管理医療機器販売業","ニコニコ薬局　赤坂店","東京都港区赤坂五丁目4番8号","荒島ビル1F","03-6426-5157","31港み生機器第112号","2019/10/4"
"高度管理医療機器販売業・貸与業","スギ薬局　赤坂店","東京都港区赤坂五丁目5番13号","周山ビル1階","03-3568-7927","3港み生機器第116号","2021/10/7"
"高度管理医療機器販売業・貸与業","株式会社凛企画","東京都港区赤坂六丁目2番12号","サージュ赤坂","03-6459-1842","5港み生機器第177号","2024/1/19"
"高度管理医療機器販売業","鹿島建設株式会社　東京建築支店","東京都港区赤坂六丁目5番11号","鹿島赤坂別館","03-6838-0686","3港み生機器第165号","2021/12/13"
"高度管理医療機器販売業・貸与業","株式会社イリア","東京都港区赤坂六丁目5番16号","ペアホースビル","03-5561-2508","2港み生機器第36号","2020/8/12"
"高度管理医療機器販売業・貸与業","有限会社ＨＡＬＹ　ＥＮＴＥＲＰＲＩＳＥ","東京都港区赤坂六丁目6番21号",,"090-4416-2816","第4501030500019号","2011/5/24"
"高度管理医療機器販売業","株式会社美健インターナショナル","東京都港区赤坂六丁目9番13号","FLEG赤坂301","03-3505-3988","30港み生機器第46号","2018/6/1"
"高度管理医療機器販売業・貸与業","株式会社ホワイトニングプラス","東京都港区赤坂六丁目15番1号","ミツワビル別館",,"5港み生機器第182号","2024/2/6"
"高度管理医療機器販売業・貸与業","スミスメディカル・ジャパン株式会社　東京営業所","東京都港区赤坂七丁目1番1号","青山安田ビル","03-3405-9331","30港み生機器第188号","2019/4/1"
"高度管理医療機器販売業・貸与業","ガデリウス・メディカル株式会社　東京本社","東京都港区赤坂七丁目1番1号","青山安田ビル","03-5414-8753","31港み生機器第220号","2020/5/7"
"高度管理医療機器販売業・貸与業","タカラベルモント株式会社　東京営業所","東京都港区赤坂七丁目1番19号",,"03-3405-6877","31港み生機器第121号","2019/11/22"
"高度管理医療機器販売業・貸与業","株式会社ＲＥＮＡＴＵＳ","東京都港区赤坂八丁目1番5号","AB赤坂ビル4階","03-6434-7708","2港み生機器第5号","2020/4/27"
"高度管理医療機器販売業・貸与業","リバーフィールド株式会社","東京都港区赤坂八丁目1番22号","NMF青山一丁目ビル","03-6822-9700","4港み生機器第183号","2022/10/27"
"高度管理医療機器販売業・貸与業","Ｘ　Ｄｅｔｅｃｔ株式会社","東京都港区赤坂八丁目2番16号","ゼフィロス青山","03-5859-0748","4港み生機器第249号","2022/12/23"
"高度管理医療機器販売業・貸与業","株式会社ケイオーエス","東京都港区赤坂九丁目1番7号","赤坂レジデンシャルホテル","03-5414-1024","4港み生機器第274号","2023/4/1"
"高度管理医療機器販売業","株式会社Ｓ．Ｋ","東京都港区赤坂九丁目4番1号","パークコート赤坂檜町ザ・タワー1103号室",,"2港み生機器第57号","2020/8/25"
"高度管理医療機器販売業","さくら薬局　東京ミッドタウン店","東京都港区赤坂九丁目7番1号","ミッドタウン・タワー6階","03-5770-8361","4港み生機器第46号","2022/6/30"
"高度管理医療機器販売業・貸与業","株式会社アドバンスト・メディカル・ケア","東京都港区赤坂九丁目7番1号","ミッドタウン・タワー6階","03-5775-5520","4港み生機器第281号","2023/3/15"
"高度管理医療機器販売業・貸与業","Ａｎａｔｏｍａｇｅ　Ｊａｐａｎ株式会社","東京都港区赤坂九丁目7番1号","ミッドタウン・タワー18階","03-4588-4252","5港み生機器第174号","2023/12/28"
"高度管理医療機器販売業・貸与業","インフォコム株式会社　赤坂営業所","東京都港区赤坂九丁目7番2号","東京ミッドタウン イースト棟",,"3港み生機器第129号","2021/11/15"
"高度管理医療機器販売業","銀座メガネ　麻布十番店","東京都港区麻布十番一丁目5番9号","高橋ビル","03-5775-0372","4港み生機器第216号","2023/4/1"
"高度管理医療機器販売業・貸与業","麻布十番調剤薬局","東京都港区麻布十番一丁目7番1号","ヨーロッパハウス1階","03-6434-9867","5港み生機器第160号","2024/2/1"
"高度管理医療機器販売業・貸与業","パリミキ　麻布十番店","東京都港区麻布十番一丁目7番3号","藤原ビル1階","03-3404-1410","2港み生機器第65号","2020/9/14"
"高度管理医療機器販売業・貸与業","そうごう薬局　麻布十番店","東京都港区麻布十番一丁目7番11号","麻布井上ビル","03-3401-8717","30港み生機器第110号","2018/11/1"
"高度管理医療機器貸与業","株式会社ＮＯＣ　東京営業所","東京都港区麻布十番一丁目10番10号","ジュールA地下1階","03-5544-8535","4港み生機器第72号","2022/7/4"
"高度管理医療機器販売業・貸与業","メガネスーパー麻布十番店","東京都港区麻布十番二丁目1番8号","グランドメゾン麻布十番館1F","03-5439-5733","4港み生機器第280号","2023/2/16"
"高度管理医療機器販売業・貸与業","南山堂薬局　麻布十番店","東京都港区麻布十番二丁目2番7号","野口ビル1階","03-6435-1572","3港み生機器第94号","2021/8/25"
"高度管理医療機器販売業・貸与業","くすりの福太郎　麻布十番店","東京都港区麻布十番二丁目3番9号","桂亭ビル1階","03-5765-5629","31港み生機器第2号","2019/5/16"
"高度管理医療機器販売業・貸与業","株式会社三旺コーポレーション","東京都港区麻布十番二丁目8番14号","アイオー麻布","03-3769-7538","4港み生機器第215号","2022/12/14"
"高度管理医療機器販売業・貸与業","ウエルシア薬局麻布十番店","東京都港区麻布十番二丁目9番2号","2階","03-5439-6682","4港み生機器第197号","2022/11/28"
"高度管理医療機器販売業・貸与業","株式会社パラソル","東京都港区麻布十番二丁目12番12号","アーバンパーク202","03-6321-7772","2港み生機器第188号","2021/4/9"
"高度管理医療機器販売業・貸与業","株式会社ＩＬＥホールディングス","東京都港区麻布十番二丁目14番6号","イイダビル","03-6222-9205","4港み生機器第234号","2022/12/8"
"高度管理医療機器販売業","薬樹薬局　麻布十番","東京都港区麻布十番二丁目18番1号",,"03-3457-0054","2港み生機器第175号","2021/4/21"
"高度管理医療機器販売業・貸与業","タキトミオフィス","東京都港区麻布十番二丁目18番8号","ABAアサミビル4階","03-5442-3542","2港み生機器第128号","2021/3/1"
"高度管理医療機器販売業・貸与業","薬局日本メディカルシステム　麻布十番店","東京都港区麻布十番二丁目20番6号","麻布十番エムエービルディング1F","03-6275-1057","4港み生機器第289号","2023/3/8"
"高度管理医療機器販売業","ドラッグセイムス麻布十番駅前店","東京都港区麻布十番二丁目20番16号","麻布十番ハイツ1階","03-3456-5739","31港み生機器第202号","2020/3/1"
"高度管理医療機器販売業・貸与業","株式会社ライフリンクス","東京都港区麻布台一丁目1番3号","日藤ビル","03-6459-1851","29港み生機器第218号","2018/3/15"
"高度管理医療機器販売業","そうごう薬局　麻布台ヒルズ店","東京都港区麻布台一丁目3番1号","麻布台ヒルズタワープラザ4階","03-5544-9351","5港み生機器第115号","2023/10/2"
"高度管理医療機器販売業・貸与業","株式会社フィリップス・ジャパン","東京都港区麻布台一丁目3番1号","麻布台ヒルズ森JPタワー15階","0120-556-494","5港み生機器第203号","2024/3/4"
"高度管理医療機器販売業","ルミネックス・ジャパン株式会社","東京都港区麻布台一丁目7番2号","神谷町麻布台ビル3階","03-5545-7441","5港み生機器第7号","2023/5/10"
"高度管理医療機器販売業・貸与業","株式会社メディカルマネジメント","東京都港区麻布台一丁目7番3号","VORT神谷町2","03-6230-9993","2港み生機器第2号","2020/4/16"
"高度管理医療機器販売業・貸与業","株式会社Ｍｕｒａｋｕｍｏ","東京都港区麻布台三丁目1番5号","麻布台日ノ樹ビル4階","03-3589-6745","3港み生機器第178号","2022/1/11"
"高度管理医療機器販売業・貸与業","株式会社ＨｅａｌｔｈｅｅＯｎｅ　東京事務所","東京都港区麻布台三丁目1番5号","麻布台日ノ樹ビル",,"3港み生機器第209号","2022/2/7"
"高度管理医療機器販売業・貸与業","株式会社ファーギー","東京都港区麻布台三丁目5番3‐1602号",,,"30港み生機器第184号","2019/1/10"
"高度管理医療機器販売業・貸与業","株式会社タイヨータウンコーポレーション","東京都港区麻布永坂町1番地","麻布パークサイドビル1F 101号室","03-5284-2728","3港み生機器第17号","2021/5/12"
"高度管理医療機器販売業・貸与業","メディコム・ファシリティ株式会社","東京都港区愛宕二丁目5番1号","愛宕グリーンヒルズMORIタワー","03-5472-1366","5港み生機器第234号","2024/4/2"
"高度管理医療機器販売業","パレットライフサイエンスジャパン株式会社","東京都港区海岸一丁目2番3号","汐留芝離宮ビルディング21階","03-5403-6925","3港み生機器第163号","2021/12/3"
"高度管理医療機器販売業・貸与業","株式会社オプティム　東京本社","東京都港区海岸一丁目2番20号","汐留ビルディング","03-6435-8569","30港み生機器第161号","2018/12/21"
"高度管理医療機器販売業","ガーダントヘルスジャパン株式会社","東京都港区海岸一丁目7番1号","東京ポートシティ竹芝オフィスタワー","03-6778-5160","4港み生機器第196号","2023/1/25"
"高度管理医療機器販売業・貸与業","丸善雄松堂株式会社","東京都港区海岸一丁目9番18号","国際浜松町ビル","03-6367-6061","30港み生機器第48号","2018/7/12"
"高度管理医療機器販売業","ファーマライズ薬局　アトレ竹芝店","東京都港区海岸一丁目10番30号","タワー棟3階","03-6402-3434","2港み生機器第46号","2020/8/7"
"高度管理医療機器販売業","川崎重工業株式会社　航空宇宙システムカンパニー　営業本部　ヘリコプター営業部","東京都港区海岸一丁目14番5号",,"03-3435-2019","4港み生機器第268号","2023/1/25"
"高度管理医療機器販売業・貸与業","株式会社ＤＮＡチップ研究所","東京都港区海岸一丁目15番1号","スズエベイディアム","03-5777-1687","4港み生機器第96号","2022/8/9"
"高度管理医療機器販売業・貸与業","株式会社安川メカトレック","東京都港区海岸一丁目16番1号","ニューピア竹芝サウスタワー","03-5776-3131","3港み生機器第78号","2021/7/7"
"高度管理医療機器販売業・貸与業","鈴與株式会社リース事業本部","東京都港区海岸二丁目1番16号","鈴与浜松町ビル","03-5476-7217","30港み生機器第89号","2018/10/6"
"高度管理医療機器販売業・貸与業","キヤノンメディカルシステムズ株式会社　東京ＣＬスクエア","東京都港区海岸三丁目18番1号","ピアシティ芝浦ビル","03-6369-9648","4港み生機器第34号","2022/6/23"
"高度管理医療機器販売業・貸与業","ササキ株式会社　東京支店","東京都港区海岸三丁目18番1号","ピアシティ芝浦ビル","03-5730-7761","3港み生機器第37号","2021/6/14"
"高度管理医療機器販売業・貸与業","西尾レントオール株式会社　通信測機東京営業所","東京都港区海岸三丁目18番1号","ピアシティ芝浦6階","03-3769-8240","5港み生機器第40号","2023/6/22"
"高度管理医療機器販売業・貸与業","西尾レントオール株式会社　通信測機東京センター","東京都港区海岸三丁目21番32号","安田芝浦7号ビル3F","03-3769-8245","5港み生機器第30号","2023/5/24"
"高度管理医療機器販売業・貸与業","ＣＳＬベーリング株式会社　本社","東京都港区北青山一丁目2番3号","青山ビル","03-3534-5831","31港み生機器第22号","2019/7/1"
"高度管理医療機器販売業・貸与業","伊藤忠商事株式会社","東京都港区北青山二丁目5番1号",,"03-3497-2542","4港み生機器第273号","2023/4/1"
"高度管理医療機器販売業・貸与業","株式会社オークネット","東京都港区北青山二丁目5番8号","青山OMスクエア","03-6440-2610","31港み生機器第148号","2019/12/10"
"高度管理医療機器販売業・貸与業","株式会社オークネットメディカル","東京都港区北青山二丁目5番8号","青山OMスクエア","03-6440-2610","2港み生機器第1号","2020/5/1"
"高度管理医療機器販売業・貸与業","アローズ株式会社　青山ショールーム","東京都港区北青山二丁目5番8号","青山OMスクエア","03-6434-0831","29港み生機器第231号","2018/4/9"
"高度管理医療機器販売業・貸与業","株式会社クオリタス．","東京都港区北青山二丁目7番21号","青山アイアイビル","03-5772-3351","31港み生機器第100号","2019/10/4"
"高度管理医療機器販売業","薬樹薬局　青山","東京都港区北青山三丁目3番10号","紀文堂ビル1階","03-3402-7450","3港み生機器第73号","2021/8/2"
"高度管理医療機器販売業・貸与業","マロ・ヘルス＆ウェルネス株式会社","東京都港区北青山三丁目6番7号","青山パラシオタワー","03-5464-8619","31港み生機器第105号","2019/9/10"
"高度管理医療機器販売業","薬マツモトキヨシ　青山店","東京都港区北青山三丁目12番7号","カプリース青山ビル1階","03-6418-5195","31港み生機器第76号","2019/9/25"
"高度管理医療機器販売業・貸与業","ケーアイファーマシー　品川シーズンテラス","東京都港区港南一丁目2番70号","品川シーズンテラス2階","03-6712-8117","31港み生機器第131号","2019/11/5"
"高度管理医療機器販売業・貸与業","コヴィディエンジャパン株式会社","東京都港区港南一丁目2番70号",,"03-6774-4601","3港み生機器第223号","2022/3/22"
"高度管理医療機器販売業・貸与業","日本メドトロニック株式会社","東京都港区港南一丁目2番70号",,"03-6774-4603","3港み生機器第224号","2022/3/28"
"高度管理医療機器販売業・貸与業","メドトロニックソファモアダネック株式会社","東京都港区港南一丁目2番70号",,"03-6774-4606","3港み生機器第222号","2022/3/28"
"高度管理医療機器販売業・貸与業","ロシュ・ダイアグノスティックス株式会社","東京都港区港南一丁目2番70号","品川シーズンテラス","03-6634-1064","4港み生機器第283号","2023/3/21"
"高度管理医療機器販売業・貸与業","ロシュＤＣジャパン株式会社","東京都港区港南一丁目2番70号","品川シーズンテラス","03-6634-1114","4港み生機器第278号","2023/3/21"
"高度管理医療機器販売業・貸与業","株式会社ＡｉｍｅｄｉｃＭＭＴ","東京都港区港南一丁目2番70号","品川シーズンテラス","03-5715-5211","5港み生機器第95号","2023/10/1"
"高度管理医療機器販売業・貸与業","サイネオス・ヘルス・クリニカル株式会社","東京都港区港南一丁目2番70号","品川シーズンテラス27階","03-6700-4700","5港み生機器第80号","2023/8/29"
"高度管理医療機器販売業・貸与業","ＮＴＴ・ＴＣリース株式会社","東京都港区港南一丁目2番70号","品川シーズンテラス","03-6455-8691","2港み生機器第24号","2020/7/1"
"高度管理医療機器販売業","帝商株式会社","東京都港区港南一丁目2番70号","品川シーズンテラス","03-6810-4843","3港み生機器第106号","2021/8/31"
"高度管理医療機器販売業・貸与業","シースター株式会社","東京都港区港南一丁目2番70号","品川シーズンテラス","03-6711-5500","4港み生機器第18号","2022/5/2"
"高度管理医療機器販売業・貸与業","ＰＳＰ株式会社　品川事業所","東京都港区港南一丁目2番70号","品川シーズンテラス","03-4346-3180","4港み生機器第192号","2022/12/5"
"高度管理医療機器販売業・貸与業","合同会社医知悟","東京都港区港南一丁目2番70号","品川シーズンテラス","03-4405-7862","4港み生機器第209号","2022/12/5"
"高度管理医療機器販売業・貸与業","株式会社パリミキ","東京都港区港南一丁目6番31号","品川東急ビル10階",,"5港み生機器第81号","2023/8/29"
"高度管理医療機器販売業・貸与業","株式会社メディシェアード","東京都港区港南一丁目6番31号","品川東急ビル10階",,"5港み生機器第154号","2023/12/11"
"高度管理医療機器販売業・貸与業","日本ゴア合同会社　メディカル・プロダクツ・ディビジョン","東京都港区港南一丁目8番15号","Wビル","03-6746-2560","4港み生機器第250号","2023/2/17"
"高度管理医療機器販売業・貸与業","関東物産株式会社","東京都港区港南一丁目8番27号",,"03-6433-0877","4港み生機器第298号","2023/3/2"
"高度管理医療機器販売業","中央コンタクト東京本部","東京都港区港南一丁目8番40号","A-PLACE品川7階","03-6712-8841","4港み生機器第108号","2022/10/21"
"高度管理医療機器販売業・貸与業","プラスメディック株式会社","東京都港区港南一丁目8番40号","A-PLACE品川7階","03-5462-0787","31港み生機器第138号","2020/1/15"
"高度管理医療機器販売業・貸与業","株式会社ウェルネスサポート","東京都港区港南二丁目3番1号","大信秋山ビル4階","03-6712-8465","3港み生機器第190号","2022/1/19"
"高度管理医療機器販売業・貸与業","豊田通商株式会社","東京都港区港南二丁目3番13号",,"03-4306-3830","31港み生機器第83号","2019/7/30"
"高度管理医療機器販売業・貸与業","朝日インテックＪセールス株式会社","東京都港区港南二丁目3番13号","品川フロントビル","03-6433-3100","2港み生機器第136号","2021/2/16"
"高度管理医療機器販売業・貸与業","オムロンヘルスケア株式会社","東京都港区港南二丁目3番13号","品川フロントビル","03-6718-3770","5港み生機器第119号","2023/10/11"
"高度管理医療機器販売業・貸与業","ミツバ薬局","東京都港区港南二丁目3番26号","モンテーヌ品川102","03-3474-3878","3港み生機器第215号","2022/2/25"
"高度管理医療機器販売業・貸与業","株式会社レオクラン","東京都港区港南二丁目5番3号","オリックス品川ビル","03-3458-6671","3港み生機器第205号","2022/2/7"
"高度管理医療機器販売業・貸与業","株式会社マティス","東京都港区港南二丁目12番27号","イケダヤ品川ビル","03-3474-6900","4港み生機器第295号","2023/4/21"
"高度管理医療機器販売業・貸与業","キヤノンシステムアンドサポート株式会社港南事業所","東京都港区港南二丁目13番29号","キヤノン港南ビル","03-6719-9601","5港み生機器第52号","2023/9/7"
"高度管理医療機器販売業・貸与業","株式会社フィリップス・ジャパン","東京都港区港南二丁目13番37号","フィリップスビル","0120-556-494","4港み生機器第302号","2023/4/1"
"高度管理医療機器販売業・貸与業","粧美堂株式会社","東京都港区港南二丁目15番1号","品川インターシティA棟","03-3472-7894","30港み生機器第191号","2019/2/20"
"高度管理医療機器販売業・貸与業","ＳＨＯ－ＢＩ　Ｌａｂｏ株式会社","東京都港区港南二丁目15番1号","品川インターシティA棟","03-5422-9600","5港み生機器第171号","2024/2/9"
"高度管理医療機器販売業・貸与業","Ｚａｐ　Ｓｕｒｇｉｃａｌ　Ｊａｐａｎ　合同会社","東京都港区港南二丁目15番1号","品川インターシティーA棟28階","03-6717-4441","5港み生機器第25号","2023/5/18"
"高度管理医療機器販売業・貸与業","薬局トモズ　品川インターシティ店","東京都港区港南二丁目15番2号","品川インターシティ2階","03-5782-8889","4港み生機器第227号","2023/4/1"
"高度管理医療機器販売業","株式会社大林組東京本店","東京都港区港南二丁目15番2号","品川インターシティB棟","03-5769-0446","4港み生機器第279号","2023/3/15"
