"年月日[西暦]","地区","学童クラブ名","定員[人]","電話番号","FAX番号","所在地","運営事業者","所管課"
"20240401","高輪","ゆかしの杜学童クラブ（白金台学童クラブ）","60","03-6450-4014","03-6450-4146","東京都港区白金台四丁目6番2号ゆかしの杜6階","（株）マミー・インターナショナル","高輪地区総合支所管理課施設運営担当"
"20240401","芝浦港南","台場児童館学童クラブ","105","03-5500-2363","03-5500-2369","東京都港区台場一丁目5番1号","区直営","芝浦港南地区総合支所管理課施設運営担当"
"20240401","芝浦港南","港南子ども中高生プラザ学童クラブ","320","03-3450-9576","03-3450-9515","東京都港区港南四丁目3番7号","（一財）本所賀川記念館","芝浦港南地区総合支所管理課施設運営担当"
"20240401","芝浦港南","芝浦アイランド児童高齢者交流プラザ学童クラブ","132","03-5443-7338","03-5443-2512","東京都港区芝浦四丁目20番1号","（公財）東京YMCA","芝浦港南地区総合支所管理課施設運営担当"
"20240401","芝浦港南","放課ＧＯ→学童クラブしばうら","30","03-5476-6877","03-5476-6877","東京都港区芝浦四丁目8番18号芝浦小学校内","ミアヘルサ（株）","芝浦港南地区総合支所管理課施設運営担当"
"20240401","芝浦港南","放課ＧＯ→学童クラブしばはま","160","03-5427-4188","03-5427-4189","東京都港区芝浦一丁目16番31号芝浜小学校内","ミアヘルサ（株）","芝浦港南地区総合支所管理課施設運営担当"
"20240401","芝浦港南","放課ＧＯ→学童クラブこうなん","40","03-6718-4230","03-6718-4231","東京都港区港南四丁目3番28号港南小学校敷地内","（株）日本保育サービス","芝浦港南地区総合支所管理課施設運営担当"
"20240401","芝浦港南","芝浦学童クラブ","270","03-5439-5680","03-3455-1680","東京都港区芝浦四丁目12番28号芝浦中島ビル","（公財）東京YMCA","芝浦港南地区総合支所管理課施設運営担当"
"20240401","芝浦港南","五色橋学童クラブ","160","03-6435-2745","03-6435-2746","東京都港区海岸三丁目5番13号五色橋ビル2階","ミアヘルサ（株）","芝浦港南地区総合支所管理課施設運営担当"

"港区内学童クラブ一覧","Ver202404",,,,,,,
