水再生センター名,北多摩一号流入水,北多摩一号放流水,南多摩乞田流入水,南多摩稲城・大栗流入水,南多摩放流水,北多摩二号流入水,北多摩二号放流水,浅川流入水,浅川放流水,多摩川上流流入水,多摩川上流放流水,八王子流入水,八王子放流水,清瀬流入水,清瀬放流水
硝酸性窒素（mg/L）,,6.9,,,7.9,,6.1,,8.6,,5.6,,7.4,,7.2
全りん（mg/L）,3.3,1.2,3.9,3.8,0.9,2.9,0.8,3.6,0.6,3.6,0.5,3.5,0.7,3.7,0.8
りん酸性りん（mg/L）,1.4,1,1.8,2,0.9,1.6,0.7,1.4,0.4,1.5,0.4,1.4,0.6,1.7,0.7
カドミウム（mg/L）,0.001未満,0.001未満,0.001未満,0.001未満,0.001未満,0.001未満,0.001未満,0.001未満,0.001未満,0.001未満,0.001未満,0.001未満,0.001未満,0.001未満,0.001未満
シアン（mg/L）,0.1未満,0.1未満,0.1未満,0.1未満,0.1未満,0.1未満,0.1未満,0.1未満,0.1未満,0.1未満,0.1未満,0.1未満,0.1未満,0.1未満,0.1未満
有機りん（mg/L）,0.1未満,0.1未満,0.1未満,0.1未満,0.1未満,0.1未満,0.1未満,0.1未満,0.1未満,0.1未満,0.1未満,0.1未満,0.1未満,0.1未満,0.1未満
鉛（mg/L）,0.005未満,0.005未満,0.005未満,0.005未満,0.005未満,0.005未満,0.005未満,0.005未満,0.005未満,0.005未満,0.005未満,0.005未満,0.005未満,0.005未満,0.005未満
六価クロム（mg/L）,0.05未満,0.05未満,0.05未満,0.05未満,0.05未満,0.05未満,0.05未満,0.05未満,0.05未満,0.05未満,0.05未満,0.05未満,0.05未満,0.05未満,0.05未満
ヒ素（mg/L）,0.005未満,0.005未満,0.005未満,0.005未満,0.005未満,0.005未満,0.005未満,0.005未満,0.005未満,0.005未満,0.005未満,0.005未満,0.005未満,0.005未満,0.005未満
総水銀（mg/L）,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満
アルキル水銀（mg/L）,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出
ＰＣＢ（mg/L）,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満
トリクロロエチレン（mg/L）,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満
テトラクロロエチレン（mg/L）,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満
ジクロロメタン（mg/L）,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満
四塩化炭素（mg/L）,0.0002未満,0.0002未満,0.0002未満,0.0002未満,0.0002未満,0.0002未満,0.0002未満,0.0002未満,0.0002未満,0.0002未満,0.0002未満,0.0002未満,0.0002未満,0.0002未満,0.0002未満
"1,2-ジクロロエタン（mg/L）",0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満
"1,1-ジクロロエチレン（mg/L）",0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満
"ｼｽ-1,2-ｼﾞｸﾛﾛｴﾁﾚﾝ（mg/L）",0.004未満,0.004未満,0.004未満,0.004未満,0.004未満,0.004未満,0.004未満,0.004未満,0.004未満,0.004未満,0.004未満,0.004未満,0.004未満,0.004未満,0.004未満
"1,1,1-トリクロロエタン（mg/L）",0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満
"1,1,2-トリクロロエタン（mg/L）",0.0006未満,0.0006未満,0.0006未満,0.0006未満,0.0006未満,0.0006未満,0.0006未満,0.0006未満,0.0006未満,0.0006未満,0.0006未満,0.0006未満,0.0006未満,0.0006未満,0.0006未満
"1,3-ジクロロプロペン（mg/L）",0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満,0.0005未満
チウラム（mg/L）,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満
シマジン（mg/L）,0.0004未満,0.0004未満,0.0004未満,0.0004未満,0.0004未満,0.0004未満,0.0004未満,0.0004未満,0.0004未満,0.0004未満,0.0004未満,0.0004未満,0.0004未満,0.0004未満,0.0004未満
チオベンカルブ（mg/L）,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満
ベンゼン（mg/L）,0.001未満,0.001未満,0.001未満,0.001未満,0.001未満,0.001未満,0.001未満,0.001未満,0.001未満,0.001未満,0.001未満,0.001未満,0.001未満,0.001未満,0.001未満
セレン（mg/L）,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満,0.002未満
ほう素（mg/L）,0.2未満,0.2未満,0.2未満,0.2未満,0.2未満,0.2未満,0.2未満,0.2未満,0.2未満,0.2未満,0.2未満,0.2未満,0.2未満,0.2未満,0.2未満
ふっ素（mg/L）,0.2未満,0.2未満,0.2未満,0.2未満,0.2未満,0.2未満,0.2未満,0.2未満,0.2未満,0.2未満,0.2未満,0.2未満,0.2未満,0.2未満,0.2未満
"1,4-ジオキサン（mg/L）",0.005未満,0.005未満,0.005未満,0.005未満,0.005未満,0.005未満,0.005未満,0.005未満,0.005未満,0.005未満,0.005未満,0.005未満,0.005未満,0.005未満,0.005未満
アンモニア等化合物（mg/L）,,7.2,,,8.2,,6.5,,9,,6.1,,7.8,,7.5
