項目,条件１,条件２,条件３,指数,備考
19,世帯の状況（該当する項目を加算、減算する）,きょうだい（卒園する児童を除く）が認可保育園に在園している（転園申請は除く）,,４,
20,世帯の状況（該当する項目を加算、減算する）,保護者と同居している未就学児が３人以上いる(多子世帯),,２,
21,世帯の状況（該当する項目を加算、減算する）,保護者と同居している小学生以下のきょうだいがいる,,１,
22,世帯の状況（該当する項目を加算、減算する）,きょうだい２人以上の同時申請（転園申請は除く）,,１,
23,世帯の状況（該当する項目を加算、減算する）,地域型保育事業、東上野乳児保育園、康保会乳児保育所、ミアヘルサ保育園ひびき浅草を卒園する台東区在住の児童で、引き続き保育が必要な場合（４月入園のみ適用）,,５,
24,世帯の状況（該当する項目を加算、減算する）,初めての入所希望月から６か月以上待機している（転園申請は除く）,,２,
25,世帯の状況（該当する項目を加算、減算する）,生計中心者が失業（３か月以内）したことにより、就労の必要性が高い（転園申請は除く）,,２,
26,世帯の状況（該当する項目を加算、減算する）,保護者が区内の保育施設等（認可保育所・認定こども園・地域型保育施設・認証保育所・緊急保育室・定期利用保育事業）および幼稚園において、保育士・保育教諭・幼稚園教諭として、月１２０時間以上の就労をしている場合又は就労内定の場合（転園申請は除く）,,２,
27,世帯の状況（該当する項目を加算、減算する）,祖父母がいるが、遠方、就業、病気等により保育にあたれない理由がある（不存在含む）,,１,
28,世帯の状況（該当する項目を加算、減算する）,基本指数が就労で算定されている場合で、就労できない在留資格（家族滞在等）で資格外活動許可書の提出のない場合（ただし、資格外活動許可書申請中であることを確認できた場合を除く）,,－２,
29,世帯の状況（該当する項目を加算、減算する）,保育所保育料を６か月以上滞納している世帯,,－１５,
30,世帯の状況（該当する項目を加算、減算する）,保育所、または認定こども園の内定を断った場合,,－５,
,,,,,調整指数は、児童の属する家庭の状況に応じて、保育の必要な状態をさらに明確にするために設けるものであり、保育所入所基準による（１）基本指数に、必要に応じて加算又は減算するものです。
,,,,,調整指数は重複できます（１～１３はどれか１つを適用します。１４～３０は一部重複できない項目もあります）。
,,,,,（注１）項目１については、有償で月極め契約をし保護者が就労している等で、保育を必要とする時間帯に委託していることが、条件となります。
,,,,,（注２）項目１のベビーシッターとは、協会等に登録のある者に委託していることが、条件となります。
,,,,,（注３）項目１については就労していることが条件となります。
,,,,,（注４）項目８の育児休業中とは、育児・介護休業法等の規定に基づくものをいいます。
,,,,,（注５）項目１４（１）については、１４（２）と比較し高い方で加点します。
,,,,,（注６）項目１５～１７、２５については、入園審査月の状態で判断します。
,,,,,（注７）項目１５と１６については重複できません。高い方で加点します。
,,,,,（注８）項目１８については、きょうだいの在園する園以外を同時に申請した場合は、他の園の入園審査時は加算されません。
,,,,,（注９）項目２２については、入園の意志のないきょうだいの申請は加算できません。また、３人以上の同時申請で、２人以上が転園申請でない場合は、転園申請でない子のみ加算の対象となります。例）①きょうだい３人の申請で、そのうち２人が転園の場合…３人とも対象外②きょうだい３人の申請で、そのうち２人が転園でない場合…転園でない２人のみ加算の対象
,,,,,（注１０）項目２６については、就労証明書と同意書の提出が必要です。
,,,,,（注１１）項目３０については、辞退した入園月の翌月から起算して６か月間適用します。例）４月入園辞退…５月～１０月入園まで－５点
