ごみ名,分別区分,備考
シャンプーの容器,燃やさないごみ,プラスチック製のものは、燃やすごみへ。中身が固まっている場合はそのまま燃やさないごみへ
ジューサー,燃やさないごみ,いちばん長い部分が30cmを超えるものは、粗大ごみへ。
じゅうたん,粗大ごみ,マット類を含む。キッチンマット、玄関マット、風呂マット、トイレマット、ブルーシート、レジャーシートなども粗大ごみです。
シュレッダー,粗大ごみ,いちばん長い部分が30㎝を超えないものは、燃やさないごみへ。
シュレッダー屑,燃やすごみ,資源では出せません。
シルバー力一,粗大ごみ,
シンナー,区では収集できないもの,ボンド等。台東清掃事務所で、処理処分先（民間業者）の紹介をしますのでお問合せください。台東清掃事務所電話：03-3876-5771
スーツケース,粗大ごみ,
スキーウェア,資源,※拠点回収で出すのが難しい場合は、燃やすごみヘ。
スキー靴,燃やすごみ,いちばん長い部分が30cmを超えるものは、粗大ごみへ。
スキー板,粗大ごみ,
スケート靴,燃やさないごみ,いちばん長い部分が30cmを超えるものは、粗大ごみへ。
すだれ・よしず,粗大ごみ,
ストーブ,粗大ごみ,石油ストーブ、ファンヒーター。※灯油・電池は必ず抜いてください。
ストーマ袋,燃やすごみ,医療用装具。排出物はトイレに流してから捨ててください。
ストック,粗大ごみ,
スノーボード,粗大ごみ,
すのこ,粗大ごみ,
スプレー缶,燃やさないごみ,なるべく最後まで使い切り、別袋で「スプレー缶」等と表記してください。※穴は聞けないでください。
セーター,資源,
タイヤチェーン,燃やさないごみ,金属製のもの。プラスチック製は燃やすごみへ。ケースを含めると粗大ごみへ。
タイルカーペット,粗大ごみ,いちばん長い部分が30cmを超えないものは、燃やすごみへ。
ダウンジャケット,資源,※拠点回収で出すのが難しい場合は、燃やすごみヘ。
タオル,資源,※拠点回収で出すのが難しい場合は、広がらないようにしばって燃やすごみへ。
タオルケット,資源,※拠点回収で出すのが難しい場合は、広がらないようにしばって粗大ごみへ。
たまごパック,燃やすごみ,
ダンボール,資源,ひもでほどけないように束ねて出してください。汚れたダンボールは、燃やすごみへ。ただし、ロウが塗ってある段ボールは「ロウ引き段ボール」といい、リサイクルできません。燃やすごみとして出してください。
チャイルドシート,粗大ごみ,
ティッシュペーパーの箱,資源,ビニール部分を取り除き、紙袋に入れて出してください。
テレビ,家電リサイクル法対象品目,ブラウン管式テレビ、液晶式およびプラズマ式テレビ。
テレビアンテナ,粗大ごみ,室内、室外、パラボラ型。いちばん長い部分が30cmを超えないものは、燃やさないごみへ。
テレビ台,粗大ごみ,
トイレットペーパーの芯,資源,紙袋に入れて出してください。
トースター,燃やさないごみ,いちばん長い部分が30cmを超えるものは、粗大ごみへ。
トタン板・ブリキ板,粗大ごみ,
トナーカートリッジ,メーカー自主回収,
ドライヤー,燃やさないごみ,
トレイ（プラスチック製）,燃やすごみ,
トレイ（食品発泡トレイ）,資源,色つきを含む。つまようじが簡単に刺さるものやパキッと簡単に割れるものが対象となります。水でゆすいでください。残った中身が取れないものは燃やすごみへ。
トレーディングカード,燃やすごみ,資源回収では出せません。
ドレッシングの容器（びん・缶）,燃やさないごみ,ノンオイルドレッシング容器は洗って資源（集積所）へ。
ドレッシングの容器（ペットボトルを含むプラスチック）,燃やすごみ,ペットボトル製のノンオイルドレッシング容器は洗って資源（集積所）へ。
ぬいぐるみ,燃やすごみ,いちばん長い部分が30cmを超えるものは、粗大ごみへ。
ネクタイ,資源,
ノート,資源,雑誌と一緒にひもでしばって出してください。
のこぎり,燃やさないごみ,手引き、電動のこぎりで、家庭用に限る。30cmを超えるものは、粗大ごみへ。
パイプハンガー,粗大ごみ,
バインダー,燃やすごみ,金属部分は取り除いてください。
はがき,資源,紙袋に入れて出してください。個人情報は削除してください。防水加工されているもの、写真印刷用、圧着はがきは、燃やすごみへ。
バケツ,燃やさないごみ,金属製のもの。プラスチック製は、燃やすごみへ。どちらも30cmを超えるものは、粗大ごみへ
はさみ,燃やさないごみ,枝切りばさみも含む。新聞紙等に包んで「はさみ」「刃物」と表記。
はしご,粗大ごみ,長さ1.8mを超えないのものに限ります。
パソコン・ディスプレイ,メーカー自主回収,メーカー不明、倒産している、自作のパソコンである場合、一般社団法人パソコン３R推進協会でも回収しています。https://www.pc3r.jpまた、区の連携・協力事業者であり、小型家電リサイクル法に基づく国の認定事業者であるリネットジャパンリサイクル株式会社が、宅配便によるパソコン等小型家電の回収を行っています。call@renet.jp
パソコンラック,粗大ごみ,
バッテリー,区では収集できないもの,台東清掃事務所で、処理処分先（民間業者）の紹介をしますのでお問合せください。台東清掃事務所電話：03-3876-5771
バット,粗大ごみ,金属・木製のもの。
はっぴ,燃やすごみ,
パネルヒーター,粗大ごみ,
ハンガー,燃やすごみ,プラスチック製・木製のもの。
パンフレット類,資源,雑誌と一緒にひもでしばって出してください。
ピアノ,区では収集できないもの,台東清掃事務所で、処理処分先（民間業者）の紹介をしますのでお問合せください。台東清掃事務所電話：03-3876-5771
ビーチパラソル,粗大ごみ,
ビールケース,粗大ごみ,購入した店が分かっている場合は店に返してください。
ビデオカメラ,資源,※拠点回収で出すのが難しい場合は、燃やさないごみへ。※いちばん長い部分が30cmを超えるものは、粗大ごみへ。
ビデオテープ,資源,カセットテープ、CD、DVD、BD等も同じ。※拠点回収に出すのが難しい場合は、燃やすごみへ。
ビデオデッキ,粗大ごみ（持込対象品目）,DVDデッキ、BDデッキも同じ。いちばん長い部分が30cmを超えないものは、燃やさないごみへ。
ビニールコート紙,燃やすごみ,コーティングがあるもの。資源では出せません。
びん,資源,汚れたものは資源では出せないため、燃やさないごみへ。
ファンヒーター,粗大ごみ,灯油は必ず抜いてください。
フィルム,燃やすごみ,写真用等フィルム。
フライパン,燃やさないごみ,いちばん長い部分が30cmを超えるものは、粗大ごみへ。※柄は長さに含まない
ブラインド,粗大ごみ,
フリース,資源,
プリンター,粗大ごみ（持込対象品目）,パソコン用プリンター。いちばん長い部分が30cmを超えないものは、燃やさないごみへ。
プリンターのインク,資源,製造業者がリサイクルに取り組んでいます。●インクカートリッジ里帰りプロジェクトhttp://www.inksatogaeri.jp/※拠点回収で出すのが難しい場合は、燃やすごみヘ。
ブロック,区では収集できないもの,台東清掃事務所で、処理処分先（民間業者）の紹介をしますのでお問合せください。台東清掃事務所電話：03-3876-5771
プロパンガスボンベ,区では収集できないもの,台東清掃事務所で、処理処分先（民間業者）の紹介をしますのでお問合せください。台東清掃事務所電話：03-3876-5771
ペットのトイレシート,燃やすごみ,排泄物はトイレに流してください。
ペットのトイレ砂,燃やすごみ,各種素材※砂製のものは、燃やさないごみへ。
ペットのふん,区では収集できないもの,
ペットの死体,動物の死体,自分で飼っている犬や猫などが死んでしまった場合、25㎏未満のペットに限り、有料で引き取ることができます。台東清掃事務所電話：03-3876-5771
ベッドの枠,粗大ごみ,ベッドマットは含まれません。
ヘッドフォン,燃やさないごみ,いちばん長い部分が30cmを超えるものは、粗大ごみへ。
ペットボトル（飲料・酒類）,資源,汚れたものは、燃やすごみへ。
ペットボトル（食用油・洗剤・化粧品・医薬品等）,燃やすごみ,
ベッドマット,粗大ごみ,
ペット小屋,粗大ごみ,
ベビーカー,粗大ごみ,
ベビーチェア,粗大ごみ,
ベビーバス,粗大ごみ,
ベビーベッド,粗大ごみ,
ベルト,燃やすごみ,ズボン用、服飾用バックル（金具類）は、燃やさないごみへ。
ヘルメット,燃やすごみ,30cmを超えるものは、粗大ごみへ。
ボアシーツ,資源,
ホイール,粗大ごみ,自動車用ホイール。※タイヤは区では収集できません。
ボウリングの玉,粗大ごみ,家庭用に限ります。
ボウル（プラスチック製）,燃やすごみ,いちばん長い部分が30cmを超えるものは、粗大ごみへ。
ボウル（金属製）,燃やさないごみ,いちばん長い部分が30cmを超えるものは、粗大ごみへ。
ホームベーカリー,粗大ごみ,いちばん長い部分が30㎝を超えないものは、燃やさないごみへ。
ボール各種,燃やすごみ,
ポスター,資源,紙製のもの。紙袋に入れて出してください。
ボタン電池,販売店の回収ボックス,出すのが難しい場合は燃やさないごみへ。セロハンテープ等で絶縁してください。ボタン電池回収推進センター0120-266-205http://www.botankaishu.jp/m/top.php
ポット,粗大ごみ,電気ポット、魔法びんを含む。いちばん長い部分が30cmを超えないものは、燃やさないごみへ。
ホットプレート,粗大ごみ（持込対象品目）,鍋形も含む。
ポリタンク,粗大ごみ,いちばん長い部分が30cmを超えないものは、燃やすごみへ。
マウス,燃やさないごみ,パソコン用のもの。
まくら,燃やすごみ,いちばん長い部分が30cmを超えるものは、粗大ごみへ。
マッサージ機（ハンディタイプ）,燃やさないごみ,いちばん長い部分が30cmを超えるものは、粗大ごみへ。
マッサージ機（椅子型）,粗大ごみ,
マッチ,区では収集できないもの,台東清掃事務所へお問合せください。台東清掃事務所電話：03-3876-5771
マットレス,粗大ごみ,磁器マットレスも含む。
まな板,燃やすごみ,プラスチック・木製のもの。いちばん長い部分が30cmを超えるものは、粗大ごみへ。
マニキュアの容器,燃やさないごみ,プラスチック製のものは、燃やすごみへ。中身が固まっている場合はそのまま燃やさないごみへ
めがね,燃やさないごみ,ガラス製レンズのもの。プラスチックレンズは、燃やすごみへ。
メモ用紙,資源,封筒等に入れて、紙袋に入れて出してください。
モバイルバッテリー,区では収集できないもの,家電量販店やホームセンターの回収ボックスへ。
ライター,燃やさないごみ,使い捨てライターを含む。なるべく最後まで使い切ってください。別袋に入れて「ライター」と表記。
ラケット,粗大ごみ,テニスラケット、バドミントンラケット、ラクロスラケット等を含む。いちばん長い部分が30cmを超えないものは、燃やさないごみへ。
ラジオ,粗大ごみ,いちばん長い部分が30cmを超えないものは、燃やさないごみへ。
ラジカセ,粗大ごみ（持込対象品目）,いちばん長い部分が30cmを超えないものは、燃やさないごみへ。
ラップ芯,資源,紙袋に入れて出してください。
ラップ類,燃やすごみ,金具等は取り除いてください。紙製の箱は資源（集積所）として、紙袋に入れて出してください。
ランニングマシーン,粗大ごみ,
リモコン類,燃やさないごみ,電池は外してください。
ルーター,燃やさないごみ,ネットワーク通信機器
レーザーディスク,燃やすごみ,資源では出せません。
レオタード,資源,
レコード,燃やすごみ,資源では出せません。
レトルト食品の容器,燃やすごみ,紙製の外箱は資源（集積所）として、紙袋に入れて出してください。
レンガ,区では収集できないもの,台東清掃事務所で、処理処分先（民間業者）の紹介をしますのでお問合せください。台東清掃事務所電話：03-3876-5771
ローソク,燃やすごみ,
ロープ,燃やすごみ,長いものは50cmを超えない大きさに裁断してください。（縄梯子は粗大ごみへ）
ワープロ,粗大ごみ,いちばん長い部分が30cmを超えないものは、燃やさないごみへ。
ワインセラー,家電リサイクル法対象品目,
椅子,粗大ごみ,30cmを超えないものは燃やさないごみへ。※木製・プラスチック製は燃やすごみへ。
衣装箱,粗大ごみ,
衣類,資源,※汚れがひどいものは燃やすごみへ※拠点回収で出すのが難しい場合は、燃やすごみヘ。
医療廃棄物,燃やすごみ,在宅用・プラスチック類のもの。残った中身は取り除いてください。注射針は「使用済み注射針回収薬局」と掲示している薬局へお持ちください。新型コロナウイルス感染症で自宅療養・待機されている方のごみ・資源の出し方はこちらをご覧ください。https://www.city.taito.lg.jp/kurashi/gomi/keikaku/zigakuryouyouu.html
一斗缶,燃やさないごみ,中身の入っていないものに限ります。
印鑑,燃やすごみ,象牙・木・プラスチック類
雨具,燃やすごみ,
延長コード,燃やさないごみ,
鉛筆削り器,燃やさないごみ,電動・手動のもの。
温度計,燃やさないごみ,水銀使用のものについては、台東清掃事務所または清掃リサイクル課窓口で回収しています。
下着,燃やすごみ,新品のみ資源（拠点）で回収。
化粧箱,燃やすごみ,いちばん長い部分が30cmを超えるものは、粗大ごみへ。
化粧品の容器（びん）,資源,ゆすいでください。汚れが取れないものは、燃やさないごみへ。
化粧品の容器（陶器・耐熱ガラス）,燃やさないごみ,資源では出せません。プラスチック製容器は、燃やすごみへ。
加湿器,燃やさないごみ,いちばん長い部分が30cmを超えるものは、粗大ごみへ。
花火,燃やすごみ,※使用済みに限ります。必ず水に浸してから出してください。未使用のものは台東清掃事務所にお問い合わせください。台東清掃事務所電話：03-3876-5771
花瓶,燃やさないごみ,いちばん長い部分が30cmを超えるものは、粗大ごみへ。
画鋲,燃やさないごみ,プラスチック製は燃やすごみへ、新聞紙等で包んで「画鋲」と表記。
絵の具のチューブ,燃やすごみ,金属製チューブは燃やさないごみへ。
絵本,資源,雑誌と一緒にひもでしばって出してください。プラスチック製のおもちゃがついているものは燃やすごみへ
貝殻,燃やすごみ,
革製品,燃やすごみ,合成皮革を含む。いちばん長い部分が30cmを超えるものは、粗大ごみへ。
乾燥機（衣類）,家電リサイクル法対象品目,
乾燥機（布団用・食器用）,粗大ごみ,いちばん長い部分が30cmを超えないものは、燃やさないごみへ。
乾燥剤,燃やすごみ,
換気扇,粗大ごみ,
机,粗大ごみ,
脚立,粗大ごみ,
給油ポンプ,燃やすごみ,電動式のものは電池を外し、燃やさないごみへ。いちばん長い部分が30cmを超えるものは、粗大ごみへ。
牛乳パック,資源,ゆすいで切り開き、ひもでしばって出してください。
鏡,燃やさないごみ,姿見のもの。いちばん長い部分が30cmを超えるものは、粗大ごみへ。割れたものは新聞紙等に包んで「鏡」と表記。
鏡台,粗大ごみ,
金庫（手さげ）,燃やさないごみ,いちばん長い部分が30cmを超えるものは、粗大ごみへ。
金庫（耐火）,区では収集できないもの,台東清掃事務所で、処理処分先（民間業者）の紹介をしますのでお問合せください。台東清掃事務所電話：03-3876-5771
空気清浄機,粗大ごみ（持込対象品目）,
串,燃やすごみ,新聞紙等に包んで「串（くし）」と表記。金属製のものは燃やさないごみへ。
靴,燃やすごみ,運動靴、サンダル、スニーカー、長靴等。
靴下,資源,
珪藻土マット,燃やさないごみ,いちばん長い部分が30cmを超えるものは、粗大ごみへ。※石綿（アスベスト）が混入しているものは、区で回収できません。
携帯音楽プレーヤー,資源,※拠点回収で出すのが難しい場合は、燃やさないごみへ。※いちばん長い部分が30cmを超えるものは、粗大ごみへ。
携帯電話,資源,※メーカー、販売店でも無料で回収しています。※通信事業者等がリサイクルに取り組んでいます。●モバイル・リサイクルネットワークhttps://www.mobile-recycle.net/
蛍光灯,資源,電球型を含む。ケースlこ入れて出してください。※拠点回収に出すのが難しい場合は、別袋に入れて、燃やさないごみへ。※120ｃｍを超えるものはお問合せください。台東清掃事務所電話：03-3876-5771
血圧計,燃やさないごみ,家庭用のもの。水銀使用のものについては、台東清掃事務所または清掃リサイクル課窓口で回収しています。
建具,粗大ごみ,障子戸、ガラス戸、アルミサッシ。建築物除去に伴い生じたものは除きます。
玄関マット,燃やすごみ,いちばん長い部分が30cmを超えるものは、粗大ごみへ。
工ンジンオイル,区では収集できないもの,台東清掃事務所で、処理処分先（民間業者）の紹介をしますのでお問合せください。台東清掃事務所電話：03-3876-5771
広告・新聞チラシ,資源,新聞と一緒にひもでしばって出してください。
香水の容器,燃やさないごみ,プラスチック製のものは燃やすごみへ
高枝切りバサミ,粗大ごみ,
砂・石,区では収集できないもの,台東清掃事務所で、処理処分先（民間業者）の紹介をしますのでお問合せください。台東清掃事務所電話：03-3876-5771
座椅子,粗大ごみ,
座卓,粗大ごみ,
座布団,粗大ごみ,
雑誌,資源,ひもでしばってください。
三輪車,粗大ごみ,
傘,燃やさないごみ,折り畳み傘も含む。処分頻度が高いため、粗大ごみにはなりません。ごみとわかるように出してください。
傘たて,粗大ごみ,
使い捨てカイロ,燃やさないごみ,中身素材が鉄粉のため。
姿見,粗大ごみ,いちばん長い部分が30㎝を超えないものは、燃やさないごみへ。
子ども用遊具,粗大ごみ,いちばん長い部分が30㎝を超えないものは、燃やさないごみへ。
紙くず,燃やすごみ,ちり紙・たばこの吸殻・紙おむつなど。メモ紙などの小さな紙片はまとめて封筒に入れ資源としてお出しください。紙おむつの汚物はなるべく取り除いてください。
紙袋,資源,ひもでしばって出してください。
時計,燃やさないごみ,壁掛け時計、置き時計、目覚まし時計等。いちばん長い部分が30cmを超えるものは、粗大ごみへ。
自転車,粗大ごみ,電動アシスト自転車のバッテリーは、販売店の回収ボックスへ。
自転車タイヤ,燃やすごみ,家庭用のもの。チューブを含む。短く裁断してください（長さ30cm程度）※タイヤリムは粗大ごみへ。
自転車用の空気入れ,粗大ごみ,いちばん長い部分が30cmを超えないものは、燃やさないごみへ。
自動車,区では収集できないもの,自動車リサイクル法により、製造者がリサイクルします。自動車リサイクルシステムコンタクトセンター　電話：050-3786-7755公益財団法人自動車リサイクル促進センターhttp://www.jars.gr.jp/
写真,燃やすごみ,資源回収では出せません。
車椅子,粗大ごみ,電動車いすはバッテリーがあるため、台東清掃事務所へお問い合わせください。
車用タイヤ,区では収集できないもの,台東清掃事務所で、処理処分先（民間業者）の紹介をしますのでお問合せください。台東清掃事務所電話：03-3876-5771
柔道着,燃やすごみ,
書籍,資源,辞書、辞典、百科事典、教科書を含む。ひもでほどけないように束ねて出してください。
除湿機,粗大ごみ,
除湿剤,燃やすごみ,吸収した水分については、下水等に流してください。
除草剤,区では収集できないもの,台東清掃事務所で、処理処分先（民間業者）の紹介をしますのでお問合せください。台東清掃事務所電話：03-3876-5771
小型充電式電池,販売店の回収ボックス,ニカド、ニッケル水素、リチウムイオン、自転車用小型充電式電池※セロハンテープ等で絶縁して出してください。出すのが難しい場合は燃やさないごみへ。セロハンテープ等で絶縁してください。一般社団法人ＪＢＲＣ03-6403-5673http://www.jbrc.com/
消火器,区では収集できないもの,台東清掃事務所で、処理処分先（民間業者）の紹介をしますのでお問合せください。台東清掃事務所電話：03-3876-5771消火器リサイクル推進センター電話：03-5829-6773
照明器具,粗大ごみ,30cmを超えない大きさのものは、燃やさないごみへ。
畳,粗大ごみ,建築物除去に伴い生じたものは除きます。
色紙,燃やすごみ,資源回収では出せません。
食器洗い乾燥機,粗大ごみ,
食器類,燃やさないごみ,ガラス・陶器・金属のもの。新聞紙等に包んで「ワレモノ」と表記。プラスチック製は燃やすごみへ。
針,燃やさないごみ,ケース等に入れて出してください。
針金ハンガー,燃やさないごみ,
水槽,粗大ごみ,付属品も含まれます。30cmを超えない大きさのガラス製のものは、燃やさないごみへ。砂や石は収集できません。
水着,資源,
水筒,燃やさないごみ,金属製のもの。プラスチック製のものは、燃やすごみへ。
炊飯器,粗大ごみ（持込対象品目）,いちばん長い部分が30cmを超えないものは、燃やさないごみへ。
制服,資源,名前が入っているものは燃やすごみ。
生理用品,燃やすごみ,
石鹸,燃やすごみ,
扇風機,粗大ごみ,いちばん長い部分が30cmを超えないものは、燃やさないごみへ。
洗浄機付き便座,粗大ごみ,
洗濯ばさみ,燃やすごみ,プラスチック製・木製のもの。金属製は燃やさないごみへ。
洗濯ハンガー,燃やすごみ,プラスチック製・木製のもの。折りたたみ式等。金属製は燃やさないごみへ。
洗濯機,家電リサイクル法対象品目,
洗面器,燃やすごみ,プラスチック製のもの。いちばん長い部分が30cmを超えるものは、粗大ごみへ。
掃除機,粗大ごみ,おそうじロボットを含む。いちばん長い部分が30cmを超えないものは、燃やさないごみへ。
足袋,燃やすごみ,
体温計,燃やさないごみ,ガラス、電子のもの。水銀使用のものについては、台東清掃事務所または清掃リサイクル課窓口で回収しています。
体重計,燃やさないごみ,いちばん長い部分が30cmを超えるものは、粗大ごみへ。
耐熱ガラス製品,燃やさないごみ,資源では出せません。いちばん長い部分が30cmを超えるものは、粗大ごみへ。
帯,資源,
台所のごみ,燃やすごみ,生ごみ・卵の殻・貝殻・魚の骨・残飯など。生ごみはよく水切りをしてください。カラス被害を防ぐため、外から見えないように工夫してお出しください。
台所用品（プラスチック製）,燃やすごみ,いちばん長い部分が30cmを超えるものは、粗大ごみへ。
台所用品（金属製）,燃やさないごみ,いちばん長い部分が30cmを超えるものは、粗大ごみへ。
炭,燃やすごみ,
置物,燃やさないごみ,金属・陶器製のもの。木製・プラスチック製は燃やすごみへ。どちらもいちばん長い部分が30cmを超えるものは、粗大ごみへ。
竹刀,粗大ごみ,
着物,資源,
中綿コート,資源,
注射針,区では収集できないもの,在宅医療用のもの。「使用済み注射針回収薬局」と掲示している薬局へお持ちください。●使用済み注射針回収薬局一覧https://www.city.taito.lg.jp/kurashi/gomi/wakekata/syuusyuudekinaimono/chushabari/ichiran.html
調味料容器（びん・缶・ペットボトル）,資源,ゆすいで各種コンテナへ出してください。残った中身が取れないびん、缶は燃やさないごみへ、ペットボトルは燃やすごみへ。
調味料容器（プラスチック製）,燃やすごみ,液体以外の調味料の容器も含む。
漬けもの石,粗大ごみ,天然石は台東清掃事務所で、処理処分先（民間業者）の紹介をしますのでお問合せください。台東清掃事務所電話：03-3876-5771
釣竿,粗大ごみ,いちばん長い部分が30cmを超えないものは燃やすごみへ。「リール」は燃やさないごみへ。
鉄アレイ,粗大ごみ,ダンベルを含む。
鉄板,粗大ごみ,いちばん長い部分が30cmを超えないものは、燃やさないごみへ。
電気シェーバー,燃やさないごみ,
電気ポット,粗大ごみ,いちばん長い部分が30cmを超えないものは、燃やさないごみへ。
電気毛布,粗大ごみ,
電球,燃やさないごみ,LED電球を含む。ケース、または新聞紙等に包んで出してください。
電子タバコ,燃やさないごみ,本体部分。
電子レンジ,粗大ごみ（持込対象品目）,
電磁調理具,粗大ごみ,いちばん長い部分が30cmを超えないものは、燃やさないごみへ。
電卓,資源,※拠点回収で出すのが難しい場合は、燃やさないごみへ。
電池,資源,アルカリ、マンガン、オキシライド、リチウム（円筒型・コイン型）。※拠点回収で出すのが難しい場合は、燃やさないごみへ。※液漏れしていても回収します。
電動ドライバー,燃やさないごみ,
電話機,燃やさないごみ,FAX付きも含む。いちばん長い部分が30cmを超えるものは、粗大ごみへ。
塗料,区では収集できないもの,ペンキ等。台東清掃事務所で、処理処分先（民間業者）の紹介をしますのでお問合せください。台東清掃事務所電話：03-3876-5771
土,区では収集できないもの,大量にある場合は、台東清掃事務所で、処理処分先（民間業者）の紹介をしますのでお問合せください。台東清掃事務所電話：03-3876-5771ただし、家庭から出る園芸用の土であれば、月に一度20リットルの袋1つまで、ご持参頂ける場所がございます。詳しくはこちらをご覧ください。https://www.city.taito.lg.jp/kenchiku/hanamidori/hananokokoro/20180401.files/tuti.pdf
湯沸器,粗大ごみ,
灯油,区では収集できないもの,ガソリン、エンジンオイルも含む。台東清掃事務所で、処理処分先（民間業者）の紹介をしますのでお問合せください。台東清掃事務所電話：03-3876-5771
突っ張り棒,燃やさないごみ,30cmを超えるものは粗大ごみへ。※プラスチック製のものは燃やすごみへ。
鍋,燃やさないごみ,いちばん長い部分が30cmを超えるものは、粗大ごみへ。※柄は長さに含まない
入れ歯,燃やすごみ,金属製のものは燃やさないごみへ。
粘土,燃やすごみ,
納豆の容器,燃やすごみ,残った中身の取れないものは、資源になりません。発泡のもので、中身が取れたものは、資源（集積所）へ。
