項目,保護者状況（保育にあたれない理由）　類型,保護者状況（保育にあたれない理由）　細目1,保護者状況（保育にあたれない理由）　細目2,保護者状況（保育にあたれない理由）　細目3,基本指数,備考
1,就労,イ自営の協力者（居宅内）,おおむね週４日以上の就労,月１６日以上、１日７時間以上８時間未満の就労を常態,16,
1,就労,イ自営の協力者（居宅内）,おおむね週４日以上の就労,月１６日以上、１日６時間以上７時間未満の就労を常態,15,
1,就労,イ自営の協力者（居宅内）,おおむね週４日以上の就労,月１６日以上、１日５時間以上６時間未満の就労を常態,14,
1,就労,イ自営の協力者（居宅内）,おおむね週４日以上の就労,月１６日以上、１日４時間以上５時間未満の就労を常態,13,
1,就労,イ自営の協力者（居宅内）,おおむね週３日以上の就労,月１２日以上、１日８時間以上の就労を常態,15,
1,就労,イ自営の協力者（居宅内）,おおむね週３日以上の就労,月１２日以上、１日７時間以上８時間未満の就労を常態,14,
1,就労,イ自営の協力者（居宅内）,おおむね週３日以上の就労,月１２日以上、１日６時間以上７時間未満の就労を常態,13,
1,就労,イ自営の協力者（居宅内）,おおむね週３日以上の就労,月１２日以上、１日５時間以上６時間未満の就労を常態,12,
1,就労,イ自営の協力者（居宅内）,おおむね週３日以上の就労,月１２日以上、１日４時間以上５時間未満の就労を常態,11,
1,就労,イ自営の協力者（居宅内）,その他の就労,上記に当てはまらない１か月４８時間を超える就労及び就労実績３か月未満,10,
1,就労,内職,内職を常態(出来高など実績のわかるものを提出),,8,
2,出産,,出産(出産日から起算して８週間を経過する日が属する月の月末まで適用),,8,
3,保護者の疾病、障害,身体障害者,身体障害者手帳１級・身体障害者手帳２級・身体障害者手帳３級・身体障害者手帳４級,,20・19・18・17・16・15・14,
3,保護者の疾病、障害,知的障害者,愛の手帳１度・愛の手帳２度,,20・19・18・17・16・15・14,
3,保護者の疾病、障害,入院,２か月を越える長期入院,,20・19・18・17・16,
3,保護者の疾病、障害,入院,おおむね１か月から２か月までの一時的な入院,,18・17・16・15・14,
3,保護者の疾病、障害,疾病,常時臥床（昼間の大半を病床で過ごしている状態）,,20,
3,保護者の疾病、障害,疾病,精神性疾病・感染性疾病,,20・19・18・17・16・15・14,
3,保護者の疾病、障害,疾病,一般療養,,14・13・12・11・10,
4,"看護
介護",病院等付添,病院等付添(週４日以上),,16,
4,"看護
介護",病院等付添,病院等付添(週４日未満),,14,
4,"看護
介護",寝たきり高齢者または重度心身障害者等の介護,要介護５・要介護４・要介護３の高齢者を在宅介護している場合,,20・19・18・17・16,
4,"看護
介護",寝たきり高齢者または重度心身障害者等の介護,要介護２・要介護１の高齢者を在宅介護している場合,,14・13・12・11・10,
4,"看護
介護",寝たきり高齢者または重度心身障害者等の介護,身体障害者手帳１・身体障害者手帳２級または愛の手帳１度・愛の手帳２度の者を在宅介護している場合,,20・19・18・17・16,
4,"看護
介護",寝たきり高齢者または重度心身障害者等の介護,身体障害者手帳３級・身体障害者２級・身体障害者１級または愛の手帳３度・愛の手帳４度の者を在宅介護している場合,,14・13・12・11・10,
4,"看護
介護",自宅療養者の看護等,上記以外の要件で、看護等が必要と台東区が認める場合,,10,
5,災害,災害等による家屋の損傷、その他災害復旧に当たる場合,,,20,
6,求職活動,就労内定,保育実施予定日から就労開始予定(要就労証明書等提出),,7,
6,求職活動,求職活動,求職活動、または起業準備のため外出を予定,,6,
7,就学,就学・技能習得,通学の場合(指数は項目１－アを準用し４減じる）,,16・15・14・13・12・11・10・9・8・7,
7,就学,就学・技能習得,在宅の場合(指数は項目１－イを準用し４減じる),,15・14・13・12・11・10・9・8・7・6,
8,特例,上記のほか、明らかに保育が必要と台東区が認める場合(指数は審査会議において決定）,,,,
,,,,,,選考にあたっては、基本指数及び調整指数をもとに、児童のおかれている状況、家族構成などを考慮し、総合的に判断します。原則として台東区民を優先します。
,,,,,,（注１）基本指数の算定は保護者が２人のときは指数を合算するものとし、保護者が１人のときはその指数に２０を加えます。
,,,,,,（注２）複数の事由に該当する場合は、そのうち点数の高いもの一つを採用します。
,,,,,,（注３）就労時間には、休憩時間を含みます。また、時短勤務等の場合でも所定労働時間で採点します。
,,,,,,（注４）「自営の中心者」とは、経営者及び経営者以外で就労時間に対して妥当な給与（最低賃金以上）を支給されている者をいいます。
,,,,,,（注５）「自営の協力者」とは、上記注４にあてはまらない自営業従事者（自営業専従者、家族従業者等）をいいます。
,,,,,,（注６）「感染性疾病」とは、感染症の予防及び感染症の患者に対する医療に関する法律（平成１０年法律第１１４号）第３７条の２が適用されている者又は同条に該当する病状にある者若しくは児童に感染させる恐れのある者がいる場合をいいます。
,,,,,,（注７）「一般療養」とは、少なくとも週１回以上の通院を必要とする病状にあって、医師から安静又はこれに近い療養を指示されている状態をいいます。
,,,,,,（注８）「病院等付添」とは、自宅や病院等で看護に従事する者又は身体障害児の通学等に月１２日以上の付添をする場合をいいます。
,,,,,,（注９）「自宅療養」とは、自宅における軽度病人の看護等をいいます。
,,,,,,（注１０）「就学・技能習得」の技能習得とは、学生として学ぶことで就業に繋がる技能を習得できる講義を受講していることをいいます。
,,,,,,（注１１）提出書類等に整合性のない場合は、減点となる場合があります。
