事業所規模,和暦年,西暦年,年平均・月,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
30～99人,令和３,2021,7月,19.6,164.2,150.7,13.5,12.8,72.4,71,1.4
30～99人,令和３,2021,8月,17.6,147.6,135.3,12.3,11.9,68.5,67,1.5
30～99人,令和３,2021,9月,18.4,154.7,141.3,13.4,12.6,70.6,69.4,1.2
30～99人,令和３,2021,10月,19.1,161.4,147.2,14.2,12.8,73.2,71.5,1.7
30～99人,令和３,2021,11月,19.3,162.1,147.2,14.9,12.7,73.1,71.5,1.6
30～99人,令和３,2021,12月,18.9,159.7,144.7,15,12.7,73.2,71.5,1.7
100～499人,平成28,2016,年平均,19.2,162,146.2,15.8,14.9,90.3,87.2,3.1
100～499人,平成29,2017,年平均,19.3,162.2,147.1,15.1,14.7,89.7,86.7,3
100～499人,平成30,2018,年平均,19.1,159.8,145.5,14.3,14.4,89.1,85.6,3.5
100～499人,平成31・令和元,2019,年平均,18.8,156.9,142.1,14.8,13.8,87,83.3,3.7
100～499人,令和２,2020,年平均,18.7,153.8,140.2,13.6,13.6,84.6,80.7,3.9
100～499人,令和３,2021,年平均,18.8,159.2,143.8,15.4,14.2,90.5,86.6,3.9
100～499人,令和３,2021,1月,17.9,150.8,136.5,14.3,13.6,84.2,80.7,3.5
100～499人,令和３,2021,2月,17.7,149.3,134.6,14.7,13.8,89.2,85.6,3.6
100～499人,令和３,2021,3月,19.3,163,146.7,16.3,14.1,90.2,86.4,3.8
100～499人,令和３,2021,4月,20,169,152.8,16.2,14.4,92.6,88.6,4
100～499人,令和３,2021,5月,18,152.2,137.2,15,14.4,92.8,88.8,4
100～499人,令和３,2021,6月,19.5,164.8,149.7,15.1,14.5,92.5,88.5,4
100～499人,令和３,2021,7月,19.4,163.6,148.2,15.4,14.4,88.6,84.9,3.7
100～499人,令和３,2021,8月,18.2,154.1,139.4,14.7,13.9,89.6,85.9,3.7
100～499人,令和３,2021,9月,18.6,157.5,142.5,15,14.3,91,87.2,3.8
100～499人,令和３,2021,10月,19.2,163.2,147.5,15.7,14.5,88.7,84.6,4.1
100～499人,令和３,2021,11月,19.1,162.2,146,16.2,14.5,92.5,88.6,3.9
100～499人,令和３,2021,12月,19,160.9,144.7,16.2,14.6,93.3,89.2,4.1
500人以上,平成28,2016,年平均,19,159.1,142.8,16.3,13.5,87.1,83.8,3.3
500人以上,平成29,2017,年平均,19,159.3,143.8,15.5,13.4,85.9,82.9,3
500人以上,平成30,2018,年平均,19,159,144.3,14.7,14.6,101.3,96.5,4.8
500人以上,平成31・令和元,2019,年平均,18.6,155.9,140.2,15.7,13.4,91.8,87.5,4.3
500人以上,令和２,2020,年平均,18.4,153.5,138.6,14.9,12.2,80.8,77.3,3.5
500人以上,令和３,2021,年平均,18.6,156.5,140.2,16.3,12.6,82.8,79.2,3.6
500人以上,令和３,2021,1月,17.6,148.2,132.9,15.3,11.9,77.5,74.2,3.3
500人以上,令和３,2021,2月,17,143.4,128,15.4,11.6,77.1,73.6,3.5
500人以上,令和３,2021,3月,19.1,160.7,143.5,17.2,12.3,82.7,78.9,3.8
500人以上,令和３,2021,4月,19.8,167.3,150,17.3,13.3,88.6,84.6,4
500人以上,令和３,2021,5月,17.9,150.3,134.5,15.8,12.2,80.7,77.1,3.6
500人以上,令和３,2021,6月,19.3,162,145.8,16.2,13.1,86.1,82.6,3.5
500人以上,令和３,2021,7月,19.3,162.4,145.3,17.1,13,84.9,81.2,3.7
500人以上,令和３,2021,8月,18.1,151.8,136.6,15.2,12.2,82.1,78.5,3.6
500人以上,令和３,2021,9月,18.1,153,137.1,15.9,12.5,82.9,79.3,3.6
500人以上,令和３,2021,10月,19.2,161.2,144.4,16.8,12.9,82.9,79.4,3.5
500人以上,令和３,2021,11月,19,159.9,143.1,16.8,13,85.1,81.3,3.8
500人以上,令和３,2021,12月,18.7,157.2,141,16.2,12.8,83.9,80.3,3.6
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和３年年報,,,,,,,,,,,
第９表　規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間（調査産業計）,,,,,,,,,,,
