"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","はい[人]","いいえ[人]","無回答[人]"
"202203","自殺対策","Q28. 自殺をしたいと考えたことがあるかどうかについてお尋ねします。これまでの人生の中で、本気で自殺をしたいと考えたことがありますか","性・年代別","女性 70歳以上","42","3","39","0"
"202203","自殺対策","Q28. 自殺をしたいと考えたことがあるかどうかについてお尋ねします。これまでの人生の中で、本気で自殺をしたいと考えたことがありますか","性・年代別","女性 無回答","0","0","0","0"
"202203","自殺対策","Q28. 自殺をしたいと考えたことがあるかどうかについてお尋ねします。これまでの人生の中で、本気で自殺をしたいと考えたことがありますか","性・年代別","無回答","14","0","4","10"
"202203","自殺対策","Q28. 自殺をしたいと考えたことがあるかどうかについてお尋ねします。これまでの人生の中で、本気で自殺をしたいと考えたことがありますか","職業別","自営業主・家族従業","86","8","77","1"
"202203","自殺対策","Q28. 自殺をしたいと考えたことがあるかどうかについてお尋ねします。これまでの人生の中で、本気で自殺をしたいと考えたことがありますか","職業別","会社員・団体職員・公務員","243","36","204","3"
"202203","自殺対策","Q28. 自殺をしたいと考えたことがあるかどうかについてお尋ねします。これまでの人生の中で、本気で自殺をしたいと考えたことがありますか","職業別","アルバイト・パートタイマー","35","6","29","0"
"202203","自殺対策","Q28. 自殺をしたいと考えたことがあるかどうかについてお尋ねします。これまでの人生の中で、本気で自殺をしたいと考えたことがありますか","職業別","家事専業","55","4","49","2"
"202203","自殺対策","Q28. 自殺をしたいと考えたことがあるかどうかについてお尋ねします。これまでの人生の中で、本気で自殺をしたいと考えたことがありますか","職業別","学生","13","4","9","0"
"202203","自殺対策","Q28. 自殺をしたいと考えたことがあるかどうかについてお尋ねします。これまでの人生の中で、本気で自殺をしたいと考えたことがありますか","職業別","無職","81","10","70","1"
"202203","自殺対策","Q28. 自殺をしたいと考えたことがあるかどうかについてお尋ねします。これまでの人生の中で、本気で自殺をしたいと考えたことがありますか","職業別","その他","31","5","26","0"
"202203","自殺対策","Q28. 自殺をしたいと考えたことがあるかどうかについてお尋ねします。これまでの人生の中で、本気で自殺をしたいと考えたことがありますか","職業別","無回答","14","0","4","10"
"202203","自殺対策","Q28. 自殺をしたいと考えたことがあるかどうかについてお尋ねします。これまでの人生の中で、本気で自殺をしたいと考えたことがありますか","居住地区別","芝地区","86","15","70","1"
"202203","自殺対策","Q28. 自殺をしたいと考えたことがあるかどうかについてお尋ねします。これまでの人生の中で、本気で自殺をしたいと考えたことがありますか","居住地区別","麻布地区","87","14","73","0"
"202203","自殺対策","Q28. 自殺をしたいと考えたことがあるかどうかについてお尋ねします。これまでの人生の中で、本気で自殺をしたいと考えたことがありますか","居住地区別","赤坂地区","81","9","72","0"
"202203","自殺対策","Q28. 自殺をしたいと考えたことがあるかどうかについてお尋ねします。これまでの人生の中で、本気で自殺をしたいと考えたことがありますか","居住地区別","高輪地区","146","23","120","3"
"202203","自殺対策","Q28. 自殺をしたいと考えたことがあるかどうかについてお尋ねします。これまでの人生の中で、本気で自殺をしたいと考えたことがありますか","居住地区別","芝浦港南地区","139","11","128","0"
"202203","自殺対策","Q28. 自殺をしたいと考えたことがあるかどうかについてお尋ねします。これまでの人生の中で、本気で自殺をしたいと考えたことがありますか","居住地区別","無回答","19","1","5","13"
"202203","自殺対策","Q28. 自殺をしたいと考えたことがあるかどうかについてお尋ねします。これまでの人生の中で、本気で自殺をしたいと考えたことがありますか","住居形態別","持家（一戸建）","64","8","56","0"
"202203","自殺対策","Q28. 自殺をしたいと考えたことがあるかどうかについてお尋ねします。これまでの人生の中で、本気で自殺をしたいと考えたことがありますか","住居形態別","持家（マンション）","267","37","226","4"
"202203","自殺対策","Q28. 自殺をしたいと考えたことがあるかどうかについてお尋ねします。これまでの人生の中で、本気で自殺をしたいと考えたことがありますか","住居形態別","借家（一戸建）","9","2","6","1"
"202203","自殺対策","Q28. 自殺をしたいと考えたことがあるかどうかについてお尋ねします。これまでの人生の中で、本気で自殺をしたいと考えたことがありますか","住居形態別","民間の賃貸マンション・アパート","151","19","130","2"
"202203","自殺対策","Q28. 自殺をしたいと考えたことがあるかどうかについてお尋ねします。これまでの人生の中で、本気で自殺をしたいと考えたことがありますか","住居形態別","都営住宅・区営住宅・区立住宅","26","4","22","0"
"202203","自殺対策","Q28. 自殺をしたいと考えたことがあるかどうかについてお尋ねします。これまでの人生の中で、本気で自殺をしたいと考えたことがありますか","住居形態別","ＵＲ（旧公団）・公社の賃貸住宅","11","0","11","0"
"202203","自殺対策","Q28. 自殺をしたいと考えたことがあるかどうかについてお尋ねします。これまでの人生の中で、本気で自殺をしたいと考えたことがありますか","住居形態別","社宅・公務員宿舎","10","1","9","0"
"202203","自殺対策","Q28. 自殺をしたいと考えたことがあるかどうかについてお尋ねします。これまでの人生の中で、本気で自殺をしたいと考えたことがありますか","住居形態別","寮・寄宿舎・住み込み・間借り","4","1","3","0"
"202203","自殺対策","Q28. 自殺をしたいと考えたことがあるかどうかについてお尋ねします。これまでの人生の中で、本気で自殺をしたいと考えたことがありますか","住居形態別","その他","5","1","4","0"
"202203","自殺対策","Q28. 自殺をしたいと考えたことがあるかどうかについてお尋ねします。これまでの人生の中で、本気で自殺をしたいと考えたことがありますか","住居形態別","無回答","11","0","1","10"
"202203","自殺対策","Q28. 自殺をしたいと考えたことがあるかどうかについてお尋ねします。これまでの人生の中で、本気で自殺をしたいと考えたことがありますか","定住意向別","ずっと住み続けていたい","279","31","240","8"
"202203","自殺対策","Q28. 自殺をしたいと考えたことがあるかどうかについてお尋ねします。これまでの人生の中で、本気で自殺をしたいと考えたことがありますか","定住意向別","当分は住んでいたい","203","33","164","6"
"202203","自殺対策","Q28. 自殺をしたいと考えたことがあるかどうかについてお尋ねします。これまでの人生の中で、本気で自殺をしたいと考えたことがありますか","定住意向別","しばらくは住むつもりだが将来は区外に転居したい","45","5","38","2"
"202203","自殺対策","Q28. 自殺をしたいと考えたことがあるかどうかについてお尋ねします。これまでの人生の中で、本気で自殺をしたいと考えたことがありますか","定住意向別","近いうちに区外に転居したいが、具体的な計画はない","5","0","5","0"
"202203","自殺対策","Q28. 自殺をしたいと考えたことがあるかどうかについてお尋ねします。これまでの人生の中で、本気で自殺をしたいと考えたことがありますか","定住意向別","近いうちに区外に転居する予定である","13","1","12","0"
"202203","自殺対策","Q28. 自殺をしたいと考えたことがあるかどうかについてお尋ねします。これまでの人生の中で、本気で自殺をしたいと考えたことがありますか","定住意向別","わからない","10","3","7","0"
"202203","自殺対策","Q28. 自殺をしたいと考えたことがあるかどうかについてお尋ねします。これまでの人生の中で、本気で自殺をしたいと考えたことがありますか","定住意向別","無回答","3","0","2","1"

"第33回港区民世論調査クロス集計表・自殺対策Q28","Ver202203",,,,,,,
