 3-(2)海上出入貨物品種別表,,,,,,,,,,,,,,,(単位：トン）
品種,,合計,,輸出,,,,輸入,,,,移出,,移入,
32,鉄道車両,118,215,56,95,56,95,62,120,62,120,-,-,-,-
33,完成自動車,"1,121,962","2,040,705","7,129","13,082","6,984","12,937","1,873","4,110","1,738","3,959","632,085","1,167,355","480,875","856,158"
34,その他輸送用車両,"4,715","16,204",187,442,187,442,"2,895","12,498","2,445","10,281","1,591","3,221",42,43
35,二輪自動車,"4,639","11,542","2,724","4,450","2,724","4,450","1,884","7,042","1,884","7,042",15,24,16,26
36,自動車部品,"177,453","355,881","131,664","242,088","131,664","242,088","41,789","106,793","41,785","106,789","1,480","2,650","2,520","4,350"
37,その他輸送機械,"47,805","97,176","5,098","10,707","5,098","10,707","16,542","45,714","16,542","45,714","10,080","15,180","16,085","25,575"
38,産業機械,"233,423","485,517","147,782","261,080","147,063","260,018","68,455","195,394","68,435","195,358","13,801","24,023","3,385","5,020"
39,電気機械,"215,909","565,334","53,118","93,914","53,118","93,914","156,703","461,955","156,635","461,845","4,994","7,904","1,094","1,561"
40,測量・光学・医療用機械,"40,160","88,608","18,919","35,314","18,919","35,079","17,351","47,603","17,348","46,940","2,842","3,808","1,048","1,883"
41,事務用機器,"9,023","35,880","2,073","3,855","2,073","3,855","4,339","21,905","4,339","21,905","2,526","9,980",85,140
42,その他機械,"3,847","8,040",750,"1,080",750,"1,080","1,338","3,582","1,338","3,582","1,169","2,123",590,"1,255"
化学工業品,,"1,043,839","2,121,341","198,437","343,787","198,436","343,786","220,791","512,459","220,781","512,449","36,910","71,586","587,701","1,193,509"
43,陶磁器,"8,426","20,969",623,"1,064",623,"1,064","7,803","19,905","7,803","19,905",-,-,-,-
44,セメント,"191,279","353,953",45,60,45,60,"1,277","2,579","1,277","2,579","4,308","6,544","185,649","344,770"
45,ガラス類,"17,732","38,805","7,334","12,705","7,334","12,705","9,273","24,265","9,273","24,265","1,080","1,780",45,55
46,窯業品,"29,035","57,071","10,449","17,820","10,449","17,820","12,475","29,121","12,475","29,121","4,511","6,911","1,600","3,219"
47,重油,"34,517","69,152",-,-,-,-,-,-,-,-,"16,472","32,972","18,045","36,180"
48,揮発油,85,167,-,-,-,-,15,15,15,15,70,152,-,-
49,その他の石油,"369,651","765,386","2,591","3,615","2,591","3,615","1,394","2,745","1,394","2,745",723,"2,133","364,943","756,893"
50,LNG/液化天然ガス,30,45,-,-,-,-,30,45,30,45,-,-,-,-
51,LPG/液化石油ガス,748,"1,318",-,-,-,-,45,105,45,105,703,"1,213",-,-
52,その他石油製品,"10,685","33,401",297,418,297,418,"1,336","2,225","1,336","2,225","1,367","1,983","7,685","28,775"
53,コークス,"1,260","6,723",-,-,-,-,"1,260","2,505","1,260","2,505",-,"1,610",-,"2,608"
54,石炭製品,435,947,435,902,435,902,-,45,-,45,-,-,-,-
55,化学薬品,"70,595","148,129","25,317","42,732","25,317","42,732","38,958","89,802","38,958","89,802","3,096","6,310","3,224","9,285"
56,化学肥料,"5,342","11,316",776,886,776,886,"4,016","9,470","4,016","9,470",310,485,240,475
57,その他化学工業品,"304,019","613,959","150,570","263,585","150,569","263,584","142,909","329,632","142,899","329,622","4,270","9,493","6,270","11,249"
軽工業品,,"511,404","1,064,219","58,528","97,400","58,505","97,365","310,562","690,108","310,560","690,104","42,896","79,187","99,418","197,524"
58,紙・パルプ,"142,627","283,666","22,655","37,647","22,655","37,647","51,853","104,320","51,853","104,320","3,243","6,648","64,876","135,051"
59,糸及び紡績半製品,"5,079","9,380",987,"1,324",987,"1,324","4,092","8,056","4,092","8,056",-,-,-,-
60,その他繊維工業品,"24,796","54,982","4,730","7,656","4,707","7,621","19,781","46,670","19,781","46,670",285,646,-,10
61,砂糖,"10,855","21,971",32,47,32,47,"2,983","7,470","2,983","7,470","1,566","2,500","6,274","11,954"
62,製造食品,"203,384","447,987","24,489","41,265","24,489","41,265","159,186","368,726","159,184","368,722","12,336","25,285","7,373","12,711"
63,飲料,"68,895","140,605","5,256","8,873","5,256","8,873","37,362","85,480","37,362","85,480","19,232","33,194","7,045","13,058"
64,水,"17,500","36,741",342,492,342,492,"13,314","30,055","13,314","30,055","2,414","3,629","1,430","2,565"
65,たばこ,"7,112","14,451",23,79,23,79,"6,214","12,722","6,214","12,722",610,"1,210",265,440
66,その他食料工業品,"31,156","54,436",14,17,14,17,"15,777","26,609","15,777","26,609","3,210","6,075","12,155","21,735"
雑工業品,,"588,064","1,664,416","94,089","171,171","94,070","171,137","450,980","1,413,799","450,974","1,413,612","33,807","64,481","9,188","14,965"
67,がん具,"14,187","65,383","2,551","4,273","2,551","4,273","11,626","61,095","11,626","61,095",10,15,-,-
68,衣服・身廻品・はきもの,"200,722","661,179","13,404","24,165","13,404","24,165","183,746","631,447","183,746","631,445","3,443","5,348",129,219
69,文房具・運動娯楽用品・楽器,"39,640","110,765","11,086","19,256","11,086","19,256","25,730","87,982","25,730","87,972",714,"1,347","2,110","2,180"
70,家具装備品,"92,003","310,515","7,625","12,730","7,625","12,730","81,843","292,242","81,842","292,239","2,195","4,898",340,645
71,その他日用品,"55,335","121,840","7,459","14,285","7,459","14,285","25,894","64,566","25,893","64,565","19,450","38,266","2,532","4,723"
72,ゴム製品,"61,136","125,727","32,677","61,944","32,677","61,944","26,837","60,725","26,837","60,725",830,"1,540",792,"1,518"
73,木製品,"84,928","183,733","1,015","2,182","1,015","2,182","81,928","177,944","81,928","177,777","1,765","3,007",220,600
74,その他製造工業品,"40,113","85,274","18,272","32,336","18,253","32,302","13,376","37,798","13,372","37,794","5,400","10,060","3,065","5,080"
特殊品,,"1,007,860","1,962,119","238,503","445,747","199,191","360,257","131,746","321,509","131,677","307,406","452,806","841,991","184,805","352,872"
75,金属くず,"55,670","114,941","48,237","98,801","9,487","14,121","4,615","9,989","4,615","9,989","1,464","3,202","1,354","2,949"
76,再利用資材,"195,771","366,915","159,882","294,545","159,882","294,545","3,331","6,581","3,331","6,581","28,647","59,889","3,911","5,900"
77,動植物性製造飼肥料,"79,481","172,854","1,749","2,250","1,749","2,250","74,026","159,973","74,026","159,973","3,121","9,536",585,"1,095"
78,廃棄物,"1,593","2,362",-,-,-,-,-,-,-,-,350,660,"1,243","1,702"
79,廃土砂,"190,325","345,834",-,-,-,-,-,-,-,-,"190,321","345,766",4,68
80,輸送用容器,"87,355","211,236","17,277","29,326","16,715","28,516","47,744","136,024","47,675","121,921","5,872","11,612","16,462","34,274"
81,取合せ品,"397,665","747,977","11,358","20,825","11,358","20,825","2,030","8,942","2,030","8,942","223,031","411,326","161,246","306,884"
分類不能のもの,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
