"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","知っていて、内容を読んだことがある[人]","知っているが、内容を読んだことはない[人]","知らなかったが、内容を読んでみたい[人]","知らないし内容を読んでみたいと思わない[人]","無回答[人]"
"202003","平和","Q26. 区では、核兵器廃絶や世界の恒久平和を願い、昭和60年８月15日に「港区平和都市宣言」を行いました。あなたは、「港区平和都市宣言」を知っていますか。（１つ選択）","性・年代別","女性 18～29歳","28","1","5","15","7","0"
"202003","平和","Q26. 区では、核兵器廃絶や世界の恒久平和を願い、昭和60年８月15日に「港区平和都市宣言」を行いました。あなたは、「港区平和都市宣言」を知っていますか。（１つ選択）","性・年代別","女性 30～39歳","65","2","12","39","12","0"
"202003","平和","Q26. 区では、核兵器廃絶や世界の恒久平和を願い、昭和60年８月15日に「港区平和都市宣言」を行いました。あなたは、「港区平和都市宣言」を知っていますか。（１つ選択）","性・年代別","女性 40～49歳","95","6","35","45","9","0"
"202003","平和","Q26. 区では、核兵器廃絶や世界の恒久平和を願い、昭和60年８月15日に「港区平和都市宣言」を行いました。あなたは、「港区平和都市宣言」を知っていますか。（１つ選択）","性・年代別","女性 50～59歳","82","6","23","45","8","0"
"202003","平和","Q26. 区では、核兵器廃絶や世界の恒久平和を願い、昭和60年８月15日に「港区平和都市宣言」を行いました。あなたは、「港区平和都市宣言」を知っていますか。（１つ選択）","性・年代別","女性 60～69歳","55","3","18","31","3","0"
"202003","平和","Q26. 区では、核兵器廃絶や世界の恒久平和を願い、昭和60年８月15日に「港区平和都市宣言」を行いました。あなたは、「港区平和都市宣言」を知っていますか。（１つ選択）","性・年代別","女性 70歳以上","75","9","27","27","8","4"
"202003","平和","Q26. 区では、核兵器廃絶や世界の恒久平和を願い、昭和60年８月15日に「港区平和都市宣言」を行いました。あなたは、「港区平和都市宣言」を知っていますか。（１つ選択）","性・年代別","女性 無回答","0","0","0","0","0","0"
"202003","平和","Q26. 区では、核兵器廃絶や世界の恒久平和を願い、昭和60年８月15日に「港区平和都市宣言」を行いました。あなたは、「港区平和都市宣言」を知っていますか。（１つ選択）","性・年代別","無回答","10","1","2","5","1","1"
"202003","平和","Q26. 区では、核兵器廃絶や世界の恒久平和を願い、昭和60年８月15日に「港区平和都市宣言」を行いました。あなたは、「港区平和都市宣言」を知っていますか。（１つ選択）","職業別","自営業主・家族従業","92","6","33","41","9","3"
"202003","平和","Q26. 区では、核兵器廃絶や世界の恒久平和を願い、昭和60年８月15日に「港区平和都市宣言」を行いました。あなたは、「港区平和都市宣言」を知っていますか。（１つ選択）","職業別","会社員・団体職員・公務員","280","17","70","138","54","1"
"202003","平和","Q26. 区では、核兵器廃絶や世界の恒久平和を願い、昭和60年８月15日に「港区平和都市宣言」を行いました。あなたは、「港区平和都市宣言」を知っていますか。（１つ選択）","職業別","アルバイト・パートタイマー","58","3","18","29","7","1"
"202003","平和","Q26. 区では、核兵器廃絶や世界の恒久平和を願い、昭和60年８月15日に「港区平和都市宣言」を行いました。あなたは、「港区平和都市宣言」を知っていますか。（１つ選択）","職業別","家事専業","94","10","27","44","11","2"
"202003","平和","Q26. 区では、核兵器廃絶や世界の恒久平和を願い、昭和60年８月15日に「港区平和都市宣言」を行いました。あなたは、「港区平和都市宣言」を知っていますか。（１つ選択）","職業別","学生","20","1","5","10","4","0"
"202003","平和","Q26. 区では、核兵器廃絶や世界の恒久平和を願い、昭和60年８月15日に「港区平和都市宣言」を行いました。あなたは、「港区平和都市宣言」を知っていますか。（１つ選択）","職業別","無職","83","10","25","31","15","2"
"202003","平和","Q26. 区では、核兵器廃絶や世界の恒久平和を願い、昭和60年８月15日に「港区平和都市宣言」を行いました。あなたは、「港区平和都市宣言」を知っていますか。（１つ選択）","職業別","その他","26","2","10","11","3","0"
"202003","平和","Q26. 区では、核兵器廃絶や世界の恒久平和を願い、昭和60年８月15日に「港区平和都市宣言」を行いました。あなたは、「港区平和都市宣言」を知っていますか。（１つ選択）","職業別","無回答","5","0","1","2","0","2"
"202003","平和","Q26. 区では、核兵器廃絶や世界の恒久平和を願い、昭和60年８月15日に「港区平和都市宣言」を行いました。あなたは、「港区平和都市宣言」を知っていますか。（１つ選択）","居住地区別","芝地区","107","10","34","46","15","2"
"202003","平和","Q26. 区では、核兵器廃絶や世界の恒久平和を願い、昭和60年８月15日に「港区平和都市宣言」を行いました。あなたは、「港区平和都市宣言」を知っていますか。（１つ選択）","居住地区別","麻布地区","140","12","38","64","26","0"
"202003","平和","Q26. 区では、核兵器廃絶や世界の恒久平和を願い、昭和60年８月15日に「港区平和都市宣言」を行いました。あなたは、「港区平和都市宣言」を知っていますか。（１つ選択）","居住地区別","赤坂地区","88","6","26","40","15","1"
"202003","平和","Q26. 区では、核兵器廃絶や世界の恒久平和を願い、昭和60年８月15日に「港区平和都市宣言」を行いました。あなたは、「港区平和都市宣言」を知っていますか。（１つ選択）","居住地区別","高輪地区","155","13","42","75","23","2"
"202003","平和","Q26. 区では、核兵器廃絶や世界の恒久平和を願い、昭和60年８月15日に「港区平和都市宣言」を行いました。あなたは、「港区平和都市宣言」を知っていますか。（１つ選択）","居住地区別","芝浦港南地区","164","8","49","79","23","5"
"202003","平和","Q26. 区では、核兵器廃絶や世界の恒久平和を願い、昭和60年８月15日に「港区平和都市宣言」を行いました。あなたは、「港区平和都市宣言」を知っていますか。（１つ選択）","居住地区別","無回答","4","0","0","2","1","1"
"202003","平和","Q26. 区では、核兵器廃絶や世界の恒久平和を願い、昭和60年８月15日に「港区平和都市宣言」を行いました。あなたは、「港区平和都市宣言」を知っていますか。（１つ選択）","住居形態別","持家（一戸建）","95","11","36","34","11","3"
"202003","平和","Q26. 区では、核兵器廃絶や世界の恒久平和を願い、昭和60年８月15日に「港区平和都市宣言」を行いました。あなたは、「港区平和都市宣言」を知っていますか。（１つ選択）","住居形態別","持家（マンション）","302","28","88","145","39","2"
"202003","平和","Q26. 区では、核兵器廃絶や世界の恒久平和を願い、昭和60年８月15日に「港区平和都市宣言」を行いました。あなたは、「港区平和都市宣言」を知っていますか。（１つ選択）","住居形態別","借家（一戸建）","7","0","0","5","2","0"
"202003","平和","Q26. 区では、核兵器廃絶や世界の恒久平和を願い、昭和60年８月15日に「港区平和都市宣言」を行いました。あなたは、「港区平和都市宣言」を知っていますか。（１つ選択）","住居形態別","民間の賃貸マンション・アパート","171","4","43","88","35","1"
"202003","平和","Q26. 区では、核兵器廃絶や世界の恒久平和を願い、昭和60年８月15日に「港区平和都市宣言」を行いました。あなたは、「港区平和都市宣言」を知っていますか。（１つ選択）","住居形態別","都営住宅・区営住宅・区立住宅","28","4","10","5","6","3"
"202003","平和","Q26. 区では、核兵器廃絶や世界の恒久平和を願い、昭和60年８月15日に「港区平和都市宣言」を行いました。あなたは、「港区平和都市宣言」を知っていますか。（１つ選択）","住居形態別","ＵＲ（旧公団）・公社の賃貸住宅","18","0","9","7","2","0"
"202003","平和","Q26. 区では、核兵器廃絶や世界の恒久平和を願い、昭和60年８月15日に「港区平和都市宣言」を行いました。あなたは、「港区平和都市宣言」を知っていますか。（１つ選択）","住居形態別","社宅・公務員宿舎","20","2","3","11","4","0"
"202003","平和","Q26. 区では、核兵器廃絶や世界の恒久平和を願い、昭和60年８月15日に「港区平和都市宣言」を行いました。あなたは、「港区平和都市宣言」を知っていますか。（１つ選択）","住居形態別","寮・寄宿舎・住み込み・間借り","6","0","0","4","2","0"
"202003","平和","Q26. 区では、核兵器廃絶や世界の恒久平和を願い、昭和60年８月15日に「港区平和都市宣言」を行いました。あなたは、「港区平和都市宣言」を知っていますか。（１つ選択）","住居形態別","その他","5","0","0","3","2","0"
"202003","平和","Q26. 区では、核兵器廃絶や世界の恒久平和を願い、昭和60年８月15日に「港区平和都市宣言」を行いました。あなたは、「港区平和都市宣言」を知っていますか。（１つ選択）","住居形態別","無回答","6","0","0","4","0","2"
"202003","平和","Q26. 区では、核兵器廃絶や世界の恒久平和を願い、昭和60年８月15日に「港区平和都市宣言」を行いました。あなたは、「港区平和都市宣言」を知っていますか。（１つ選択）","定住意向別","ずっと住み続けていたい","366","41","108","162","48","7"
"202003","平和","Q26. 区では、核兵器廃絶や世界の恒久平和を願い、昭和60年８月15日に「港区平和都市宣言」を行いました。あなたは、「港区平和都市宣言」を知っていますか。（１つ選択）","定住意向別","当分は住んでいたい","224","6","58","112","45","3"
"202003","平和","Q26. 区では、核兵器廃絶や世界の恒久平和を願い、昭和60年８月15日に「港区平和都市宣言」を行いました。あなたは、「港区平和都市宣言」を知っていますか。（１つ選択）","定住意向別","しばらくは住むつもりだが将来は区外に転居したい","42","1","14","19","7","1"
"202003","平和","Q26. 区では、核兵器廃絶や世界の恒久平和を願い、昭和60年８月15日に「港区平和都市宣言」を行いました。あなたは、「港区平和都市宣言」を知っていますか。（１つ選択）","定住意向別","近いうちに区外に転居したいが、具体的な計画はない","2","0","1","1","0","0"
"202003","平和","Q26. 区では、核兵器廃絶や世界の恒久平和を願い、昭和60年８月15日に「港区平和都市宣言」を行いました。あなたは、「港区平和都市宣言」を知っていますか。（１つ選択）","定住意向別","近いうちに区外に転居する予定である","9","0","4","5","0","0"
"202003","平和","Q26. 区では、核兵器廃絶や世界の恒久平和を願い、昭和60年８月15日に「港区平和都市宣言」を行いました。あなたは、「港区平和都市宣言」を知っていますか。（１つ選択）","定住意向別","わからない","14","1","4","6","3","0"
"202003","平和","Q26. 区では、核兵器廃絶や世界の恒久平和を願い、昭和60年８月15日に「港区平和都市宣言」を行いました。あなたは、「港区平和都市宣言」を知っていますか。（１つ選択）","定住意向別","無回答","1","0","0","1","0","0"

"第32回港区民世論調査クロス集計表・平和Q26","Ver202003",,,,,,,,,
