"施設名称","施設所在地","施設方書","施設電話番号","施設開設日","診療科目名称","緯度","経度"
"東京スマイル歯科","東京都港区麻布十番一丁目3番2号","麻布十番アネックス1階","03-5114-0040","2010/2/24","歯科、矯正歯科、小児歯科、歯科口腔外科","35.657017","139.735844"
"医療法人社団世航会　アールケーデンタルオフィス麻布十番","東京都港区麻布十番一丁目3番11号","今井ビル1階","03-5544-8208","2014/7/4","歯科、矯正歯科、小児歯科、歯科口腔外科","35.656817","139.735525"
"麻布十番Ｄデンタルオフィス","東京都港区麻布十番一丁目4番7号","麻布マスターズ2階","03-5545-8241","2005/11/30","歯科、矯正歯科、小児歯科、歯科口腔外科","35.656991","139.734886"
"ＵＣ矯正歯科クリニック麻布十番","東京都港区麻布十番一丁目5番19号","ラトリエ・メモワールビル3階","03-3408-5079","2020/4/1","矯正歯科","35.656613","139.733699"
"あおいデンタルクリニック","東京都港区麻布十番一丁目7番1号","MGB麻布十番ビル2階","03-5412-0418","2007/2/28","歯科、小児歯科、歯科口腔外科","35.656668","139.734527"
"福地歯科医院","東京都港区麻布十番一丁目7番1号","ヨーロッパハウス7階","03-3404-8708","2000/3/25","歯科","35.656628","139.734607"
"麻布十番商店街歯科","東京都港区麻布十番一丁目8番10号","麻布十番TSビル4階","03-6441-2585","2012/11/27","歯科、矯正歯科、小児歯科、歯科口腔外科","35.655959","139.735522"
"Ｍ－Ｙクリニック歯科","東京都港区麻布十番一丁目8番13号","H.Bビル3階","03-3505-0612","2007/8/27","歯科、矯正歯科、小児歯科、歯科口腔外科","35.656078","139.735136"
"十番歯科","東京都港区麻布十番一丁目11番7号","カニエビル3階","03-5544-9195","2023/6/30","歯科、矯正歯科、歯科口腔外科、小児歯科","35.655780","139.736852"
"麻布十番矯正歯科室","東京都港区麻布十番二丁目1番1号","KINOKUNIYA SUGAR RESIDENCE 2階","03-5439-5008","2015/1/18","歯科、矯正歯科","35.655474","139.736050"
"ホワイトエッセンス麻布十番Ｍ’ｓデンタルクリニック","東京都港区麻布十番二丁目3番6号","FLEG麻布十番primo5階","03-3455-4618","2007/8/31","歯科、矯正歯科、小児歯科、歯科口腔外科","35.655545","139.735178"
"麻布十番クレールデンタルクリニック","東京都港区麻布十番二丁目3番8号","OTMビル5階","03-6809-3696","2014/9/1","歯科、小児歯科、矯正歯科、歯科口腔外科","35.655333","139.735046"
"ＭＫ歯科医院","東京都港区麻布十番二丁目3番8号","OTM5階","03-6435-4141","2024/1/2","歯科、小児歯科、矯正歯科、歯科口腔外科","35.655333","139.735046"
"久松歯科医院","東京都港区麻布十番二丁目5番2号",,"03-3408-5500","1983/7/1","歯科","35.656369","139.733576"
"ａｙａｌａ　麻布　デンタル＆ビューティー","東京都港区麻布十番二丁目5番14号","マイコーナービル5階","03-6721-1736","2020/12/14","歯科、歯科口腔外科、矯正歯科、美容皮膚科","35.656494","139.733290"
"医療法人社団ハート会　麻布十番ハート歯科クリニック","東京都港区麻布十番二丁目8番8号","麻布十番ミレニアムタワー201号","03-6435-2277","2016/8/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.655329","139.734766"
"綱島歯科クリニック","東京都港区麻布十番二丁目8番10号","麻布松屋ビル","03-5443-6065","1994/4/1","歯科","35.655416","139.734447"
"白宝デンタルクリニック","東京都港区麻布十番二丁目12番7号","ラポール麻布十番601","03-3451-0840","2008/4/21","歯科、矯正歯科","35.654022","139.735086"
"医療法人　武井会　ＫＳ麻布十番デンタルクリニック","東京都港区麻布十番二丁目14番11号","ルート麻布ビル1階","03-5440-8838","2018/1/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.654968","139.735565"
"医療法人社団スマイルベア　キッズデンタル麻布","東京都港区麻布十番二丁目17番4号","1階","03-5439-5810","2014/3/1","小児歯科","35.653944","139.736026"
"フェイストーク麻布十番矯正歯科","東京都港区麻布十番二丁目18番8号","ABAアサミビル5階","03-6435-2631","2023/9/27","矯正歯科","35.654248","139.735894"
"イマイ歯科クリニック","東京都港区麻布十番二丁目20番2号","麻布十番ハイツ2階","03-3452-6480","1981/11/13","歯科、矯正歯科、小児歯科","35.655197","139.736762"
"医療法人社団仁寿会　麻布十番デンタルクリニック","東京都港区麻布十番二丁目21番4号","ローレル麻布十番201","03-3455-8687","1997/8/23","歯科、矯正歯科","35.654360","139.736642"
"麻布シティデンタルクリニック","東京都港区麻布十番三丁目2番7号","リゾーム麻布十番1階","03-6809-5748","2015/7/28","矯正歯科、歯科、小児歯科、歯科口腔外科","35.653147","139.736124"
"麻布小川歯科医院","東京都港区麻布十番三丁目4番5号","アクアコート麻布1階","03-5443-4618","2000/10/18","歯科","35.653431","139.735849"
"関根歯科医院","東京都港区麻布十番三丁目7番13号",,"03-3451-7529","2006/8/2","歯科","35.653812","139.734760"
"デンタルプライム麻布十番","東京都港区麻布十番三丁目11番10号","パークハウス麻布十番アーバンス1階","03-6435-2585","2021/9/22","歯科、小児歯科、矯正歯科、歯科口腔外科","35.652739","139.735285"
"麻布十番歯科オーラルケア","東京都港区麻布十番三丁目14番5号","ローズビル1階","03-5232-0146","2011/1/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.652753","139.736124"
"麻布十番　はな歯科","東京都港区麻布十番四丁目6番8号","麻布十番アクティブビル3階","03-6453-6033","2017/4/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.653070","139.736972"
"医療法人社団歯周会麻布台西堀歯科","東京都港区麻布台一丁目3番1号","麻布台ヒルズ森JPタワー4階","03-6459-1031","2023/10/1","歯科、小児歯科、矯正歯科、歯科口腔外科","35.660882","139.740657"
"医療法人社団和裕会　麻布台ユナイテッドデンタルオフィス","東京都港区麻布台一丁目7番3号","VORT神谷町2　1階","03-5570-4334","2024/3/13","歯科、小児歯科、矯正歯科、歯科口腔外科","35.660991","139.743069"
"愛宕デンタルオフィス","東京都港区愛宕一丁目3番4号","愛宕東洋ビルB1","03-5402-3990","1998/2/20","歯科","35.666034","139.749379"
"東京浜松町大西歯科クリニック","東京都港区海岸一丁目2番3号","汐留芝離宮ビルディング地下1階","03-3432-1084","2023/7/1","歯科、矯正歯科、歯科口腔外科","35.656996","139.758739"
"医療法人社団日坂会　東京浜松町歯科クリニック","東京都港区海岸一丁目2番20号","汐留ビルディング2階","03-5472-6480","2007/12/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.656822","139.759378"
"浜松町歯科・矯正治療院","東京都港区海岸一丁目10番30号","アトレ竹芝タワー棟3階","03-5422-1291","2023/8/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.655884","139.762831"
"医療法人社団　日坂会　東京ポートシティ竹芝歯科クリニック","東京都港区海岸一丁目13番15号","東京ポートシティ竹芝レジデンスタワー3階","03-3431-4618","2021/4/1","矯正歯科、小児歯科、歯科、歯科口腔外科","35.654524","139.761618"
"竹芝サウスタワー歯科","東京都港区海岸一丁目16番1号","ニューピア竹芝サウスタワー4階","03-6402-1180","2011/10/1","歯科、歯科口腔外科","35.653403","139.762589"
"東京港診療所　西原歯科医院","東京都港区海岸三丁目9番5号","2階","03-3454-1551","2011/3/28","歯科、小児歯科","35.639667","139.754597"
"海岸歯科クリニック","東京都港区海岸三丁目18番26号","ペガソ21海岸ビル3階","03-5443-1939","2007/8/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.643848","139.756257"
"医療法人社団青仁会　ＡＯ１　ＤＥＮＴＡＬ　ＣＬＩＮＩＣ","東京都港区北青山一丁目2番7号","コウヅキキャピタルイースト地下1階、1階、2階","03-3402-6480","2008/10/13","歯科、矯正歯科、小児歯科、歯科口腔外科","35.672826","139.723427"
"医療法人財団興学会青山歯科診療所","東京都港区北青山二丁目5番8号","青山OM-SQUARE地下1階","03-6804-2378","2020/1/7","歯科、矯正歯科、小児歯科","35.671192","139.718664"
"医療法人社団希会　根間デンタルオフィス北青山","東京都港区北青山二丁目7番11号","但馬屋ビル3階","03-3479-7773","2002/3/1","歯科、矯正歯科、歯科口腔外科","35.670947","139.718075"
"天川デンタルオフィス外苑前","東京都港区北青山二丁目7番18号","第一真砂ビル4階","03-5926-3871","2007/3/22","歯科、矯正歯科、小児歯科、歯科口腔外科","35.670483","139.717098"
"ＡＲＡデンタルオフィス","東京都港区北青山二丁目7番20号","2階","03-6447-2350","2009/11/20","歯科、矯正歯科、小児歯科、歯科口腔外科","35.670664","139.717043"
"医療法人社団杏林会　青山外苑矯正歯科","東京都港区北青山二丁目7番22号","H・T・神宮外苑ビル4階","03-3404-0418","2023/4/21","矯正歯科、歯科","35.670843","139.717058"
"サウラデンタルクリニック","東京都港区北青山二丁目7番25号","神宮外苑ビル2号館8階","03-3405-6480","2021/2/1","歯科、小児歯科、矯正歯科、歯科口腔外科","35.671321","139.717258"
"Ｍｉｉ　ＤＥＮＴＡＬ　ＳＴＵＤＩＯ","東京都港区北青山二丁目7番27号","P'sGAIENMAE3階","03-6271-5525","2024/1/20","歯科、矯正歯科、小児歯科、歯科口腔外科","35.671712","139.717049"
"医療法人社団　歯科糸井医院","東京都港区北青山二丁目9番10号",,"03-3401-2592","1991/1/1","歯科","35.671331","139.716614"
"医療法人社団慧生会２４６外苑前歯科","東京都港区北青山二丁目12番15号","G-FRONT AOYAMA2階","03-6804-6778","2017/4/3","歯科、矯正歯科、小児歯科、歯科口腔外科","35.670405","139.716569"
"えのもと歯科医院","東京都港区北青山二丁目13番3号","榎本ビル2階","03-5410-8878","1993/4/20","歯科、小児歯科","35.670122","139.716200"
"岡田歯科医院","東京都港区北青山三丁目3番7号","第一青山ビル2階","03-3408-0108","1973/2/5","歯科","35.668363","139.714833"
"ホワイトエッセンス青山","東京都港区北青山三丁目5番4号","青山高野ビル4階","03-3475-8800","2019/3/6","歯科、矯正歯科","35.667503","139.714255"
"すずきデンタルクリニック","東京都港区北青山三丁目5番8号","青山OKビル4階","03-5770-5360","2005/6/19","歯科","35.667055","139.713863"
"医療法人社団表参道審美会表参道デンタルクリニック","東京都港区北青山三丁目5番9号","中央珈琲本社ビル6階","03-6459-2799","2018/4/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.666965","139.713786"
"山下歯科医院","東京都港区北青山三丁目5番17号",,"03-3408-3317","1969/12/26","歯科","35.666065","139.712824"
"アイエスデンタルクリニック","東京都港区北青山三丁目5番25号","下島ビル4階","03-5785-2953","2015/10/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.665587","139.712415"
"ドルミーレデンタルオフィス表参道","東京都港区北青山三丁目5番40号","YCビル2　1階","03-6804-3228","2023/10/1","歯科、小児歯科、矯正歯科、歯科口腔外科","35.666756","139.711733"
"表参道髙柳矯正歯科","東京都港区北青山三丁目5番44号","HT青山4階","03-6434-5681","2021/6/6","矯正歯科","35.666897","139.711868"
"ＤｅｎｔａｌＳａｌｏｎ　Ｉｇｅｔａ","東京都港区北青山三丁目5番44号","HT青山302号室","03-7663-3523","2021/7/11","歯科","35.666897","139.711868"
"医療法人社団康友会　パトリア歯科医院","東京都港区北青山三丁目6番17号","アクセス表参道ビル4階","03-3406-5120","2011/12/1","歯科","35.664725","139.711735"
"オオタケデンタルオフィス","東京都港区北青山三丁目6番19号","三和実業表参道ビル3階","03-5766-0022","2016/4/1","歯科、矯正歯科","35.664514","139.711432"
"医療法人社団メディカルツリー　表参道ハクデンタルクリニック","東京都港区北青山三丁目6番20号","青山T&E5階","03-6418-6198","2016/10/1","歯科、矯正歯科","35.664342","139.711414"
"表参道　ＨＩＫＡＲＩ　ＤＥＮＴＡＬ　矯正歯科","東京都港区北青山三丁目6番23号","青山ダイハンビル4階","03-6427-4209","2015/8/13","矯正歯科、歯科、歯科口腔外科","35.664404","139.711256"
"Ｄ２デンタルデザインクリニック","東京都港区北青山三丁目7番10号","D2 Place 2階","03-3406-1115","1998/3/20","歯科、矯正歯科","35.664753","139.710681"
"中川歯科クリニック","東京都港区北青山三丁目10番9号","川島ビル3階","03-3486-6480","1994/7/20","歯科","35.664027","139.711113"
"医療法人社団正英会　Ｒａｙｅｌ　Ｗｈｉｔｅ","東京都港区北青山三丁目10番13号","FPG links OMOTESANDO B棟1F","03-6421-0528","2022/10/26","歯科","35.664206","139.710571"
"ジャーミィデント歯科","東京都港区北青山三丁目12番9号","花の館ビル7階","03-3406-5585","1978/5/6","歯科、矯正歯科、小児歯科","35.663246","139.710240"
"岸上歯科クリニック","東京都港区北青山三丁目13番1号","北青山関根ビル1階","03-6805-0418","2018/3/4","歯科、矯正歯科、小児歯科、歯科口腔外科","35.664075","139.709467"
"東京表参道矯正歯科","東京都港区北青山三丁目15番5号","1階","03-6450-6425","2022/5/31","矯正歯科","35.664413","139.709303"
"医療法人社団ＩＴＳ　品川シーズンテラス歯科","東京都港区港南一丁目2番70号","品川シーズンテラスA302","03-5783-4111","2015/5/1","歯科口腔外科、小児歯科、矯正歯科、歯科","35.632491","139.743066"
"医療法人社団佳明会　高島デンタルオフィス　アレア品川","東京都港区港南一丁目9番36号","NTT DATA 品川ビル アレア品川2階","03-6718-1800","2007/5/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.630036","139.741242"
"和子・品川歯科医院","東京都港区港南二丁目2番3号","3階","03-5715-1182","2003/7/10","歯科、矯正歯科、小児歯科、歯科口腔外科","35.62934","139.7423"
"水野歯科","東京都港区港南二丁目2番16号","谷田企画第1ビル4階","03-3474-8877","1984/3/31","歯科、歯科口腔外科","35.6292224","139.7398423"
"品川東口歯科","東京都港区港南二丁目4番7号","石橋ビル2階","03-5479-8241","1993/7/20","歯科","35.62866","139.744666"
"品川港南歯科・矯正歯科クリニック","東京都港区港南二丁目5番11号","大三洋行品川ビル4階","03-6433-1120","2023/10/1","歯科、歯科口腔外科、矯正歯科、小児歯科","35.628488","139.743209"
"品川デンタルケアクリニック　品川院","東京都港区港南二丁目6番3号","シントミビル4階","03-3450-9514","2020/1/24","歯科","35.628695","139.74265"
"斉藤歯科医院","東京都港区港南二丁目15番2号","インターシティB棟2階","03-3472-0418","1998/10/20","歯科、矯正歯科、小児歯科、歯科口腔外科","35.626123","139.742018"
"医療法人社団樹英会　品川駅前歯科医院","東京都港区港南二丁目15番2号","品川インターシティB棟2階207C","03-5461-0896","2000/10/1","歯科、矯正歯科、小児歯科、歯科口腔外科","35.626123","139.742018"
"医療法人樹英会　イーストワンデンタルクリニック","東京都港区港南二丁目16番1号","品川イーストワンタワー3階","03-5463-0896","2003/4/25","歯科、矯正歯科、小児歯科、歯科口腔外科","35.627770","139.740900"
"安斎歯科","東京都港区港南二丁目16番3号","品川グランドセントラルタワー1階","03-6718-1782","2003/6/17","歯科、矯正歯科、小児歯科、歯科口腔外科","35.626615","139.740774"
