"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","選択肢A","選択肢B","選択肢C","選択肢D","選択肢E","選択肢F","選択肢G","選択肢H","選択肢I","選択肢J","選択肢K"
"202203","みなとタバコルール","Q16. たばこ対策として、どのような取組が必要だと思いますか 。（○は いくつでも）","性・年代別","女性 30～39歳","49","18","6","13","12","6","19","7","16","31","1","0"
"202203","みなとタバコルール","Q16. たばこ対策として、どのような取組が必要だと思いますか 。（○は いくつでも）","性・年代別","女性 40～49歳","78","23","13","11","12","5","22","8","11","35","2","11"
"202203","みなとタバコルール","Q16. たばこ対策として、どのような取組が必要だと思いますか 。（○は いくつでも）","性・年代別","女性 50～59歳","62","14","19","10","13","7","22","3","16","27","2","4"
"202203","みなとタバコルール","Q16. たばこ対策として、どのような取組が必要だと思いますか 。（○は いくつでも）","性・年代別","女性 60～69歳","56","12","9","15","10","10","16","4","15","22","1","7"
"202203","みなとタバコルール","Q16. たばこ対策として、どのような取組が必要だと思いますか 。（○は いくつでも）","性・年代別","女性 70歳以上","42","8","14","10","10","7","9","4","16","6","1","4"
"202203","みなとタバコルール","Q16. たばこ対策として、どのような取組が必要だと思いますか 。（○は いくつでも）","性・年代別","女性 無回答","0","0","0","0","0","0","0","0","0","0","0","0"
"202203","みなとタバコルール","Q16. たばこ対策として、どのような取組が必要だと思いますか 。（○は いくつでも）","性・年代別","無回答","14","0","3","1","0","1","3","1","1","1","0","0"
"202203","みなとタバコルール","Q16. たばこ対策として、どのような取組が必要だと思いますか 。（○は いくつでも）","職業別","自営業主・家族従業","86","18","20","14","14","10","18","9","15","35","3","10"
"202203","みなとタバコルール","Q16. たばこ対策として、どのような取組が必要だと思いますか 。（○は いくつでも）","職業別","会社員・団体職員・公務員","243","72","61","52","48","31","69","30","44","131","4","18"
"202203","みなとタバコルール","Q16. たばこ対策として、どのような取組が必要だと思いますか 。（○は いくつでも）","職業別","アルバイト・パートタイマー","35","12","7","7","10","4","12","1","10","13","1","2"
"202203","みなとタバコルール","Q16. たばこ対策として、どのような取組が必要だと思いますか 。（○は いくつでも）","職業別","家事専業","55","10","8","11","11","8","14","4","16","21","1","7"
"202203","みなとタバコルール","Q16. たばこ対策として、どのような取組が必要だと思いますか 。（○は いくつでも）","職業別","学生","13","2","4","4","2","3","6","1","3","5","0","0"
"202203","みなとタバコルール","Q16. たばこ対策として、どのような取組が必要だと思いますか 。（○は いくつでも）","職業別","無職","81","29","22","20","17","12","17","11","32","30","2","4"
"202203","みなとタバコルール","Q16. たばこ対策として、どのような取組が必要だと思いますか 。（○は いくつでも）","職業別","その他","31","9","8","7","7","2","8","4","3","17","3","1"
"202203","みなとタバコルール","Q16. たばこ対策として、どのような取組が必要だと思いますか 。（○は いくつでも）","職業別","無回答","14","3","1","3","1","1","2","1","3","2","0","0"
"202203","みなとタバコルール","Q16. たばこ対策として、どのような取組が必要だと思いますか 。（○は いくつでも）","居住地区別","芝地区","86","25","19","23","12","14","20","7","17","44","1","7"
"202203","みなとタバコルール","Q16. たばこ対策として、どのような取組が必要だと思いますか 。（○は いくつでも）","居住地区別","麻布地区","87","23","23","16","16","10","22","9","20","42","4","4"
"202203","みなとタバコルール","Q16. たばこ対策として、どのような取組が必要だと思いますか 。（○は いくつでも）","居住地区別","赤坂地区","81","19","22","18","17","9","20","9","19","37","3","6"
"202203","みなとタバコルール","Q16. たばこ対策として、どのような取組が必要だと思いますか 。（○は いくつでも）","居住地区別","高輪地区","146","42","34","30","36","21","41","13","30","65","3","12"
"202203","みなとタバコルール","Q16. たばこ対策として、どのような取組が必要だと思いますか 。（○は いくつでも）","居住地区別","芝浦港南地区","139","42","31","30","29","15","41","18","38","61","3","12"
"202203","みなとタバコルール","Q16. たばこ対策として、どのような取組が必要だと思いますか 。（○は いくつでも）","居住地区別","無回答","19","4","2","1","0","2","2","5","2","5","0","1"
"202203","みなとタバコルール","Q16. たばこ対策として、どのような取組が必要だと思いますか 。（○は いくつでも）","住居形態別","持家（一戸建）","64","19","19","14","14","9","10","10","18","33","2","3"
"202203","みなとタバコルール","Q16. たばこ対策として、どのような取組が必要だと思いますか 。（○は いくつでも）","住居形態別","持家（マンション）","267","74","59","58","57","37","83","27","69","117","7","19"
"202203","みなとタバコルール","Q16. たばこ対策として、どのような取組が必要だと思いますか 。（○は いくつでも）","住居形態別","借家（一戸建）","9","4","0","2","1","0","2","2","2","5","0","1"
"202203","みなとタバコルール","Q16. たばこ対策として、どのような取組が必要だと思いますか 。（○は いくつでも）","住居形態別","民間の賃貸マンション・アパート","151","47","38","30","29","18","31","16","24","73","1","15"
"202203","みなとタバコルール","Q16. たばこ対策として、どのような取組が必要だと思いますか 。（○は いくつでも）","住居形態別","都営住宅・区営住宅・区立住宅","26","5","8","7","6","5","8","2","7","9","3","3"
"202203","みなとタバコルール","Q16. たばこ対策として、どのような取組が必要だと思いますか 。（○は いくつでも）","住居形態別","ＵＲ（旧公団）・公社の賃貸住宅","11","2","3","0","0","0","7","1","2","6","0","0"
"202203","みなとタバコルール","Q16. たばこ対策として、どのような取組が必要だと思いますか 。（○は いくつでも）","住居形態別","社宅・公務員宿舎","10","1","2","2","1","1","3","1","2","6","0","1"
"202203","みなとタバコルール","Q16. たばこ対策として、どのような取組が必要だと思いますか 。（○は いくつでも）","住居形態別","寮・寄宿舎・住み込み・間借り","4","0","1","2","1","0","1","1","0","2","0","0"
"202203","みなとタバコルール","Q16. たばこ対策として、どのような取組が必要だと思いますか 。（○は いくつでも）","住居形態別","その他","5","3","0","2","1","0","0","0","1","3","1","0"
"202203","みなとタバコルール","Q16. たばこ対策として、どのような取組が必要だと思いますか 。（○は いくつでも）","住居形態別","無回答","11","0","1","1","0","1","1","1","1","0","0","0"
"202203","みなとタバコルール","Q16. たばこ対策として、どのような取組が必要だと思いますか 。（○は いくつでも）","定住意向別","ずっと住み続けていたい","279","71","71","57","55","33","68","34","75","114","6","27"
"202203","みなとタバコルール","Q16. たばこ対策として、どのような取組が必要だと思いますか 。（○は いくつでも）","定住意向別","当分は住んでいたい","203","64","42","46","43","27","57","20","38","103","5","11"
"202203","みなとタバコルール","Q16. たばこ対策として、どのような取組が必要だと思いますか 。（○は いくつでも）","定住意向別","しばらくは住むつもりだが将来は区外に転居したい","45","13","8","11","7","4","15","4","8","24","2","2"
"202203","みなとタバコルール","Q16. たばこ対策として、どのような取組が必要だと思いますか 。（○は いくつでも）","定住意向別","近いうちに区外に転居したいが、具体的な計画はない","5","1","0","1","0","0","1","0","0","3","0","0"
"202203","みなとタバコルール","Q16. たばこ対策として、どのような取組が必要だと思いますか 。（○は いくつでも）","定住意向別","近いうちに区外に転居する予定である","13","3","6","0","1","4","3","0","2","5","0","2"
"202203","みなとタバコルール","Q16. たばこ対策として、どのような取組が必要だと思いますか 。（○は いくつでも）","定住意向別","わからない","10","3","3","3","2","1","1","2","2","5","1","0"
"202203","みなとタバコルール","Q16. たばこ対策として、どのような取組が必要だと思いますか 。（○は いくつでも）","定住意向別","無回答","3","0","1","0","2","2","1","1","1","0","0","0"

"第33回港区民世論調査クロス集計表・みなとタバコルールQ16","Ver202203",,,,,,,,,,,,,,,
