"年月[西暦]","収受日","業態","届出種類","施設名称","施設所在地","施設方書","施設電話番号","許可番号","許可開始日"
"202306","2023/5/25","高度管理医療機器販売業・貸与業","新規","プレミアムコンタクト","東京都港区白金一丁目17番1‐2712号",,,"5港み生機器第35号","2023/6/9"
"202306","2023/6/16","高度管理医療機器販売業・貸与業","新規","ＳＣ－ＨＤ株式会社","東京都港区虎ノ門三丁目20番5号","クレイン虎ノ門ビル","03-6381-5034","5港み生機器第45号","2023/6/26"
"202306","2023/5/26","高度管理医療機器販売業・貸与業","新規","スター・ジャパン合同会社","東京都港区西新橋一丁目1番1号","日比谷フォートタワー10階","03-6910-2890","5港み生機器第36号","2023/6/1"
"202306","2023/5/23","高度管理医療機器販売業・貸与業","新規","南山堂薬局　東麻布三丁目店","東京都港区東麻布三丁目7番12号","ルアナ麻布十番1階","03-5797-7831","5港み生機器第33号","2023/6/7"
"202307","2023/7/13","高度管理医療機器販売業・貸与業","新規","株式会社ＲＡＹ　ＪＡＰＡＮ","東京都港区芝公園二丁目3番6号","PMO浜松町2　2階","03-5829-9935","5港み生機器第64号","2023/7/28"
"202307","2023/6/6","高度管理医療機器販売業・貸与業","新規","エア・ウォーター・メディカル株式会社","東京都港区虎ノ門三丁目18番19号","UD神谷町ビル",,"5港み生機器第39号","2023/7/1"
"202307","2023/7/11","高度管理医療機器販売業・貸与業","新規","麻布薬局","東京都港区東麻布一丁目25番3号","第2富田ビル7階","03-6277-8340","5港み生機器第63号","2023/7/27"
"202307","2023/6/19","高度管理医療機器販売業・貸与業","新規","ＮＸ・ＴＣリース＆ファイナンス株式会社　東京支店","東京都港区東新橋一丁目5番2号","汐留シティセンター","03-6734-8843","5港み生機器第46号","2023/7/3"
"202307","2023/6/19","高度管理医療機器販売業・貸与業","新規","京セラ株式会社　東京事業所","東京都港区三田三丁目5番19号","住友不動産東京三田ガーデンタワー","03-6364-5562","5港み生機器第49号","2023/7/18"
"202308","2023/7/28","高度管理医療機器販売業・貸与業","新規","株式会社ザイマックス","東京都港区赤坂一丁目1番1号","ザイマックス赤坂111ビル","03-5544-6604","5港み生機器第76号","2023/8/15"
"202308","2023/7/26","高度管理医療機器販売業","新規","ＢＥＡＵＴＥＸ株式会社","東京都港区赤坂二丁目23番1号","アークヒルズフロントタワー","03-6807-4324","5港み生機器第73号","2023/8/1"
"202308","2023/8/4","高度管理医療機器販売業・貸与業","新規","サイネオス・ヘルス・クリニカル株式会社","東京都港区港南一丁目2番70号","品川シーズンテラス27階","03-6700-4700","5港み生機器第80号","2023/8/29"
"202308","2023/8/4","高度管理医療機器販売業・貸与業","新規","株式会社パリミキ","東京都港区港南一丁目6番31号","品川東急ビル10階",,"5港み生機器第81号","2023/8/29"
"202308","2023/7/28","高度管理医療機器販売業・貸与業","新規","サーモフィッシャーサイエンティフィック株式会社","東京都港区芝浦四丁目2番8号",,"0120-753-670","5港み生機器第75号","2023/8/15"
"202308","2023/7/21","高度管理医療機器販売業・貸与業","新規","Ｈ＆Ｆパートナーズ株式会社　東京営業所","東京都港区芝大門一丁目1番8号","芝公園ビル6階","03-3434-2421","5港み生機器第69号","2023/8/4"
"202308","2023/8/4","高度管理医療機器販売業・貸与業","新規","パールスマイルクリエイト合同会社　白金営業所","東京都港区白金台四丁目8番7号","KDXレジデンス白金2",,"5港み生機器第79号","2023/8/15"
"202308","2023/8/4","高度管理医療機器販売業・貸与業","新規","株式会社エル・シィ","東京都港区虎ノ門一丁目2番11号","ザ・パークレックス虎ノ門","03-6435-4324","5港み生機器第82号","2023/8/15"
"202308","2023/7/18","高度管理医療機器販売業","新規","ナチュラルローソン虎の門病院２階店","東京都港区虎ノ門二丁目2番2号","2階","03-3588-7172","5港み生機器第65号","2023/8/1"
"202308","2023/7/7","高度管理医療機器販売業・貸与業","新規","薬局トモズ浜松町店","東京都港区浜松町一丁目29番10号","東京ラインビル1階","03-5402-8684","5港み生機器第59号","2023/8/7"
"202308","2023/7/11","高度管理医療機器販売業・貸与業","新規","株式会社メディカルニュークリエイト","東京都港区三田一丁目2番18号","TTD PLAZA 7階","03-6722-6780","5港み生機器第61号","2023/8/3"
"202308","2023/7/20","高度管理医療機器販売業・貸与業","新規","アイテック阪急阪神株式会社東京支社","東京都港区三田三丁目5番27号","住友不動産三田ツインビル西館","03-6740-6001","5港み生機器第67号","2023/8/1"
"202308","2023/8/3","高度管理医療機器販売業・貸与業","新規","ＭＥＤＩＣＯ株式会社青山一丁目営業所","東京都港区南青山一丁目2番6号","ラティス青山スクエア8階","03-6803-8636","5港み生機器第77号","2023/8/15"
"202308","2023/7/27","高度管理医療機器販売業・貸与業","新規","株式会社Ｐｌａｔｆｏｒｍ　Ｓｋｙ","東京都港区南青山二丁目3番3号","1205","03-6804-5887","5港み生機器第74号","2023/8/15"
"202309","2023/9/8","高度管理医療機器販売業・貸与業","新規","株式会社ソラスト","東京都港区港南二丁目15番3号","品川インターシティC棟","03-3450-2635","5港み生機器第108号","2023/9/21"
"202309","2023/9/11","高度管理医療機器販売業","新規","あすか製薬株式会社　信頼性保証本部","東京都港区芝浦二丁目5番1号",,"03-5484-8361","5港み生機器第110号","2023/9/21"
"202309","2023/9/11","高度管理医療機器販売業","新規","あすか製薬株式会社　東京営業所","東京都港区芝浦二丁目5番1号",,"03-5484-8361","5港み生機器第111号","2023/9/21"
"202309","2023/9/11","高度管理医療機器販売業","新規","あすか製薬株式会社　生産本部","東京都港区芝浦二丁目5番1号",,"03-5484-8361","5港み生機器第112号","2023/9/21"
"202309","2023/8/16","高度管理医療機器販売業","新規","バンビー薬局　ニュー新橋ビル店","東京都港区新橋二丁目16番1号","ニュー新橋ビル内344号","03-3580-3159","5港み生機器第89号","2023/9/1"
"202309","2023/8/16","高度管理医療機器販売業","新規","バンビー薬局　本店","東京都港区新橋三丁目19番2号",,"03-3432-0288","5港み生機器第90号","2023/9/1"
"202309","2023/8/10","高度管理医療機器販売業・貸与業","新規","株式会社コミュニティ・メディカル・イノベーション","東京都港区新橋四丁目1番1号","新虎通りCORE","03-4565-9900","5港み生機器第84号","2023/9/1"
"202309","2023/8/16","高度管理医療機器販売業・貸与業","新規","ぱぱす薬局　神谷町店","東京都港区虎ノ門三丁目17番1号","TOKYU REIT虎ノ門ビル1階","03-6687-3088","5港み生機器第87号","2023/9/8"
"202309","2023/8/10","高度管理医療機器販売業・貸与業","新規","三田薬局","東京都港区南青山一丁目1番1号","新青山ビルヂング西館1階","03-3796-5371","5港み生機器第86号","2023/9/1"
"202310","2023/9/20","高度管理医療機器販売業・貸与業","新規","Ｈ．Ｕ．ウェルネス株式会社","東京都港区赤坂一丁目8番1号","赤坂インターシティAIR","050-2000-5003","5港み生機器第120号","2023/10/2"
"202310","2023/9/14","高度管理医療機器販売業","新規","そうごう薬局　麻布台ヒルズ店","東京都港区麻布台一丁目3番1号","麻布台ヒルズタワープラザ4階","03-5544-9351","5港み生機器第115号","2023/10/2"
"202310","2023/8/31","高度管理医療機器販売業","新規","株式会社湘南薬品　港南薬局","東京都港区港南四丁目6番7号","ワールドシティータワーズキャピタルタワー1階","03-3471-8375","5港み生機器第101号","2023/10/1"
"202310","2023/9/15","高度管理医療機器販売業・貸与業","新規","エヌディーリース・システム株式会社","東京都港区芝浦一丁目2番3号","シーバンスS館","03-4212-6790","5港み生機器第117号","2023/10/23"
"202310","2023/9/29","高度管理医療機器販売業・貸与業","新規","秋の大商談会２０２３ｉｎ品川","東京都港区高輪四丁目10番8号","京急第7ビル3F ビジョンセンター品川301A","03-6262-3553","5港み生機器第127号","2023/10/29"
"202310","2023/9/28","高度管理医療機器販売業・貸与業","新規","日本郵便オフィスサポート株式会社","東京都港区浜松町一丁目18番16号",,"03-5425-3870","5港み生機器第125号","2023/10/24"
"202310","2023/9/11","高度管理医療機器販売業・貸与業","新規","ＳＴＥＭＣＥＬＬ株式会社","東京都港区南青山一丁目2番6号","ラティス青山スクエア8階","03-6433-5409","5港み生機器第109号","2023/10/2"
"202311","2023/10/25","高度管理医療機器販売業・貸与業","新規","ＡＭＳ企画株式会社","東京都港区白金台五丁目6番9‐303号","日総第27ビル",,"5港み生機器第138号","2023/11/1"
"202311","2023/10/27","高度管理医療機器販売業・貸与業","新規","ヤマトプロテック株式会社","東京都港区白金台五丁目17番2号",,,"5港み生機器第142号","2023/11/9"
"202311","2023/11/7","高度管理医療機器販売業・貸与業","新規","内田技研株式会社　新橋店","東京都港区新橋二丁目16番1号","ニュー新橋ビル3階320","03-3500-2800","5港み生機器第144号","2023/11/27"
"202311","2023/10/20","高度管理医療機器販売業・貸与業","新規","プレシャスメディカル株式会社","東京都港区三田二丁目17番29号","オーロラ三田302号室",,"5港み生機器第133号","2023/11/9"
"202312","2023/11/16","高度管理医療機器販売業・貸与業","新規","株式会社ホワイトニングプラス","東京都港区赤坂六丁目18番11‐303号",,,"5港み生機器第150号","2023/12/1"
"202312","2023/12/26","高度管理医療機器販売業・貸与業","新規","Ａｎａｔｏｍａｇｅ　Ｊａｐａｎ株式会社","東京都港区赤坂九丁目7番1号","ミッドタウン・タワー18階","03-4588-4252","5港み生機器第174号","2023/12/28"
"202312","2023/11/21","高度管理医療機器販売業・貸与業","新規","株式会社メディシェアード","東京都港区港南一丁目6番31号","品川東急ビル10階",,"5港み生機器第154号","2023/12/11"
"202312","2023/12/12","高度管理医療機器販売業・貸与業","新規","アルマレーザーズ・ジャパン株式会社","東京都港区芝四丁目4番20号","グーゴルプレックスミレニアムビル","03-6665-8403","5港み生機器第163号","2023/12/28"
"202312","2023/12/8","高度管理医療機器販売業","新規","ＹＫアクロス株式会社","東京都港区芝公園二丁目4番1号","芝パークビルB館12F","03-5405-6111","5港み生機器第161号","2023/12/19"
"202312","2023/11/20","高度管理医療機器販売業・貸与業","新規","ＰＨＣ株式会社　新橋事務所","東京都港区西新橋三丁目7番1号","ランディック第2新橋ビル",,"5港み生機器第152号","2023/12/25"
"202401","2023/12/11","高度管理医療機器販売業・貸与業","新規","南青山コンタクト","東京都港区赤坂一丁目7番1号","赤坂榎坂ビル",,"5港み生機器第162号","2024/1/1"
"202401","2024/1/5","高度管理医療機器販売業・貸与業","新規","株式会社凛企画","東京都港区赤坂六丁目2番12号","サージュ赤坂","03-6459-1842","5港み生機器第177号","2024/1/19"
"202401","2023/12/19","高度管理医療機器販売業・貸与業","新規","ＢＴＬ　Ｊａｐａｎ株式会社　東京本社","東京都港区芝二丁目3番3号","JRE芝二丁目大門ビル4階","03-6273-1588","5港み生機器第167号","2024/1/19"
"202401","2023/12/26","高度管理医療機器販売業・貸与業","新規","日本電気株式会社　医療ソリューション統括部","東京都港区芝四丁目14番1号","NEC第二田町ビル","03-3454-1111","5港み生機器第175号","2024/1/15"
"202401","2023/11/1","高度管理医療機器販売業・貸与業","新規","バクスター株式会社　田町オフィス","東京都港区芝浦三丁目4番1号","グランパークタワー30階","03-4567-1323","5港み生機器第140号","2024/1/15"
"202401","2023/11/1","高度管理医療機器販売業・貸与業","新規","バクスター・ジャパン株式会社　田町オフィス","東京都港区芝浦三丁目4番1号","グランパークタワー30階","03-4567-1400","5港み生機器第141号","2024/1/1"
"202401","2024/1/12","高度管理医療機器販売業・貸与業","新規","合同会社Ｎ＆Ｍ","東京都港区白金台三丁目13番15‐203号",,,"5港み生機器第179号","2024/1/19"
"202401","2023/12/19","高度管理医療機器販売業・貸与業","新規","株式会社オカモトヤ","東京都港区虎ノ門二丁目6番1号","虎ノ門ヒルズステーションタワー9階","03-3591-2251","5港み生機器第168号","2024/1/9"
"202402","2024/1/16","高度管理医療機器販売業・貸与業","新規","エースタイル薬局","東京都港区赤坂二丁目3番5号","赤坂スターゲートプラザ地下1階","03-6441-0990","5港み生機器第181号","2024/2/1"
"202402","2024/1/18","高度管理医療機器販売業・貸与業","新規","株式会社ホワイトニングプラス","東京都港区赤坂六丁目15番1号","ミツワビル別館",,"5港み生機器第182号","2024/2/6"
"202402","2024/2/1","高度管理医療機器販売業・貸与業","新規","株式会社ベリタス","東京都港区芝二丁目29番14号","一星芝公園ビルディング4階","03-5232-3491","5港み生機器第193号","2024/2/14"
"202402","2024/2/20","高度管理医療機器販売業・貸与業","新規","株式会社アンビ","東京都港区芝公園一丁目2番9号","HANAIビル6階","03-6868-8488","5港み生機器第207号","2024/2/29"
"202402","2024/2/22","高度管理医療機器販売業・貸与業","新規","ｍｉｒａｍｏ","東京都港区台場二丁目3番5号","台場ガーデンシティビル11階","03-6628-2080","5港み生機器第208号","2024/2/28"
"202402","2023/11/28","高度管理医療機器販売業・貸与業","新規","幸城薬局　台場店","東京都港区台場二丁目6番1号","グランドニッコー東京台場2階","03-5324-2413","5港み生機器第156号","2024/2/22"
"202402","2024/2/8","高度管理医療機器販売業・貸与業","新規","リアライズ・イノベーションズ株式会社","東京都港区虎ノ門二丁目2番1号","住友不動産虎ノ門タワー","03-5549-1350","5港み生機器第200号","2024/2/19"
"202402","2024/2/5","高度管理医療機器販売業・貸与業","新規","虎ノ門薬局","東京都港区西新橋三丁目15番12号","GGHOUSE 7階","03-6435-7872","5港み生機器第194号","2024/2/13"
"202402","2024/2/7","高度管理医療機器販売業・貸与業","新規","テクノレント株式会社　本社事業所","東京都港区東新橋一丁目5番2号","汐留シティセンター","03-6858-2700","5港み生機器第198号","2024/2/26"
"202403","2024/2/9","高度管理医療機器販売業・貸与業","新規","株式会社フィリップス・ジャパン","東京都港区麻布台一丁目3番1号","麻布台ヒルズ森JPタワー15階","0120-556-494","5港み生機器第203号","2024/3/4"
"202403","2024/2/26","高度管理医療機器販売業・貸与業","新規","ＡＴＥＣ　Ｊａｐａｎ株式会社","東京都港区芝大門二丁目1番16号","+ＳＨＩＦＴ ＳＨＩＢＡＤＡＩＭＯＮ",,"5港み生機器第213号","2024/3/18"
"202403","2024/3/15","高度管理医療機器販売業・貸与業","新規","株式会社Ｌａｈａｒａｓ虎ノ門営業所","東京都港区虎ノ門一丁目11番9号","-902",,"5港み生機器第236号","2024/3/25"
"202403","2024/3/8","高度管理医療機器販売業・貸与業","新規","ＰＨＣ株式会社　バイオメディカ事業部　東京営業所","東京都港区西新橋三丁目7番1号","ランディック第2新橋ビル","03-5408-7277","5港み生機器第227号","2024/3/19"
"202403","2024/2/13","高度管理医療機器販売業・貸与業","新規","モザークメディカルジャパン合同会社","東京都港区浜松町二丁目12番11号","Bizflex浜松町 10階","03-6776-0033","5港み生機器第205号","2024/3/1"
"202403","2024/2/15","高度管理医療機器販売業・貸与業","新規","本社","東京都港区東新橋一丁目5番2号","汐留シティセンター19階",,"5港み生機器第206号","2024/3/1"
"202403","2024/3/12","高度管理医療機器販売業・貸与業","新規","株式会社ツクイキャピタル","東京都港区三田三丁目9番7号","三田JEBL 2階","03-6809-6291","5港み生機器第230号","2024/3/25"

"高度管理医療機器販売・貸与業新規許可一覧(令和6年3月31日現在)","Ver202403",,,,,,,,
