"施設の名称","所在地","電話番号","FAX番号","メールアドレス","施設（出入口）の利用可能時間","休業日","備考","施設（出入口）表示有無","施設（出入口）タイトル","出入口の段差","出入口のスロープ","施設出入口表示","施設出入口タイトル","出入口の幅（cm）_1","扉の開閉方式","トイレ1（内部）表示有無","トイレ1（内部）タイトル","車椅子対応_1","オストメイト対応_1","手すり_1","おむつ交換台_1","大人用ベッド_1","音声・音響案内_1","トイレ1（周辺）表示有無","トイレ1（周辺）タイトル","視覚障害者用誘導用ブロック_1","出入口の幅（cm）_2","出入口扉の開閉形式_1","内部の幅／奥行（cm）_1","ベビーチェア_1","背もたれ_1","トイレ2（内部）表示有無","トイレ2（内部）タイトル","車椅子対応_2","オストメイト対応_2","手すり_2","おむつ交換台_2","大人用ベッド_2","音声・音響案内_2","トイレ2（周辺）表示有無","トイレ2（周辺）タイトル","視覚障害者用誘導用ブロック_2","出入口の幅（cm）_3","出入口扉の開閉形式_2","内部の幅／奥行（cm）_2","ベビーチェア_2","背もたれ_2","トイレ3（内部）表示有無","トイレ3（内部）タイトル","車椅子対応_3","オストメイト対応_3","手すり_3","おむつ交換台_3","大人用ベッド_3","音声・音響案内_3","トイレ3（周辺）表示有無","トイレ3（周辺）タイトル","視覚障害者用誘導用ブロック_3","出入口の幅（cm）_4","出入口扉の開閉形式_3","内部の幅／奥行（cm）_3","ベビーチェア_3","背もたれ_3","エレベーター表示有無","エレベータータイトル","エレベーター","点字表記","車椅子使用者対応","音声・音響案内_4","出入口の幅（cm）_5","内部の幅／奥行（cm）_4","鏡","手すり_4","視覚障害者誘導用ブロック_1","エスカレーター表示有無","エスカレータータイトル","エスカレーター","音声・音響案内_5","階段・通路表示有無","階段・通路タイトル","階段なし","スロープ","手すり_5","視覚障害者誘導用ブロック_2","障害者用駐車区画表示有無","障害者用駐車区画タイトル","障害者用駐車区画","障害者用駐車区画の台数","一般駐車区画","子ども関連1表示有無","子ども関連1タイトル","授乳スペース","おむつ交換台_4","乳幼児用ベッド","子ども関連2表示有無","子ども関連2タイトル","ベビーカー貸出","キッズスペース","流し台","湯沸かし器","障害特性表示有無","障害特性タイトル","車椅子対応座席・設備","案内表示","音声案内設備","字幕・文字情報提供設備","建物内の視覚障害者誘導用ブロック","筆談対応","休憩用ベンチ","その他表示有無","その他タイトル","AED","経度","緯度","分類"
"鷺六高齢者会館","中野区鷺宮6-25-8","03-3926ｰ3656","03-3926ｰ3656","","午前９時～午後５時","土・日曜日、祝日、年末年始","","有","","有","有","有","","108","自動ドア","有","","有","無","有","無","無","無","有","","有","88","手動（引き戸）","200/200","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","有","有","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","有","有","有","有","","有","139.630146261049","35.7256524776089","医療・保健福祉施設"
"西武池袋線富士見台駅","練馬区貫井3-7-4","03-3999-4321","","","4：34～翌0：32","","","有","","無","無","有","","550","-","有","","有","有","有","有","無","有","有","","有","97","自動ドア","220/250","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","有","","有","有","有","有","90","-","有","有","有","有","","有","無","有","","有","無","有","有","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","有","有","有","有","有","有","有","有","","有","139.630158875029","35.7359462581391","公共交通施設"
"西中野学童クラブ","中野区白鷺3-15-5","03-3339-9826","03-3339-9825","","平日　放課後～１９時　土・学校休業日８時～１９時","日・祝・年末年始","","有","","有","無","有","","80","手動（引き戸）","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","有","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","有","無","","","無","139.63035795491","35.722153716847","教育機関"
"西中野児童館","中野区白鷺3-15-5","03-3339-9826","03-3339-9825","nisinakanojidoukan@city.tokyo-nakano.lg.jp","平日（火～金）10:00～18:00　土曜日・学校休業日9:00～17:00","日・月・祝日・年末年始","","有","","有","無","有","","80","手動（引き戸）","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","有","無","","","無","-","無","有","","有","有","有","有","","無","有","無","無","","","無","無","無","無","無","無","無","有","","有","139.63035795491","35.722153716847","教育機関"
"西中野小学校","中野区白鷺3-9-2","03-3330-3125","03-3330-3126","nk-nisinakano-es＠city.tokyo-nakano.lg.jp","8:00～16:00","土・日・祝日","","有","","有","有","有","","150","手動（開き戸）","有","","有","有","有","無","無","無","有","","無","90","手動（引き戸）","150/140","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","有","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","有","無","無","無","有","無","有","","有","139.631355378315","35.7208957412269","教育機関"
"上鷺宮地域包括支援センター","中野区上鷺宮3-17-4　かみさぎホーム内","03-3577-8123","03-3577-8124","","8:30～17:00","日・祝日・年末年始","","有","","無","無","有","","135","手動（開き戸）","有","","有","有","有","有","無","無","有","","無","76","手動（引き戸）","262/290","有","有","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","有","","有","無","無","無","110","130/230","有","有","無","","","無","-","有","","有","無","有","無","有","","有","1","無","有","","有","有","無","","","無","無","無","無","有","","無","無","無","無","無","有","無","有","","有","139.631453710208","35.7351799511895","医療・保健福祉施設"
"かみさぎ学童クラブ","中野区上鷺宮3-9-19　かみさぎ児童館内","03-3998-0074","03-3998-0095","","平日　放課後～１９時　土・学校休業日８時～１９時","日・祝・年末年始","","有","","有","無","有","","88","手動（引き戸）","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","有","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","有","無","","","無","139.6314959642","35.7346422552511","教育機関"
"かみさぎ児童館","中野区上鷺宮3-9-19","03-3998-0074","03-3998-0095","kamisagijidoukan@city.tokyo-nakano.lg.jp","平日１０時～１８時　土・学校休業日９時～１７時","月・日・祝・年末年始","","有","","有","有","有","","88","手動（引き戸）","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","有","無","","","無","-","無","有","","有","無","無","有","","無","有","有","無","有","","無","無","無","有","無","有","無","有","","有","139.6314959642","35.7346422552511","教育機関"
"若葉公園","中野区鷺宮5-11","","","","","","","有","","無","無","有","","120","-","有","","有","有","有","有","無","無","有","","無","90","手動（引き戸）","174/314","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","無","有","","","無","139.631595509926","35.7251818104963","文化・レクリエーション・レジャー施設"
"上鷺宮区民活動センター","中野区上鷺宮3-7-6","03-3970-9131","03-3970-9185","kamisaginomiyakukatu@city.tokyo-nakano.lg.jp","①窓口受付 午前8時半から午後5時 ②集会室など 午前9時から午後10時","①窓口受付 土曜日・日曜日・祝日及び振替休日・年末年始（12月29日～1月3日） ②集会室など 毎月第3月曜日（祝日に当たるときは、直後の休日でない日）、年末年始（12月29日～1月3日）※第3月曜日が利用可能な場合もありますので、詳しくはお問い合わせください。","","有","","無","有","有","","149","自動ドア","有","","有","有","有","無","無","無","有","","無","90","自動ドア","186/220","有","無","有","","有","無","有","有","無","無","有","","無","90","自動ドア","186/220","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","有","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","有","無","有","","有","139.632119233665","35.7318776087106","官公庁施設"
"中野鷺宮五郵便局","中野区鷺宮5-23-8","03-3999-4989","03-3926-2990","","９時～１７時","土曜・日曜","","有","","無","無","有","","84","自動ドア","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","","","無","無","無","無","無","無","無","","","無","139.632318187464","35.7270396776629","郵便局"
"白鷺保育園","中野区白鷺3-3-24","03-3330-2437","03-3330-2475","sirasagihoikuen@city.tokyo-nakano.lg.jp","7：15～19：15","日曜・祝日・12月29日～1月3日","","有","","無","無","有","","150","手動（開き戸）","有","","有","無","有","無","無","無","有","","無","95","手動（引き戸）","190×190","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","有","無","","","無","-","無","有","","有","有","無","有","","無","有","有","無","","","無","無","無","無","無","無","無","有","","有","139.633154980287","35.7212884101598","教育機関"
"上鷺東公園","中野区上鷺宮2-18","","","","","","","有","","無","無","有","","125","-","有","","有","有","有","有","無","無","有","","無","90","手動（引き戸）","247/220","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","無","有","","","無","139.634653186341","35.7297835485621","文化・レクリエーション・レジャー施設"
"上鷺宮二丁目集会室","中野区上鷺宮2-4-6","03-5241-4590","03-5241-4590","kamisaginomiyakukatu@city.tokyo-nakano.lg.jp","午前９時から午後１０時","１月．４月．７月．１０月の第３月曜日(祝日の場合は直後の休日でない日)、年末年始(１２月２９日から１月３日)","おむつ交換台は女子トイレ内にあり","有","","無","有","有","","130","自動ドア","有","","有","無","有","無","無","無","有","","無","100","手動（開き戸）","175/210","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","有","","無","有","無","","","無","無","無","無","有","","無","無","無","無","無","無","有","有","","有","139.635133067018","35.7270532629135","官公庁施設"
"上鷺宮小学校","中野区上鷺宮1-24-36","03-3926-6381","03-3926-6382","nk-kamisaginomiya-es＠city.tokyo-nakano.lg.jp","8:00～16:00","土・日・祝日","","有","","有","有","有","","150","手動（引き戸）","有","","有","無","有","無","無","無","有","","無","85","手動（引き戸）","195/145","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","有","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","有","無","無","無","有","無","有","","有","139.635130505312","35.7314435816382","教育機関"
"鷺宮運動広場","中野区白鷺3-1","","","","","","","有","","無","無","有","","115","-","有","","有","無","有","無","無","無","有","","無","90","手動（引き戸）","250/220","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","無","有","","","無","139.635754021353","35.7220166918066","文化・レクリエーション・レジャー施設"
"白鷺高齢者会館","中野区白鷺2-8-5","03-3223-8938","03-3223-8938","","午前９時～午後５時","土・日曜日、祝日、年末年始","","有","","有","有","有","","90","自動ドア","有","","有","無","有","無","無","無","有","","無","96","手動（引き戸）","197/190","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","有","有","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","有","有","有","有","","有","139.635874548037","35.7186309029604","医療・保健福祉施設"
"鷺宮スポーツ・コミュニティプラザ","中野区白鷺3-1-13","03-3337-1771","03-3337-3280","sagitai-info@tac-sports.co.jp","平日・土曜日9:00～22：45　日・祝日9：00～21：45","第4月曜日、年末年始","","有","","無","有","有","","130","自動ドア","有","","有","無","有","無","無","無","有","","有","90","手動（引き戸）","200-180","無","無","有","","有","有","有","無","有","無","有","","有","100","手動（引き戸）","210-190","有","有","有","","有","無","有","無","無","無","有","","有","105","手動（引き戸）","200/200","有","無","有","","有","有","有","有","80","135-140","有","有","有","","","無","-","有","","有","無","有","有","有","","有","1","無","有","","有","有","有","","","無","無","無","無","有","","無","有","無","無","有","有","有","有","","有","139.636442626548","35.7224691937065","文化・レクリエーション・レジャー施設"
"白鷺ネムノキ公園","中野区白鷺1-7","","","","","","","有","","無","無","有","","100","-","有","","有","無","有","無","無","無","有","","無","90","手動（引き戸）","210/240","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","無","有","","","無","139.637925466614","35.7174761503915","文化・レクリエーション・レジャー施設"
"鷺宮区民活動センター分室","中野区白鷺1-4-27","03-3330-4111(鷺宮区民活動センターで受付)","03-3330-4134(鷺宮区民活動センターで受付)","saginomiyakukatu＠city.tokyo-nakano.lg.jp","午前9時から午後10時(集会室の利用がある時間帯のみ開館)","年末年始（12月29日～1月3日）、館内一斉清掃日","","有","","無","無","有","","140","手動（開き戸）","有","","有","有","有","有","無","無","有","","無","85","手動（引き戸）","240/193","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","有","","有","有","有","有","80","105/156","有","有","有","","","無","-","有","","有","無","有","無","有","","有","1","無","","","無","無","無","有","","無","無","有","有","","","無","無","無","無","無","無","無","","","無","139.638354130706","35.7175571511378","官公庁施設"
"鷺宮小学校","中野区鷺宮3-31-4","03-3330-7371","03-3330-7372","nk-saginomiya-es＠city.tokyo-nakano.lg.jp","8:00～16:00","土・日・祝日","","有","","有","有","有","","150","手動（引き戸）","有","","有","無","有","無","無","無","有","","無","85","手動（開き戸）","100/95","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","有","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","有","無","無","無","有","無","有","","有","139.639335816007","35.7250022881561","教育機関"
"西武新宿線鷺ノ宮駅","中野区鷺宮3-15-1","03-3330-0674","","","4：42～翌0：34","","","有","","無","無","有","","400","-","有","","有","有","有","有","無","有","有","","有","-","自動ドア","","無","有","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","有","","有","有","有","有","90","160/135","有","有","有","","","無","-","有","","有","無","有","有","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","有","有","有","有","有","有","有","有","","有","139.639522640145","35.7225976970158","公共交通施設"
"白鷺せせらぎ公園","中野区白鷺1-4","","","","","","","有","","無","無","有","","150","-","有","","有","有","有","有","無","無","有","","有","90","手動（引き戸）","215/270","有","無","有","","有","無","有","無","無","無","有","","有","90","手動（引き戸）","183/214","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","無","有","","","無","139.639689129725","35.7169392061169","文化・レクリエーション・レジャー施設"
"鷺宮地域事務所","中野区鷺宮3-22-5","03-3330-4112","","","午前8時半～午後5時","土曜日、日曜日、祝日及び振替休日、年末年始(12月29日～1月3日)","","有","","無","無","有","","150","自動ドア","有","","有","無","有","有","無","無","有","","無","90","手動（引き戸）","190/240","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","有","","有","無","有","有","80","140/110","有","無","有","","","無","-","有","","有","有","有","無","","","無","-","無","有","","無","有","無","","","無","無","無","無","有","","無","無","無","無","無","有","有","有","","有","139.639785632105","35.723433422316","官公庁施設"
"鷺宮図書館","中野区鷺宮3-22-5","03-3337-1044","03-3337-7397","toshokan@nakano-library.jp","9:00～20:00","原則として第2木曜日、最終金曜日の館内整理日、蔵書点検のための特別休館日 12月29日～1月3日","","有","","無","無","有","","150","自動ドア","有","","有","無","有","有","無","無","有","","無","90","手動（引き戸）","190/240","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","有","","有","有","有","無","80","140/110","有","有","有","","","無","-","有","","有","有","有","無","","","無","-","無","有","","無","有","無","","","無","無","無","無","有","","無","無","無","無","無","有","有","有","","有","139.639785632105","35.723433422316","文化・レクリエーション・レジャー施設"
"鷺宮区民活動センター","中野区鷺宮3-22-5","03-3330-4111","03-3330-4134","saginomiyakukatu＠city.tokyo-nakano.lg.jp","①窓口受付 午前8時半から午後5時 ②集会室など 午前9時から午後10時","①窓口受付 土曜日・日曜日・祝日及び振替休日・年末年始（12月29日～1月3日） ②集会室など 毎月第3月曜日（祝日に当たるときは、直後の休日でない日）、年末年始（12月29日～1月3日）※第3月曜日が利用可能な場合もありますので、詳しくはお問い合わせください。","","有","","無","無","有","","150","自動ドア","有","","有","無","有","有","無","無","有","","無","90","手動（引き戸）","190/240","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","有","","有","有","有","有","80","140/110","有","無","有","","","無","-","有","","有","無","有","無","","","無","-","無","有","","無","有","無","","","無","無","無","無","有","","無","無","無","無","無","有","有","有","","有","139.639785632105","35.723433422316","官公庁施設"
"鷺宮高齢者会館","中野区若宮3-58-10","03-3310-1171","03-3310-1175","","午前９時～午後５時","土・日曜日、祝日、年末年始","","有","","有","有","有","","114","自動ドア","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","有","","有","有","有","有","98","168/133","有","有","有","","","無","-","有","","有","無","有","有","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","有","無","無","無","有","有","有","","","無","139.639982920066","35.7220645846391","医療・保健福祉施設"
"鷺宮地域包括支援センター","中野区若宮3-58-10","03-3310-2553","03-3310-1172","","8:30～17:00","日・祝日・年末年始","","有","","有","有","有","","114","自動ドア","有","","有","有","有","有","無","無","有","","有","88","手動（引き戸）","164/190","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","有","","有","有","有","有","98","168/133","有","有","有","","","無","-","有","","有","無","有","有","","","無","-","無","有","","有","有","有","","","無","無","無","無","有","","無","有","無","無","有","有","有","有","","有","139.640057530851","35.7220613347112","医療・保健福祉施設"
