A自治体名(障害者サービス担当館）,B蔵書数録音資料テープ図書作成ﾀｲﾄﾙ,B蔵書数録音資料テープ図書寄贈ﾀｲﾄﾙ,B蔵書数録音資料テープ図書購入ﾀｲﾄﾙ,B蔵書数録音資料テープ雑誌作成ﾀｲﾄﾙ,B蔵書数録音資料テープ雑誌寄贈ﾀｲﾄﾙ,B蔵書数録音資料テープ雑誌購入ﾀｲﾄﾙ,B蔵書数録音資料DAISY図書作成ﾀｲﾄﾙ,B蔵書数録音資料DAISY図書寄贈ﾀｲﾄﾙ,B蔵書数録音資料DAISY図書購入ﾀｲﾄﾙ,B蔵書数録音資料ﾏﾙﾁﾒﾃﾞｨｱDAISY図書作成ﾀｲﾄﾙ,B蔵書数録音資料ﾏﾙﾁﾒﾃﾞｨｱDAISY図書寄贈ﾀｲﾄﾙ,B蔵書数録音資料ﾏﾙﾁﾒﾃﾞｨｱDAISY図書購入ﾀｲﾄﾙ,B蔵書数録音資料DAISY雑誌作成ﾀｲﾄﾙ,B蔵書数録音資料DAISY雑誌寄贈ﾀｲﾄﾙ,B蔵書数録音資料DAISY雑誌購入ﾀｲﾄﾙ,B蔵書数録音資料録音資料合計ﾀｲﾄﾙ,B蔵書数点字資料点字図書作成ﾀｲﾄﾙ,B蔵書数点字資料点字図書寄贈ﾀｲﾄﾙ,B蔵書数点字資料点字図書購入ﾀｲﾄﾙ,B蔵書数点字資料点字雑誌作成ﾀｲﾄﾙ,B蔵書数点字資料点字雑誌寄贈ﾀｲﾄﾙ,B蔵書数点字資料点字雑誌購入ﾀｲﾄﾙ,B蔵書数点字資料点字資料合計ﾀｲﾄﾙ,B蔵書数拡大写本ﾀｲﾄﾙ,B蔵書数点字絵本ﾀｲﾄﾙ,B蔵書数さわる絵本ﾀｲﾄﾙ,B蔵書数その他ﾀｲﾄﾙ,C利用者登録者数（人） ,C利用者登録者数内訳登録者内数（視覚障害以外） ,C利用者登録者数内訳登録者内数（視覚障害以外の読書困難者）,D職員数専任（正規職員）（人）,D職員数兼任（正規・非常勤職員）（人）,D職員数専任（委託・指定管理職員）（人）,D職員数兼任（委託・指定管理職員）（人）,D職員数アルバイト（人）,D職員数その他（人）,E講習会等実施回数音訳講習会,E講習会等実施回数研修会,E講習会等実施回数展示会,E講習会等実施回数機器操作講習会,E講習会等実施回数担当者会,E講習会等実施回数その他,F貸出機器台数点字プリンター,F貸出機器台数デイジー再生用,F貸出機器台数その他,F貸出機器台数デイジー再生機器館外貸出サービス実施,G対面音訳利用状況利用者延人数,G対面音訳利用状況利用時間,G対面音訳利用状況音訳者延人数,G対面音訳利用状況対面実施館数,G対面音訳音訳者職員(人),G対面音訳音訳者職員以外(人),H資料の自館製作録音資料音訳者職員(人),H資料の自館製作録音資料音訳者職員以外(人),H資料の自館製作録音資料校正者職員(人),H資料の自館製作録音資料校正者職員以外(人),H資料の自館製作録音資料ＤＡＩＳＹ編集者職員(人),H資料の自館製作録音資料ＤＡＩＳＹ編集者職員以外(人),H資料の自館製作録音資料ＤＡＩＳＹ校正者職員(人),H資料の自館製作録音資料ＤＡＩＳＹ校正者職員以外(人),H資料の自館製作点訳資料点訳者職員(人),H資料の自館製作点訳資料点訳者職員以外(人),H資料の自館製作点訳資料校正者職員(人),H資料の自館製作点訳資料校正者職員以外(人),I貸出・相互貸借個人貸出録音資料テープﾀｲﾄﾙ,I貸出・相互貸借個人貸出録音資料DAISYﾀｲﾄﾙ,I貸出・相互貸借個人貸出録音資料マルチメディアDAISYﾀｲﾄﾙ,I貸出・相互貸借個人貸出点字資料ﾀｲﾄﾙ,I貸出・相互貸借個人貸出その他ﾀｲﾄﾙ,I貸出・相互貸借個人貸出個人貸出合計ﾀｲﾄﾙ,I貸出・相互貸借相互貸借貸出資料別（ﾀｲﾄﾙ）テープ,I貸出・相互貸借相互貸借貸出資料別（ﾀｲﾄﾙ）DAISY,I貸出・相互貸借相互貸借貸出資料別（ﾀｲﾄﾙ）マルチメディアDAISY,I貸出・相互貸借相互貸借貸出資料別（ﾀｲﾄﾙ）点字,I貸出・相互貸借相互貸借貸出資料別（ﾀｲﾄﾙ）その他,I貸出・相互貸借相互貸借貸出貸出合計（タイトル）,I貸出・相互貸借相互貸借借受資料別（ﾀｲﾄﾙ）テープ,I貸出・相互貸借相互貸借借受資料別（ﾀｲﾄﾙ）DAISY,I貸出・相互貸借相互貸借借受資料別（ﾀｲﾄﾙ）マルチメディアDAISY,I貸出・相互貸借相互貸借借受資料別（ﾀｲﾄﾙ）点字,I貸出・相互貸借相互貸借借受資料別（ﾀｲﾄﾙ）その他,I貸出・相互貸借相互貸借借受借受合計（タイトル）,J謝礼等対面音訳音訳者単価（円）,J謝礼等資料の自館製作録音資料音訳者単価（円）,J謝礼等資料の自館製作録音資料校正者単価（円）,J謝礼等資料の自館製作録音資料ＤＡＩＳＹ編集者単価（円）,J謝礼等資料の自館製作録音資料ＤＡＩＳＹ校正者単価（円）,J謝礼等資料の自館製作点訳資料点訳者単価（円）,J謝礼等資料の自館製作点訳資料校正者単価（円）,J謝礼等宅配協力者単価（円）,K負担金サピエ会費の有無,L障害者サービス予算（千円）,備　考,,,,,,,
目黒区,954,61,351,0,0,0,582,63,116,0,38,130,0,5,2,"2,302",21,159,0,0,4,3,187,0,46,18,204,144,72,10,0,12,2,0,0,0,1,0,0,7,0,0,1,3,0,有,43,86,39,2,3,18,0,33,1,33,0,33,0,33,0,20,0,20,5,"2,437",5,5,23,"2,475",21,347,0,20,0,388,2,"2,347",0,0,0,"2,349",750/h,230/10m,80/10m,410/10m,DAISY編集に含む,130/枚,点訳に含む,－,有,"3,003","・図書の貸出数はタイトル数で数えられないので、延べ貸出点数で計上。
・テープ図書は製作を中止し、DAISY再生機を所有しない障害者向けにはオーディオCD形式で作成している。                                                                                                      ・個人貸出のその他の項目は個別項目に出ていない障害者サービス資料（布の絵本・おもちゃ）の個人貸出し数を記入した。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　",,,,,,,
大田区,"2,228",3,144,506,0,0,111,42,5,0,0,0,458,0,0,"3,497",0,75,2,0,0,0,77,728,0,0,0,320,250,6,0,2,0,34,0,0,0,0,0,0,0,0,0,6,0,有,35,70,35,1,0,67,0,67,0,67,0,67,0,67,0,0,0,0,145,"2,718",0,0,0,"2,863",37,"1,256",0,0,0,"1,293",76,593,0,0,0,669,2000/2ｈ,2000/90m,1000/90ｍ,300/10ｍ,200/10ｍ,0,0,0,無,"3,252",対面音訳には代読サービス実施数を計上した。,,,,,,,
世田谷区,537,0,53,0,3,0,178,97,93,0,14,137,1,11,0,"1,124",3,80,"1,446",0,22,4,"1,555",0,177,211,334,486,174,183,0,43,0,1,0,0,1,0,0,0,1,0,0,8,0,無,1,2,1,1,0,1,0,26,0,19,0,0,0,0,0,0,0,0,9,401,0,7,910,"1,327",2,135,0,0,0,137,0,22,0,0,0,22,1000/h,７００／３０,３５０／３０,―,―,―,―,―,有,"2,465",個人貸出その他は、バリアフリー図書登録されている資料（LLブック、さわる絵本等）中央図書館のみ算出,,,,,,,
渋谷区,943,0,442,0,0,0,306,0,431,0,0,60,0,0,2,"2,184",72,242,996,0,0,0,"1,310",0,0,0,0,86,?,61,0,3,0,0,0,0,2,0,0,2,0,1,0,8,0,無,0,0,0,0,0,0,0,14,0,14,0,14,0,14,0,15,0,15,42,202,0,0,"1,289","1,533",0,31,0,0,0,31,0,0,0,0,0,0,1100/ｈ,1300/ｈ,600/ｈ,900/ｈ,600/ｈ,80/枚,－,,有,"1,173",,,,,,,,
中野区,12,3,466,0,0,0,2,105,506,0,48,30,0,0,0,"1,172",0,0,0,0,3,2,5,0,33,3,-,130,89,3,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,有,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,542,1,11,-,557,0,0,0,0,0,0,0,193,0,0,-,193,1000/h,2000/h,1000/90m,1000/h,1000/h,－,－,－,有,"1,170",,,,,,,,
杉並区,0,0,0,0,0,0,31,0,0,2,0,0,276,0,0,309,0,0,"1,402",0,0,2,"1,404","1,179",0,0,"1,351",170,122,45,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,有,0,0,0,0,0,0,0,57,0,57,0,57,0,57,0,0,0,0,109,696,2,22,33,862,0,68,0,0,0,68,109,462,0,0,0,571,2200/h,2200h/90m,1100/90m,1100/１タイトル,0,-,-,-,有,,,,,,,,,
豊島区,"1,225",0,0,0,0,0,"1,167","2,281",15,*,*,0,17,0,102,"4,807",935,"1,068",40,11,0,68,"2,122",102,*,37,-,573,*,*,18,0,0,0,3,0,3,0,0,0,0,0,1,12,0,有,0,0,0,0,0,0,0,49,0,23,0,8,0,8,0,49,0,49,36,"35,313",*,"2,671","2,822","40,842",25,"3,233",*,135,0,"3,393",20,"3,243",*,16,0,"3,279","1,800/1回（2h）",20/m,9/m,8/m,4/m,50/枚,50/枚,－,有,"12,871",・予算には、システムの維持管理経費も含む,,,,,,,
北区,0,5,0,0,0,0,455,10,0,0,389,0,0,0,0,859,650,22,0,0,2,0,674,0,43,42,0,122,13,1,0,12,0,3,0,0,1,0,0,0,0,0,0,15,0,有,203,413,203,3,0,31,0,10,0,8,0,5,0,3,0,38,0,38,20,"3,592",0,94,0,"3,706",0,82,0,6,0,88,30,"2,550",0,20,0,"2,600",800/ｈ,20000/1タイトル（年間５タイトル　委託）,,,,"20000/1タイトル
（年間５タイトル　委託）",,0,有,"2,658",,,,,,,,
荒川区,"1,430",*,*,0,*,*,596,*,*,41,*,*,0,*,*,"2,067","1,050",*,*,0,*,*,"1,050",33,0,0,626,156,?,?,7,0,0,0,0,0,9,0,0,3,2,0,0,13,0,有,24,48,24,1,0,10,0,11,0,11,0,11,0,11,0,1,0,1,34,325,*,0,10,369,0,41,*,0,0,"4,710",8,111,*,0,0,"4,718",1000/h,1000/h,600/h,600/h,600/h,0/枚,0/枚,職員が実施,有,"2,775",,,,,,,,
板橋区,3,4,0,0,37,0,3,79,0,0,0,0,0,29,0,155,11,346,50,66,145,104,722,0,84,50,0,78,37,4,0,12,40,14,0,0,0,1,0,0,0,0,0,5,0,有,251,256,153,5,0,39,0,17,0,0,0,0,0,0,0,0,0,0,0,2,0,155,501,658,0,0,0,0,0,0,0,1,0,0,0,1,500/ｈ,1000/ｈ,0,0,0,0,0,0,有,732,,,,,,,,
練馬区,"1,956",588,463,109,16,12,401,129,479,0,35,75,271,11,252,"4,797",85,"1,209","1,074",0,6,285,"2,659",0,0,"1,220",231,458,-,299,0,3,0,0,0,0,10,0,0,3,0,0,0,0,0,無,623,"1,246",623,8,2,72,0,64,0,64,0,40,0,40,0,0,0,0,476,"3,230",7,272,-,"3,985",18,"2,395",0,8,0,"2,421",193,"1,257",4,15,-,"1,469",1000/h,300/10m,300/10m,300/10m,300/10m,-,-,-,有,"7,206",,,,,,,,
足立区,135,0,"3,954",*,*,*,73,702,198,0,32,2,*,*,*,"5,096",0,88,0,0,0,0,88,0,0,0,0,208,14,0,0,5,0,3,0,0,0,0,0,0,0,0,1,38,0,有,70,136,70,1,3,6,0,6,0,6,0,6,0,6,0,0,0,0,-,"5,865",-,40,-,"5,905",-,4,-,0,-,4,-,"5,464",-,40,-,"5,504",1000/h,1500/90m,500/90m,1000/90m,500/90m,100/枚,－,－,有,"1,822",,,,,,,,
葛飾区,81,0,0,0,0,0,229,26,120,25,40,78,0,0,1,600,"1,619",*,*,0,0,2,"1,621",0,269,11,89,"1,123","1,025",*,0,10,0,0,0,0,0,0,1,0,8,1,1,5,0,有,31,62,35,2,0,35,0,35,0,35,0,35,0,35,0,11,0,11,81,829,330,"2,443",13,"3,696",0,34,0,0,0,34,0,27,0,0,0,27,1000/h,"６１/m（文字）
８４/m（図面）
（いずれも校正・編集込み）",,,,150/枚,,0,有,"1,011",・図書の貸出数はタイトル数で数えられないので、所蔵数で計上。,,,,,,,
江戸川区,50,152,333,0,1,0,38,164,22,0,198,55,0,11,0,"1,024",0,287,32,0,13,3,335,0,77,33,8,84,0,0,0,0,4,0,0,0,-,-,-,-,1,-,3,10,0,無,54,?,?,3,0,?,0,?,0,?,0,?,0,?,0,0,0,0,288,"6,549",1,272,813,"7,923",0,2,0,0,0,2,252,"6,003",1,163,15,"6,434",-,1500/h,600/h,600/h,-,-,-,-,有,320,障害者サービス予算……サピエ登録料・ＤＡＩＳＹ化予算,,,,,,,
区合計,"13,785","1,260","10,182",615,57,12,"7,029","4,901","3,655",68,"1,347",837,"1,058",210,359,"45,375","5,680","3,733","5,042",77,292,499,"15,323","3,025",925,"2,590","3,588","5,928","1,869",649,28,132,54,126,3,0,29,3,6,20,19,3,9,262,8,18,"1,800","2,817","1,653",38,14,450,3,611,2,424,3,385,5,362,1,204,0,150,"2,071","76,205",373,"7,142","10,794","96,585",287,"10,032",0,214,60,"15,262",879,"29,897",5,408,23,"35,811",,,,,,,,,20,"52,505",,,,,,,,
八王子市,134,*,*,1,0,0,408,*,*,*,*,*,3,0,0,546,"5,117",*,*,0,0,0,"5,117",-,-,-,-,166,*,*,0,2,0,0,0,7,0,0,0,0,0,0,0,3,0,有,321,322,528,4,0,106,,106,,*,,*,,*,,10,,*,157,"3,439",*,53,0,"3,649",0,"1,983",0,1,0,"1,984",29,"2,077",*,52,0,"2,158",￥500/ｈ,"￥2,000/タイトル",*,*,*,￥200/冊,*,￥500/回,有,858,"〇貸出数は全て資料数にて計上。
〇デイジー図書貸出数は、雑誌・一般書の合計。
〇音訳者数はボランティア会員数にて計上。",,,,,,,
立川市,563,18,378,?,?,?,234,2,0,0,35,0,?,?,?,"1,230",873,*,*,?,?,?,873,0,?,48,42,45,?,?,3,2,0,8,0,0,0,0,0,0,0,0,0,6,0,有,0,0,0,0,0,1,0,66,0,50,0,22,0,22,0,7,0,7,276,"2,003",0,9,8,"2,296",0,74,0,3,0,77,276,"1,692",0,9,0,"1,977",658/30m,1411/30m,751/30m,751/30m,565/30m,377/枚,113/枚,　－,有,"2,743",,,,,,,,
武蔵野市,885,2,302,0,0,0,613,5,91,0,509,75,0,0,1,"2,483",0,0,0,0,0,6,6,0,0,0,59,119,24,17,0,2,0,0,1,0,0,0,1,0,0,0,0,9,0,有,0,0,0,0,0,0,0,84,1,84,0,84,2,84,0,0,0,0,11,492,0,3,42,548,3,507,0,0,0,510,0,418,0,0,0,418,0,0,0,0,0,－,－,－,有,"1,568",,,,,,,,
三鷹市,785,0,"1,158",0,0,0,379,0,95,0,0,31,0,0,0,"2,448",247,*,*,0,0,0,247,0,45,162,22,45,7,38,0,2,0,0,0,0,0,0,0,0,0,0,0,8,4,有,124,154,124,1,0,12,0,4,0,0,0,3,0,1,0,0,0,0,1,216,0,0,0,217,1,194,0,0,0,195,1,209,0,0,0,210,400/h,800/h,-,500/h,800/h,-,-,-,有,"1,251",利用者数については長期未利用者を削除したため前年比減となっている。,,,,,,,
青梅市,0,0,0,0,0,0,103,52,416,0,118,0,0,0,0,689,0,740,111,0,1,2,854,0,?,?,29,63,2,2,0,0,0,9,0,0,1,0,6,0,1,0,1,6,0,有,12,12,12,1,1,15,0,21,0,5,0,21,0,5,0,7,0,7,0,629,0,38,0,667,0,0,0,0,0,0,5,500,0,0,0,505,746／h,,,,,,,,無,701,※ 図書の貸出数等は、タイトル数で数えられないので、所蔵数で計上,,,,,,,
府中市,18,8,241,0,0,0,156,28,438,0,8,35,0,0,12,944,0,101,553,0,0,341,995,0,15,151,101,32,16,16,0,5,0,0,0,0,0,0,1,0,2,0,0,10,0,有,65,130,65,1,0,21,0,21,0,21,0,21,0,21,0,0,0,0,0,936,0,66,0,"1,002",0,62,0,0,0,62,0,？,0,0,0,0,0,0,0,0,0,0,0,0,有,"1,063",蔵書数「その他」欄は、布の絵本の冊数を記入,,,,,,,
昭島市,398,136,88,1,0,0,84,158,25,0,37,0,1,0,0,928,0,55,22,0,0,2,79,0,23,12,-,47,?,?,0,0,1,1,0,0,1,0,0,0,0,0,0,5,0,有,1,22,22,1,0,17,0,12,0,8,0,12,0,7,0,0,0,0,1,389,0,2,-,392,0,19,0,0,0,19,7,110,0,0,0,117,2040/h,4080/h,2040/h,2040/h,1020/h,-,-,-,有,790,,,,,,,,
調布市,"2,412",4,2,0,0,0,"3,147",14,12,33,37,192,0,0,0,"5,853",68,29,15,0,0,3,115,?,?,?,450,268,175,?,10,0,0,0,0,0,0,0,7,0,0,1,0,25,5,有,37,55,37,1,10,12,0,30,0,11,1,19,1,10,0,20,0,20,72,"3,276",0,8,110,"3,466",68,671,0,0,1,740,1,"1,833",0,1,4,"1,839",1000/h,"2000/h(DAISY直接録音)
1800/h(テープ録音及びDR-1録音)","1000/h(DAISY直接録音)
900/h(テープ録音及びDR-1録音)",600/h,300/ｈ,"500/件
250/枚",120/枚,0,有,"4,952",・「C利用者」の「登録者内数（視覚障害者以外）」は，宅配利用者の数。,,,,,,,
