区市町村名,学校名,募集人員／男,募集人員／女,募集人員／計,２日目までの応募人員／男,２日目までの応募人員／女,２日目までの応募人員／計,２日目までの応募倍率／男,２日目までの応募倍率／女,２日目までの応募倍率／計
練馬,大泉,31,31,62,43,38,81,1.39,1.23,1.31
練馬,石神井,132,121,253,242,233,475,1.83,1.93,1.88
練馬,田柄,35,33,68,51,46,97,1.46,1.39,1.43
練馬,練馬,116,107,223,122,129,251,1.05,1.21,1.13
練馬,光丘,114,104,218,150,98,248,1.32,0.94,1.14
足立,青井,75,69,144,85,121,206,1.13,1.75,1.43
足立,足立,132,121,253,193,104,297,1.46,0.86,1.17
足立,足立新田,100,93,193,123,121,244,1.23,1.30,1.26
足立,足立西,82,76,158,117,99,216,1.43,1.30,1.37
足立,足立東,41,38,79,86,66,152,2.10,1.74,1.92
足立,江北,132,121,253,194,165,359,1.47,1.36,1.42
足立,淵江,84,77,161,93,108,201,1.11,1.40,1.25
葛飾,葛飾野,132,122,254,187,124,311,1.42,1.02,1.22
葛飾,南葛飾,68,61,129,134,158,292,1.97,2.59,2.26
江戸川,江戸川,132,122,254,226,200,426,1.71,1.64,1.68
江戸川,葛西南,116,107,223,128,113,241,1.10,1.06,1.08
江戸川,小岩,149,136,285,265,242,507,1.78,1.78,1.78
江戸川,小松川,132,122,254,179,131,310,1.36,1.07,1.22
江戸川,篠崎,106,97,203,180,147,327,1.70,1.52,1.61
江戸川,紅葉川,100,91,191,184,173,357,1.84,1.90,1.87
区部計,,6543,6016,12559,10788,10033,20821,1.65,1.67,1.66
八王子,片倉,100,91,191,149,118,267,1.49,1.30,1.40
八王子,八王子北,83,76,159,123,108,231,1.48,1.42,1.45
八王子,八王子東,132,121,253,152,169,321,1.15,1.40,1.27
八王子,富士森,147,135,282,184,199,383,1.25,1.47,1.36
八王子,松が谷,99,91,190,157,132,289,1.59,1.45,1.52
立川,立川,132,121,253,240,182,422,1.82,1.50,1.67
武蔵野,武蔵,31,31,62,49,49,98,1.58,1.58,1.58
武蔵野,武蔵野北,100,91,191,139,175,314,1.39,1.92,1.64
青梅,多摩,100,91,191,109,119,228,1.09,1.31,1.19
府中,府中,116,106,222,216,169,385,1.86,1.59,1.73
府中,府中西,125,115,240,154,157,311,1.23,1.37,1.30
府中,府中東,116,107,223,151,144,295,1.30,1.35,1.32
昭島,昭和,132,121,253,162,140,302,1.23,1.16,1.19
昭島,拝島,116,107,223,125,125,250,1.08,1.17,1.12
調布,神代,116,106,222,148,166,314,1.28,1.57,1.41
調布,調布北,99,91,190,131,125,256,1.32,1.37,1.35
調布,調布南,100,91,191,201,174,375,2.01,1.91,1.96
町田,小川,132,121,253,157,156,313,1.19,1.29,1.24
町田,成瀬,116,107,223,166,164,330,1.43,1.53,1.48
町田,野津田,50,46,96,82,91,173,1.64,1.98,1.80
町田,町田,132,122,254,193,176,369,1.46,1.44,1.45
町田,山崎,88,80,168,122,80,202,1.39,1.00,1.20
小金井,小金井北,100,91,191,185,182,367,1.85,2.00,1.92
小平,小平,83,76,159,139,156,295,1.67,2.05,1.86
小平,小平西,116,107,223,206,206,412,1.78,1.93,1.85
小平,小平南,116,107,223,213,192,405,1.84,1.79,1.82
日野,日野,132,122,254,184,187,371,1.39,1.53,1.46
日野,日野台,127,116,243,171,182,353,1.35,1.57,1.45
日野,南平,132,122,254,222,211,433,1.68,1.73,1.70
東村山,東村山,41,37,78,60,64,124,1.46,1.73,1.59
東村山,東村山西,116,107,223,165,123,288,1.42,1.15,1.29
国立,国立,132,121,253,200,192,392,1.52,1.59,1.55
福生,福生,116,107,223,171,161,332,1.47,1.50,1.49
狛江,狛江,149,137,286,254,224,478,1.70,1.64,1.67
東大和,東大和,116,107,223,198,136,334,1.71,1.27,1.50
東大和,東大和南,132,121,253,223,185,408,1.69,1.53,1.61
清瀬,清瀬,132,121,253,169,147,316,1.28,1.21,1.25
東久留米,久留米西,116,106,222,159,115,274,1.37,1.08,1.23
武蔵村山,武蔵村山,116,107,223,140,113,253,1.21,1.06,1.13
多摩,永山,115,112,227,174,208,382,1.51,1.86,1.68
羽村,羽村,116,106,222,124,127,251,1.07,1.20,1.13
あきる野,秋留台,50,45,95,133,85,218,2.66,1.89,2.29
西東京,田無,132,121,253,174,133,307,1.32,1.10,1.21
西東京,保谷,132,122,254,215,171,386,1.63,1.40,1.52
多摩部計,,4879,4486,9365,7189,6618,13807,1.47,1.48,1.47
ｺｰｽ、単位制以外計,,11422,10502,21924,17977,16651,34628,1.57,1.59,1.58
