区市町村名,学校名,学科名,募集人員／第１学年／区分１,募集人員／第１学年／区分２,募集人員／第２学年／区分１,募集人員／第２学年／区分２,募集人員／第３学年／区分１,募集人員／第３学年／区分２,受付期間,選抜日,発表日,昨年度第二学期補欠募集の実施状況／第１学年,昨年度第二学期補欠募集の実施状況／第２学年,昨年度第二学期補欠募集の実施状況／第３学年
武蔵野,武蔵野北,普通科,1,2,1,1,1,2,"8/3,4",8/5,8/5,○,,
青梅,多摩,普通科,1,2,1,14,1,20,"8/3,4",8/5,8/5,○,○,
府中,府中,普通科,1,2,1,,2,1,"8/9,10",8/12,8/12,○,,
府中,府中西,普通科,1,2,1,5,,7,"8/9,10",8/12,8/12,○,,
府中,府中東,普通科,1,2,1,9,1,8,"8/3,4",8/5,8/5,○,,
昭島,昭和,普通科,2,2,2,,2,7,"8/3,4",8/5,8/5,○,,
昭島,拝島,普通科,1,2,1,2,1,6,"8/9,10",8/12,8/12,○,,
調布,神代,普通科,2,2,2,,2,6,"8/9,10",8/12,8/12,○,○,
調布,調布北,普通科,2,2,2,1,2,,"8/3,4",8/5,8/5,○,,
調布,調布南,普通科,1,2,1,2,,3,"8/9,10",8/12,8/12,,,
町田,小川,普通科,2,2,2,7,2,4,"8/3,4",8/5,8/5,○,,
町田,成瀬,普通科,1,2,1,,1,1,"8/9,10",8/12,8/12,○,○,
町田,野津田,普通科,,1,,1,,7,"8/3,4",8/5,8/5,○,,
町田,町田,普通科,1,2,1,,,5,"8/3,4",8/5,8/5,,,
町田,山崎,普通科,1,2,1,10,1,11,"8/9,10",8/12,8/12,○,○,
小金井,小金井北,普通科,1,2,1,2,,1,"8/9,10",8/12,8/12,○,,
小平,小平,普通科,1,2,1,2,,,"8/3,4",8/5,8/5,,○,
小平,小平西,普通科,,2,,13,,4,"8/9,10",8/12,8/12,○,○,
小平,小平南,普通科,1,2,1,3,1,2,"8/9,10",8/12,8/12,,,
日野,日野,普通科,1,2,,3,1,16,"8/3,4",8/5,8/5,○,,
日野,日野台,普通科,1,2,1,2,1,2,"8/9,10",8/12,8/12,,,
日野,南平,普通科,1,2,1,2,1,,"8/3,4",8/5,8/5,,,
東村山,東村山,普通科,1,2,2,6,1,8,"8/9,10",8/12,8/12,○,○,
東村山,東村山西,普通科,1,2,1,3,1,13,"8/3,4",8/5,8/5,○,,
国立,国立,普通科,2,2,2,2,2,1,"8/3,4",8/5,8/5,○,,
福生,福生,普通科,1,2,1,1,1,6,"8/3,4",8/5,8/5,○,○,
狛江,狛江,普通科,1,2,1,1,1,1,"8/3,4",8/5,8/5,○,○,
東大和,東大和,普通科,1,2,1,1,1,,"8/3,4",8/5,8/5,○,,
東大和,東大和南,普通科,2,2,2,2,2,2,"8/9,10",8/12,8/12,,,
清瀬,清瀬,普通科,2,2,2,5,2,5,"8/3,4",8/5,8/5,,,
東久留米,久留米西,普通科,2,2,2,3,2,4,"8/9,10",8/12,8/12,○,,
武蔵村山,武蔵村山,普通科,1,2,1,1,1,2,"8/3,4",8/5,8/5,○,,
多摩,永山,普通科,,2,,13,,6,"8/9,10",8/12,8/12,○,○,
羽村,羽村,普通科,1,2,1,41,1,25,"8/3,4",8/5,8/5,○,○,
あきる野,秋留台※,普通科,,2,,2,,22,"8/3,4",8/5,8/5,○,○,
西東京,田無,普通科,2,2,,6,,6,"8/3,4",8/5,8/5,○,○,
西東京,保谷,普通科,1,2,1,3,1,,"8/9,10",8/12,8/12,,,
大島,大島,普通科,,37,,50,,38,"8/3,4",8/5,8/5,,,
新島,新島,普通科,,34,,22,,24,"8/3,4",8/5,8/5,,,
神津,神津,普通科,,30,,32,,26,"8/9,10",8/12,8/12,,,
三宅,三宅,普通科,,31,,31,,34,"8/3,4",8/5,8/5,,,
八丈,八丈,普通科,,84,,79,,66,"8/9,10",8/12,8/12,,,
小笠原,小笠原,普通科,,14,,17,,16,"8/25,26",8/29,8/29,,,
普通科計,,,117,450,108,846,98,1240,,,,,,
注）募集区分／区分１：保護者の転勤等による都外からの一家転住者／区分２：一般,,,,,,,,,,,,,,
注）「昨年度第二学期補欠募集の実施状況」欄では、昨年度の第二学期補欠募集を行った学校のうち、実際に検査を実施した（受検者がいた）学年に○印を付している。,,,,,,,,,,,,,,
注）普通科の選抜は、国語・数学・英語の学力検査及び面接により行う。／ただし、※印を付した都立高校の以下に示す学年の選抜は、次により行う。,,,,,,,,,,,,,,
都立蒲田高校／第1・２・３学年／小論文・面接,,,,,,,,,,,,,,
都立足立東高校／第1・２・３学年／作文・面接,,,,,,,,,,,,,,
都立秋留台高校／第1・２・３学年／小論文・面接,,,,,,,,,,,,,,
