区市町村名,学校名,学科名,募集人員／第２学年／区分１,募集人員／第２学年／区分２,募集人員／第３学年／区分１,募集人員／第３学年／区分２,受付期間,選抜日,発表日,昨年度第一学期補欠募集の実施状況／第２学年,昨年度第一学期補欠募集の実施状況／第３学年
江戸川,篠崎,普通科,,2,,11,"3/13,14",3/15,3/15,○,
江戸川,紅葉川,普通科,,,1,4,"3/13,14",3/15,3/15,,
八王子,片倉,普通科,1,3,1,2,"3/13,14",3/15,3/15,,
八王子,八王子北,普通科,,2,,2,"3/13,14",3/16,3/16,,
八王子,八王子東,普通科,2,1,1,2,"3/13,14",3/16,3/16,○,
八王子,富士森,普通科,1,2,1,,"3/13,14",3/15,3/15,,
八王子,松が谷,普通科,2,2,1,3,"3/16,17",3/23,3/23,○,
立川,立川,普通科,2,2,1,2,"3/14,15",3/16,3/16,○,
武蔵野,武蔵,普通科,,3,,2,"3/13,14",3/16,3/16,○,○
武蔵野,武蔵野北,普通科,1,2,1,1,"3/15,16",3/17,3/17,,
青梅,多摩,普通科,1,1,1,16,"3/13,14",3/15,3/15,,
府中,府中,普通科,1,2,1,,"3/13,14",3/15,3/15,○,○
府中,府中西,普通科,1,,1,7,"3/13,14",3/15,3/15,,
府中,府中東,普通科,1,5,1,11,"3/13,14",3/15,3/15,,
昭島,昭和,普通科,2,2,2,,"3/14,15",3/16,3/16,○,○
昭島,拝島,普通科,1,2,1,4,"3/13,14",3/15,3/15,,
調布,神代,普通科,2,2,2,2,"3/13,14",3/17,3/17,,○
調布,調布北,普通科,2,,2,1,"3/13,14",3/15,3/15,○,
調布,調布南,普通科,1,2,1,2,"3/13,14",3/15,3/15,,
町田,小川,普通科,2,1,2,7,"3/15,16",3/17,3/17,,
町田,成瀬,普通科,1,2,1,,"3/13,14",3/15,3/15,,
町田,野津田,普通科,,4,,4,"3/13,14",3/15,3/15,,
町田,町田,普通科,1,,,,"3/13,14",3/16,3/16,○,○
町田,山崎,普通科,1,3,1,9,"3/13,14",3/16,3/16,○,
小金井,小金井北,普通科,1,3,1,2,"3/13,14",3/15,3/15,,
小平,小平,普通科,1,3,1,2,"3/13,14",3/15,3/15,,○
小平,小平西,普通科,,2,,17,"3/13,14",3/15,3/15,,
小平,小平南,普通科,1,2,1,6,"3/13,14",3/15,3/15,,
日野,日野,普通科,1,1,,6,"3/16,17",3/21,3/21,○,○
日野,日野台,普通科,1,1,1,2,"3/13,14",3/15,3/15,,
日野,南平,普通科,1,2,,2,"3/13,14",3/17,3/17,,
東村山,東村山,普通科,1,2,2,8,"3/15,16",3/17,3/17,,
東村山,東村山西,普通科,1,1,1,6,"3/15,16",3/17,3/17,,
国立,国立,普通科,1,2,2,2,"3/13,14",3/16,3/16,○,○
福生,福生,普通科,1,4,1,3,"3/13,14",3/15,3/15,○,
狛江,狛江,普通科,1,2,1,1,"3/13,14",3/17,3/17,,
東大和,東大和,普通科,1,,1,4,"3/15,16",3/17,3/17,,
東大和,東大和南,普通科,2,2,2,2,"3/13,14",3/15,3/15,,○
清瀬,清瀬,普通科,2,2,2,7,"3/13,14",3/15,3/15,○,
東久留米,久留米西,普通科,2,2,2,4,"3/13,14",3/15,3/15,,
武蔵村山,武蔵村山,普通科,1,2,1,1,"3/13,14",3/15,3/15,,
多摩,永山,普通科,,3,,15,"3/13,14",3/16,3/16,,
羽村,羽村,普通科,1,4,1,44,"3/14,15",3/16,3/16,,○
あきる野,秋留台※,普通科,,,,3,"3/22,23",3/24,3/24,,
西東京,田無,普通科,2,1,,7,"3/13,14",3/15,3/15,○,○
西東京,保谷,普通科,1,2,1,6,"3/14,15",3/16,3/16,,
大島,大島,普通科,,37,,50,"3/13,14",3/15,3/15,,
新島,新島,普通科,,34,,22,"3/13,14",3/15,3/15,,
神津,神津,普通科,,31,,32,"3/14,15",3/16,3/16,,
三宅,三宅,普通科,,31,,31,"3/13,14",3/15,3/15,○,
八丈,八丈,普通科,,85,,79,"3/13,14",3/17,3/17,,
小笠原,小笠原,普通科,,14,,17,"3/14,15",3/16,3/16,,
普通科計,,,112,509,101,1028,,,,,
注）募集区分／区分１：保護者の転勤等による都外からの一家転住者／区分２：一般,,,,,,,,,,,
注）「昨年度第一学期補欠募集の実施状況」欄では、昨年度の第一学期補欠募集を行った学校のうち、実際に検査を実施した（受検者がいた）学年に○印を付している。,,,,,,,,,,,
注）普通科の選抜は、国語・数学・英語の学力検査及び面接により行う。／ただし、※印を付した都立高校の以下に示す学年の選抜は、次により行う。,,,,,,,,,,,
都立足立東高校／第２・３学年／作文・面接,,,,,,,,,,,
都立秋留台高校／第３学年／小論文・面接,,,,,,,,,,,
