サービス内容,自治体名
聞蔵IIビジュアル（*）＝制限あり,足立（中央）、荒川（ゆいの森・南千住・尾久・町屋・日暮里）、板橋（東板橋・小茂根・氷川）、江戸川（中央・篠崎・葛西・西葛西・東葛西・東部）、大田、葛飾（中央・立石）、北（中央）、江東、品川（品川）、渋谷（中央）、新宿、杉並、墨田、世田谷（中央・経堂）、台東（中央）、中央、千代田（千代田・日比谷図書文化）、豊島（中央）、中野（中央）、練馬（光が丘・関町）、文京*、港、目黒*、昭島（市民）、あきる野（中央）、青梅（中央）、小平（中央・仲町）立川、多摩、調布（中央）、西東京（中央・保谷駅前・柳沢・ひばりが丘）、八王子（中央）、東久留米（中央）、東村山*、東大和、日野、府中（中央）、福生（中央）、町田（中央）、三鷹（三鷹）、武蔵野、都立中央、都立多摩
ヨミダス歴史館（*）＝制限あり,荒川（ゆいの森・南千住・尾久・町屋・日暮里）、板橋（清水・蓮根・西台・志村）、江戸川（中央）、葛飾（中央・亀有・鎌倉）、江東、渋谷（中央）、新宿、杉並、墨田、世田谷（経堂）、目黒（八雲中央）、台東（中央）、千代田（千代田・日比谷図書文化）、豊島（中央）、練馬（光が丘・関町）、文京*、港、昭島（市民）、稲城（中央）、青梅（中央）、国分寺（駅前分館）、小平（中央・仲町）、立川、多摩、調布（中央）、八王子（中央・生涯学習）東久留米（中央）、東村山*、日野、府中（中央）、町田（中央）、三鷹（三鷹）、武蔵野、都立中央、都立多摩
毎索（*）＝制限あり,荒川（ゆいの森・南千住・尾久・町屋・日暮里）、江戸川（中央・小岩）、江東、品川（大崎）、新宿*、杉並、台東（中央）、府中（中央）、中央、千代田（千代田・日比谷図書文化）、文京*、港、昭島（市民）、青梅（中央）、日野（市政*）、武蔵野、都立中央、都立多摩
産経データベース（*）＝制限あり,新宿*、千代田（日比谷図書文化）、港、昭島（市民）、都立中央、都立多摩
中日新聞・東京新聞記事データベース（*）＝制限あり,新宿*、台東（中央）、千代田（千代田・日比谷図書文化）、文京*、港、目黒（八雲中央）、昭島（市民）、府中（中央）、都立中央、都立多摩
日経テレコン21（*）＝制限あり,足立（中央）、荒川（ゆいの森・南千住・尾久・町屋・日暮里）、板橋（中央・成増）、江戸川（中央・小岩・篠崎・東部）、葛飾（中央・お花茶屋・立石）、北（中央）、江東、品川（品川・大崎）、新宿、杉並（中央）、墨田（ひきふね）、世田谷（経堂）、台東（中央）、中央、千代田（千代田・日比谷図書文化）、豊島（中央）、中野（中央）、練馬（光が丘・関町）、文京*、港、あきる野（中央）、稲城（中央）、青梅（中央）、国分寺（駅前分館）、立川、多摩（永山）、調布（中央）、西東京（中央）、八王子（中央・生涯学習）、東村山（中央）、日野（中央・市政）、府中（中央）、福生（中央）、町田（中央）、三鷹（三鷹・三鷹駅前）、武蔵野、都立中央、都立多摩
日経BP,都立中央、都立多摩
東洋経済デジタルコンテンツ・ライブラリ,渋谷（中央）、都立中央、都立多摩
ダイヤモンドD-VISIONNET,都立中央、都立多摩
デジタル新文化,千代田（千代田）
ELDB（ELNET）,江戸川（篠崎）、中央、千代田（日比谷図書文化）、武蔵野、都立中央、都立多摩
G-Search,東大和、都立中央、都立多摩
マガジンプラス,荒川（ゆいの森・南千住・尾久・町屋・日暮里）、葛飾（中央）、品川（品川・大崎）、新宿、杉並（中央・高円寺・西荻・高井戸）、墨田、世田谷（中央）、千代田（千代田・日比谷図書文化）、豊島（中央）、中野（中央）、練馬（光が丘・関町）、稲城（中央）、調布（中央）、府中（中央）、町田（中央）、武蔵野、都立中央、都立多摩
雑誌記事索引集成データベース（ざっさくプラス）,都立中央、都立多摩
WebOYA-bunko（*）＝制限あり,文京*、調布（中央）、東村山*、武蔵野（中央）、都立中央、都立多摩
ジャパンナレッジ（*）＝制限あり,荒川（ゆいの森・南千住・尾久・町屋・日暮里）、板橋（清水・蓮根・西台・志村）、江戸川（中央・小岩・篠崎・葛西・西葛西・東葛西・東部）、葛飾（中央・立石）、北（中央）、江東、渋谷（中央）、新宿、杉並、墨田、中央、千代田（千代田・日比谷図書文化）、豊島（中央）、練馬（光が丘・関町）、文京*、港、目黒（八雲中央）、小平（中央・仲町）、多摩、調布（中央）、西東京（中央・保谷駅前・柳沢・ひばりが丘）、東久留米（中央）、東村山*、府中（中央）、三鷹（三鷹・南部）、武蔵野、都立中央、都立多摩
ブリタニカ・オンライン・ジャパン,渋谷（中央）、杉並（中央・柿木・高円寺・西荻・高井戸）、港、府中（中央）、都立中央、都立多摩
ポプラディアネット,荒川（ゆいの森・南千住・尾久・町屋・日暮里）、板橋（赤塚・清水・蓮根・氷川・高島平・東板橋・小茂根・西台・志村）、江戸川（葛西・西葛西・東葛西・篠崎子ども）、葛飾（中央）、新宿（こども図書館）、杉並（中央）、中央、豊島（中央）、港、昭島（市民）、小平（仲町）、立川（西砂・錦・若葉）、府中（中央）、都立中央、都立多摩
フープラス,葛飾（中央・お花茶屋・立石）、中野（中央）、都立中央、都立多摩
BiographyInContext,都立中央、都立多摩
官報情報検索サービス（*）＝制限あり,足立（中央）、荒川（ゆいの森・南千住・尾久・町屋・日暮里）、板橋（中央・氷川）、江戸川（中央・篠崎）、葛飾（中央・立石）、北（中央）、江東、品川（品川・大崎）、新宿*、杉並、墨田（ひきふね）、世田谷（中央・経堂）、台東（中央）、中央、千代田（千代田・日比谷図書文化）、豊島（中央）、中野（中央）、練馬（光が丘・関町）、文京*、港、目黒*、昭島（市民）、あきる野（中央・東部図書館エル・五日市・増戸分室）、稲城（中央）、青梅（中央）?、小金井（本館）、国分寺（駅前分館）、小平（中央・仲町）、立川、多摩（本館）、調布（中央）、西東京（中央・ひばりが丘）、八王子（中央・生涯学習）、羽村（本館）、東久留米（中央）、東村山*、東大和、日野、府中（中央）、福生（中央）、町田（中央）、三鷹（三鷹）、武蔵野、日の出（中央）、都立中央、都立多摩
D1-Law第一法規法情報総合データベース（*）＝制限あり,足立（中央）、荒川（ゆいの森・南千住・尾久・町屋・日暮里）、板橋（中央）、江戸川（中央）、大田、葛飾（中央）、北（中央）、江東、渋谷（中央）、新宿（中央・四谷・鶴巻・西落合・戸山・北新宿・中町・角筈・大久保・下落合）、杉並、墨田、台東（中央）、中央、千代田（千代田）、豊島（中央）、中野（中央）、練馬（光が丘・関町）、文京*、港、目黒（八雲中央）、昭島（市民）、稲城（中央）、青梅（中央）、小平（中央・仲町）、調布（中央）、羽村（本館）、八王子（中央）、東久留米（中央）、東村山（中央）、東大和、日野、三鷹（三鷹）、都立中央、都立多摩
判例秘書,世田谷（中央・経堂）、府中（中央）、都立中央、都立多摩
WestlawJapan,葛飾（中央・立石）、千代田（日比谷図書文化）、あきる野（中央・東部図書館エル・五日市・増戸分室）、町田（中央）、武蔵野
現行法令情報,西東京（中央・保谷駅前・柳沢・ひばりが丘）
TKCローライブラリー,品川（品川・大崎）、立川、多摩、日野
OECDiLibrary,千代田（日比谷図書文化）
eol,千代田（日比谷図書文化）、都立中央、都立多摩
Mpac,葛飾（中央）、江東、府中（中央）、千代田（千代田・日比谷図書文化）、都立中央、都立多摩
JRS経営情報サービス（*）＝制限あり,荒川（ゆいの森・南千住・尾久・町屋・日暮里）、江戸川（篠崎）、品川（大崎）、新宿*
市場情報評価ナビ（MieNa）,葛飾（中央）、新宿（中央・角筈）、千代田（日比谷図書文化）
東洋経済雑誌記事閲覧サービス,新宿
地方公共団体総覧,江戸川（中央）、葛飾（中央）、江東、中央（京橋）、青梅（中央）
医中誌Web,豊島（中央）、都立中央、都立多摩
JDreamIII（*）＝制限あり,葛飾（中央）、品川（大崎）、新宿*、千代田（千代田）、都立中央、都立多摩
理科年表プレミアム,葛飾（立石）、府中（中央）、都立中央、都立多摩
ルーラル電子図書館,江戸川（篠崎）、都立中央、都立多摩
日外レファレンス・コレクション（*）＝制限あり,新宿*、文京*、都立中央、都立多摩
nichigai/webサービス（*）＝制限あり,文京*
ナクソス・ミュージック・ライブラリー,江東、千代田（千代田）、青梅（中央）、立川、日野、府中（中央）、三鷹、武蔵野
OxfordArtOnline,都立中央、都立多摩
国立国会図書館デジタル化資料送信サービスに参加している図書館,板橋（中央）、江戸川（中央）、大田、葛飾（中央・立石）、北（中央）、江東（江東・深川・東陽・豊洲・城東）、品川（中央）、新宿（中央）、杉並（中央・宮前・方南）、墨田（ひきふね）、世田谷（中央）、台東（中央）、千代田（千代田）、中野（中央）、練馬（光が丘）、文京（真砂・小石川）、港（みなと）、目黒（八雲中央）、昭島（市民）、あきる野（中央）、稲城（中央）、青梅（中央）、多摩、小金井（本館・貫井北）、小平（中央）、立川（中央）、調布（中央）、西東京（中央・保谷駅前・柳沢・ひばりヶ丘）、東久留米（中央）、東村山（中央）、東大和、日野、府中（中央）、町田（中央）、三鷹（三鷹）、武蔵野、都立中央、都立多摩
ビジネス情報サービスを実施している図書館,荒川、大田（入新井）、葛飾、北、新宿、墨田、世田谷、台東、中央、千代田（千代田・日比谷図書文化）、港、昭島、あきる野、稲城、立川（中央）、多摩、調布、西東京（保谷駅前）、羽村、東村山、日野、府中、福生、町田、都立中央
CD・EyesTSR企業情報ファイル（ビジネス支援用）,都立中央、都立多摩
会社四季報全70年DVD（ビジネス支援用）,都立中央
会社四季報シリーズ未上場会社（ビジネス支援用）,都立中央
TKC経営指標（ビジネス支援用）,都立中央
TSR中小企業経営指標,都立中央
健康・医療情報サービスを実施している図書館,荒川、江戸川（中央・小松川・東部）、大田（蒲田駅前）、葛飾、北、品川、中央、豊島、港、あきる野、稲城、立川、多摩、調布、西東京（中央）、八王子（中央）、東村山、日野、町田、都立中央
法律情報サービスを実施している図書館,葛飾、北、中央、あきる野、多摩、調布、西東京（中央）、東村山、町田、都立中央
大学図書館への紹介状を発行している図書館（*）＝制限あり,足立、荒川、板橋、江戸川、大田、葛飾、北*、江東、品川*、渋谷、新宿*、杉並*、墨田、世田谷、台東、中央、千代田（千代田・日比谷図書文化・四番町）*、豊島、中野*、練馬、文京、港、目黒*、昭島、あきる野、稲城、青梅、清瀬、国立*、小金井、国分寺、小平、狛江、立川、多摩、調布、西東京、八王子、羽村*、東久留米、東村山、東大和、日野*、府中、福生*、町田、三鷹*、武蔵野、武蔵村山、瑞穂、都立中央、都立多摩
