男女・年,西暦(年),15歳以上人口（千人）,15歳以上人口／労働力人口（千人）,15歳以上人口／労働力人口／就業者数（千人）,15歳以上人口／労働力人口／就業者数／従業者数（千人）,15歳以上人口／労働力人口／就業者数／従業者数／主に仕事（千人）,15歳以上人口／労働力人口／就業者数／従業者数／家事などのかたわらに仕事（千人）,15歳以上人口／労働力人口／就業者数／従業者数／通学のかたわらに仕事（千人）,15歳以上人口／労働力人口／就業者数／休業者数（千人）,15歳以上人口／労働力人口／就業者数／自営業主数（千人）,15歳以上人口／労働力人口／就業者数／家族従業者数（千人）,15歳以上人口／労働力人口／就業者数／雇用者数（千人）,15歳以上人口／労働力人口／就業者数／雇用者数／うち常雇（千人）,15歳以上人口／労働力人口／完全失業者数（千人）,15歳以上人口／非労働力人口（千人）,15歳以上人口／非労働力人口／家事（千人）,15歳以上人口／非労働力人口／通学（千人）,15歳以上人口／非労働力人口／その他（千人）,労働力人口比率（％、ポイント）,完全失業率（％、ポイント）
対前年増減数／男女計／平成12年平均,2000,24,-63,-31,-21,-18,6,-10,-10,-48,-10,33,7,-32,92,6,-33,119,-0.7,-0.5
対前年増減数／男女計／平成13年平均,2001,46,-13,-21,-39,-30,3,-11,18,-33,-8,19,-12,8,63,-8,-34,106,-0.5,0.2
対前年増減数／男女計／平成14年平均,2002,299,191,155,152,127,27,-2,3,11,6,135,98,36,108,-23,15,116,0.1,0.4
対前年増減数／男女計／平成15年平均,2003,89,22,55,50,39,-9,20,5,19,-6,41,36,-33,69,68,16,-16,-0.3,-0.6
対前年増減数／男女計／平成16年平均,2004,61,-10,-6,-2,24,-7,-18,-4,-5,-9,9,-47,-4,69,-16,-3,88,-0.5,0
対前年増減数／男／平成10年平均,1998,9,-8,-52,-50,-66,7,9,-1,-3,-8,-38,-52,43,19,2,8,8,-0.2,1.1
対前年増減数／男／平成11年平均,1999,-22,-40,-62,-66,-60,-3,-3,3,-24,1,-43,-37,23,16,5,-10,21,-0.5,0.6
対前年増減数／男／平成12年平均,2000,-7,-44,-16,-10,-16,4,3,-6,-28,-4,19,-5,-28,39,7,-34,66,-0.7,-0.6
対前年増減数／男／平成13年平均,2001,6,-21,-32,-36,-32,3,-8,4,-16,-5,-11,-16,11,32,-1,-13,46,-0.5,0.3
対前年増減数／男／平成14年平均,2002,198,130,110,108,98,5,5,2,12,5,93,65,20,66,1,6,59,-0.5,0.3
対前年増減数／男／平成15年平均,2003,41,5,33,29,34,-9,5,4,14,-1,21,22,-28,38,-2,18,22,-0.4,-0.7
対前年増減数／男／平成16年平均,2004,24,-37,-40,-37,-35,4,-6,-3,6,-4,-45,-76,3,60,10,-6,55,-1.1,0.1
対前年増減数／女／平成10年平均,1998,36,12,2,-7,-24,6,11,10,23,-17,-3,-25,9,26,24,-1,4,-0.1,0.3
対前年増減数／女／平成11年平均,1999,22,-23,-31,-29,-10,-34,15,-2,-8,-19,-8,-35,9,43,47,4,-10,-0.7,0.4
対前年増減数／女／平成12年平均,2000,31,-19,-16,-12,-1,2,-13,-4,-20,-6,13,13,-4,53,0,1,52,-0.6,-0.1
対前年増減数／女／平成13年平均,2001,39,9,11,-2,2,0,-3,13,-17,-3,31,4,-3,31,-7,-21,61,-0.2,-0.1
対前年増減数／女／平成14年平均,2002,102,60,45,44,28,22,-7,1,-1,1,41,33,16,41,-25,9,57,0.2,0.5
対前年増減数／女／平成15年平均,2003,49,17,22,20,6,-1,15,1,6,-5,20,14,-5,32,70,-1,-38,-0.2,-0.2
対前年増減数／女／平成16年平均,2004,36,27,34,37,59,-10,-13,-1,-12,-5,54,29,-7,10,-25,1,33,0.2,-0.4
,,,,,,,,,,,,,,,,,,,,
東京の労働力統計データ（平成16年平均）,,,,,,,,,,,,,,,,,,,,
第２表　就業状態、活動状態別15歳以上人口,,,,,,,,,,,,,,,,,,,,
