年,西暦（年）,総合,生鮮食品を除く総合,持家の帰属家賃を除く総合,食料,住居,持家の帰属家賃を除く住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,諸雑費
平成5年平均,1993,99.2,99.4,97.8,91.6,103.5,101,86.6,162.6,100.6,82,103.1,88.5,114.6,83.7
平成6年平均,1994,99.9,100.1,98.2,92.3,105.8,102.4,87.5,158.4,98.3,82.3,102.5,91.2,115.6,84.7
平成7年平均,1995,99.6,100,97.9,91,106.1,103.7,88.9,155.5,97.5,82.8,103.9,93.2,113.9,85.2
平成8年平均,1996,99.6,100,97.9,90.8,105.9,103.7,88.2,151,98.5,83.5,104.7,95.7,112.9,85.7
平成9年平均,1997,100.9,101.4,99.4,92.3,106.6,103.8,91.1,149.3,99.9,87.8,105,97.2,114.7,87.4
平成10年平均,1998,101.7,101.9,100.3,93.7,106.8,103.6,90.4,146.5,102.1,94.9,103.9,98.7,114.9,88.4
平成11年平均,1999,101.3,101.7,99.6,92.8,107,103.2,89.4,144.5,100.6,94.2,103.7,100.1,113.9,88.6
平成12年平均,2000,100.3,101,98.6,90.9,106.1,102.6,90.2,141.1,100,93.3,103.2,101.3,112.8,88.1
平成13年平均,2001,99.2,99.8,97.7,90.5,104.4,101.9,90.2,135.9,98.4,93.8,102.1,102.1,109.5,88.1
平成14年平均,2002,98.2,98.9,96.7,89.9,103.5,101.3,88.2,130.2,96.5,92.8,101.8,103.3,107.2,88.1
平成15年平均,2003,97.8,98.5,96.3,89.8,102.8,100.8,88.1,126.4,95.5,96,101.5,103.2,105.9,89
平成16年平均,2004,97.7,98.3,96.3,90.5,102.6,100.8,87.3,123.6,95.6,95.8,101.2,103.5,104.7,89.3
平成17年平均,2005,97.2,97.9,95.7,89.5,102.6,100.4,86.1,120.5,95.7,95.7,100.4,104,104,89.4
平成18年平均,2006,97.3,97.9,95.9,89.8,102.7,100.4,88,118.2,96.4,95.1,100,104.6,103.1,90.2
平成19年平均,2007,97.4,97.9,95.8,90,102.8,100.2,88.9,116,95.9,95.1,99.8,105.9,102.1,90.6
平成20年平均,2008,98.4,98.8,96.9,91.9,103,100.4,92.5,114.6,96,95.1,101,106.6,101.9,91.2
平成21年平均,2009,97.2,97.9,95.7,91.5,102.5,100,90.8,111.7,94.5,95.2,98.4,107.3,98.8,90.5
平成22年平均,2010,96.2,96.7,94.8,91.1,101.7,99.3,88.8,107,93.1,94.7,98.6,102.1,97.3,91.3
平成23年平均,2011,95.7,96.3,94.3,90.4,101.2,98.7,91.2,100.9,93.5,94.1,99.2,102.2,94.1,93.9
平成24年平均,2012,95.3,95.8,93.9,89.8,100.5,98.1,96.9,95.1,93.3,93.8,99,102.4,91.6,93.4
平成25年平均,2013,95.3,95.9,94.1,89.5,100,97.7,102.5,92.7,92.9,93.2,99.5,102.7,90.8,94.2
平成26年平均,2014,97.5,97.9,96.8,92.4,99.8,98.2,108.1,95.8,94.5,94,101.8,105,94.2,97.8
平成27年平均,2015,98.2,98.5,97.8,94.8,99.6,98.3,105.2,96.3,95.4,95.1,101.4,106.2,95.9,98.9
平成28年平均,2016,98.1,98.2,97.7,96.2,99.2,97.7,94.5,96.3,96.1,96,100.2,107.1,97.4,99.6
平成29年平均,2017,98.2,98.3,97.9,96.6,98.8,97.5,95.8,96.2,96.5,96.7,99.7,107.4,97.8,99.5
平成30年平均,2018,99.1,99.1,99,98,98.9,97.5,99.8,95.7,97,98.4,100.2,108,99,100
令和元年平均,2019,99.9,100,99.9,98.7,99.4,98.4,103.1,98.2,98.1,99.2,99.6,106.9,100.8,100.5
令和2年平均,2020,100,100,100,100,100,100,100,100,100,100,100,100,100,100
令和3年平均,2021,99.8,99.8,99.7,99.9,100.5,101.5,99.2,102.5,100.2,99.7,93.4,100.6,102.1,101.1
令和4年平均,2022,102.2,101.9,102.6,104.4,101.1,102.7,118.6,106.2,101.6,99.1,90.6,101.1,103.2,102.4
,,,,,,,,,,,,,,,
東京の物価／令和５年３月,,,,,,,,,,,,,,,
２．東京都区部消費者物価１０大費目指数（年平均）,,,,,,,,,,,,,,,
２０２０年＝１００ ／(令和２年＝１００),,,,,,,,,,,,,,,
