 2-(4)入港船舶係留施設別表,,,,,,,,,,,,(単位：隻、総トン)
,合計,,,,外航船,,,,内航船,,,
10号西岸壁,56 ,"604,917 ",495 ,"5,423,042 ",-,-,-,-,56 ,"604,917 ",495 ,"5,423,042 "
10号東岸壁,31 ,"13,466 ",230 ,"101,612 ",-,-,-,-,31 ,"13,466 ",230 ,"101,612 "
東京港フェリーふ頭,30 ,"379,080 ",227 ,"2,868,372 ",-,-,-,-,30 ,"379,080 ",227 ,"2,868,372 "
多目的ふ頭,2 ,"8,956 ",8 ,"25,192 ",-,-,-,-,2 ,"8,956 ",8 ,"25,192 "
辰巳ふ頭,64 ,"20,600 ",606 ,"210,540 ",-,-,-,-,64 ,"20,600 ",606 ,"210,540 "
青海コンテナふ頭（公共）,108 ,"1,281,550 ",916 ,"10,940,539 ",69 ,"1,253,494 ",590 ,"10,663,644 ",39 ,"28,056 ",326 ,"276,895 "
有明ふ頭,3 ,"2,539 ",37 ,"31,717 ",-,-,-,-,3 ,"2,539 ",37 ,"31,717 "
大井水産物ふ頭,-,-,2 ,"8,524 ",-,-,-,-,-,-,2 ,"8,524 "
大井食品ふ頭（OL）,20 ,"116,144 ",147 ,"607,656 ",5 ,"113,314 ",26 ,"586,576 ",15 ,"2,830 ",121 ,"21,080 "
大井食品ふ頭（OM）,4 ,"35,892 ",35 ,"315,007 ",4 ,"35,892 ",35 ,"315,007 ",-,-,-,-
大井食品ふ頭（ON）,-,-,9 ,"82,143 ",-,-,6 ,"68,795 ",-,-,3 ,"13,348 "
若洲内貿ふ頭,11 ,"110,374 ",96 ,"963,264 ",-,-,-,-,11 ,"110,374 ",96 ,"963,264 "
15号地木材ふ頭,-,-,9 ,"137,366 ",-,-,5 ,"126,790 ",-,-,4 ,"10,576 "
若洲建材ふ頭,31 ,"16,178 ",274 ,"154,951 ",-,-,-,-,31 ,"16,178 ",274 ,"154,951 "
大井建材ふ頭,54 ,"32,182 ",497 ,"287,255 ",-,-,-,-,54 ,"32,182 ",497 ,"287,255 "
城南島建設発生土ふ頭,52 ,"32,501 ",558 ,"364,048 ",-,-,-,-,52 ,"32,501 ",558 ,"364,048 "
中央防波堤内側ばら物ふ頭,3 ,"10,001 ",31 ,"206,674 ",1 ,"9,004 ",10 ,"193,835 ",2 ,997 ,21 ,"12,839 "
中央防波堤内側建設発生土ふ頭,11 ,"11,445 ",51 ,"53,902 ",-,-,-,-,11 ,"11,445 ",51 ,"53,902 "
中央防波堤内側内貿ふ頭,21 ,"222,295 ",164 ,"1,736,137 ",-,-,-,-,21 ,"222,295 ",164 ,"1,736,137 "
官公庁（晴海）,1 ,"2,630 ",11 ,"31,014 ",-,-,-,-,1 ,"2,630 ",11 ,"31,014 "
官公庁（月島）,4 ,796 ,31 ,"6,163 ",-,-,-,-,4 ,796 ,31 ,"6,163 "
官公庁（有明）,2 ,"4,994 ",9 ,"25,247 ",-,-,-,-,2 ,"4,994 ",9 ,"25,247 "
東京港埠頭㈱計,287 ,"6,940,119 ","2,527 ","60,306,872 ",176 ,"6,762,294 ","1,599 ","58,826,762 ",111 ,"177,825 ",928 ,"1,480,110 "
青海コンテナふ頭(埠頭㈱),27 ,"1,114,278 ",359 ,"11,041,580 ",23 ,"1,111,282 ",294 ,"10,969,507 ",4 ,"2,996 ",65 ,"72,073 "
お台場ライナーふ頭,21 ,"224,895 ",212 ,"1,342,086 ",9 ,"155,472 ",69 ,"766,398 ",12 ,"69,423 ",143 ,"575,688 "
大井コンテナふ頭,239 ,"5,600,946 ","1,956 ","47,923,206 ",144 ,"5,495,540 ","1,236 ","47,090,857 ",95 ,"105,406 ",720 ,"832,349 "
民間計,498 ,"1,786,407 ","3,982 ","10,468,767 ",83 ,"1,336,235 ",442 ,"6,596,105 ",415 ,"450,172 ","3,540 ","3,872,662 "
,,,,,,,,,,,,
(注) 実績の無い係留施設は表示なし,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
