年・期,西暦(年),四半期,男女計／1～29人（千人）,男女計／30～499人（千人）,男女計／500人以上（千人）,男／1～29人（千人）,男／30～499人（千人）,男／500人以上（千人）,女／1～29人（千人）,女／30～499人（千人）,女／500人以上（千人）
実数／平成26年10～12月平均,2014,10～12,1720,2045,2316,917,1153,1374,803,892,942
実数／平成27年１～３月平均,2015,01～03,1719,2001,2310,973,1089,1387,746,912,922
対前年・対前年同期増減数／平成20年平均,2008,,-58,31,134,-44,33,85,-14,-2,50
対前年・対前年同期増減数／平成21年平均,2009,,-90,-65,38,-50,-79,21,-40,14,17
対前年・対前年同期増減数／平成22年平均,2010,,-85,27,22,-52,10,-20,-33,17,43
対前年・対前年同期増減数／平成23年平均,2011,,90,79,87,44,29,42,46,50,44
対前年・対前年同期増減数／平成24年平均,2012,,-37,-23,60,-8,-8,13,-29,-16,47
対前年・対前年同期増減数／平成25年平均,2013,,-29,33,62,-43,17,46,14,18,17
対前年・対前年同期増減数／平成26年平均,2014,,9,21,129,-8,10,74,17,10,54
対前年・対前年同期増減数／平成21年10～12月平均,2009,10～12,-141,29,-100,-50,-70,-60,-91,100,-40
対前年・対前年同期増減数／平成22年１～３月平均,2010,01～03,-45,34,-93,-23,-9,-104,-23,43,11
対前年・対前年同期増減数／平成22年４～６月平均,2010,04～06,-61,-53,38,-41,-38,-13,-21,-15,52
対前年・対前年同期増減数／平成22年７～９月平均,2010,07～09,-158,70,78,-95,35,33,-63,35,45
対前年・対前年同期増減数／平成22年10～12月平均,2010,10～12,-74,58,67,-51,52,4,-23,5,64
対前年・対前年同期増減数／平成23年１～３月平均,2011,01～03,58,159,47,-12,62,10,71,97,36
対前年・対前年同期増減数／平成23年４～６月平均,2011,04～06,41,141,103,30,74,51,12,67,50
対前年・対前年同期増減数／平成23年７～９月平均,2011,07～09,151,73,-5,104,18,-27,47,55,22
対前年・対前年同期増減数／平成23年10～12月平均,2011,10～12,109,-58,204,55,-38,132,54,-20,71
対前年・対前年同期増減数／平成24年１～３月平均,2012,01～03,-31,17,44,-11,34,7,-20,-17,38
対前年・対前年同期増減数／平成24年４～６月平均,2012,04～06,-2,-101,99,16,-46,73,-18,-55,28
対前年・対前年同期増減数／平成24年７～９月平均,2012,07～09,36,-20,38,27,-37,-4,9,17,43
対前年・対前年同期増減数／平成24年10～12月平均,2012,10～12,-149,11,58,-63,18,-19,-85,-6,77
対前年・対前年同期増減数／平成25年１～３月平均,2013,01～03,-48,-15,60,0,-52,70,-49,38,-9
対前年・対前年同期増減数／平成25年４～６月平均,2013,04～06,-96,77,96,-73,43,68,-23,34,28
対前年・対前年同期増減数／平成25年７～９月平均,2013,07～09,-67,-36,109,-98,33,49,32,-69,59
対前年・対前年同期増減数／平成25年10～12月平均,2013,10～12,94,110,-16,0,42,-6,93,66,-10
対前年・対前年同期増減数／平成26年１～３月平均,2014,01～03,31,-4,146,-11,36,84,42,-41,61
対前年・対前年同期増減数／平成26年４～６月平均,2014,04～06,79,49,75,43,-23,37,36,72,36
対前年・対前年同期増減数／平成26年７～９月平均,2014,07～09,-46,85,119,-6,36,57,-41,49,63
対前年・対前年同期増減数／平成26年10～12月平均,2014,10～12,-29,-48,176,-60,-8,120,31,-39,56
対前年・対前年同期増減数／平成27年１～３月平均,2015,01～03,-35,6,61,-11,-22,33,-23,28,27
,,,,,,,,,,,
東京の労働力統計データ（平成27年１～３月期平均）,,,,,,,,,,,
第６表　企業の従業者規模別非農林業雇用者数,,,,,,,,,,,
