区分,男女計／実数（千人、％）,男女計／前年（千人、％）,男女計／対前年／増減数（千人、ポイント）,男女計／対前年／増減率（％）,男／実数（千人、％）,男／前年（千人、％）,男／対前年／増減数（千人、ポイント）,男／対前年／増減率（％）,女／実数（千人、％）,女／前年（千人、％）,女／対前年／増減数（千人、ポイント）,女／対前年／増減率（％）
〔雇用者の主な産業別内訳〕／不動産業，物品賃貸業,229,210,19,9,133,130,3,2.3,96,81,15,18.5
〔雇用者の主な産業別内訳〕／学術研究，専門・技術サービス業,318,317,1,0.3,201,197,4,2,117,119,-2,-1.7
〔雇用者の主な産業別内訳〕／宿泊業，飲食サービス業,460,416,44,10.6,199,179,20,11.2,261,238,23,9.7
〔雇用者の主な産業別内訳〕／生活関連サービス業，娯楽業,211,217,-6,-2.8,93,92,1,1.1,117,125,-8,-6.4
〔雇用者の主な産業別内訳〕／教育，学習支援業,337,339,-2,-0.6,159,159,0,0,178,180,-2,-1.1
〔雇用者の主な産業別内訳〕／医療，福祉,688,672,16,2.4,161,169,-8,-4.7,527,503,24,4.8
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,538,492,46,9.3,307,285,22,7.7,231,207,24,11.6
〔非農林業雇用者の従業者規模別内訳〕／総数,6694,6588,106,1.6,3787,3741,46,1.2,2907,2847,60,2.1
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1717,1726,-9,-0.5,961,959,2,0.2,756,767,-11,-1.4
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,2062,2022,40,2,1131,1131,0,0,931,891,40,4.5
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,2379,2296,83,3.6,1405,1370,35,2.6,974,926,48,5.2
〔完全失業率（年齢階級別）(%)〕／総数,3.6,3.8,-0.2,-,3.8,3.9,-0.1,-,3.2,3.6,-0.4,-
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,4.8,5.2,-0.4,-,5.4,5.7,-0.3,-,4.2,4.8,-0.6,-
〔完全失業率（年齢階級別）(%)〕／総数／25～34歳,4.5,4.7,-0.2,-,5.1,5.2,-0.1,-,3.7,4,-0.3,-
〔完全失業率（年齢階級別）(%)〕／総数／35～44歳,3.2,3.6,-0.4,-,3.1,3.5,-0.4,-,3.3,3.8,-0.5,-
〔完全失業率（年齢階級別）(%)〕／総数／45～54歳,3.5,3.2,0.3,-,3.4,3,0.4,-,3.5,3.6,-0.1,-
〔完全失業率（年齢階級別）(%)〕／総数／55～64歳,3.4,3.7,-0.3,-,3.9,4.3,-0.4,-,2.5,2.8,-0.3,-
〔完全失業率（年齢階級別）(%)〕／総数／65歳以上,2.3,2.4,-0.1,-,2.7,2.7,0,-,1.3,2.3,-1,-
〔就業率（%）〕／総数,62.1,61.8,0.3,-,72.3,71.9,0.4,-,52.2,51.9,0.3,-
〔労働力人口比率(%)〕／総数,64.4,64.2,0.2,-,75.2,74.9,0.3,-,53.9,53.9,0,-
,,,,,,,,,,,,
東京の労働力統計データ（平成27年平均）,,,,,,,,,,,,
第１表　就業状態別15歳以上人口、産業別就業者数及び完全失業者数,,,,,,,,,,,,
平成27年平均,,,,,,,,,,,,
注)非農林業雇用者の従業者規模別内訳の総数には官公・従業者規模不詳を含んでいるため、内訳の合計とは一致しない。,,,,,,,,,,,,
