1 ,高速都心環状線,汐留出入口～汐留JCT,5090 ,      －,      －,      －,      －,      －,      －,      －,"15,769 ",819 ,"16,588 ",4.9 ,"2,142 ",12.9 ,1.34 ,0.37 ,5090 ,"14,760 ",1.12 ,55.8 ,35.1 ,10月中,－,首都高速,1 ,高速都心環状線,5090 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"20,987 ","1,240 ","22,227 ",5.6 ,,,,,,"22,348 ",0.99 ,,,,,,,,,
1 ,高速都心環状線,高速都心環状線～京橋JCT,5100 ,      －,      －,      －,      －,      －,      －,      －,"5,818 ",92 ,"5,910 ",1.6 ,855 ,14.5 ,1.43 ,0.17 ,5100 ,"4,808 ",1.23 ,56.5 ,54.5 ,10月中,－,首都高速,1 ,高速都心環状線,5100 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"8,285 ",142 ,"8,427 ",1.7 ,,,,,,"7,842 ",1.07 ,,,,,,,,,
2 ,高速都心環状線,三宅坂JCT～代官町出入口,5110 ,      －,      －,      －,      －,      －,      －,      －,"59,027 ","5,626 ","64,653 ",8.7 ,"6,133 ",9.5 ,1.46 ,0.95 ,5110 ,"66,676 ",0.97 ,37.7 ,17.0 ,10月中,－,首都高速,2 ,高速都心環状線,5110 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"83,807 ","10,865 ","94,672 ",11.5 ,,,,,,"101,763 ",0.93 ,,,,,,,,,
2 ,高速都心環状線,代官町出入口～北の丸出口,5120 ,      －,      －,      －,      －,      －,      －,      －,"55,001 ","5,124 ","60,125 ",8.5 ,"5,767 ",9.6 ,1.49 ,0.89 ,5120 ,"60,789 ",0.99 ,35.9 ,14.2 ,10月中,－,首都高速,2 ,高速都心環状線,5120 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"79,173 ","10,247 ","89,420 ",11.5 ,,,,,,"94,359 ",0.95 ,,,,,,,,,
2 ,高速都心環状線,北の丸出口～竹橋JCT・一ツ橋出入口,5130 ,      －,      －,      －,      －,      －,      －,      －,"55,497 ","5,530 ","61,027 ",9.1 ,"5,888 ",9.6 ,1.49 ,0.92 ,5130 ,"61,573 ",0.99 ,44.7 ,41.9 ,10月中,－,首都高速,2 ,高速都心環状線,5130 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"80,062 ","10,871 ","90,933 ",12.0 ,,,,,,"95,419 ",0.95 ,,,,,,,,,
2 ,高速都心環状線,竹橋JCT・一ツ橋出入口～神田橋JCT・神田橋出入口,5140 ,      －,      －,      －,      －,      －,      －,      －,"63,674 ","7,973 ","71,647 ",11.1 ,"6,703 ",9.4 ,1.52 ,1.10 ,5140 ,"73,853 ",0.97 ,35.9 ,27.3 ,10月中,－,首都高速,2 ,高速都心環状線,5140 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"93,551 ","15,155 ","108,706 ",13.9 ,,,,,,"120,193 ",0.90 ,,,,,,,,,
2 ,高速都心環状線,神田橋JCT・神田橋出入口～江戸橋JCT,5150 ,      －,      －,      －,      －,      －,      －,      －,"58,997 ","3,937 ","62,934 ",6.3 ,"5,962 ",9.5 ,1.53 ,0.90 ,5150 ,"65,140 ",0.97 ,24.1 ,22.9 ,10月中,－,首都高速,2 ,高速都心環状線,5150 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"88,108 ","8,297 ","96,405 ",8.6 ,,,,,,"106,473 ",0.91 ,,,,,,,,,
2 ,高速都心環状線,神田橋JCT・神田橋出入口～江戸橋JCT,5160 ,      －,      －,      －,      －,      －,      －,      －,"58,997 ","3,937 ","62,934 ",6.3 ,"5,962 ",9.5 ,1.53 ,0.90 ,5160 ,"69,192 ",0.91 ,23.1 ,16.5 ,10月中,－,首都高速,2 ,高速都心環状線,5160 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"88,108 ","8,297 ","96,405 ",8.6 ,,,,,,"112,248 ",0.86 ,,,,,,,,,
2 ,高速都心環状線,神田橋JCT・神田橋出入口～江戸橋JCT,5170 ,      －,      －,      －,      －,      －,      －,      －,"58,997 ","3,937 ","62,934 ",6.3 ,"5,962 ",9.5 ,1.53 ,0.90 ,5170 ,"64,433 ",0.98 ,20.5 ,11.8 ,10月中,－,首都高速,2 ,高速都心環状線,5170 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"88,108 ","8,297 ","96,405 ",8.6 ,,,,,,"105,351 ",0.92 ,,,,,,,,,
3 ,高速都心環状線,一ノ橋JCT～飯倉出入口,5180 ,      －,      －,      －,      －,      －,      －,      －,"55,576 ","5,529 ","61,105 ",9.0 ,"5,367 ",8.8 ,1.36 ,0.85 ,5180 ,"65,562 ",0.93 ,26.4 ,44.7 ,10月中,－,首都高速,3 ,高速都心環状線,5180 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"73,580 ","9,452 ","83,032 ",11.4 ,,,,,,"93,919 ",0.88 ,,,,,,,,,
3 ,高速都心環状線,飯倉出入口～谷町JCT,5190 ,      －,      －,      －,      －,      －,      －,      －,"49,729 ","5,048 ","54,777 ",9.2 ,"4,826 ",8.8 ,1.36 ,0.75 ,5190 ,"59,725 ",0.92 ,25.4 ,44.0 ,10月中,－,首都高速,3 ,高速都心環状線,5190 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"65,734 ","8,760 ","74,494 ",11.8 ,,,,,,"85,084 ",0.88 ,,,,,,,,,
3 ,高速都心環状線,谷町JCT～霞が関出入口,5200 ,      －,      －,      －,      －,      －,      －,      －,"51,157 ","4,225 ","55,382 ",7.6 ,"4,959 ",9.0 ,1.41 ,0.76 ,5200 ,"58,922 ",0.94 ,44.5 ,47.6 ,10月中,－,首都高速,3 ,高速都心環状線,5200 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"69,835 ","8,213 ","78,048 ",10.5 ,,,,,,"87,646 ",0.89 ,,,,,,,,,
3 ,高速都心環状線,霞が関出入口～三宅坂JCT,5210 ,      －,      －,      －,      －,      －,      －,      －,"50,487 ","4,726 ","55,213 ",8.6 ,"4,949 ",9.0 ,1.42 ,0.80 ,5210 ,"57,916 ",0.95 ,51.7 ,20.7 ,10月中,－,首都高速,3 ,高速都心環状線,5210 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"69,475 ","8,799 ","78,274 ",11.2 ,,,,,,"86,558 ",0.90 ,,,,,,,,,
4 ,高速都心環状線,浜崎橋JCT～芝公園出入口,5220 ,      －,      －,      －,      －,      －,      －,      －,"67,943 ","5,157 ","73,100 ",7.1 ,"6,407 ",8.8 ,1.38 ,0.98 ,5220 ,"76,927 ",0.95 ,32.7 ,48.2 ,10月中,－,首都高速,4 ,高速都心環状線,5220 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"91,874 ","9,041 ","100,915 ",9.0 ,,,,,,"111,625 ",0.90 ,,,,,,,,,
4 ,高速都心環状線,芝公園出入口～一ノ橋JCT,5230 ,      －,      －,      －,      －,      －,      －,      －,"66,636 ","5,866 ","72,502 ",8.1 ,"6,464 ",8.9 ,1.38 ,1.00 ,5230 ,"76,346 ",0.95 ,26.1 ,44.9 ,10月中,－,首都高速,4 ,高速都心環状線,5230 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"90,037 ","10,007 ","100,044 ",10.0 ,,,,,,"110,064 ",0.91 ,,,,,,,,,
5 ,首都高速八重洲線,西銀座JCT～丸の内出口,5240 ,      －,      －,      －,      －,      －,      －,      －,"6,128 ",867 ,"6,995 ",12.4 ,844 ,12.1 ,1.33 ,0.14 ,5240 ,"6,830 ",1.02 ,54.0 ,45.9 ,10月中,－,首都高速,5 ,首都高速八重洲線,5240 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"8,105 ","1,218 ","9,323 ",13.1 ,,,,,,"9,980 ",0.93 ,,,,,,,,,
5 ,首都高速八重洲線,丸の内出口～八重洲出入口,5250 ,      －,      －,      －,      －,      －,      －,      －,"6,445 ",867 ,"7,312 ",11.9 ,864 ,11.8 ,1.33 ,0.14 ,5250 ,"7,260 ",1.01 ,64.5 ,34.1 ,10月中,－,首都高速,5 ,首都高速八重洲線,5250 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"8,520 ","1,218 ","9,738 ",12.5 ,,,,,,"10,716 ",0.91 ,,,,,,,,,
5 ,首都高速八重洲線,八重洲出入口～神田橋JCT・神田橋出入口,5260 ,      －,      －,      －,      －,      －,      －,      －,"8,006 ","1,222 ","9,228 ",13.2 ,"1,076 ",11.7 ,1.38 ,0.19 ,5260 ,"8,401 ",1.10 ,67.1 ,20.3 ,10月中,－,首都高速,5 ,首都高速八重洲線,5260 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"11,076 ","1,639 ","12,715 ",12.9 ,,,,,,"12,783 ",0.99 ,,,,,,,,,
5 ,首都高速八重洲線,八重洲出入口～神田橋JCT・神田橋出入口,5270 ,      －,      －,      －,      －,      －,      －,      －,"8,006 ","1,222 ","9,228 ",13.2 ,"1,076 ",11.7 ,1.38 ,0.68 ,5270 ,"7,836 ",1.18 ,49.1 ,16.4 ,10月中,－,首都高速,5 ,首都高速八重洲線,5270 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"11,076 ","1,639 ","12,715 ",12.9 ,,,,,,"11,948 ",1.06 ,,,,,,,,,
10 ,高速１号羽田線,浜崎橋JCT～芝浦JCT,5280 ,      －,      －,      －,      －,      －,      －,      －,"79,160 ","9,810 ","88,970 ",11.0 ,"8,130 ",9.1 ,1.37 ,1.31 ,5280 ,"81,132 ",1.10 ,31.8 ,65.1 ,10月中,－,首都高速,10 ,高速１号羽田線,5280 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"106,506 ","15,778 ","122,284 ",12.9 ,,,,,,"119,491 ",1.02 ,,,,,,,,,
10 ,高速１号羽田線,芝浦JCT～芝浦出入口,5290 ,      －,      －,      －,      －,      －,      －,      －,"47,185 ","4,734 ","51,919 ",9.1 ,"4,662 ",9.0 ,1.36 ,0.73 ,5290 ,"54,396 ",0.95 ,40.7 ,66.0 ,10月中,－,首都高速,10 ,高速１号羽田線,5290 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"63,241 ","7,316 ","70,557 ",10.4 ,,,,,,"79,321 ",0.89 ,,,,,,,,,
10 ,高速１号羽田線,芝浦出入口～大井JCT,5300 ,      －,      －,      －,      －,      －,      －,      －,"41,700 ","4,924 ","46,624 ",10.6 ,"4,329 ",9.3 ,1.36 ,0.67 ,5300 ,"49,341 ",0.94 ,48.7 ,69.7 ,10月中,－,首都高速,10 ,高速１号羽田線,5300 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"56,057 ","7,490 ","63,547 ",11.8 ,,,,,,"72,665 ",0.87 ,,,,,,,,,
10 ,高速１号羽田線,大井JCT～勝島出入口,5310 ,      －,      －,      －,      －,      －,      －,      －,"35,728 ","3,091 ","38,819 ",8.0 ,"3,633 ",9.4 ,1.38 ,0.63 ,5310 ,"41,981 ",0.92 ,64.4 ,70.2 ,10月中,－,首都高速,10 ,高速１号羽田線,5310 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"48,510 ","4,956 ","53,466 ",9.3 ,,,,,,"62,154 ",0.86 ,,,,,,,,,
10 ,高速１号羽田線,勝島出入口～鈴ヶ森出入口,5320 ,      －,      －,      －,      －,      －,      －,      －,"38,473 ","4,145 ","42,618 ",9.7 ,"3,963 ",9.3 ,1.37 ,0.66 ,5320 ,"44,281 ",0.96 ,68.9 ,63.3 ,10月中,－,首都高速,10 ,高速１号羽田線,5320 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"52,090 ","6,395 ","58,485 ",10.9 ,,,,,,"65,265 ",0.90 ,,,,,,,,,
10 ,高速１号羽田線,鈴ヶ森出入口～平和島出入口,5330 ,      －,      －,      －,      －,      －,      －,      －,"31,770 ","2,880 ","34,650 ",8.3 ,"3,293 ",9.5 ,1.38 ,0.59 ,5330 ,"37,344 ",0.93 ,71.4 ,66.6 ,10月中,－,首都高速,10 ,高速１号羽田線,5330 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"43,210 ","4,597 ","47,807 ",9.6 ,,,,,,"55,308 ",0.86 ,,,,,,,,,
10 ,高速１号羽田線,平和島出入口～昭和島JCT,5340 ,      －,      －,      －,      －,      －,      －,      －,"31,681 ","4,216 ","35,897 ",11.7 ,"3,476 ",9.7 ,1.41 ,0.61 ,5340 ,"38,773 ",0.93 ,74.4 ,32.1 ,10月中,－,首都高速,10 ,高速１号羽田線,5340 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"43,640 ","7,028 ","50,668 ",13.9 ,,,,,,"57,836 ",0.88 ,,,,,,,,,
10 ,高速１号羽田線,昭和島JCT～空港西出入口,5350 ,      －,      －,      －,      －,      －,      －,      －,"50,418 ","13,507 ","63,925 ",21.1 ,"5,799 ",9.1 ,1.45 ,0.94 ,5350 ,"66,450 ",0.96 ,63.7 ,37.2 ,10月中,－,首都高速,10 ,高速１号羽田線,5350 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"70,147 ","22,228 ","92,375 ",24.1 ,,,,,,"99,029 ",0.93 ,,,,,,,,,
10 ,高速１号羽田線,空港西出入口～羽田出入口,5360 ,      －,      －,      －,      －,      －,      －,      －,"48,439 ","12,957 ","61,396 ",21.1 ,"5,617 ",9.1 ,1.44 ,0.90 ,5360 ,"62,031 ",0.99 ,35.4 ,47.4 ,10月中,－,首都高速,10 ,高速１号羽田線,5360 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"67,269 ","21,251 ","88,520 ",24.0 ,,,,,,"91,556 ",0.97 ,,,,,,,,,
10 ,高速１号羽田線,羽田出入口～都県境,5370 ,      －,      －,      －,      －,      －,      －,      －,"48,262 ","11,106 ","59,368 ",18.7 ,"5,502 ",9.3 ,1.45 ,0.90 ,5370 ,"59,861 ",0.99 ,32.5 ,42.2 ,10月中,－,首都高速,10 ,高速１号羽田線,5370 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"67,444 ","18,633 ","86,077 ",21.6 ,,,,,,"88,809 ",0.97 ,,,,,,,,,
11 ,高速１号上野線,江戸橋JCT～本町出入口,5380 ,      －,      －,      －,      －,      －,      －,      －,"23,429 ","1,089 ","24,518 ",4.4 ,"2,502 ",10.2 ,1.27 ,0.46 ,5380 ,"26,208 ",0.94 ,41.4 ,49.0 ,10月中,－,首都高速,11 ,高速１号上野線,5380 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"29,623 ","1,509 ","31,132 ",4.8 ,,,,,,"34,076 ",0.91 ,,,,,,,,,
11 ,高速１号上野線,本町出入口～上野出入口,5390 ,      －,      －,      －,      －,      －,      －,      －,"17,832 ",960 ,"18,792 ",5.1 ,"2,025 ",10.8 ,1.30 ,0.42 ,5390 ,"20,231 ",0.93 ,49.9 ,69.2 ,10月中,－,首都高速,11 ,高速１号上野線,5390 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"23,064 ","1,296 ","24,360 ",5.3 ,,,,,,"26,452 ",0.92 ,,,,,,,,,
11 ,高速１号上野線,上野出入口～入谷出入口,5400 ,      －,      －,      －,      －,      －,      －,      －,"12,320 ",681 ,"13,001 ",5.2 ,"1,550 ",11.9 ,1.31 ,0.34 ,5400 ,"13,998 ",0.93 ,60.8 ,19.2 ,10月中,－,首都高速,11 ,高速１号上野線,5400 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"16,070 ",951 ,"17,021 ",5.6 ,,,,,,"18,583 ",0.92 ,,,,,,,,,
20 ,高速２号目黒線,一ノ橋JCT～天現寺出入口,5410 ,      －,      －,      －,      －,      －,      －,      －,"30,894 ","1,722 ","32,616 ",5.3 ,"3,218 ",9.9 ,1.38 ,0.59 ,5410 ,"34,390 ",0.95 ,26.5 ,57.6 ,10月中,－,首都高速,20 ,高速２号目黒線,5410 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"42,431 ","2,519 ","44,950 ",5.6 ,,,,,,"49,524 ",0.91 ,,,,,,,,,
20 ,高速２号目黒線,天現寺出入口～目黒出入口,5420 ,      －,      －,      －,      －,      －,      －,      －,"25,280 ","1,542 ","26,822 ",5.7 ,"2,797 ",10.4 ,1.33 ,0.50 ,5420 ,"26,783 ",1.00 ,51.9 ,71.9 ,10月中,－,首都高速,20 ,高速２号目黒線,5420 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"33,548 ","2,139 ","35,687 ",6.0 ,,,,,,"37,858 ",0.94 ,,,,,,,,,
20 ,高速２号目黒線,目黒出入口～荏原出入口,5430 ,      －,      －,      －,      －,      －,      －,      －,"15,945 ",987 ,"16,932 ",5.8 ,"1,814 ",10.7 ,1.34 ,0.34 ,5430 ,"16,523 ",1.02 ,73.5 ,57.0 ,10月中,－,首都高速,20 ,高速２号目黒線,5430 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"21,326 ","1,401 ","22,727 ",6.2 ,,,,,,"23,786 ",0.96 ,,,,,,,,,
20 ,高速２号目黒線,荏原出入口～戸越出入口,5440 ,      －,      －,      －,      －,      －,      －,      －,"7,226 ",438 ,"7,664 ",5.7 ,909 ,11.9 ,1.30 ,0.16 ,5440 ,"7,665 ",1.00 ,62.0 ,24.5 ,10月中,－,首都高速,20 ,高速２号目黒線,5440 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"9,353 ",594 ,"9,947 ",6.0 ,,,,,,"10,534 ",0.94 ,,,,,,,,,
30 ,高速３号渋谷線,谷町JCT～高樹町出入口,5450 ,      －,      －,      －,      －,      －,      －,      －,"44,798 ","5,628 ","50,426 ",11.2 ,"4,613 ",9.1 ,1.51 ,0.78 ,5450 ,"49,941 ",1.01 ,25.0 ,25.1 ,10月中,－,首都高速,30 ,高速３号渋谷線,5450 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"63,347 ","12,551 ","75,898 ",16.5 ,,,,,,"79,862 ",0.95 ,,,,,,,,,
30 ,高速３号渋谷線,高樹町出入口～渋谷出入口,5460 ,      －,      －,      －,      －,      －,      －,      －,"38,837 ","4,883 ","43,720 ",11.2 ,"4,037 ",9.2 ,1.54 ,0.70 ,5460 ,"43,771 ",1.00 ,27.4 ,13.3 ,10月中,－,首都高速,30 ,高速３号渋谷線,5460 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"55,956 ","11,186 ","67,142 ",16.7 ,,,,,,"71,273 ",0.94 ,,,,,,,,,
30 ,高速３号渋谷線,渋谷出入口～大橋JCT,5470 ,      －,      －,      －,      －,      －,      －,      －,"35,282 ","4,260 ","39,542 ",10.8 ,"3,507 ",8.9 ,1.58 ,0.61 ,5470 ,"40,614 ",0.97 ,54.7 ,9.3 ,10月中,－,首都高速,30 ,高速３号渋谷線,5470 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"51,976 ","10,466 ","62,442 ",16.8 ,,,,,,"66,742 ",0.94 ,,,,,,,,,
