産業分類階層,産業コード,産業細分類,事業所数,従業者数(送出者を除く）／総数(人),従業者数(送出者を除く）／うち男(人),送出者（人）,常用労働者／総数(人),常用労働者／うち男(人),個人業主及び無給家族従業者(人),現金給与総額(万円),原材料使用額等(万円),製造品出荷額等／総額(万円),製造品出荷額等／製造品出荷額(万円),製造品出荷額等／加工賃収入額(万円),製造品出荷額等／修理料収入額(万円),製造品出荷額等／くず・廃物出荷額(万円),製造品出荷額等／その他の収入額(万円),付加価値額(29人以下は粗付加価値額)(万円),粗付加価値額(万円),有形固定資産額（30人以上）／年初現在高(万円),有形固定資産額（30人以上）／取得額(万円),有形固定資産額（30人以上）／除却額(万円),有形固定資産額（30人以上）／減価償却額(万円)
3,1199,他に分類されない繊維製品製造業,41,596,233,-,592,230,4,198828,411502,803332,478062,185031,-,-,140239,370370,369463,87673,1820,1712,3995
1,1200,木材・木製品製造業（家具を除く）,47,557,439,-,555,437,2,216363,578031,1064152,1001633,40814,-,x,x,466037,451674,x,x,x,x
2,1210,製材業、木製品製造業,16,153,123,-,152,122,1,53363,86654,186617,163579,19803,-,-,3235,92560,92560,-,-,-,-
3,1211,一般製材業,15,148,120,-,147,119,1,x,x,x,x,x,-,-,x,x,x,-,-,-,-
3,1212,単板（ベニヤ）製造業,1,5,3,-,5,3,-,x,x,x,x,x,-,-,-,x,x,-,-,-,-
2,1220,造作材・合板・建築用組立材料製造業,12,226,192,-,226,192,-,96898,362414,648472,618597,19614,-,-,10261,280788,266425,x,x,x,x
3,1221,造作材製造業（建具を除く）,8,131,110,-,131,110,-,62658,98629,180297,153850,17994,-,-,8453,75719,75845,9818,3186,-,126
3,1223,集成材製造業,1,9,8,-,9,8,-,x,x,x,x,x,-,-,x,x,x,-,-,-,-
3,1225,パーティクルボード製造業,1,70,62,-,70,62,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x
3,1227,銘木製造業,2,16,12,-,16,12,-,x,x,x,x,x,-,-,x,x,x,-,-,-,-
2,1230,木製容器製造業（竹、とうを含む）,8,88,55,-,88,55,-,30758,101853,153652,147655,1244,-,x,x,47965,47965,-,-,-,-
3,1232,木箱製造業,8,88,55,-,88,55,-,30758,101853,153652,147655,1244,-,x,x,47965,47965,-,-,-,-
2,1290,その他の木製品製造業(竹、とうを含む),11,90,69,-,89,68,1,35344,27110,75411,71802,153,-,-,3456,44724,44724,-,-,-,-
3,1299,他に分類されない木製品製造業(竹、とうを含む),11,90,69,-,89,68,1,35344,27110,75411,71802,153,-,-,3456,44724,44724,-,-,-,-
1,1300,家具・装備品製造業,201,3140,2283,54,3175,2324,19,1554711,7882618,10590699,9543626,431038,72378,407,543250,3317507,2896541,1424415,139616,38787,78489
2,1310,家具製造業,116,2240,1648,54,2279,1692,15,1180149,7042419,8862059,7955408,364810,47678,407,493756,2500180,2072877,1187702,127099,34854,71514
3,1311,木製家具製造業（漆塗りを除く）,93,881,653,-,866,644,15,368607,677933,1448498,1012841,187128,1863,-,246666,710867,714295,290551,25017,6283,4579
3,1312,金属製家具製造業,22,1285,939,54,1339,992,-,x,x,x,x,x,x,x,x,x,x,x,x,x,x
3,1313,マットレス・組スプリング製造業,1,74,56,-,74,56,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x
2,1320,宗教用具製造業,8,84,59,-,83,58,1,29705,49538,116011,64563,3000,22671,-,25777,60894,61670,31491,-,-,944
3,1321,宗教用具製造業,8,84,59,-,83,58,1,29705,49538,116011,64563,3000,22671,-,25777,60894,61670,31491,-,-,944
2,1330,建具製造業,23,156,118,-,156,118,-,60257,177617,300082,268012,31810,160,-,100,113395,113395,-,-,-,-
3,1331,建具製造業,23,156,118,-,156,118,-,60257,177617,300082,268012,31810,160,-,100,113395,113395,-,-,-,-
2,1390,その他の家具・装備品製造業,54,660,458,-,657,456,3,284600,613044,1312547,1255643,31418,1869,-,23617,643038,648599,205222,12517,3933,6031
3,1391,事務所用・店舗用装備品製造業,36,488,347,-,485,345,3,224518,515454,1090584,1074538,8841,12,-,7193,527878,533439,205222,12517,3933,6031
3,1392,窓用・扉用日よけ、日本びょうぶ等製造業,4,32,10,-,32,10,-,7473,7001,17232,15672,1560,-,-,-,9472,9472,-,-,-,-
3,1393,鏡縁・額縁製造業,9,70,43,-,70,43,-,22436,35518,85847,59865,10232,1857,-,13893,46601,46601,-,-,-,-
3,1399,他に分類されない家具・装備品製造業,5,70,58,-,70,58,-,30173,55071,118884,105568,10785,-,-,2531,59087,59087,-,-,-,-
1,1400,パルプ・紙・紙加工品製造業,375,5636,3697,36,5650,3715,22,2144235,8011791,13359419,10154037,998755,-,6650,2199977,4754950,4982317,x,x,11834,x
2,1410,パルプ製造業,1,18,7,-,18,7,-,x,x,x,x,-,-,-,x,x,x,-,-,-,-
3,1411,パルプ製造業,1,18,7,-,18,7,-,x,x,x,x,-,-,-,x,x,x,-,-,-,-
2,1420,紙製造業,4,132,108,17,149,123,-,76842,655150,1162486,1105122,39013,-,-,18351,409346,471677,588842,29628,1967,65071
3,1422,板紙製造業,4,132,108,17,149,123,-,76842,655150,1162486,1105122,39013,-,-,18351,409346,471677,588842,29628,1967,65071
2,1430,加工紙製造業,7,321,258,-,317,256,4,139119,570291,1017892,983248,-,-,-,34644,384637,415625,87798,13064,4,16237
3,1431,塗工紙製造業（印刷用紙を除く）,4,279,240,-,279,240,-,126951,506872,926807,926807,-,-,-,-,359020,390008,87798,13064,4,16237
3,1432,段ボール製造業,2,38,16,-,38,16,-,x,x,x,x,-,-,-,x,x,x,-,-,-,-
3,1433,壁紙・ふすま紙製造業,1,4,2,-,-,-,4,x,x,x,x,-,-,-,x,x,x,-,-,-,-
2,1440,紙製品製造業,92,1469,939,-,1466,937,3,x,x,x,x,x,-,329,x,x,x,517959,87170,7668,35752
3,1441,事務用・学用紙製品製造業,44,872,595,-,871,594,1,376342,1409165,2192426,1511600,193388,-,-,487438,703291,729599,417574,54016,6210,27344
3,1442,日用紙製品製造業,8,89,28,-,89,28,-,x,x,x,x,x,-,-,x,x,x,-,-,-,-
3,1449,その他の紙製品製造業,40,508,316,-,506,315,2,188348,386484,790993,698630,88336,-,329,3698,368661,377029,100385,33154,1458,8408
2,1450,紙製容器製造業,214,2940,1894,9,2936,1892,13,1056847,4254788,6780449,4938639,316924,-,500,1524386,2255630,2344677,x,x,2107,x
3,1451,重包装紙袋製造業,1,43,17,-,43,17,-,x,x,x,x,-,-,x,x,x,x,x,x,-,x
3,1452,角底紙袋製造業,7,106,70,2,108,72,-,x,x,x,x,x,-,x,x,x,x,-,-,-,-
3,1453,段ボール箱製造業,75,1170,846,5,1174,850,1,475940,2669607,3896977,2652622,50031,-,175,1194149,1089015,1139161,483299,25013,1625,54275
3,1454,紙器製造業,131,1621,961,2,1611,953,12,534878,1440029,2646704,2096805,242661,-,267,306971,1083326,1120604,416837,43608,482,37205
2,1490,その他のパルプ・紙・紙加工品製造業,57,756,491,10,764,500,2,277259,689815,1303881,848246,339067,-,5821,110747,573021,583346,281580,12015,88,12220
3,1499,その他のパルプ・紙・紙加工品製造業,57,756,491,10,764,500,2,277259,689815,1303881,848246,339067,-,5821,110747,573021,583346,281580,12015,88,12220
1,1500,印刷・同関連業,1699,41305,29772,647,41929,30269,23,19684761,34208655,74180593,57701745,15016840,54,36202,1425752,35623518,37164668,27104228,1312225,548252,1600805
2,1510,印刷業,1189,29408,21439,591,29992,21913,7,13947513,29046833,59547698,50287357,7946942,x,x,1291024,27088694,28349242,22769649,1113519,403907,1266695
3,1511,オフセット印刷業（紙に対するもの）,944,24525,18378,590,25114,18858,1,11619554,25680991,52130636,44295755,6920545,x,x,892053,23579209,24581302,17404955,967902,402387,948772
3,1512,オフセット印刷以外の印刷業（紙に対するもの）,93,2481,1770,-,2480,1769,1,1426543,1557363,3933134,3490590,229966,-,-,212578,1971888,2213385,4352528,110958,1124,278592
3,1513,紙以外の印刷業,152,2402,1291,1,2398,1286,5,901416,1808479,3483928,2501012,796431,-,92,186393,1537597,1554555,1012166,34659,396,39331
2,1520,製版業,141,5907,4514,49,5956,4546,-,3390676,2928635,8210259,7353381,741680,-,3524,111674,4690135,4929364,1432368,112986,16467,211808
3,1521,製版業,141,5907,4514,49,5956,4546,-,3390676,2928635,8210259,7353381,741680,-,3524,111674,4690135,4929364,1432368,112986,16467,211808
2,1530,製本業、印刷物加工業,344,4328,3050,7,4320,3042,15,1653165,1579117,4460346,59005,4378539,x,x,12445,2668482,2673921,1394113,74592,127650,80125
3,1531,製本業,198,2876,2059,-,2868,2052,8,1126756,1089156,3000134,29479,2957860,-,7722,5073,1772010,1775132,1245381,71256,70782,77833
3,1532,印刷物加工業,146,1452,991,7,1452,990,7,526409,489961,1460212,29526,1420679,x,x,7372,896472,898789,148732,3336,56868,2292
2,1590,印刷関連サービス業,25,1662,769,-,1661,768,1,693407,654070,1962290,2002,1949679,-,-,10609,1176207,1212141,1508098,11128,228,42177
3,1591,印刷関連サービス業,25,1662,769,-,1661,768,1,693407,654070,1962290,2002,1949679,-,-,10609,1176207,1212141,1508098,11128,228,42177
1,1600,化学工業,194,10802,6499,151,10951,6637,2,6098592,18469798,38386241,35138018,512036,21707,-,2714480,17854959,18882512,x,x,183415,x
2,1610,化学肥料製造業,1,4,3,-,4,3,-,x,x,x,x,-,-,-,-,x,x,-,-,-,-
3,1612,複合肥料製造業,1,4,3,-,4,3,-,x,x,x,x,-,-,-,-,x,x,-,-,-,-
2,1620,無機化学工業製品製造業,25,512,402,3,515,405,-,228039,1518693,2109426,1899171,12346,21636,-,176273,539599,566885,188308,36470,10255,28628
3,1621,ソーダ工業,1,62,44,-,62,44,-,x,x,x,x,x,-,-,x,x,x,x,x,x,x
3,1622,無機顔料製造業,2,32,28,-,32,28,-,x,x,x,x,x,-,-,x,x,x,x,x,x,x
3,1623,圧縮ガス・液化ガス製造業,5,71,68,-,71,68,-,32287,78108,169944,120652,843,21636,-,26813,85323,85363,-,1231,-,-
3,1624,塩製造業,5,54,23,-,54,23,-,12486,32109,46886,32259,-,-,-,14627,13713,13713,-,-,-,-
3,1629,その他の無機化学工業製品製造業,12,293,239,3,296,242,-,141806,1200638,1651204,1511034,9593,-,-,130577,418823,435502,143426,19418,8555,18801
2,1630,有機化学工業製品製造業,9,309,244,-,308,243,1,x,x,x,x,x,-,-,x,x,x,x,x,x,x
3,1634,環式中間物・合成染料・有機顔料製造業,5,141,120,-,141,120,-,52297,81875,189982,115834,58025,-,-,16123,100100,100100,-,-,-,-
3,1635,プラスチック製造業,2,39,30,-,38,29,1,x,x,x,x,x,-,-,x,x,x,-,-,x,-
3,1639,その他の有機化学工業製品製造業,2,129,94,-,129,94,-,x,x,x,x,x,-,-,x,x,x,x,x,x,x
2,1640,油脂加工製品・石けん・合成洗剤・界面活性剤・塗料製造業,41,1371,1017,121,1492,1129,-,725300,2251046,3999896,3539014,32966,-,-,427916,1566525,1646703,956169,106544,14029,95126
3,1641,脂肪酸・硬化油・グリセリン製造業,1,7,7,-,7,7,-,x,x,x,x,-,-,-,x,x,x,-,-,-,-
3,1642,石けん・合成洗剤製造業,7,158,100,7,165,106,-,88587,303299,583951,531097,7297,-,-,45557,243201,265109,300169,50446,13076,25874
3,1644,塗料製造業,14,525,418,91,616,504,-,348175,814139,1657188,1473565,2880,-,-,180743,763780,797365,421551,19701,227,35437
