産業分類階層,産業コード,産業中分類,従業者規模階層,従業者規模コード,従業者規模,事業所数,敷地面積(m2),総用水量(m3／日),淡水水源別用水量／公共水道／工業用水道(m3／日),淡水水源別用水量／公共水道／上水道(m3／日),淡水水源別用水量／井戸水(m3／日),淡水水源別用水量／その他の淡水(m3／日),海水用水量(m3／日)
1,24,金属製品製造業,1,01,30～49人,53,88039,975,102,x,50,x,-
1,24,金属製品製造業,1,02,50～99人,30,82765,1311,48,1024,239,-,-
1,24,金属製品製造業,1,03,100～199人,7,x,x,-,x,x,-,-
1,24,金属製品製造業,1,05,300～499人,1,x,x,-,x,x,x,-
1,25,はん用機械器具製造業,0,00,総数,50,308244,828,324,390,112,2,-
1,25,はん用機械器具製造業,1,01,30～49人,24,37508,70,2,66,-,2,-
1,25,はん用機械器具製造業,1,02,50～99人,15,35366,73,-,61,12,-,-
1,25,はん用機械器具製造業,1,03,100～199人,8,64963,186,-,186,-,-,-
1,25,はん用機械器具製造業,1,05,300～499人,1,x,x,x,x,x,-,-
1,25,はん用機械器具製造業,1,06,500～999人,2,x,x,x,x,x,-,-
1,26,生産用機械器具製造業,0,00,総数,104,462791,1936,52,1315,564,5,-
1,26,生産用機械器具製造業,1,01,30～49人,56,98003,758,7,750,-,1,-
1,26,生産用機械器具製造業,1,02,50～99人,33,155266,265,10,251,-,4,-
1,26,生産用機械器具製造業,1,03,100～199人,10,86102,153,-,153,-,-,-
1,26,生産用機械器具製造業,1,04,200～299人,2,x,x,x,x,x,-,-
1,26,生産用機械器具製造業,1,05,300～499人,2,x,x,x,x,-,-,-
1,26,生産用機械器具製造業,1,07,1000人以上,1,x,x,-,x,x,-,-
1,27,業務用機械器具製造業,0,00,総数,89,218901,1091,96,949,12,34,-
1,27,業務用機械器具製造業,1,01,30～49人,43,45320,284,-,276,-,8,-
1,27,業務用機械器具製造業,1,02,50～99人,30,47959,172,44,128,-,-,-
1,27,業務用機械器具製造業,1,03,100～199人,6,23914,52,-,45,-,7,-
1,27,業務用機械器具製造業,1,04,200～299人,5,30054,139,-,108,12,19,-
1,27,業務用機械器具製造業,1,05,300～499人,2,x,x,-,x,-,-,-
1,27,業務用機械器具製造業,1,06,500～999人,3,x,x,x,x,-,-,-
1,28,電子部品・デバイス・電子回路製造業,0,00,総数,53,494777,4329,1200,1380,1749,-,-
1,28,電子部品・デバイス・電子回路製造業,1,01,30～49人,30,40455,829,-,804,25,-,-
1,28,電子部品・デバイス・電子回路製造業,1,02,50～99人,7,21840,403,-,114,289,-,-
1,28,電子部品・デバイス・電子回路製造業,1,03,100～199人,11,61980,599,-,389,210,-,-
1,28,電子部品・デバイス・電子回路製造業,1,04,200～299人,1,x,x,-,-,x,-,-
1,28,電子部品・デバイス・電子回路製造業,1,05,300～499人,1,x,x,-,x,x,-,-
1,28,電子部品・デバイス・電子回路製造業,1,06,500～999人,1,x,x,x,x,-,-,-
1,28,電子部品・デバイス・電子回路製造業,1,07,1000人以上,2,x,x,x,x,x,-,-
1,29,電気機械器具製造業,0,00,総数,120,1204310,5029,99,1175,3532,223,-
1,29,電気機械器具製造業,1,01,30～49人,54,176227,793,98,597,9,89,-
1,29,電気機械器具製造業,1,02,50～99人,38,92260,208,1,187,16,4,-
1,29,電気機械器具製造業,1,03,100～199人,12,54094,220,-,68,147,5,-
1,29,電気機械器具製造業,1,04,200～299人,7,114895,256,-,196,60,-,-
1,29,電気機械器具製造業,1,05,300～499人,1,x,x,-,-,x,-,-
1,29,電気機械器具製造業,1,06,500～999人,4,x,x,-,x,x,x,-
1,29,電気機械器具製造業,1,07,1000人以上,4,608640,1967,-,72,1895,-,-
1,30,情報通信機械器具製造業,0,00,総数,31,360881,1555,-,189,1366,-,-
1,30,情報通信機械器具製造業,1,01,30～49人,10,14461,26,-,26,-,-,-
1,30,情報通信機械器具製造業,1,02,50～99人,9,13885,32,-,32,-,-,-
1,30,情報通信機械器具製造業,1,03,100～199人,9,47347,100,-,57,43,-,-
1,30,情報通信機械器具製造業,1,06,500～999人,1,x,x,-,x,x,-,-
1,30,情報通信機械器具製造業,1,07,1000人以上,2,x,x,-,x,x,-,-
1,31,輸送用機械器具製造業,0,00,総数,63,1938813,6006,706,677,4616,7,-
1,31,輸送用機械器具製造業,1,01,30～49人,19,66607,70,-,57,13,-,-
1,31,輸送用機械器具製造業,1,02,50～99人,23,214954,343,12,315,9,7,-
1,31,輸送用機械器具製造業,1,03,100～199人,14,127871,233,7,203,23,-,-
1,31,輸送用機械器具製造業,1,04,200～299人,2,x,x,x,x,x,-,-
1,31,輸送用機械器具製造業,1,05,300～499人,2,x,x,x,x,x,-,-
1,31,輸送用機械器具製造業,1,07,1000人以上,3,1384427,4428,680,8,3740,-,-
1,32,その他の製造業,0,00,総数,54,458729,601,12,494,71,24,-
1,32,その他の製造業,1,01,30～49人,25,31764,150,-,150,-,-,-
1,32,その他の製造業,1,02,50～99人,17,22664,243,12,193,14,24,-
1,32,その他の製造業,1,03,100～199人,9,378736,61,-,61,-,-,-
1,32,その他の製造業,1,04,200～299人,2,x,x,-,x,x,-,-
1,32,その他の製造業,1,06,500～999人,1,x,x,-,x,x,-,-
,,,,,,,,,,,,,
2019東京の工業　2019年工業統計調査報告（平成30年実績）,,,,,,,,,,,,,
第8-1表　産業中分類，従業者規模別工業用地及び工業用水統計表（従業者30人以上の事業所）,,,,,,,,,,,,,
産業分類階層（0：総数　1：産業中分類）,,,,,,,,,,,,,
従業者規模階層（0：総数　1：従業者規模）,,,,,,,,,,,,,
