産業分類階層,産業コード,産業小分類,事業所数,生産額(万円),在庫額／製造品／年初(万円),在庫額／製造品／年末(万円),在庫額／半製品及び仕掛品／年初(万円),在庫額／半製品及び仕掛品／年末(万円),在庫額／原材料及び燃料／年初(万円),在庫額／原材料及び燃料／年末(万円),有形固定資産額／年初現在高／土地(万円),有形固定資産額／年初現在高／土地以外(万円),有形固定資産額／取得額／土地(万円),有形固定資産額／取得額／土地以外／計(万円),有形固定資産額／取得額／土地以外／建物等(万円),有形固定資産額／取得額／土地以外／機械等(万円),有形固定資産額／取得額／土地以外／備品等(万円),有形固定資産額／除却額／土地(万円),有形固定資産額／除却額／土地以外(万円),有形固定資産額／減価償却額(万円),有形固定資産額／建設仮勘定／増(万円),有形固定資産額／建設仮勘定／減(万円),有形固定資産額／建設仮勘定／差引増減(万円),有形固定資産額／投資総額(万円)
2,144,紙製品製造業,11,1462517,13962,16371,9710,8377,6746,7999,186818,331141,-,87170,27693,55301,4176,-,7668,35752,-,-,-,87170
2,145,紙製容器製造業,14,2538962,79123,84007,30777,29671,32268,34901,266410,644795,9840,59738,9354,48476,1908,-,2107,92825,31165,27338,3827,73405
2,149,その他のパルプ・紙・紙加工品製造業,5,401340,2975,5110,1454,1214,38766,42761,188591,92989,-,12015,7266,2302,2447,-,88,12220,-,-,-,12015
1,150,印刷・同関連業,283,49538883,481100,475358,1189873,1255270,388129,402878,15213398,11890830,98557,1213668,347598,719061,147009,352419,195833,1600805,489990,265856,224134,1536359
2,151,印刷業,223,39580224,475473,466792,983145,997973,331781,334925,12918854,9850795,70643,1042876,312725,609758,120393,239085,164822,1266695,485930,264257,221673,1335192
2,152,製版業,37,6715017,4981,7522,143335,113373,44789,53221,457286,975082,27914,85072,6734,60718,17620,190,16277,211808,1943,912,1031,114017
2,153,製本業、印刷物加工業,20,1544313,646,1044,11116,85404,11280,14445,795345,598768,-,74592,27967,43532,3093,113144,14506,80125,2117,687,1430,76022
2,159,印刷関連サービス業,3,1699329,-,-,52277,58520,279,287,1041913,466185,-,11128,172,5053,5903,-,228,42177,-,-,-,11128
1,160,化学工業,61,32094957,1144894,1346455,1329500,1489928,1500051,1658587,4424026,9270652,101884,4958831,1877668,2620509,460654,13118,170297,1389542,2314937,4361391,-2046454,3014261
2,162,無機化学工業製品製造業,5,884249,38319,48107,32999,24553,150528,144919,70828,117480,632,35838,3688,26459,5691,8467,1788,28628,-,-,-,36470
2,163,有機化学工業製品製造業,3,502283,34118,9117,4070,1154,23844,13118,9433,31154,-,5892,297,889,4706,-,955,8937,-,-,-,5892
2,164,油脂加工製品・石けん・合成洗剤・界面活性剤・塗料製造業,10,2877609,73406,88254,57704,57804,108580,117180,267382,688787,-,106544,19954,70952,15638,-,14029,95126,93556,91432,2124,108668
2,165,医薬品製造業,18,8453786,424423,514468,994539,1152459,614890,669777,800686,5312714,90029,4370714,1744330,2375872,250512,-,131160,766917,1440161,4027833,-2587672,1873071
2,166,化粧品・歯磨・その他の化粧用調整品製造業,15,13835194,163137,187369,86067,102453,256419,317966,389930,1005497,4,266742,69288,71027,126427,-,11606,178179,459158,196500,262658,529404
2,169,その他の化学工業,10,5541836,411491,499140,154121,151505,345790,395627,2885767,2115020,11219,173101,40111,75310,57680,4651,10759,311755,322062,45626,276436,460756
1,170,石油製品・石炭製品製造業,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,x,x,x,x,-,x,x
2,172,潤滑油・グリース製造業（石油精製業によらないもの）,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,x,x,x,x,-,x,x
1,180,プラスチック製品製造業（別掲を除く）,41,3643593,130401,138413,84891,95570,78206,87798,616969,730893,13587,110940,45885,35565,29490,x,23819,125091,50950,50882,68,124595
2,181,プラスチック板・棒・管・継手・異形押出製品製造業,6,613284,61852,70003,12726,14948,16588,21655,73510,80484,-,14530,1744,10682,2104,-,173,15720,7879,5423,2456,16986
2,182,プラスチックフィルム・シート・床材・合成皮革製造業,3,354410,6644,8193,5774,24864,7242,6032,119564,150658,-,6834,22,1286,5526,-,-,15161,11862,9963,1899,8733
2,183,工業用プラスチック製品製造業,12,844040,18503,24012,16216,14890,26057,27565,105634,147531,13587,31321,8934,16954,5433,3190,10594,34534,11169,8136,3033,47941
2,184,発泡・強化プラスチック製品製造業,3,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
2,185,プラスチック成形材料製造業（廃プラスチックを含む）,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,x,x,x,-,-,-,x
2,189,その他のプラスチック製品製造業,15,1253893,30600,24182,21325,14826,15425,18614,250159,261884,-,17256,3043,2277,11936,-,670,42472,1100,494,606,17862
1,190,ゴム製品製造業,10,1195405,155384,108499,37537,42894,30430,34757,441841,632245,-,89068,12733,55312,21023,-,3539,133195,x,x,x,x
2,191,タイヤ・チューブ製造業,1,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
2,192,ゴム製・プラスチック製履物・同附属品製造業,1,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,x,-,-,-,-
2,193,ゴムベルト・ゴムホース・工業用ゴム製品製造業,6,718788,26955,24585,9807,10777,16893,21343,328493,160394,-,19022,3240,10508,5274,-,1703,21215,-,-,-,19022
2,199,その他のゴム製品製造業,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,-,-,-,x
1,200,なめし革・同製品・毛皮製造業,19,2269591,263266,268878,124075,131149,172091,153830,215053,296146,14502,83539,47524,25994,10021,1618,421,32792,15605,30607,-15002,83039
2,204,革製履物製造業,9,954920,106045,89898,35377,36360,47238,45981,91192,78961,12410,23437,12358,6291,4788,1618,224,12397,-,-,-,35847
2,206,かばん製造業,5,904641,138397,158093,77412,79554,115533,97055,46182,102124,2092,59305,35141,19487,4677,-,-,13132,15605,30607,-15002,46395
2,207,袋物製造業,3,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,-,-,-,x
2,209,その他のなめし革製品製造業,2,x,x,x,x,x,x,x,x,x,-,x,-,x,-,-,x,x,-,-,-,x
1,210,窯業・土石製品製造業,19,5501637,352297,343778,125830,128872,100231,97839,1541201,1961914,25198,268758,48830,184614,35314,100,49099,213683,63247,87604,-24357,269599
2,211,ガラス・同製品製造業,10,3155120,268959,247968,125830,128872,67744,66219,542385,1616164,23121,110400,12963,90192,7245,100,45419,144751,44184,67841,-23657,109864
2,212,セメント・同製品製造業,6,1672346,61066,74900,-,-,18784,15556,567385,162064,-,131007,31466,76330,23211,-,3168,41135,-,-,-,131007
2,219,その他の窯業・土石製品製造業,3,674171,22272,20910,-,-,13703,16064,431431,183686,2077,27351,4401,18092,4858,-,512,27797,19063,19763,-700,28728
1,220,鉄鋼業,17,13375101,422414,464961,710016,670573,281348,313570,1646044,2241083,178326,451129,23605,357777,69747,x,14213,341435,510898,275334,235564,865019
2,222,製鋼・製鋼圧延業,1,x,x,x,x,x,x,x,x,x,-,x,x,x,x,x,-,x,x,-,x,x
2,223,製鋼を行わない鋼材製造業（表面処理鋼材を除く）,7,9081146,335541,353434,648195,620282,196984,218908,1151501,1537141,178326,355025,20350,305928,28747,3434,13931,209040,502897,275251,227646,760997
2,225,鉄素形材製造業,3,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,-,x,x,-,x,x
2,229,その他の鉄鋼業,6,1830805,44466,49861,12892,12009,51215,57023,171526,184589,-,11154,3025,6306,1823,-,282,18623,390,83,307,11461
1,230,非鉄金属製造業,18,7035463,274710,405651,379096,263874,199588,149473,1067302,571145,179402,121139,45915,57375,17849,-,2877,82311,182344,12509,169835,470376
2,232,非鉄金属第２次製錬・精製業（非鉄金属合金製造業を含む）,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,-,x,x,x,-,x,x
2,233,非鉄金属・同合金圧延業（抽伸、押出しを含む）,4,1533445,25646,24059,125950,167972,33970,25787,359947,166192,65614,41225,8819,22722,9684,-,739,22701,15581,12509,3072,109911
2,234,電線・ケーブル製造業,4,460695,15905,17944,11474,10933,18902,10466,37773,36013,-,6070,2479,2003,1588,-,1508,3922,-,-,-,6070
2,235,非鉄金属素形材製造業,6,839864,51510,52594,52777,46247,66887,73010,189416,193615,4017,36273,1962,29171,5140,-,481,37585,-,-,-,40290
2,239,その他の非鉄金属製造業,1,x,-,-,-,-,-,-,x,x,x,x,x,-,-,-,-,x,-,-,-,x
1,240,金属製品製造業,91,9526683,370989,363656,318407,321825,383221,345853,2098386,2061305,93594,433444,221117,161962,50365,29054,37041,316363,59321,96787,-37466,489572
2,241,ブリキ缶・その他のめっき板等製品製造業,2,x,x,x,x,x,x,x,x,x,-,x,-,x,x,-,x,x,-,-,-,x
2,242,洋食器・刃物・手道具・金物類製造業,8,650177,28237,30333,40964,42198,14779,16493,179002,90630,-,4751,-,3222,1529,-,14,13185,1119,-,1119,5870
2,243,暖房・調理等装置、配管工事用附属品製造業,6,839445,41644,50701,32578,31952,58811,70831,69625,112711,-,20096,1176,14361,4559,-,182,14427,1826,917,909,21005
2,244,建設用・建築用金属製品製造業（製缶板金業を含む),6,702849,37023,35364,18618,23727,41268,48957,152210,37533,-,11014,4503,4874,1637,-,1962,9939,-,-,-,11014
2,245,金属素形材製品製造業,8,1390968,108758,89960,59983,73331,15248,13693,265625,171088,27023,18839,3402,12374,3063,-,656,44484,-,-,-,45862
2,246,金属被覆・彫刻業、熱処理業（ほうろう鉄器を除く）,41,3605238,63037,59352,77668,50717,119284,68673,1083263,1064675,33794,183618,59194,94525,29899,3357,4347,164404,52794,41598,11196,228608
2,247,金属線製品製造業（ねじ類を除く),1,x,x,x,x,x,x,x,x,x,-,x,-,x,x,-,x,x,-,-,-,x
2,248,ボルト・ナット・リベット・小ねじ・木ねじ等製造業,9,1054629,45591,61003,25486,27061,42138,33635,150600,283070,32777,161371,150913,7963,2495,25697,26146,21398,-,40974,-40974,153174
2,249,その他の金属製品製造業,10,1130846,28748,26937,57088,66992,82571,84011,150915,223436,-,32126,1929,23096,7101,-,3726,42122,3582,13298,-9716,22410
1,250,はん用機械器具製造業,50,12562398,229888,301191,1360133,1521823,1251940,1342413,1443637,2209386,44486,410427,90615,244450,75362,30970,23918,293169,136619,106699,29920,484833
2,252,ポンプ・圧縮機器製造業,14,4030991,103792,153548,388747,300907,423939,479458,141401,767909,12659,140252,27290,83956,29006,28279,13625,74663,6306,15854,-9548,143363
2,253,一般産業用機械・装置製造業,16,4830776,71943,77627,595776,689790,607902,620400,838398,608901,-,114192,19543,80921,13728,2691,7434,89521,7586,7179,407,114599
2,259,その他のはん用機械・同部分品製造業,20,3700631,54153,70016,375610,531126,220099,242555,463838,832576,31827,155983,43782,79573,32628,-,2859,128985,122727,83666,39061,226871
1,260,生産用機械器具製造業,104,23825803,767660,730942,2785945,3368951,1231158,1572357,4069546,5415856,294681,904906,278215,348416,278275,26130,77592,697881,211142,199104,12038,1211625
2,262,建設機械・鉱山機械製造業,10,1966164,96183,130429,232386,155110,100474,100212,550058,497069,2735,94052,21091,62692,10269,13895,7262,93872,1050,9250,-8200,88587
2,263,繊維機械製造業,1,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,x,-,-,-,-
2,264,生活関連産業用機械製造業,10,1562660,78406,64509,138489,130583,64096,48065,242275,378802,-,20618,6256,10380,3982,42,810,29336,1004,-,1004,21622
2,265,基礎素材産業用機械製造業,4,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
2,266,金属加工機械製造業,22,3658620,125958,146955,335429,455437,121517,151081,830478,1223377,250647,429472,147145,139120,143207,2494,18034,212132,17113,17969,-856,679263
2,267,半導体・フラットパネルディスプレイ製造装置製造業,26,10770621,278509,244888,1570992,2137021,425969,619144,1102762,1764554,37017,206247,52903,69985,83359,-,18531,227848,141750,132770,8980,252244
2,269,その他の生産用機械・同部分品製造業,31,5154054,172784,120539,454727,434919,438224,570138,1200447,1442239,4282,127254,43669,48099,35486,9699,32494,110133,47645,26785,20860,152396
1,270,業務用機械器具製造業,89,21325249,1541853,1572328,1605191,1792777,1588577,1619612,3146057,2648481,71524,373563,77716,130177,165670,8037,99223,371603,37480,32399,5081,450168
2,271,事務用機械器具製造業,7,1848271,269327,252375,12010,12043,391848,331851,58748,69478,-,23051,8930,2332,11789,-,744,21534,-,1080,-1080,21971
2,272,サービス用・娯楽用機械器具製造業,5,949217,29448,31273,27661,27755,130612,139027,303026,218267,-,9426,903,-,8523,-,1883,19269,-,-,-,9426
2,273,計量器・測定器・分析機器・試験機・測量機械器具・理化学機械器具製造業,46,13090610,854496,888137,1172948,1381534,831933,909338,1988125,1841233,65652,246262,49333,99810,97119,2287,50477,249687,35819,31319,4500,316414
2,274,医療用機械器具・医療用品製造業,25,4452277,346747,360334,240300,211338,151877,152836,732954,438893,5872,84057,17602,25500,40955,5750,45872,65913,1661,-,1661,91590
2,275,光学機械器具・レンズ製造業,6,984874,41835,40209,152272,160107,82307,86560,63204,80610,-,10767,948,2535,7284,-,247,15200,-,-,-,10767
1,280,電子部品・デバイス・電子回路製造業,53,33032709,761944,964897,1194586,1102903,894359,873953,1534640,7864116,43524,2352111,257840,1470171,624100,20,127579,2430939,2169876,2116010,53866,2449501
2,281,電子デバイス製造業,1,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
2,282,電子部品製造業,14,22382368,320966,401987,501804,383639,179926,194766,240492,3171237,377,1167866,33173,585031,549662,-,94632,1312490,1147942,1064989,82953,1251196
2,284,電子回路製造業,19,3380366,90539,117541,234305,215021,216885,235814,370821,403529,27946,86062,16426,61849,7787,-,3590,55364,27,2593,-2566,111442
2,285,ユニット部品製造業,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,x,x,x
2,289,その他の電子部品・デバイス・電子回路製造業,17,6467025,301023,384714,410209,416297,409549,368286,707999,3928570,15201,1033223,207766,763387,62070,20,15907,929478,1004665,989013,15652,1064076
1,290,電気機械器具製造業,120,60869038,3009416,3065904,11085594,12699961,3627274,3915138,3248743,8838113,55137,1153775,288195,229616,635964,20202,446306,1129024,679372,662194,17178,1226090
2,291,発電用・送電用・配電用電気機械器具製造業,50,22275941,2003614,1906258,4858124,5346149,1356038,1488166,975551,4106445,41812,461828,174011,74784,213033,11059,32294,458619,434021,447029,-13008,490632
2,292,産業用電気機械器具製造業,16,6051456,11825,16257,1439157,1434565,1115516,1067581,238585,283930,9340,79386,8068,65249,6069,9082,37836,69604,31463,28974,2489,91215
2,293,民生用電気機械器具製造業,3,x,x,x,x,x,x,x,x,x,-,x,-,x,x,-,x,x,-,-,-,x
2,294,電球・電気照明器具製造業,9,2208467,76975,71719,43901,44678,129116,138680,167470,256401,-,27578,2424,8653,16501,-,5923,43977,18589,17836,753,28331
2,296,電子応用装置製造業,21,24687990,644489,814711,4286736,5387552,660785,854657,1271328,3322397,-,510159,91210,53577,365372,-,365221,435183,166949,154407,12542,522701
2,297,電気計測器製造業,20,5097440,226602,210773,456384,486721,342556,344928,528211,829361,3985,69939,12482,22988,34469,61,4938,113901,28350,13948,14402,88326
2,299,その他の電気機械器具製造業,1,x,x,x,x,x,x,x,x,x,-,x,-,x,x,-,x,x,-,-,-,x
1,300,情報通信機械器具製造業,31,46513704,588350,768089,3745863,6474671,890042,940683,585320,4446844,13780,866260,83066,399588,383606,2151,10437,799461,743121,765087,-21966,858074
2,301,通信機械器具・同関連機械器具製造業,13,43954304,472454,639542,3661443,6392981,688443,748051,174005,3863908,-,824665,72640,387588,364437,2151,9942,745696,743121,765087,-21966,802699
2,302,映像・音響機械器具製造業,11,2043853,97504,101846,72450,71100,148294,136607,360299,335425,6069,28277,3117,6438,18722,-,491,41388,-,-,-,34346
2,303,電子計算機・同附属装置製造業,7,515547,18392,26701,11970,10590,53305,56025,51016,247511,7711,13318,7309,5562,447,-,4,12377,-,-,-,21029
1,310,輸送用機械器具製造業,63,141853429,4108784,4864755,18295853,16463852,4381713,3920475,2806338,11636172,455164,2854266,865608,1203634,785024,25220,106696,2062595,2204206,2132756,71450,3380880
2,311,自動車・同附属品製造業,40,88606864,143815,159185,853941,854023,520595,500428,1064692,6549011,95592,1634803,303021,670848,660934,25220,85436,1497985,1530855,1457095,73760,1804155
2,312,鉄道車両・同部分品製造業,7,1211326,2312,1140,35264,32524,45082,48480,77461,127063,-,27477,3103,23271,1103,-,342,11437,6901,6899,2,27479
2,313,船舶製造・修理業、舶用機関製造業,1,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,-,x,x
2,314,航空機・同附属品製造業,13,51433558,3956856,4697146,17260504,15484439,3772598,3334095,1539801,4848343,359572,1181014,559418,500596,121000,-,20837,545464,666288,668762,-2474,1538112
2,315,産業用運搬車両・同部分品・附属品製造業,2,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,x,x,x,-,x,x
1,320,その他の製造業,54,10942670,640255,625953,509173,510426,508074,525789,1426425,1896036,96808,310526,83780,96925,129821,-,25670,258294,83292,51791,31501,438835
2,321,貴金属・宝石製品製造業,4,901660,94363,89297,126596,127058,158534,143476,40293,50571,-,5828,790,2604,2434,-,28,7953,-,-,-,5828
2,322,装身具・装飾品・ボタン・同関連品製造業（貴金属・宝石製を除く）,5,267359,24119,23448,15131,15485,62874,64130,106204,53452,-,2358,756,77,1525,-,109,4804,-,-,-,2358
2,323,時計・同部分品製造業,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,-,x,x,x,x,x,x
2,324,楽器製造業,1,x,x,x,x,x,x,x,x,x,x,x,x,x,-,-,x,x,-,-,-,x
2,325,がん具・運動用具製造業,5,3261601,370916,361542,194142,170893,86941,93101,79028,611102,18915,140251,20946,40488,78817,-,8896,96074,64447,44353,20094,179260
2,326,ペン・鉛筆・絵画用品・その他の事務用品製造業,5,529007,18887,22448,3863,3019,8056,8989,178728,141589,14988,27166,13783,8110,5273,-,1171,8093,-,-,-,42154
2,328,畳等生活雑貨製品製造業,4,507593,46175,38639,17867,19692,25180,18565,32309,24793,-,22872,17263,476,5133,-,748,6496,-,-,-,22872
2,329,他に分類されない製造業,27,4941595,66987,70549,93522,117726,132654,163840,919306,946982,59699,95953,28004,35975,31974,-,13149,119822,2367,2456,-89,155563
,,,,,,,,,,,,,,,,,,,,,,,,
2019東京の工業　2019年工業統計調査報告（平成30年実績）,,,,,,,,,,,,,,,,,,,,,,,,
第2-1-b表　産業小分類別統計表（従業者30人以上の事業所）,,,,,,,,,,,,,,,,,,,,,,,,
産業分類階層（0：総数　1：産業中分類　2：産業小分類）,,,,,,,,,,,,,,,,,,,,,,,,
