産業分類階層,産業コード,産業小分類,事業所数,従業者数(送出者を除く）／総数(人),従業者数(送出者を除く）／うち男(人),常用労働者／総数(人),常用労働者／うち男(人),個人業主及び無給家族従業者(人),現金給与総額(万円),原材料使用額等／総額(万円),原材料使用額等／うち原材料使用額(万円),原材料使用額等／うち燃料使用額(万円),原材料使用額等／うち電力使用額(万円),原材料使用額等／うち委託生産費(万円),製造品出荷額等／総額(万円),製造品出荷額等／製造品出荷額(万円),製造品出荷額等／加工賃収入額(万円),製造品出荷額等／修理料収入額(万円),製造品出荷額等／くず・廃物出荷額(万円),製造品出荷額等／その他の収入額(万円),付加価値額(万円),粗付加価値額(万円)
2,242,洋食器・刃物・手道具・金物類製造業,8,445,303,448,305,-,195435,320768,170919,2526,10010,127484,657245,646696,151,-,918,9480,302795,312650
2,243,暖房・調理等装置、配管工事用附属品製造業,6,316,254,316,254,-,136277,466789,261217,2449,6073,161873,850712,831014,-,-,-,19698,352337,358333
2,244,建設用・建築用金属製品製造業（製缶板金業を含む),6,283,211,289,217,-,135349,305987,229858,771,2167,50822,702843,699399,-,-,-,3444,362877,369366
2,245,金属素形材製品製造業,8,522,371,533,382,-,232975,937307,400229,2450,14027,460867,1457082,1396405,13,-,757,59907,432767,482701
2,246,金属被覆・彫刻業、熱処理業（ほうろう鉄器を除く）,41,2477,1826,2491,1839,-,1249975,1115130,693518,47658,104887,235980,3679866,680647,2955227,-,-,43992,2191748,2386788
2,247,金属線製品製造業（ねじ類を除く),1,34,25,34,25,-,x,x,x,x,x,x,x,x,-,-,-,x,x,x
2,248,ボルト・ナット・リベット・小ねじ・木ねじ等製造業,9,438,352,439,353,-,190563,653010,377822,5526,13183,157633,1245709,942042,95600,-,13,208054,556546,560957
2,249,その他の金属製品製造業,10,536,429,541,434,-,273902,569387,318121,8552,13405,211424,1142787,1098178,24575,-,-,20034,498741,532770
1,250,はん用機械器具製造業,50,4580,3769,4592,3780,-,2517325,7251578,4848130,30823,126665,1895039,13310984,12026118,303287,x,x,398493,5620316,5680492
2,252,ポンプ・圧縮機器製造業,14,1389,1052,1389,1052,-,700432,2114475,1659852,5151,22594,192178,4318818,3979717,89358,x,x,249407,1943420,2056167
2,253,一般産業用機械・装置製造業,16,1387,1168,1392,1172,-,779615,2533439,1901071,7848,29706,556517,4844466,4629118,101960,89568,576,23244,2170643,2160466
2,259,その他のはん用機械・同部分品製造業,20,1804,1549,1811,1556,-,1037278,2603664,1287207,17824,74365,1146344,4147700,3417283,111969,492606,-,125842,1506253,1463859
1,260,生産用機械器具製造業,104,7933,6513,8082,6633,-,4192394,14529040,9829941,56800,162423,2684333,25972545,22808799,470716,489075,27,2203928,11118506,11270099
2,262,建設機械・鉱山機械製造業,10,792,668,793,669,-,383660,1046072,571678,1983,11206,424569,2359417,1942688,66506,292302,-,57921,1087592,1224494
2,263,繊維機械製造業,1,34,25,34,25,-,x,x,x,x,x,-,x,x,-,-,-,-,x,x
2,264,生活関連産業用機械製造業,10,619,513,620,514,-,331990,954839,527886,2226,6723,300898,1752910,1584463,-,28571,-,139876,692617,743756
2,265,基礎素材産業用機械製造業,4,318,265,393,313,-,x,x,x,x,x,x,x,x,-,-,-,-,x,x
2,266,金属加工機械製造業,22,1703,1364,1720,1380,-,889395,2573985,1370571,4545,51213,317009,4549194,3387631,129984,51949,27,979603,1838985,1910112
2,267,半導体・フラットパネルディスプレイ製造装置製造業,26,2510,2020,2562,2071,-,1329751,6463182,5173768,40188,53925,987923,10444951,9994110,244103,5127,-,201611,4453317,4148757
2,269,その他の生産用機械・同部分品製造業,31,1957,1658,1960,1661,-,1071235,3078250,1841312,7079,36622,593383,6162150,5195984,30123,111126,-,824917,2785849,2968035
1,270,業務用機械器具製造業,89,8299,6305,8448,6438,-,4879957,12876090,10149368,11840,82325,1304462,23226815,21019408,87780,395717,-,1723910,9799364,9952906
2,271,事務用機械器具製造業,7,703,557,715,567,-,x,x,1027228,x,6712,138080,x,x,x,x,-,x,x,x
2,272,サービス用・娯楽用機械器具製造業,5,348,248,348,248,-,x,x,484093,x,2508,14483,x,x,x,x,-,x,x,x
2,273,計量器・測定器・分析機器・試験機・測量機械器具・理化学機械器具製造業,46,4754,3718,4888,3839,-,3091587,7572503,6336693,3996,42099,798384,13781462,12789327,59056,257608,-,675471,6072945,6080405
2,274,医療用機械器具・医療用品製造業,25,1968,1414,1971,1416,-,1097559,2923754,1875764,5358,23892,180111,5468254,4467429,223,104594,-,896008,2284111,2365399
2,275,光学機械器具・レンズ製造業,6,526,368,526,368,-,194170,609172,425590,407,7114,173404,1005108,978665,-,-,-,26443,385500,394491
1,280,電子部品・デバイス・電子回路製造業,53,7248,5267,7685,5659,-,4382887,20882033,18023237,43297,316028,1293167,33460742,32568938,352501,-,-,539303,10527236,12846905
2,281,電子デバイス製造業,1,119,108,120,109,-,x,x,x,x,x,x,x,x,-,-,-,-,x,x
2,282,電子部品製造業,14,2593,1967,2852,2198,-,1596990,13774514,13169528,1589,58820,440541,22423269,22344159,75353,-,-,3757,7603650,8953284
2,284,電子回路製造業,19,1283,897,1312,925,-,624501,2463250,1581453,2907,78544,486722,3532010,3171455,201193,-,-,159362,957367,1005013
2,285,ユニット部品製造業,2,121,85,121,85,-,x,x,x,x,x,x,x,x,-,-,-,-,x,x
2,289,その他の電子部品・デバイス・電子回路製造業,17,3132,2210,3280,2342,-,2015029,4172180,3041088,30024,155347,239746,6753430,6301291,75955,-,-,376184,1754758,2594457
1,290,電気機械器具製造業,120,18571,15047,19008,15458,-,11578277,41455503,27100433,99573,336796,12972725,69582124,58300456,897727,391843,94,9992004,27779777,27237946
2,291,発電用・送電用・配電用電気機械器具製造業,50,7925,6563,8018,6641,-,4456980,20170437,11531754,22440,179029,8296290,22064984,21403901,481371,-,94,179618,1799677,1867627
2,292,産業用電気機械器具製造業,16,1539,1178,1548,1187,-,x,x,x,1521,x,x,x,x,x,-,-,x,x,x
2,293,民生用電気機械器具製造業,3,319,165,320,166,-,111991,275113,207535,9862,9113,48496,501539,459173,34821,7545,-,-,203185,210034
2,294,電球・電気照明器具製造業,9,385,257,433,303,-,188734,1631946,666785,59605,9011,838818,2274200,2212946,-,-,-,61254,551031,599487
2,296,電子応用装置製造業,21,6144,5046,6385,5280,-,4591118,12229692,9470505,4441,87443,2545317,33118138,23339576,77376,186243,-,9514943,21024796,20188941
2,297,電気計測器製造業,20,2225,1815,2269,1857,-,1382637,2638272,1573292,1704,25773,816509,5479798,5022122,60810,198055,-,198811,2601811,2701204
2,299,その他の電気機械器具製造業,1,34,23,35,24,-,x,x,x,-,x,x,x,x,-,-,-,-,x,x
1,300,情報通信機械器具製造業,31,6652,5523,6893,5741,-,4780724,29913634,27196678,16652,162310,1988559,53502225,43451636,153521,21033,-,9876035,24197682,22088596
2,301,通信機械器具・同関連機械器具製造業,13,5167,4529,5385,4730,-,4140277,28417378,25891301,13957,147936,1846852,50890906,41020868,34810,-,-,9835228,23167266,21014336
2,302,映像・音響機械器具製造業,11,1049,656,1072,673,-,474202,1224134,1108664,977,9876,92125,2060440,1955568,85293,-,-,19579,775482,813878
2,303,電子計算機・同附属装置製造業,7,436,338,436,338,-,166245,272122,196713,1718,4498,49582,550879,475200,33418,21033,-,21228,254934,260382
1,310,輸送用機械器具製造業,63,18944,16614,19556,17200,-,11841477,80365853,76414519,134398,439737,2116897,144344648,141855258,1074201,36138,3467,1375584,56306962,59445587
2,311,自動車・同附属品製造業,40,14637,12991,15042,13378,-,9302279,59796321,57206544,112343,343348,1146502,88793675,88032451,558961,27673,1596,172994,25500760,26983293
2,312,鉄道車両・同部分品製造業,7,573,505,573,505,-,285213,503172,234193,612,4269,63497,1276069,1150397,64841,8465,1871,50495,702584,717933
2,313,船舶製造・修理業、舶用機関製造業,1,57,49,57,49,-,x,x,x,x,x,x,x,x,x,-,-,-,x,x
2,314,航空機・同附属品製造業,13,3555,2964,3762,3163,-,2165248,19618885,18716234,19943,88880,722881,53621428,52020014,449319,-,-,1152095,29971997,31553236
2,315,産業用運搬車両・同部分品・附属品製造業,2,122,105,122,105,-,x,x,x,x,x,x,x,x,x,-,-,-,x,x
1,320,その他の製造業,54,4526,3092,4591,3154,-,2399584,7812399,3236857,12102,75530,2824477,13506193,10845000,110719,37243,206,2513025,5120950,5392293
2,321,貴金属・宝石製品製造業,4,340,184,340,184,-,174012,732316,580638,172,2456,75676,995196,887131,19133,-,-,88932,241195,253752
2,322,装身具・装飾品・ボタン・同関連品製造業（貴金属・宝石製を除く）,5,190,107,191,107,-,78813,192264,101066,316,1687,45762,342742,251326,16350,-,-,75066,134949,140070
2,323,時計・同部分品製造業,3,311,254,316,259,-,x,x,x,x,x,x,x,x,x,x,-,x,x,x
2,324,楽器製造業,1,83,70,84,71,-,x,x,x,-,x,x,x,x,-,x,-,-,x,x
2,325,がん具・運動用具製造業,5,1129,829,1179,879,-,657305,2932422,504275,715,17864,1321661,4966393,3293956,268,5,-,1672164,1832549,1961246
2,326,ペン・鉛筆・絵画用品・その他の事務用品製造業,5,265,163,266,164,-,116279,302468,220892,549,10115,44965,554306,526290,-,-,-,28016,231637,237013
2,328,畳等生活雑貨製品製造業,4,173,83,173,83,-,65438,372747,356729,276,1081,12995,515627,513304,-,-,-,2323,121293,133500
2,329,他に分類されない製造業,27,2035,1402,2042,1407,-,1094825,2891618,1186940,8544,34825,1243651,5546367,4842144,71685,-,206,632332,2382011,2474067
,,,,,,,,,,,,,,,,,,,,,,
2019東京の工業　2019年工業統計調査報告（平成30年実績）,,,,,,,,,,,,,,,,,,,,,,
第2-1-a表　産業小分類別統計表（従業者30人以上の事業所）,,,,,,,,,,,,,,,,,,,,,,
産業分類階層（0：総数　1：産業中分類　2：産業小分類）,,,,,,,,,,,,,,,,,,,,,,
