事業所規模,産業,夏季／1人平均支給額(円),夏季／1人平均支給額／対前年比(％),夏季／支給事業所数割合(％),夏季／支給労働者数割合(％),夏季／平均支給月数(か月),夏季／平均支給月数／対前年支給月数差(か月),冬季／1人平均支給額(円),冬季／1人平均支給額／対前年比(％),冬季／支給事業所数割合(％),冬季／支給労働者数割合(％),冬季／平均支給月数(か月),冬季／平均支給月数／対前年支給月数差(か月)
30人以上,F16 印刷,474552,5.5,71.8,83.3,0.89,0.19,431370,-5,71.9,83.4,0.68,-0.11
30人以上,F17 化学,1201843,-11.6,92.4,91.1,2.15,-0.29,1144880,-17.5,98.5,93.2,2.17,-0.54
30人以上,F18 石油・石炭,1055189,42.2,100,100,2.8,0.58,1068491,24,100,100,2.81,0.26
30人以上,F19 プラスチック,620342,-7.7,100,100,1.66,-0.21,647370,-9.6,100,100,1.79,-0.25
30人以上,F20 ゴム,934481,2.5,100,100,2.13,-0.09,988954,5.1,100,100,3.35,1.01
30人以上,F21 なめし革,313393,-7.3,66.1,69.3,1.2,0,312498,29.8,66.1,67.9,1.19,0.33
30人以上,F22 窯業・土石,947586,1.3,63.6,88.7,1.88,0.02,903407,-1.6,63.6,91.4,1.81,-0.01
30人以上,F23 鉄鋼,1928249,-7.9,100,100,3.45,-0.19,1947016,0.3,100,100,3.52,0.14
30人以上,F24 非鉄金属,1144211,22,100,100,2.48,0.31,1143836,-3.8,100,100,2.45,0.05
30人以上,F25 金属製品,519410,56.2,100,100,1.25,0.45,525633,28.7,100,100,1.29,0.44
30人以上,F26 一般機械,1127617,-1.1,100,100,1.99,0.02,1108969,-1.9,100,100,1.97,0.04
30人以上,F27 電気機械,960287,-3.4,96.8,95,1.83,0.03,955454,-3.1,100,100,1.66,-0.18
30人以上,F28 情報通信機器,1241574,2.9,68.1,95.9,2.39,-0.42,1146633,-4.7,68.1,96,2.24,-0.03
30人以上,F29 電子部品・デバイス,1016524,7.6,99.5,96.5,1.93,0.54,933809,-1.7,100,100,1.73,-0.23
30人以上,F30 輸送用機器,900818,4.4,100,100,1.47,0.05,845082,5.8,100,100,1.46,-0.01
30人以上,F31 精密機器,843245,-1.4,100,100,1.54,0.1,898592,0.6,99.5,93,1.56,-0.06
30人以上,F32 その他,1060935,23.3,98.3,96.3,2.02,-0.15,753926,-6,97.9,96.2,1.84,-0.32
30人以上,J-1 卸売業,890593,0.1,92.8,93.7,1.71,-0.1,797240,-10.1,95.9,95.8,1.6,-0.04
30人以上,J-2 小売業,290681,3.4,88.6,84.8,0.86,0.02,301756,3.2,83.7,75.9,0.98,0.11
30人以上,Q80 専門サービス業（他に分類されないもの）,784339,-4.6,78.7,79.1,1.8,-0.27,867494,1,85.4,92.9,2.01,-0.22
30人以上,Q81 学術・開発研究機関,1030064,6.3,96.2,96.6,2.03,-0.01,958197,-1.5,100,100,2.1,0.02
30人以上,Q84 娯楽業,456358,-4.6,81,77.5,1.3,0.09,530061,-24.9,80.7,75.6,1.53,-0.48
30人以上,"Q86,87 自動車整備業、機械等修理業",583979,-3.2,100,100,0.96,-0.27,622898,-5.4,100,100,1.21,-0.05
30人以上,Q82 洗濯・理容・美容・浴場業,79209,-16.7,75.2,76.2,0.35,-0.08,116050,-1.7,92.8,91.7,0.58,0.06
30人以上,Q89 広告業,1063404,16.1,67.1,85.6,1.05,0.02,746896,16.2,56.6,74.3,1.06,-0.11
30人以上,QS-1 一括分,491904,-2.4,90.1,92.3,1.39,0,524037,-1,91.7,92.4,1.44,0.01
,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成20年確報,,,,,,,,,,,,,
第５表　夏・冬季賞与の産業別支給状況 （事業所規模３０人以上）,,,,,,,,,,,,,
