区分,応援協定の名称,担当局,締結日,構成団体又は締結先,協定の内容等,番号
ライフライン等の応急復旧対応,緊急輸送道路沿道建築物の耐震化に向けた連携に関する協定書,都市整備局,平成23年6月30日,（一社）東京都建築士事務所協会、（一社）日本建築構造技術者協会、特定非営利活動法人耐震総合安全機構,緊急輸送道路沿道建築物の所有者に対する相談体制の整備と普及啓発、耐震診断の実施、診断者の技術力向上に関すること等,8
ライフライン等の応急復旧対応,緊急輸送道路沿道建築物の耐震化に向けた連携に関する協定書,都市整備局,平成24年7月6日,（一社）東京建設業協会,緊急輸送道路沿道建築物の所有者に対する相談体制の整備と普及啓発、耐震改修の実施等,9
ライフライン等の応急復旧対応,緊急輸送道路沿道建築物の耐震化に向けた連携に関する協定書,都市整備局,平成25年12月25日,（一社）東京都中小建設業協会,緊急輸送道路沿道建築物の所有者に対する相談体制の整備と普及啓発、耐震改修の実施等,10
ライフライン等の応急復旧対応,緊急輸送道路沿道建築物の耐震化に向けた連携に関する協定書,都市整備局,平成25年1月17日,（株）みずほ銀行、みずほ信託銀行（株）,緊急輸送道路沿道建築物の所有者に対する相談体制の整備と普及啓発、耐震改修等の実施,11
ライフライン等の応急復旧対応,災害時における木造の応急仮設住宅の建設に関する協定書,都市整備局,平成25年7月11日,（一社）全国木造建設事業協会,災害時における応急仮設住宅の建設への協力,12
ライフライン等の応急復旧対応,災害時における応急復旧業務に関する協定,建設局,平成9年9月1日締結,東京しゅんせつ工事安全衛生連絡協議会,堤防・護岸の応急復旧、船舶による巡回・点検、費用負担等,13
ライフライン等の応急復旧対応,災害時における水門等の応急復旧業務に関する協定,建設局,平成9年10月1日締結,石川島播磨重工業（株）、川崎重工業（株）、（株）栗本鐵工所、佐藤鉄工（株）、大同機工（株）、（株）豊国工業東京支店、日立造船（株）、三菱重工業（株）,河川管理施設のうち、水門、閘門、樋門に対する災害時の応急復旧、費用負担等,14
ライフライン等の応急復旧対応,災害時における排水機場の応急復旧業務に関する協定,建設局,平成9年10月１日締結,（株）荏原製作所、（株）電業社機械製作所、（株）酉島製作所、新潟原動機（株）、（株）日立製作所、ヤンマー東日本（株）,河川管理施設のうち、排水機場に対する災害時の応急復旧、費用負担等,15
ライフライン等の応急復旧対応,災害時における応急業務に関する協定,建設局,平成21年9月9日,（一社）東京都造園緑化業協会,災害時における都立公園の応急対策業務への協力,16
ライフライン等の応急復旧対応,地震時における緊急点検等に関する協定,建設局,平成24年3月9日締結,（財）東京都環境整備公社（現（公財）東京都環境公社）,地震時における浮遊物の状況把握、河川管理施設の緊急点検、被災者等人員の輸送、救援物資等の貨物輸送及び費用負担等,17
ライフライン等の応急復旧対応,災害時等における情報収集業務等に関する協力協定,建設局,平成25年3月22日締結,（一社）東京道路清掃協会,災害時等における道路施設の情報収集及び点検,18
ライフライン等の応急復旧対応,災害時における応急対策業務に関する協定,港湾局,平成8年8月30日締結,（一社）日本埋立浚渫協会,港湾施設、海岸保全施設の緊急応急措置、費用負担等,19
ライフライン等の応急復旧対応,災害時における応急対策業務に関する協定,港湾局,平成8年8月30日締結,東京タグセンター,被害状況調査に必要な船舶の応援、危険水域の海上警戒、費用負担等,20
ライフライン等の応急復旧対応,災害時における水門門扉等の応急対策業務に関する協定,港湾局,平成22年9月30日締結,（株）ＩＨＩインフラシステム、豊国工業（株）、大同機工（株）、三菱重工鉄構エンジニアリング（株）、西田鉄工（株）,江東地区、中央地区内の水門門扉及び陸閘の緊急応急措置等／港地区、港南地区内の水門門扉及び陸閘の緊急応急措置等,２１／２２
ライフライン等の応急復旧対応,災害時における排水機場のポンプ等の応急対策業務に関する協定,港湾局,平成22年9月30日締結,（株）日立プラントテクノロジー、クボタ機工（株）、（株）荏原製作所,災害時における排水機場の各ポンプ機器及び主機関の緊急応急措置、費用負担等,23
ライフライン等の応急復旧対応,災害時における応急対策業務に関する協定,港湾局,平成25年10月16日締結,（一社）日本埋立浚渫協会／伊豆七島建設業協同組合,災害時における伊豆、小笠原諸島の空港、港湾及び漁港の応急対策業務等,24
ライフライン等の応急復旧対応,都立学校における震災時の電気設備等の応急対策業務に関する協定,教育庁,平成21年3月16日締結,（一社）東京電業協会／（一社）東京都電設協会,震災時における都立学校の電気設備の機能確保及び復旧対応,25
ライフライン等の応急復旧対応,都立学校における震災時の防水等の応急対策業務に関する協定,教育庁,平成22年6月23日締結,東京都塗装工業協同組合,震災時における都立学校の天井及び外壁等の防水機能確保及び復旧対応,26
ライフライン等の応急復旧対応,災害時における応急対策業務に関する細目協定,水道局,昭和54年8月31日締結,（一社）東京建設業協会,水道局の土木・建築施設の災害時の応急措置及び復旧等,27
ライフライン等の応急復旧対応,震災等非常災害時における水道工事用材料の供給に関する協定,水道局,平成22年4月30日,日本ダクタイル鉄管協会／日本ダクタイル異形管工業会／水道バルブ工業会／日本水道鋼管協会,災害時における水道工事用材料の供給,28
ライフライン等の応急復旧対応,災害時における給水装置の応急措置の協力に関する協定,水道局,平成24年7月26日,（一社）東京空調衛生工業会,災害時における給水装置の応急措置に係る協力,29
ライフライン等の応急復旧対応,災害時における水道施設等の応急措置の協力に関する協定,水道局,平成25年12月16日,東京都管工事工業協同組合,災害時における水道施設等の応急措置に係る協力,30
ライフライン等の応急復旧対応,災害時における水道施設等の応急措置の協力に関する協定,水道局,平成25年12月16日,協同組合東京都水道請負工事連絡会,災害時における水道施設等の応急措置に係る協力,31
ライフライン等の応急復旧対応,災害時における水道施設等の応急措置の協力に関する協定,水道局,平成24年7月30日,東京都水道専業者協会,災害時における水道施設等の応急措置に係る協力,32
ライフライン等の応急復旧対応,災害時における水道施設等の応急措置の協力に関する協定,水道局,平成24年5月24日,三多摩管工事協同組合,災害時における水道施設等の応急措置に係る協力,33
ライフライン等の応急復旧対応,地震災害等の発生時における業務の協力に関する協定,水道局,平成25年10月1日,（株）ＰＵＣ,災害時における水道局が行う業務に関する協力,34
ライフライン等の応急復旧対応,災害時における応急対策業務に関する細目協定,下水道局,平成13年9月4日締結,（一社）東京建設業協会,下水道局の土木・建築施設の災害時の応急措置及び復旧等,35
ライフライン等の応急復旧対応,災害時における下水道管路施設の応急復旧業務に関する協定,下水道局,平成13年10月1日締結,下水道メンテナンス協同組合,下水道施設のうち、管路等に対する災害時の応急措置及び復旧等,36
ライフライン等の応急復旧対応,災害時における水再生センター等の応急復旧業務に関する協定,下水道局,平成25年4月1日締結,（一社）東京下水道設備協会,下水道施設のうち、水再生センター等の設備機器に対する災害時の応急復旧、費用負担等,37
ライフライン等の応急復旧対応,災害時における処理場等の応急対策業務に関する協定,下水道局,平成13年12月1日締結,（一社）日本下水道施設管理業協会,下水道施設のうち、流域下水道本部の所管する水再生センター等の設備機器の運転等に対する災害時の応急対策、費用負担等,38
ライフライン等の応急復旧対応,災害時における排水設備の復旧に関する協定,下水道局,平成25年5月28日締結,東京都管工事工業協同組合,下水道施設のうち、排水設備に対する災害時の被害状況等の調査及び応急措置、復旧等,39
救出・救助関係,災害時における交通誘導、警戒業務に関する協定,警視庁,平成10年11月26日締結,（一社）東京都警備業協会,緊急交通路の確保に関する交通誘導警備、被災地の防犯パトロール、避難所等の警戒活動、費用負担等,40
救出・救助関係,災害時における救助・救急業務に関する協定,東京消防庁,昭和57年2月1日締結,（一社）東京建設業協会,災害時における迅速かつ円滑な救助救急資機材労力等の出動、費用負担等,41
救出・救助関係,災害時における救急用酸素の調達業務に係る協定,東京消防庁,平成24年12月1日締結,（一社）日本産業・医療ガス協会,救急用酸素調達に係る供給の要請方法、車両の走行の確保、不慮の事態の措置等,42
救出・救助関係,災害時における救急用酸素の調達業務に係る協定,東京消防庁,平成24年12月1日締結,商工組合日本医療機器協会,救急用酸素調達に係る供給の要請方法、車両の走行の確保、不慮の事態の措置等,42
救出・救助関係,災害時における救急用酸素の調達業務に係る協定,東京消防庁,平成24年12月1日締結,（一社）東京医薬品卸業協会,救急用酸素調達に係る供給の要請方法、車両の走行の確保、不慮の事態の措置等,42
救出・救助関係,災害時における救急用酸素の調達業務に係る協定,東京消防庁,平成25年7月1日締結,（一社）日本衛生材料工業連合会,救急用酸素調達に係る供給の要請方法、車両の走行の確保、不慮の事態の措置等,42
救出・救助関係,震災時における消防活動業務の協力に関する協定,東京消防庁,平成8年3月27日締結,東京セメント建材協同組合,コンクリートミキサー車による消火用水の搬送、防火水槽等への充水、建設資機材を活用した救助活動の支援作業等,43
救出・救助関係,震災時における消火活動業務に関する協定,東京消防庁,平成8年9月30日締結,コンクリート工業に係る７組合（東京都生コンクリート工業組合、東京地区生コンクリート協同組合、三多摩生コンクリート協同組合、東関東生コン協同組合、埼玉中央生コン協同組合、玉川生コンクリート協同組合、湘南生コンクリート協同組合）,コンクリートミキサー車による消火用水の搬送、防火水槽等への充水、建設資機材を活用した救助活動の支援作業等,44
救出・救助関係,震災時における消防職員及び消防資器材の搬送に関する協定,東京消防庁,平成8年6月28日締結,（公財）東京都公園協会,水路による消防職員消防資器材の搬送、実施方法、費用負担等,45
救出・救助関係,震災時における消防職員及び消防資器材の搬送に関する協定,東京消防庁,平成8年10月31日締結,屋形船東京都協同組合,水路による消防職員消防資器材の搬送、実施方法、費用負担等,46
救出・救助関係,災害救助犬団体等との協定,東京消防庁,平成9年7月1日締結,（社）ジャパンケネルクラブ／全国災害救助犬協会／日本災害救助犬協会（現日本救助犬協会）／日本レスキュー協会,災害救助犬による人命救助検索活動、費用負担等,47
救出・救助関係,震災等大規模災害等における傷病者の搬送業務に関する協定,東京消防庁,平成18年3月31日締結,東京民間救急コールセンター登録事業者連絡協議会,傷病者の搬送、費用負担等,48
救出・救助関係,大規模災害時における傷病者の搬送に関する協定,東京消防庁,平成18年9月８日締結,国際自動（株）,傷病者の搬送、費用負担等,49
医療・福祉関係,災害時の救護活動等についての協定,福祉保健局,平成26年3月27日締結,（公社）東京都柔道接骨師会,傷病者に対する応急救護の実施、衛生材料等の提供及び費用弁償等,50
医療・福祉関係,災害時等の航空機による医療搬送等業務の協力に関する協定,福祉保健局,平成13年3月1日締結,（一財）日本救急医療財団,災害時の航空機による被災者、医薬品、医療従事者の搬送,51
医療・福祉関係,災害時における医薬品等の調達業務に関する協定,福祉保健局,平成18年2月13日締結,（一社）東京医薬品卸業協会,医薬品等の調達及び費用弁償等,５２－（１）
医療・福祉関係,災害時における歯科用医薬品等の調達業務に関する協定,福祉保健局,平成18年2月13日締結,大東京歯科用品商協同組合,歯科用医薬品等の調達及び費用弁償等,５２－（２）
医療・福祉関係,災害時における医療ガス等の調達業務に関する協定,福祉保健局,平成19年10月1日締結,（一社）日本産業・医療ガス協会,酸素ガス及び液体酸素の調達及び使用にあたり必要となる資器材の等の提供、費用弁償等,５２－（３）
医療・福祉関係,災害時における医療機器等の調達業務に関する協定,福祉保健局,平成18年2月13日締結,商工組合日本医療機器協会,医療救護活動に必要な医療機器等の提供及び費用弁償等,５２－（４）
医療・福祉関係,災害時における衛生材料の調達業務に関する協定書,福祉保健局,平成18年2月13日締結,（一社）日本衛生材料工業連合会,医療救護活動、避難所等で使用される衛生材料の提供及び費用弁償等,５２－（５）
医療・福祉関係,災害時の救護活動等についての協定,福祉保健局,平成19年6月11日締結,（公社）東京助産師会,助産又は妊婦、じょく婦若しくは新生児の保健指導等,53
医療・福祉関係,災害時における要援護者の移送に関する協定,福祉保健局,平成19年6月11日締結,（一財）全国福祉輸送サービス協会東京都支部,被災地内の要援護者を他地区へ移送する場合における必要な車両の調達,54
医療・福祉関係,災害時の救護活動等についての協定,福祉保健局,平成24年10月30日締結,（公社）東京都看護協会,医療救護班の編成への協力、傷病者等に対する応急救護の実施等,55
医療・福祉関係,災害時における被災者の支援に関する協定,福祉保健局,平成25年7月11日締結,東京都生活衛生同業組合連合会,災害時における被災者の生活衛生に関する協力,56
医療・福祉関係,災害時における高齢者の生活支援等のための介護職員等派遣に関する協定,福祉保健局,平成25年8月12日締結,（社福）東京都社会福祉協議会／（一社）東京都老人保健施設協会,災害時における高齢者の生活支援等のための介護職員等派遣,57
火葬関係,災害時における遺体の搬送に関する協定,福祉保健局,平成11年6月30日締結,（一社）全国霊柩自動車協会,火葬場への遺体の搬送及び費用弁償等,５８－（１）／５８－（２）
火葬関係,災害時における遺体の搬送に関する協定,福祉保健局,平成13年７月10日締結,（一社）全日本冠婚葬祭互助協会,火葬場への遺体の搬送及び費用弁償等,５８－（１）／５８－（２）
火葬関係,災害時における遺体保存用ドライアイスの供給に関する協定,福祉保健局,平成11年6月30日締結,ドライアイスメーカー会／全日本ドライアイスディーラー会,遺体保存用ドライアイスの供給及び費用弁償等,59
火葬関係,災害時における火葬の実施に関する協定,福祉保健局,平成11年6月30日締結,東京博善（株）／（株）戸田葬祭場／（株）日華,遺体の火葬及び費用弁償等,60
火葬関係,災害時における棺等葬祭用品の供給に関する協定,福祉保健局,平成11年6月30日締結,全東京葬祭業連合会,棺等葬祭用品等の提供及び費用弁償等,61
火葬関係,災害時における棺等葬祭用品の供給に関する協定,福祉保健局,平成13年７月10日締結,（一社）全日本冠婚葬祭互助協会,棺等葬祭用品等の提供及び費用弁償等,61
帰宅支援関係,災害時における徒歩帰宅者支援に関する協定,総務局,平成16年8月5日締結,東京都石油商業組合,徒歩帰宅者に対する、水、トイレ情報提供等,62
帰宅支援関係,災害時における帰宅困難者支援に関する協定,総務局,,※締結日及び締結先は資料６－６２参照,帰宅困難者に対する、水道水、トイレ、情報提供等,63
帰宅支援関係,災害時における帰宅困難者支援に関する協定,総務局,,※締結日及び締結先は資料６－６３参照,帰宅困難者に対する、水道水、トイレ、情報提供、一時休憩所の提供等,64
輸送関係,震災時における船舶による輸送等に関する協定,建設局,平成19年1月11日締結,（公財）東京都公園協会,災害時における被災者等人員の輸送、救援物資等の貨物輸送、費用負担等,65
輸送関係,災害時における船舶による輸送等に関する協定,港湾局,平成8年7月1日締結,関東旅客船協会,被災者等人員の輸送、救援物資等の貨物輸送、被災者等の臨時宿泊施設、費用負担等,66
輸送関係,災害時における船舶による輸送等に関する協定,港湾局,平成8年12月27日締結,（一社）日本船主協会,被災者等人員の輸送、救援物資等の貨物輸送、被災者等の臨時宿泊施設、費用負担等,67
輸送関係,災害時における船舶による輸送等に関する協定,港湾局,平成8年8月28日締結,（一社）日本外航客船協会,被災者等人員の輸送、救援物資等の貨物輸送、被災者等の臨時宿泊施設、費用負担等,68
輸送関係,災害時における船舶による輸送等に関する協定,港湾局,平成8年7月1日締結,日本内航海運組合総連合会,救援物資等の貨物輸送、その他の船舶による応急対策業務、費用負担等,69
輸送関係,災害時における緊急物資受け入れ等に関する協定,港湾局,平成9年2月26日締結,（社）東京港運協会東京港港湾運送事業協同組合,緊急救護物資の受入れ、受入れ施設の指定、費用負担等,７０／７１
輸送関係,災害時の航空機による緊急輸送業務への協力に関する協定,港湾局,平成19年1月31日締結,調布空港協議会,航空機、航空燃料等の資機材及び操縦士、整備士等の労力等の提供、費用負担等,72
輸送関係,災害時の航空機による緊急輸送業務の協力に関する協定,港湾局,平成18年3月29日締結,東京ヘリポート協議会,航空機、航空燃料等の資機材及び操縦士、整備士等の労力等の提供、費用負担等,73
輸送関係,災害時における水上輸送基地の利用に関する協定,港湾局,平成13年3月31日締結,東京都漁業協同組合連合会／東京湾遊漁船業協同組合,災害における公共利用、被災者等人員の輸送、救護物資等の貨物輸送、船舶による応急対策業務、船舶の調達及び運航に関する事務、費用負担等,７４／７５
輸送関係,災害時における緊急物資の受入れ及び輸送等に関する協定,福祉保健局,平成24年10月31日締結,（一社）全国物流ネットワーク協会,広域輸送基地での緊急物資の荷役作業、広域輸送基地からの緊急物資の輸送等,76
輸送関係,災害時における施設使用等に関する協定,福祉保健局,平成24年10月31日締結,日本自動車ターミナル（株）,広域輸送基地の運営に必要な場所の提供、施設周辺等の被災状況の把握と情報提供等,77
物資調達関係,災害時における容器入飲料の調達に関する協定,総務局,平成17年10月27日締結,（一社）全国清涼飲料工業会,災害時における水、茶等の調達及び費用弁償等,78
物資調達関係,災害時等における緊急支援物資の保管及び荷役等に関する協定,総務局,平成25年5月24日締結,東京倉庫協会,災害時における緊急支援物資の保管及び荷役等の協力,79
物資調達関係,災害時における物資の調達支援協力に関する協定,総務局,平成26年3月11日締結,日本ＴＣＧＦ,災害時における物資の調達支援の協力,80
物資調達関係,大規模災害時における石油燃料の安定供給に関する協定,総務局,平成20年11月26日,石油連盟,災害時における防災上重要な施設等への石油燃料の安定的な供給,81
物資調達関係,大規模災害時における石油燃料の安定供給等に関する協定,総務局,平成25年1月17日,東京都石油業協同組合／東京都石油商業組合,災害時における防災上重要な施設等への石油燃料の安定的な供給,82
物資調達関係,災害時における応急対策用天幕等の確保に関する協定,財務局,平成8年3月1日締結,ティ・エス・ピー太陽（株）,災害時における応急収容施設としての天幕の調達,83
物資調達関係,災害時における応急生活物資供給等に関する基本協定,生活文化局,平成8年1月22日締結,東京都生活協同組合連合会,応急生活物資の調達と安定供給、医療・保健活動への支援等,84
物資調達関係,災害時におけるＬＰガス等の供給に関する協定,環境局,平成26年5月19日締結,（一社）東京都ＬＰガス協会,災害時における避難所へのＬＰガス等の供給,85
物資調達関係,災害時における食料品調達業務に関する協定,福祉保健局,平成12年6月19日締結,（一社）日本即席食品工業協会,災害時における都民生活に必要となる食料品（即席めん）の調達,86
物資調達関係,災害時における副食品（漬物、つくだ煮・煮豆）供給に関する協定,産業労働局,平成26年4月1日締結,全国調理食品工業協同組合／東京都漬物事業協同組合,災害時における都民生活に必要となる副食品（漬物、つくだ煮・煮豆）の調達,８７－（１）／８７－（２）
物資調達関係,災害時における調味料（味噌、醤油）供給に関する協定,産業労働局,平成26年4月1日締結,東京都味噌工業協同組合／全国味噌工業協同組合連合会／日本醤油協会,災害時における都民生活に必要となる調味料（味噌、醤油）の調達,８７－（３）／８７－（４）／８７－（５）
物資調達関係,異常災害等発生時における給食用米穀とう精及び輸送に関する協定,産業労働局,平成23年11月21日締結,（株）神明,災害時における給食用米穀の提供、とう精、輸送、費用負担等,88
物資調達関係,異常災害等発生時における給食用米穀とう精及び輸送に関する協定,産業労働局,平成23年11月22日締結,（株）ニュー・ノザワ・フーズ、（株）イクタツ,災害時における給食用米穀の提供、とう精、輸送、費用負担等,88
物資調達関係,異常災害等発生時における給食用米穀とう精及び輸送に関する協定,産業労働局,平成23年11月25日締結,三多摩食糧卸協同組合,災害時における給食用米穀の提供、とう精、輸送、費用負担等,88
物資調達関係,異常災害等発生時における給食用米穀とう精及び輸送に関する協定,産業労働局,平成23年11月30日締結,全農パールライス東日本（株）東京支店,災害時における給食用米穀の提供、とう精、輸送、費用負担等,88
物資調達関係,異常災害等発生時における給食用米穀とう精及び輸送に関する協定,産業労働局,平成23年12月１日締結,東京山手食糧販売協同組合、木徳神糧（株）,災害時における給食用米穀の提供、とう精、輸送、費用負担等,88
物資調達関係,異常災害等発生時における給食用米穀とう精及び輸送に関する協定,産業労働局,平成23年12月5日締結,（株）ヤマタネ,災害時における給食用米穀の提供、とう精、輸送、費用負担等,88
物資調達関係,異常災害等発生時における給食用米穀とう精及び輸送に関する協定,産業労働局,平成23年12月６日締結,東光食品（株）,災害時における給食用米穀の提供、とう精、輸送、費用負担等,88
物資調達関係,異常災害等発生時における給食用米穀とう精及び輸送に関する協定,産業労働局,平成23年12月９日締結,東京食糧（株）,災害時における給食用米穀の提供、とう精、輸送、費用負担等,88
物資調達関係,大規模災害時における生鮮食料品の調達に関する協定,中央卸売市場,平成13年6月6日,東京都水産物卸売業者協会／東京魚市場卸協同組合／築地市場青果連合事業協会／築地市場関連事業者等協議会,災害時における生鮮食料品の調達に関する協力,89
物資調達関係,大規模災害時における生鮮食料品の調達に関する協定,中央卸売市場,平成13年3月7日,東京新宿ベジフル（株）／淀橋市場青果卸売協同組合／淀橋市場関連事業者組合,災害時における生鮮食料品の調達に関する協力,89
物資調達関係,大規模災害時における生鮮食料品の調達に関する協定,中央卸売市場,平成13年3月15日,東京豊島青果（株）／豊島市場青果卸売協同組合／豊島市場関連事業者組合,災害時における生鮮食料品の調達に関する協力,89
物資調達関係,大規模災害時における生鮮食料品の調達に関する協定,中央卸売市場,平成13年3月19日,東京北魚（株）／大都魚類（株）千住支社／東京千住魚市場卸協同組合／足立市場関連事業者組合,災害時における生鮮食料品の調達に関する協力,89
物資調達関係,大規模災害時における生鮮食料品の調達に関する協定,中央卸売市場,平成13年3月26日,東京豊島青果（株）板橋支社／東京富士青果（株）／板橋市場青果卸売協同組合／板橋市場関連事業者組合／東京千住青果（株）／東京北足立市場青果卸売協同組合／東京都北足立市場関連事業者組合,災害時における生鮮食料品の調達に関する協力,89
物資調達関係,大規模災害時における生鮮食料品の調達に関する協定,中央卸売市場,平成13年3月29日,東京千住青果（株）葛西支社／葛西市場青果卸売協同組合,災害時における生鮮食料品の調達に関する協力,89
物資調達関係,大規模災害時における生鮮食料品の調達に関する協定,中央卸売市場,平成17年2月23日,東京荏原青果（株）／世田谷市場青果卸売協同組合／世田谷市場関連事業者組合,災害時における生鮮食料品の調達に関する協力,89
物資調達関係,大規模災害時における生鮮食料品の調達に関する協定,中央卸売市場,平成25年3月8日,多摩ニュータウン青果（株）,災害時における生鮮食料品の調達に関する協力,89
物資調達関係,大規模災害時における生鮮食料品の調達に関する協定,中央卸売市場,平成25年5月31日,多摩ニュータウン市場青果卸売協同組合,災害時における生鮮食料品の調達に関する協力,89
その他,災害時等における放送要請に関する協定,政策企画局,平成23年10月25日締結,アメリカン・フォーシズ・ネットワーク（ＡＦＮ）,災害時における公共への通知等,90
その他,アマチュア無線による災害時の情報収集活動に関する協定,総務局,平成19年3月1日,（一社）日本アマチュア無線連盟,災害時における情報収集活動及び費用負担等,91
その他,東京の防災力の向上のための連携協力に関する協定,総務局,平成26年5月29日,東京商工会議所,帰宅困難者対策の推進に係る防災説明会、セミナー等の実施、広報媒体を活用した普及啓発等,92
その他,復興まちづくりの支援に関する協定,総務局,平成19年１月11日締結,東京弁護士会、第一東京弁護士会、第二東京弁護士会、東京司法書士会、東京税理士会、東京都行政書士会、東京土地家屋調査士会、東京都社会保険労務士会、（一社）中小企業診断協会東京支部、（公社）東京都不動産鑑定士協会、（公社）日本建築家協会、（一社）東京都建築士事務所協会、（公社）日本技術士会、（一社）再開発コーディネーター協会,震災後の被災住民に対する法律相談・助言等,93
その他,復興まちづくりの支援に関する協定,総務局,平成22年3月26日締結,（一社）東京公共嘱託登記土地家屋調査士協会、（公社）東京公共嘱託登記司法書士協会、日本公認会計士協会東京会、日本弁理士会関東支部,震災後の被災住民に対する法律相談・助言等,93
その他,復興まちづくりの支援に関する協定,総務局,平成22年5月31日締結,（一社）全日本土地区画整理士会,震災後の被災住民に対する法律相談・助言等,93
その他,災害ボランティア活動支援に関する協定,生活文化局,平成25年3月31日,（社福）東京都社会福祉協議会,災害時における東京都災害ボランティアセンターの設置・運営等,94
その他,地震等大規模災害時における災害廃棄物の処理等の協力に関する協定書,環境局,平成19年12月25日,（一社）東京産業廃棄物協会,災害廃棄物の撤去、収集運搬等に関する協力等,95
その他,震災時における民間賃貸住宅の提供に関する協定,都市整備局,平成14年9月10日締結,（公社）東京都宅地建物取引業協会／全日本不動産協会東京都本部／（公社）東京共同住宅協会,災害時の利用可能な民間賃貸住宅についての情報提供と住宅提供の協力,96
その他,災害時における住宅復興に向けた協力に係る基本協定,都市整備局,平成17年9月1日締結,住宅金融公庫首都圏支店,被災住宅の早期復興のため、相談窓口の設置、住宅復興にかかる諸制度の周知等,97
その他,災害時における指定金融機関との取り決めについて,会計管理局,平成12年3月31日締結,（株）みずほ銀行（旧・富士銀行）,災害時における現金の支払体制、営業時間外の公金の取扱等,98
