番号,施設名,所在地,確保面積（ｍ２）,現況,備考
66,京浜島防災広場運動場,大田区京浜島２－１０,4875,グラウンド（公共等）,
67,丸子橋野球場,大田区田園調布本町３１多摩川左岸,,河川敷（野球場）,
68,多摩川緑地サッカー場,大田区田園調布５－５４先多摩川左岸,,河川敷（サッカー場）,
69,多摩川緑地野球場（西六郷４丁目）,大田区西六郷４－３３先多摩川左岸,,河川敷（野球場）,
70,ガス橋緑地少年サッカー場（下丸子３丁目）,大田区下丸子３－３０先多摩川左岸,2098,河川敷（サッカー場）,
71,ガス橋緑地少年野球場（下丸子２丁目）,大田区下丸子２－１３先多摩川左岸,4138,河川敷（野球場）,
72,東京都保健医療公社荏原病院ヘリポート,大田区東雪谷４－５－１０,340,屋上施設,東京都保健医療公社荏原病院
73,東京ガスグラウンド,大田区大森東３－２８－１,,グラウンド（公共等）,東邦大学医療センター大森病院
74,多摩川緑地広場硬式野球場Ａ面（旧巨人軍グラウンド）,大田区田園調布４－４４多摩川左岸,,河川敷（野球場）,
75,多摩川大師橋緑地野球場,大田区本羽田２－１４先,14795,河川敷（野球場）,
76,区民広場（西六郷三丁目）,大田区西六郷３－１３先多摩川左岸,,河川敷,
77,大田スタジアム,大田区東海１－２－１０,7202,野球場,
78,萩中公園野球場,大田区荻中３－２５－４６,14091,野球場,
79,六郷橋緑地野球場,大田区東六郷３丁目地先,2975,河川敷,
80,多摩川田園調布緑地サッカー場,大田区田園調布４丁目地先,3252,河川敷（サッカー場）,
81,大田区立東調布公園,大田区南雪谷５－１３－１,,公園,
82,多摩川大橋緑地,大田区矢口３丁目、多摩川２丁目先,,河川敷,
83,東糀谷第一公園,大田区東糀谷６－８－３０,,公園,
84,世田谷公園軟式野球場,世田谷区池尻１－５,7000,野球場,
85,都立駒沢オリンピック公園陸上競技場,世田谷区駒沢公園１－１,16000,競技場,国立病院機構東京医療センター
86,駒沢大学祖師谷グラウンド,世田谷区上祖師谷２－８,2000,大学グラウンド,
87,都立砧公園,世田谷区砧公園１－１,10000,公園,
88,都立祖師谷公園少年運動場,世田谷区上祖師谷３－２２－１９,2000,グラウンド（公共等）,至誠会第二病院、都立松沢病院
89,明治大学八幡山グラウンド,世田谷区八幡山２－１３－９,2000,大学グラウンド,
90,二子玉川緑地運動場,世田谷区鎌田１丁目先,,河川敷,
91,世田谷区立小泉公園,世田谷区駒沢２－４２,3431,公園,
92,世田谷区立赤松公園,世田谷区赤堤４－１０,3751,公園,
93,日本体育大学グラウンド,世田谷区深沢７－１,,大学グラウンド,
94,東京農業大学野球場,世田谷区桜丘１－１,4000,野球場,公立学校共済組合関東中央病院
95,成城学園グラウンド,世田谷区成城６－１,,高校グラウンド,
96,駒澤大学玉川校舎グラウンド,世田谷区宇奈根１－１,,大学グラウンド,
97,日本大学グラウンド,世田谷区桜上水３－２５－４０,,大学グラウンド,
98,日本女子体育大学グラウンド,世田谷区北烏山８－１９－１,,大学グラウンド,
99,多摩川３丁目先多摩川左岸河川敷,世田谷区多摩川３丁目先,,河川敷,
100,都立代々木公園競技場（織田フィールド）,渋谷区神南２－３－１,20400,競技場,
101,渋谷区立スポーツセンター,渋谷区西原１－４０－１,2000,グラウンド（公共等）,
102,都立広尾病院ヘリポート,渋谷区恵比寿２－３４－１０,1070,屋上施設,都立広尾病院
103,日本赤十字社医療センターヘリポート,渋谷区広尾４－１－２２,,屋上施設,日本赤十字社医療センター
104,東京大学教育学部附属中等教育学校校庭,中野区南台１－１５,10000,小中校庭,立正佼成会付属佼成病院、東京医療生活協同組合中野総合病院
105,都立武蔵丘高等学校校庭,中野区上鷺宮２－１４－１,,高校グラウンド,
106,中野区立上高田公園野球場,中野区上高田５－７－１,2025,野球場,東京警察病院
107,東京警察病院ヘリポート,中野区中野４－２２－１,,屋上施設,東京警察病院
108,中野区立緑野小学校運動場,中野区丸山１－１７１－１,3648,小中校庭,
109,都立和田掘公園陸上競技場,杉並区大宮１－６,2500,競技場,
110,済美山運動場広場,杉並区堀ノ内１－１５,5000,グラウンド（公共等）,
111,ＮＨＫ旧富士見ヶ丘運動場,杉並区久我山２－２－１,16000,グラウンド（公共等）,
112,杉並区立桃井原っぱ公園,杉並区桃井３－８－１,12000,公園,荻窪病院
113,杉並区立柏の宮公園,杉並区浜田山２－５－１,,公園,
114,杉並区立井草森公園,杉並区井草４－１２－１,8400,公園,
115,豊島区立総合体育場一帯,豊島区東池袋４,8000,グラウンド（公共等）,都立大塚病院
116,学習院大学グラウンド,豊島区目白,4000,大学グラウンド,
117,北区立中央公園野球場,北区十条台１－２－１,10000,野球場,
118,北区立十条富士見中学校校庭,北区十条台１－９－３３,,小中校庭,
119,荒川下流岩淵場外,北区志茂４－１９先、荒川河川敷,,ヘリポート,
120,荒川河川敷一帯,北区赤羽、赤羽北、岩淵町、浮間、志茂,151917,河川敷,
121,北区立北運動公園,北区神谷２－４７－６,23794,公園,
122,北区立赤羽スポーツの森公園,北区赤羽西５－２,35920,公園,
123,北区立赤羽自然観察公園,北区赤羽西５－２－３４,54020,公園,
124,新河岸東公園・浮間子どもスポーツ広場,北区浮間４－２７－１,,公園,
125,豊島五丁目遊び場,北区豊島５－６－１,7940,公園,
126,国立西が丘サッカー場,北区西が丘３－１５,,サッカー場,
127,東尾久運動場多目的広場,荒川区東尾久６－４６,,グラウンド（公共等）,東京女子医科大学東医療センター
128,都立尾久の原公園多目的広場第二サッカーグラウンド,荒川区東尾久７－１－１,,サッカー場,東京女子医科大学東医療センター
129,都立汐入公園多目的広場,荒川区南千住８－１３,,広場,
130,荒川区立南千住野球場,荒川区南千住６－４５,11319,野球場,
131,都立城北中央公園陸上競技場,板橋区桜川１－４,14000,競技場,東京都健康長寿医療センター
132,板橋区立城北公園野球場,板橋区坂下２－１９,,野球場,
133,板橋区立東板橋公園グラウンド,板橋区板橋３－５０－１,3000,野球場,帝京大学医学部附属病院
134,荒川戸田橋緑地草地広場,板橋区新河岸１－１５先,4000,河川敷,
135,荒川戸田橋緑地野球場,板橋区舟渡３丁目（番地不詳）,,野球場,
136,板橋区立小豆沢公園,板橋区小豆沢３－８,9300,公園,東京北社会保険病院
137,都立赤塚公園野球場,板橋区高島平３－１,4000,野球場,
138,帝京大学医学部附属病院ヘリポート,板橋区加賀２－１１－１,,屋上施設,帝京大学医学部附属病院
139,東京都保健医療公社豊島病院ヘリポート,板橋区栄町３３－１,,屋上施設,東京都保健医療公社豊島病院
140,板橋区役所屋上,板橋区板橋２－６６－１,,屋上施設,
141,都立城北中央公園野球場,練馬区氷川台１－６,,野球場,
142,都立城北中央公園陸上競技場,練馬区氷川台１－３－１,,競技場,日本大学医学部附属板橋病院
143,練馬区立練馬総合運動場,練馬区練馬２－２９－１０,5000,グラウンド（公共等）,
144,都立光が丘公園陸上競技場,練馬区光が丘４－１,12000,競技場,練馬光が丘病院
145,都立石神井公園内Ｂ地区野球場,練馬区石神井台１－２６－１,5000,野球場,
146,都立大泉中央公園陸上競技場,練馬区大泉学園町９－４－３,,競技場,
147,高野台運動場,練馬区高野台３－８－８,,グラウンド（公共等）,順天堂大学医学部附属練馬病院
148,練馬区役所屋上,練馬区豊玉北６－１２,,屋上施設,
149,豊島園,練馬区向山３－２５－１,2000,グラウンド（公共等）,
150,練馬区立松の風公園（旧日銀運動場）,練馬区石神井台１－３３,5000,グラウンド（公共等）,
151,足立区立千住新橋グラウンド（虹の広場）,足立区千住５－２２,,グラウンド（公共等）,
152,荒川西新井橋緑地グラウンド,足立区梅田３－５先,,河川敷,
153,都立東綾瀬公園東側野球場,足立区東綾瀬３－４,,野球場,東京都保健医療公社東部地域病院
154,都立東綾瀬公園西側野球場,足立区綾瀬６－３７,6000,野球場,
155,足立区立谷中公園野球場,足立区谷中２－２３－３６,6400,野球場,
156,足立区立平野運動場,足立区平野２－１２－１,2500,グラウンド（公共等）,
157,都立舎人公園管理事務所空地,足立区舎人公園,,空地,
158,都立舎人公園陸上競技場,足立区舎人公園,18000,競技場,西新井病院、博慈会記念総合病院
159,都立舎人公園野球場,足立区舎人公園,,野球場,
160,足立区立保木間公園,足立区竹の塚,8100,公園,苑田第一病院
161,総合スポーツセンター,足立区東保木間,10000,体育施設,
162,葛飾区立総合スポーツセンター陸上競技場,葛飾区奥戸７－１７－１,10000,競技場,東京慈恵会医科大学葛飾医療センター
163,都立水元公園駐車場,葛飾区水元公園４番地,11200,駐車場,
164,都立水元公園多目的広場,葛飾区東金町８－３１,10000,広場,
165,葛飾区立柴又公園（矢切の渡し）,葛飾区柴又７丁目（江戸川河川敷）,,河川敷,
166,新四つ木橋地区東岸,葛飾区東四つ木３丁目地先,10000,河川敷,
167,葛飾区立奥戸運動場,葛飾区高砂１、奥戸２,7000,グラウンド（公共等）,
168,葛飾区立新小岩公園,葛飾区西新小岩１－１－３,5000,公園,
169,都立葛西臨海公園第２駐車場,江戸川区臨海町６－２,,駐車場,順天堂大学医学部附属順天堂東京江東高齢者医療センター
170,都立葛西臨海公園多目的広場,江戸川区臨海町６－２,,広場,順天堂大学医学部附属順天堂東京江東高齢者医療センター
171,都立葛西海浜公園人口なぎさ,江戸川区臨海町６,,公園,
172,都立大島小松川公園（自由の広場）,江戸川区小松川１－７,,広場,
173,江戸川区臨海球技場第一,江戸川区臨海町１－１－２,,グラウンド（公共等）,東京臨海病院
174,江戸川区臨海球技場第二,江戸川区臨海町６－１,,グラウンド（公共等）,
175,江戸川区球場,江戸川区北小岩４－３８先江戸川右岸,,河川敷（野球場）,
176,江戸川区立篠崎緑地１９号地・１０号地,江戸川区篠崎町１－２６先,,空地,
177,都立篠崎公園野球場（第２面）,江戸川区上篠崎１－２５先,,野球場,江戸川病院
178,区営河川敷広場,江戸川区上篠崎１丁目先,,河川敷,
179,区営河川敷グラウンド,江戸川区上篠崎３丁目先,,河川敷,
180,鹿骨スポーツ広場,江戸川区上篠崎４－５,,広場,
181,北小岩４丁目グラウンド,江戸川区北小岩４丁目先,,河川敷,
182,清川河川敷広場,八王子市清川町１９先,6480,河川敷,
183,滝が原運動場,八王子市高月町２４０１多摩川右岸,62500,グラウンド（公共等）,
184,八王子市立由木中学校校庭,八王子市下柚木２－３４－２,8901,小中校庭,
185,西寺方グラウンド野球場,八王子市西寺方町６２６,12000,野球場,
186,拓殖大学グラウンド,八王子市館町８１５－１,5400,大学グラウンド,
187,共立女子学園グラウンド,八王子市元八王子町１－７１０,5346,大学グラウンド,
188,東海大学八王子病院へリポート,八王子市石川町１８３８,,屋上施設,東海大学八王子病院
189,元横山２号河川敷広場,八王子市田町４番地,7000,河川敷,東海大学八王子病院
190,八王子市立富士森公園陸上競技場,八王子市台町２－２,14000,競技場,
191,八王子市立大塚公園運動場,八王子市松が谷６６,5000,野球場,東京都保健医療公社多摩南部地域病院
192,東京医科大学八王子医療センターへリポート,八王子市館町１１６３,,屋上施設,東京医科大学八王子医療センター
193,首都大学東京南大沢キャンパスグラウンド,八王子市南大沢１－１,,大学グラウンド,
194,八王子市立上柚木公園陸上競技場,八王子市上柚木２丁目４０－１,,競技場,
195,国立病院機構災害医療センターヘリポート,立川市緑町３２５６,,屋上施設,国立病院機構災害医療センター
196,武蔵野陸上競技場,武蔵野市吉祥寺北町５－１１－２０,7000,競技場,
197,都立武蔵野中央公園,武蔵野市八幡町２－４－２２,10000,公園,
198,武蔵野赤十字病院ヘリポート,武蔵野市境南町１－２６－１,,屋上施設,武蔵野赤十字病院
199,三鷹市立第一中学校校庭,三鷹市下連雀９－１０－１,400,小中校庭,杏林大学医学部付属病院
200,三鷹市立大沢第二グラウンドサッカー場,三鷹市大沢５－２１,9600,サッカー場,
201,杏林大学医学部付属病院ヘリポート,三鷹市新川６－２０－２,,屋上施設,杏林大学医学部付属病院
202,立正佼成会青梅練成道場グラウンド,青梅市小曾木２－４５０,900,グラウンド（公共等）,
203,明星大学青梅キャンパスグラウンド,青梅市長淵２－５９０,3685,大学グラウンド,
204,青梅市市民球技場野球場,青梅市河辺町１－８７２－１,12600,野球場,青梅市立総合病院
205,青梅市立総合病院ヘリポート,青梅市東青梅４－１６－５,,屋上施設,青梅市立総合病院
206,青梅市立第六小学校校庭,青梅市二俣尾３－９０３－１,4141,小中校庭,
207,御岳山ヘリポート,青梅市御岳山長尾平以下不詳,,ヘリポート,
208,なちゃぎり林道ヘリポート,青梅市成木７－１１２８,,ヘリポート,
209,岨端沢林道ヘリポート,青梅市柚木町２－８８０,,ヘリポート,
210,都立武蔵野の森公園朝日サッカー場,府中市朝日町３,8000,サッカー場,公園は三鷹市、調布市、府中市にまたがる
211,東京競馬場・日吉体育館駐車場,府中市八幡町３－１１,,駐車場,
212,東京競馬場,府中市日吉町１,295000,競馬場,
213,稲城大橋河川敷,府中市押立町５丁目多摩川左岸,,河川敷,
214,関戸橋河川敷,府中市住吉町２丁目多摩川左岸,,河川敷,
215,府中市陸上競技場,府中市寿町２－２０,,競技場,
216,都立多摩・小児総合医療センターヘリポート,府中市武蔵台２－８－２９,,屋上施設,都立多摩・小児総合医療センター
217,府中市民球場,府中市寿町３丁目１８番,10000,野球場,
218,郷土の森公園（是政緑地）,府中市是政６丁目,,公園,
219,都立府中の森公園サッカー場,府中市浅間町１丁目,,サッカー場,
220,昭島市立大神公園・市立多摩川緑地くじら運動公園,昭島市宮沢町３－１７,10000,公園,
221,昭和の森ゴルフコース（アウトコース７番）,昭島市つつじが丘１－１－７,,ゴルフ場,
222,多摩川河川敷第１区（鶴川街道の上流左岸）,調布市布田町無番地,,河川敷,
223,多摩川河川敷第２区（京王閣の南）,調布市布田町無番地,22400,河川敷,
224,多摩川河川敷第３区（多摩川自然観察緑地）,調布市布田町無番地,,河川敷,
225,調布市立調布市民野球場,調布市染地２－４３－１,5000,野球場,東京慈恵会医科大学附属第三病院
226,調布市立調布中学校校庭,調布市富士見町４－１７－１,6400,小中校庭,
227,調布市立第八中学校校庭,調布市仙川町２－１５－２,3500,小中校庭,
228,調布市立第四中学校校庭,調布市若葉町３－１５－１,5625,小中校庭,
229,調布市立第三中学校校庭,調布市染地３－２－７,5625,小中校庭,
230,調布市立神代中学校校庭,調布市佐須町５－２６－１,4896,小中校庭,
231,調布市立布田小学校校庭,調布市染地１－１－８５,3750,小中校庭,
232,調布市立第三小学校校庭,調布市上石原２－１９－１３,3000,小中校庭,
233,調布市立北ノ台小学校校庭,調布市深大寺北町２－４１－１,2500,小中校庭,
234,神代植物公園,調布市深大寺元町５,,公園,
235,大町スポーツ施設大運動場,調布市菊野台３－２７－４,4951,運動場,
236,町田市立町田市民球場,町田市旭町３－２０－６０,5000,野球場,町田市民病院
237,町田市鶴見川クリーンセンター,町田市三輪緑山１－１,5000,ごみ処理場,
238,日本大学第三高等学校運動場,町田市図師町２３７５,5000,高校グラウンド,
239,法政大学プレイグラウンド,町田市相原町４３４２,3600,大学グラウンド,
240,町田市立野津田公園陸上競技場,町田市野津田２０３５,1000,競技場,
241,日向山公園野球場（藤の台球場）,町田市本町田３４８６,8000,野球場,
242,町田市立山崎第２スポーツ広場,町田市山崎町５６９－１,13000,広場,
243,町田市立町田中央公園,町田市旭町３－２０－６０,12000,公園,
244,町田市立リサイクルセンター,町田市下小山田町３１６０,5000,ごみ処理場,
245,上水公園,町田市桜町２－２,12250,公園,
246,都立小金井公園,小金井市関野町１,,公園,武蔵野赤十字病院
247,丸井小金井総合グラウンド,小平市花小金井８－２５－１,,グラウンド（公共等）,公立昭和病院
248,千代田区花小金井グラウンド,小平市花小金井南町３－２,11000,グラウンド（公共等）,
249,小平市立中央公園グラウンド,小平市津田町１－１,14000,グラウンド,
250,東光寺グラウンド,日野市栄町５－５先,5500,河川敷,
251,浅川スポーツ広場,日野市万願寺５－３先,4500,広場,
252,豊田児童グラウンド,日野市豊田１－３先,5000,河川敷,
253,多摩川総合グラウンド,日野市（新井）万願寺１－１－２先,4500,河川敷,
254,杉野女子大学日野キャンパス,日野市百草１００６,5000,大学グラウンド,
255,市民の森スポーツ公園,日野市日野本町７－１２,10000,グラウンド（公共等）,
256,日野市立多摩平第一公園,日野市多摩平４－２,,公園,日野市立病院
257,平山台健康・市民支援センター,日野市平山２－１－１,9310,グラウンド（公共等）,
258,万願寺中央公園グラウンド,日野市万願寺４－２０,7000,グラウンド（公共等）,
259,東村山市立東村山運動公園,東村山市恩多町１－５１－１,6400,グラウンド（公共等）,東京都保健医療公社多摩北部医療センター
260,経済産業研究所グラウンド,東村山市富士見町５－４－３６,,グラウンド（公共等）,
261,都立東村山中央公園,東村山市富士見町５丁目,,公園,
262,国分寺市立窪東公園,国分寺市東戸倉２－１９,4200,公園,
263,一橋大学グラウンド,国立市中２－１,,大学グラウンド,都立多摩・小児総合医療センター
264,多摩川河川敷グラウンド,国立市谷保９５４４,,河川敷,
265,福生市立多摩川中央公園,福生市北田園１－１７,3000,公園,
266,福生市立多摩川緑地福生南公園,福生市南田園１－１－１,26175,公園,
267,加美平野球場,福生市加美平１－２１,,野球場,公立福生病院
268,狛江市立多摩川緑地公園グラウンド,狛江市猪方４丁目先多摩川左岸,,河川敷,
269,防衛省共済組合狛江スポーツセンター,狛江市元和泉２－３０,16822,グラウンド（公共等）,
270,都立東大和南公園,東大和市桜が丘２－１０６－２,,公園,東大和病院
271,東大和市立第６小学校校庭,東大和市仲原１－５－１,4500,小中校庭,
272,東京都共済組合清瀬運動場,清瀬市竹丘３－１０－５,,グラウンド（公共等）,国立病院機構東京病院
273,東久留米市立滝山公園,東久留米市滝山２－４,5000,公園,
274,柳泉園組合グラウンド,東久留米市下里４－３－１０,5000,グラウンド（公共等）,
275,東京経済大学運動場,武蔵村山市学園５－２２－１,,大学グラウンド,
276,多摩市立多摩市東公園陸上競技場,多摩市諏訪４－９,,競技場,日本医科大学多摩永山病院
277,多摩市立関戸公園グラウンド,多摩市関戸３－５,5000,グラウンド（公共等）,
278,多摩市立一ノ宮公園,多摩市一ノ宮１０４９先,5000,河川敷,
279,宝野公園,多摩市落合５－５,7000,公園,
280,稲城市立中央公園総合グラウンド,稲城市長峰１－１,,競技場,稲城市立病院
281,九段尽性園グラウンド,稲城市押立１７２６－１,8100,グラウンド（公共等）,
282,日本大学商学部グラウンド,稲城市平尾１２８１番地,29000,大学グラウンド,
283,稲城市立南山グラウンド,稲城市東長沼２４０６番地１,69000,グラウンド（公共等）,
284,ふれんど平尾運動場,稲城市ふれんど平尾運動場,5126,運動場,
285,羽村市立宮ノ下運動公園,羽村市羽加美四丁目８７５番地先,,河川敷,
286,羽村市立江戸街道公園,羽村市五ノ神３４７,20525,公園,
287,学校法人菅生学園初等学校校庭,あきる野市菅生１４６８,,小中校庭,
288,市民運動場,あきる野市二宮６８３番地,,グラウンド（公共等）,
289,あきる野市立小和田グラウンド,あきる野市小和田８,5000,グラウンド（公共等）,
290,富士通株式会社あきる野テクノロジーセンター駐車場,あきる野市渕上５０番地,,駐車場,公立阿伎留医療センター
291,五日市カントリー,あきる野市網代７４５,,ゴルフ場,
292,立川国際カントリー,あきる野市草花２３９０,,ゴルフ場,
293,戸倉運動場,あきる野市戸倉６１１－１,,グラウンド（公共等）,
294,都立秋留台公園陸上競技場,あきる野市二宮,,競技場,
295,向台運動場,西東京市向台町５－４－４４,,グラウンド（公共等）,佐々総合病院
296,西東京市立文理台公園,西東京市東町一丁目４,9002,公園,
297,石畑公園,瑞穂町石畑,7000,公園,
298,瑞穂ビューパーク競技場,瑞穂町大字箱根ケ崎２４７５,11829,競技場,
299,町営第２グラウンド,瑞穂町箱根ケ崎西松原３－１,19300,グラウンド（公共等）,
300,亜細亜大学日の出グラウンド,日の出町平井１４６６,,大学グラウンド,公立阿伎留医療センター
301,日の出ヘリポート,日の出町平井谷戸沢廃棄物処理場,,ヘリポート,
302,谷戸沢グラウンド,日の出町平井３１４１,,グラウンド（公共等）,
303,檜原村ヘリポート,檜原村倉掛９４２８,,ヘリポート,
304,甲武トンネル待避所,檜原村南郷６０８１－６,,空地,
305,やすらぎの里（原則特異災害のみ）,檜原村三都郷２７１７,,空地,
306,数馬ヘリポート,檜原村数馬６８５８－２,,ヘリポート,
307,檜原総合グラウンド,檜原村三都郷,,グラウンド（公共等）,
308,東京消防庁奥多摩消防ヘリポート,奥多摩町氷川字栃久保１９３０－２外,,ヘリポート,
309,雲取山ヘリポート,奥多摩町日原１０２４－１,339,ヘリポート,
310,大丹波緊急離着陸場,奥多摩町大丹波５１６,,ヘリポート,
311,北蓑緊急離着陸場,奥多摩町川野１５２７,1359,ヘリポート,
312,登計原山林広場運動公園,奥多摩町氷川９４０,5600,公園,
313,小河内ダム緊急離着陸場,奥多摩町原５,,ヘリポート,
314,町立古里小学校校庭,奥多摩町小丹波７５,,小中校庭,
315,滝谷ノ峰ヘリポート（アララギ山）,奥多摩町日原孫惣谷滝谷ノ峰,,ヘリポート,
316,差木地ヘリコプター臨時着陸広場,大島町,,広場,
317,トウシキヘリコプター臨時着陸広,大島町,,広場,
318,利島臨時ヘリポート,利島村,,ヘリポート,
319,式根島臨時ヘリポート,新島村式根島,,ヘリポート,
320,神津島臨時ヘリポート,神津島村,,ヘリポート,
321,御蔵島臨時ヘリポート,御蔵島村,,ヘリポート,
322,冨士中学校,八丈町,,小中校庭,
323,冨士野球場,八丈町,,小中校庭,
324,大賀郷中学校,八丈町,,小中校庭,
325,三原中学校,八丈町,,小中校庭,
326,末吉中学校,八丈町,,小中校庭,
327,樫立小学校,八丈町,,小中校庭,
328,青ヶ島臨時ヘリポート,青ヶ島村,,ヘリポート,
329,母島臨時ヘリポート,小笠原村,,ヘリポート,
