災害拠点病院,ヘリコプター緊急離着陸場候補,所在地,現況
都立大塚病院,豊島区立総合体育場一帯,豊島区東池袋４,グラウンド
東京北社会保険病院,板橋区立小豆沢公園,板橋区小豆沢３－８,公園
東京女子医科大学東医療センター,東尾久運動場多目的広場,荒川区東尾久７－１－１,グラウンド
東京女子医科大学東医療センター,東尾久運動場多目的広場第二サッカーグラウンド,荒川区東尾久７－１－１,サッカー場
日本大学医学部附属板橋病院,都立城北中央公園陸上競技場競技場,練馬区氷川台１－３－１,競技場
東京都健康長寿医療センター,都立城北中央公園陸上競技場競技場,板橋区桜川１－４,競技場
東京都保健医療公社豊島病院,東京都保健医療公社豊島病院ヘリポート,板橋区栄町３３－１,屋上施設
帝京大学医学部附属病院,板橋区立東板橋公園グラウンド,板橋区板橋３－５０－１,野球場
帝京大学医学部附属病院,帝京大学医学部附属病院ヘリポート,板橋区加賀２－１１－１,屋上施設
練馬光が丘病院,都立光が丘公園陸上競技場,練馬区光が丘４－１,競技場
順天堂大学医学部附属練馬病院,高野台運動場,練馬区高野台３－８－８,グラウンド
博慈会記念総合病院,都立舎人公園陸上競技場,足立区舎人公園,競技場
西新井病院,都立舎人公園陸上競技場,足立区舎人公園,競技場
苑田第一病院,足立区立保木間公園,足立区竹の塚,公園
東京慈恵会医科大学葛飾医療センター,葛飾区立総合スポーツセンター陸上競技場,葛飾区奥戸７－１７－１,競技場
東京都保健医療公社東部地域病院,都立東綾瀬公園東側野球場,足立区東綾瀬３－４,野球場
東京臨海病院,江戸川区臨海球技場第一,江戸川区臨海町１－１－２,グラウンド
江戸川病院,都立篠崎公園野球場（第２面）,江戸川区上篠崎１－２５先,野球場
東京医科大学八王子医療センター,東京医科大学八王子医療センターへリポート,八王子市館町１１６３,屋上施設
東海大学八王子病院,東海大学医学部付属八王子病院へリポート,八王子市石川町１８３８,屋上施設
東海大学八王子病院,元横山２号河川敷広場,八王子市田町４番地,河川敷
町田市民病院,町田市立町田市民球場,町田市旭町３－２０－６０,野球場
青梅市立総合病院,青梅市市民球技場野球場,青梅市河辺町１－８７２－１,野球場
青梅市立総合病院,青梅市立総合病院ヘリポート,青梅市東青梅４－１６－５,屋上施設
公立福生病院,加美平野球場,福生市加美平１－２１,野球場
公立阿伎留医療センター,富士通株式会社あきる野テクノロジーセンター駐車場,あきる野市渕上５０番地,駐車場
公立阿伎留医療センター,亜細亜大学日の出グラウンド,日の出町平井１４６６,グラウンド
日野市立病院,日野市立多摩平第一公園,日野市多摩平４－２,公園
日本医科大学多摩永山病院,多摩市立多摩市東公園陸上競技場,多摩市諏訪４－９,競技場
東京都保健医療公社多摩南部地域病院,八王子市立大塚公園運動場,八王子市松が谷６６,野球場
稲城市立病院,稲城市立中央公園総合グラウン,ド稲城市長峰１－１,競技場
国立病院機構災害医療センター,国立病院機構災害医療センターヘリポート,立川市緑町３２５６,屋上施設
東大和病院,都立東大和南公園,東大和市桜が丘２－１０６－２,公園
都立多摩・小児総合医療センター,都立多摩・小児総合医療センターヘリポート,府中市武蔵台２－８－２９,屋上施設
都立多摩・小児総合医療センター,一橋大学グラウンド,国立市中２－１,グラウンド
東京慈恵会医科大学附属第三病院,調布市立調布市民野球場,調布市染地２－４３－１,野球場
武蔵野赤十字病院,武蔵野赤十字病院ヘリポート,武蔵野市境南町１－２６－１,屋上施設
武蔵野赤十字病院,都立小金井公園,小金井市関野町１,公園
杏林大学医学部付属病院,三鷹市立第一中学校校庭,三鷹市下連雀９－１０－１,校庭
杏林大学医学部付属病院,杏林大学医学部付属病院ヘリポート,三鷹市新川６－２０－２,屋上施設
公立昭和病院,丸井小金井総合グラウンド,小平市花小金井８－２５－１,グラウンド
佐々総合病院,向台運動場,西東京市向台町５－４－４４,グラウンド
東京都保健医療公社多摩北部医療センター,東村山市立東村山運動公園東,村山市恩多町１－５１－１,グラウンド
国立病院機構東京病院,東京都共済組合清瀬運動場,清瀬市竹丘３－１０－５,グラウンド
