事業名１,事業名２,事業名３,局名,事業の概要,２０１６（２８）主な取組,２０１６（２８）事業費（百万円）,２０１７（２９）主な取組,２０１７（２９）事業費（百万円）
54,１０－４２,列車無線のデジタル化,交通局,地下鉄４路線の列車無線をデジタル化へ移行を進めるとともに、切り替え時期までのアナログ無線の延命化を実施する。,・デジタル列車無線整備／→（設計・施工）大江戸線／→（設計）三田線・新宿線／・ＬＣＸケーブル敷設工事／→（施工）三田線・新宿線・大江戸線／・アナログ地上局延命化／→浅草線・三田線,32,・デジタル列車無線整備／→（地上局完了）大江戸線／→（施工）三田線・新宿線／・ＬＣＸケーブル敷設工事／→（施工）浅草線・三田線・新宿線・大江戸線／・アナログ地上局延命化／→浅草線,426
55,１０－４３,ＢＣＰ策定支援,産業労働局,中小企業のＢＣＰ策定に向けた支援を実施する。,・１６年度：普及啓発セミナー２回、策定講座１０回、フォローアップセミナー２回、専門家派遣等を実施,58,・普及啓発セミナー２回、策定支援講座１０回、フォローアップセミナー２回、専門家によるコンサルティング等を実施予定,58
56,１０－４４,先進的防災技術実用化支援,産業労働局,先進的防災技術の普及による都市防災力の向上と産業の活性化を図るため、都内中小企業者等が、自社で開発・製造した都市の防災力を高める優れた技術、製品・試作品の実用化及び販路開拓に係る支援を行う。,・１６年度採択件数３０件,32,・採択予定件数３０件,47
57,１０－４５,民間建築物のエレベーターの閉じ込め防止対策,都市整備局,都内のエレベーター所有者等に地震時の閉じ込め防止の必要性について、普及啓発を行う。,・都のホームページへの掲載等での普及啓発を実施,-,・都のホームページへの掲載等での普及啓発を実施,-
58,１０－４６,ポリ塩化ビフェニル廃棄物識別表示,環境局,震災に備え、トランス等ＰＣＢ廃電気機器が流出し災害廃棄物に混入した場合でも、迅速にＰＣＢ廃棄物であることが確認できるよう、都内の事業者が保管・使用しているＰＣＢ含有機器を対象にＰＣＢ識別ステッカーを貼付する。／また、ステッカーの貼付状況を確認するとともに、保管状況を調査し、ＰＣＢ廃棄物の適正な保管管理に関する普及啓発を図る。,・希望者等への配布を継続,-,・希望者等への配布を継続,-
59,１０－４７,放射性物質のモニタリング及び情報提供等,福祉保健局／産業労働局／港湾局,東日本大震災による福島第一原子力発電所の事故では、発電所から約２２０ｋｍ離れている東京においても、様々な影響を受けた。この経験を踏まえて、放射性物質等による影響について、都民の心理的動揺や混乱をできる限り低くするような対策を取る必要がある。／このため、放射性物質等による影響についてより円滑に対応できる体制を構築するとともに、都民が安心して生活できるよう正確な情報を提供することが必要である。,・放射性物質検査の実施及び結果の公表／正しい知識の普及を図るシンポジウム、講習会の開催／・引き続き大気浮遊塵の測定結果を随時ＨＰにより公表／・引き続き、農林水産物の放射性物質検査を実施、情報提供／・コンテナ表面、大気、海水の放射線量を週１回測定し、ＨＰに結果を掲載／・各コンテナふ頭に据置型放射線検知器を設置し、輸出コンテナの全量検査を実施,138,・放射性物質検査の実施及び結果の公表／正しい知識の普及を図るシンポジウム、講習会の開催／・引き続き大気浮遊塵の測定結果を随時ＨＰにより公表／・引き続き、農林水産物の放射性物質検査を実施、情報提供／・コンテナ表面、大気、海水の放射線量を測定し、ＨＰに結果を掲載／・各コンテナふ頭に据置型放射線検知器を設置し、輸出コンテナの全量検査を実施,160
60,１０－４８,放射線使用施設の安全対策,福祉保健局,医療法（昭和２３年法律第２０５号）第２５条に基づく立入検査により医療機関に対して震災発生時の対応マニュアルの整備と研修の実施状況の確認などの各種の震災対策の指導を行う。,・立入検査及び指導の継続的な実施,-,・立入検査及び指導の継続的な実施,-
61,１０－４９,児童養護施設の防災対策,福祉保健局,児童養護施設等において、防災設備の設置や避難訓練・消火訓練が法令に則って行われるよう指導を行うことで、非常災害時の入所児童の安全を図る。,・防災対策を事業計画に位置付け計画的に実施するよう指導を継続していく。／・具体的な災害を想定した訓練を計画し実施するよう指導を継続していく。,-,・防災対策を事業計画に位置付け計画的に実施するよう指導を継続していく。／・具体的な災害を想定した訓練を計画し実施するよう指導を継続していく。,-
62,１０－５０,広域火葬体制の整備,福祉保健局,大規模災害により、被災区市町村が平常時に使用している火葬場の火葬能力だけでは、当該区市町村の遺体の火葬を行うことが不可能となった場合に、都の調整のもとで都内全域及び近隣県等の火葬場を活用して広域的に火葬を行う体制の整備及び通信訓練を実施する。,・近隣県、都内火葬場等広域火葬に係る協定締結機関との通信訓練の実施,-,・近隣県、都内火葬場等広域火葬に係る協定締結機関との通信訓練の実施,-
63,１０－５１,都政のＢＣＰの推進,総務局,首都直下地震等の発生直後から行うべき応急対策業務や継続すべき通常業務及び業務に必要な人員・資機材等の資源等を定めた「都政のＢＣＰ」の持続的改善を図る。,・都政のＢＣＰ（震災編）改訂に向けた検討の実施,-,・ＢＣＭ委員会を適宜開催する,-
64,１０－５２,火気使用設備・器具等の安全化の推進,東京消防庁,火災予防条例は、火気使用設備・器具への対震安全装置等の設置及び対震安全装置の設置義務のある火気使用設備・器具の設置工事又は修理を業として行う者への知識・技術の習得（石油機器技術管理講習の受講）を義務付けている。これらの適切な維持管理等についての指導を推進し、地震時の出火防止を実現する。,・申請のあった対震安全装置の試験に立ち会い,1,・申請のあった対震安全装置の試験に立ち会い,1
66,１０－５４,危険物施設、危険物運搬車両の安全化,東京消防庁,地震に伴う災害の発生と拡大を防止するため、危険物施設や化学薬品等を取り扱う事業所に対して、ハード、ソフトの両面から震災対策を指導、検査することにより、危険物施設の総合的な防災体制を充実させる。／危険物を積載したタンクローリーやトラックは、大規模な地震が発生した場合、転倒や衝突により火災の発生や周囲への延焼拡大の要因となるおそれがある。／このため、検査時に危険物を輸送する車両の所有者等や運転者に、消防関係法令の遵守、点検の励行及び地震発生時の対応要領を確認、指導することにより、地震災害の未然防止を図る。,・危険物施設の完成検査、防火査察など危険物規制業務の実施,19,・危険物施設の完成検査、防火査察など危険物規制業務の実施,16
67,１０－６６,大規模危険物施設等に対する安全対策の充実,東京消防庁,東京２０２０大会に向け、羽田空港を利用する航空機の増加に伴い、航空機燃料貯蔵タンクの増設工事が計画されている。羽田空港は、危険物貯蔵取扱量の増強に伴い、石油コンビナート等防災区域に指定されるため、危険物管理、自衛防災組織及び消防隊による対応力を強化していく。,・危険物火災等に対応する消防車両及び資器材の整備の検討,-,・危険物火災等に対応する消防車両及び資器材の整備の検討,-
68,１０－６７,都民生活に必要な危険物の震災時における安全対策の充実,東京消防庁,震災時等においても燃料を供給する給油取扱所は、都民の求めに応じることが期待され、高層階に設置される非常用発電設備は事業継続等のため適切に機能する必要がある。避難所では危険物を使用する暖房や調理等を安全に行うためのマニュアル等を定めておく必要がある。これら都民生活に必要な危険物の震災時における安全対策を策定し、推進していく。,・高層階に設置される非常用発電設備に係る実態調査の実施,-,・高層階に設置される非常用発電設備に係る指導基準の策定／・給油取扱所及び避難所の運営に係る実態調査の実施,10
