年度,Fiscal year,会社名,Company name,系統,Line,旅客営業キロ Passanger rail length(km),駅数 Stations,旅客延千人キロ Total passenger-kilometers in thousands／総数 Total,旅客延千人キロ Total passenger-kilometers in thousands／定期 Commuter Pass,旅客延千人キロ Total passenger-kilometers in thousands／普通 Tickets
平成29,2017,東京急行電鉄,Tokyu Corporation,田園都市線,Den-En-Toshi Line,11.8,10,2215638,1522376,693262
平成29,2017,東京急行電鉄,Tokyu Corporation,大井町線,Oimachi Line,10.4,15,799944,494618,305326
平成29,2017,東京急行電鉄,Tokyu Corporation,池上線,Ikegami Line,10.9,15,363381,233796,129585
平成29,2017,東京急行電鉄,Tokyu Corporation,東急多摩川線,Tokyu Tamagawa Line,5.6,7,184187,119510,64677
平成29,2017,東京急行電鉄,Tokyu Corporation,世田谷線,Setagaya Line,5,10,50399,26605,23794
平成29,2017,京浜急行電鉄,Keikyu Corporation,,,18.3,20,1999716,1043175,956541
平成29,2017,京浜急行電鉄,Keikyu Corporation,本線,Main Line,11.8,14,1692073,963082,728991
平成29,2017,京浜急行電鉄,Keikyu Corporation,空港線,Airport Line,6.5,6,307643,80093,227550
平成29,2017,京王電鉄,Keio Corporation,,,77.6,66,7428423,4654565,2773858
平成29,2017,京王電鉄,Keio Corporation,京王線,Keio Line,64.9,50,6287249,3974114,2313135
平成29,2017,京王電鉄,Keio Corporation,井の頭線,Inokashira Line,12.7,17,1141174,680451,460723
平成29,2017,京成電鉄,Keisei Electric Railway,,,23.9,19,1280639,753429,527210
平成29,2017,京成電鉄,Keisei Electric Railway,本線,Main Line,15.7,12,837421,453159,384262
平成29,2017,京成電鉄,Keisei Electric Railway,押上線,Oshiage Line,5.7,6,417507,284041,133466
平成29,2017,京成電鉄,Keisei Electric Railway,金町線,Kanamachi Line,2.5,3,25711,16229,9482
平成29,2017,東武鉄道,Tobu Railway ,,,28.2,28,3071253,2077374,993879
平成29,2017,東武鉄道,Tobu Railway ,東武ｽｶｲﾂﾘｰﾗｲﾝ,Tobu Skytree Line,13.4,13,1479857,1003917,475940
平成29,2017,東武鉄道,Tobu Railway ,大師線,Daishi Line,1,2,5173,3371,1802
平成29,2017,東武鉄道,Tobu Railway ,亀戸線,Kameido Line,3.4,5,26129,19569,6560
平成29,2017,東武鉄道,Tobu Railway ,東上線,Tojo Line,10.4,10,1560094,1050517,509577
平成29,2017,北総鉄道,Hokuso Railway,,,2,2,30605,22205,8400
平成29,2017,北総鉄道,Hokuso Railway,北総線,Hokuso Line,2,2,30605,22205,8400
平成29,2017,高尾登山電鉄,Takao Tozan Railway,,,1.9,4,2125,26,2099
平成29,2017,高尾登山電鉄,Takao Tozan Railway,清滝高尾山,Kiyotaki-Takaosan,1,2,1367,26,1341
平成29,2017,高尾登山電鉄,Takao Tozan Railway,リフト,Chair Lift,0.9,2,758,0,758
平成29,2017,東京モノレール,Tokyo Monorail,,,17.8,11,549738,161305,388433
平成29,2017,御岳登山鉄道,Mitake Tozan Railway,,,1.1,4,558,6,552
平成29,2017,御岳登山鉄道,Mitake Tozan Railway,滝本御岳山,Takimoto-Mitakesan,1,2,489,6,483
平成29,2017,御岳登山鉄道,Mitake Tozan Railway,リフト,Chair Lift,0.1,2,69,-,69
平成29,2017,ゆりかもめ,Yurikamome Inc. ,,,14.7,16,249936,55036,194900
平成29,2017,東京臨海高速鉄道,Tokyo Waterfront Area Rapid TransitInc.,,,12.2,8,532955,271177,261778
平成29,2017,多摩都市モノレール,Tokyo Tama Intercity Monorail Co.， Ltd,,,16,19,263843,168971,94872
平成29,2017,首都圏新都市鉄道,Metropolitan Intercity Railway Company  ,,,13.2,7,949827,666546,283281
,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,
4-12　私鉄の運輸成績 (平成25～29年度) 4-12 TRANSPORTATION BY PRIVATE RAILWAYS ( Fiscal Years 2013-2017 ),,,,,,,,,,
この表は東京都内分である。,,,,,,,,,,
Figures refer only to Tokyo Metropolis.,,,,,,,,,,
注) 乗換駅を重複して数えているので， 会社別の駅数と路線別の駅の合計とは必ずしも一致しない。,,,,,,,,,,
Note: Since transit stations are counted in duplicate， the total number of stations by company and by line are not always the same.,,,,,,,,,,
資料：私鉄各社 Source: Private railway companies,,,,,,,,,,
