年次,Year,地域階層,地域コード,地域,District,施設数 Facilities／総数 Total,施設数 Facilities／公立 Public,施設数 Facilities／私立 Private,児童定員 Capacity／総数 Total,児童定員 Capacity／公立 Public,児童定員 Capacity／私立 Private,入所児童数 Children enrolled／総数 Total,入所児童数 Children enrolled／公立 Public,入所児童数 Children enrolled／私立 Private
平成29,2017,2,13222,東久留米市,Higashikurume-shi,19,9,10,1935,887,1048,1920,889,1031
平成29,2017,2,13223,武蔵村山市,Musashimurayama-shi,13,1,12,1979,146,1833,1899,125,1774
平成29,2017,2,13224,多摩市,Tama-shi,20,2,18,2597,242,2355,2523,228,2295
平成29,2017,2,13225,稲城市,Inagi-shi,14,4,10,1775,408,1367,1792,404,1388
平成29,2017,2,13227,羽村市,Hamura-shi,13,-,13,1275,-,1275,1281,-,1281
平成29,2017,2,13228,あきる野市,Akiruno-shi,15,3,12,1772,200,1572,1733,157,1576
平成29,2017,2,13229,西東京市,Nishitokyo-shi,34,17,17,3212,1732,1480,3152,1749,1403
平成29,2017,1,13300,郡部,All gun,15,2,13,1341,230,1111,1329,230,1099
平成29,2017,1,13350,島部,All islands,15,13,2,1086,966,120,738,629,109
,,,,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,,
18-4  地域別保育所の状況（平成25～29年） 18-4  CHILDREN DAY CARE CENTERS BY DISTRICT ( 2013-2017 ) ,,,,,,,,,,,,,,
各年4月1日現在。休止中の施設を除く。 ,,,,,,,,,,,,,,
As of April 1 of the year noted．Figures exclude facilities currently inactive.,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG    ,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,,
