年次,Year,地域階層,地域コード,地域,District,項番 Item number,消防署,Fire station,出場件数 Number of dispatches,出場件数 Number of dispatches／うち従事 of which engaged,救助人員 Persons rescued／総数 Total,救助人員 Persons rescued／重症 Severe injury,救助人員 Persons rescued／中等症 Moderate injury,救助人員 Persons rescued／軽症 Minor injury,救助人員 Persons rescued／無症 No injury,救助人員 Persons rescued／死亡 Death,誘導人員 Persons guided to safety,出場車両数 Vehicles deployed／総数 Total,出場車両数 Vehicles deployed／ポンプ車 Pumpers,出場車両数 Vehicles deployed／救助車 Rescue trucks,出場車両数 Vehicles deployed／化学車 Foam pumpers,出場車両数 Vehicles deployed／はしご車 Aerial ladders,出場車両数 Vehicles deployed／救急車 Ambulances,出場車両数 Vehicles deployed／指揮隊車 Command vans,出場車両数 Vehicles deployed／その他 Others 1),従事台数 Vehicles engaged,出場人員 Persons deployed,従事人員 Persons engaged
平成29,2017,2,13103,港区,Minato-ku,9,赤坂署,Akasaka F. Sta.,109,83,99,18,25,31,18,7,-,365,134,44,-,4,122,59,2,220,1525,913
平成29,2017,2,13103,港区,Minato-ku,10,高輪署,Takanawa F. Sta.,124,85,95,15,24,36,17,3,-,399,96,52,49,-,128,69,5,203,1724,885
平成29,2017,2,13109,品川区,Shinagawa-ku,11,品川署,Shinagawa F. Sta.,244,184,215,44,56,80,23,12,-,785,270,94,32,3,256,121,9,502,3187,2032
平成29,2017,2,13109,品川区,Shinagawa-ku,12,大井署,Oi F. Sta.,215,171,205,17,52,105,12,19,4,691,246,84,14,17,230,94,6,423,2838,1771
平成29,2017,2,13109,品川区,Shinagawa-ku,13,荏原署,Ebara F. Sta.,168,131,128,19,45,39,14,11,-,500,187,71,-,-,153,88,1,292,2164,1236
平成29,2017,2,13111,大田区,Ota-ku,14,大森署,Omori F. Sta.,340,267,305,36,67,146,38,18,1,1034,307,110,96,4,370,138,9,644,4312,2609
平成29,2017,2,13111,大田区,Ota-ku,15,田園調布署,Denencyofu F. Sta.,237,192,190,20,90,50,12,18,1,810,245,89,91,4,248,120,13,468,3251,1821
平成29,2017,2,13111,大田区,Ota-ku,16,蒲田署,Kamata F. Sta.,290,238,294,28,78,134,33,21,-,920,345,102,19,1,317,119,17,623,3767,2493
平成29,2017,2,13111,大田区,Ota-ku,17,矢口署,Yaguchi F. Sta.,159,117,121,15,44,36,9,17,-,493,151,57,38,2,158,76,11,276,2028,1081
平成29,2017,2,13110,目黒区,Meguro-ku,18,目黒署,Meguro F. Sta.,372,290,312,26,140,85,27,34,-,1234,451,155,12,4,397,201,14,726,5123,3024
平成29,2017,2,13112,世田谷区,Setagaya-ku,19,世田谷署,Setagaya F. Sta.,492,367,440,64,136,177,39,24,1,1561,510,204,66,2,530,238,11,898,6297,3473
平成29,2017,2,13112,世田谷区,Setagaya-ku,20,玉川署,Tamagawa F. Sta.,341,266,306,40,109,119,24,14,-,989,378,104,6,-,361,131,9,618,3875,2335
平成29,2017,2,13112,世田谷区,Setagaya-ku,21,成城署,Seijo F. Sta.,339,257,277,41,99,88,19,30,-,1080,404,137,-,4,353,172,10,644,4334,2481
平成29,2017,2,13113,渋谷区,Shibuya-ku,22,渋谷署,Shibuya F. Sta.,465,302,350,41,83,157,40,29,1,1567,577,208,-,11,493,252,26,714,6515,2936
平成29,2017,2,13104,新宿区,Shinjuku-ku,23,四谷署,Yotsuya F. Sta.,135,105,124,16,47,50,11,-,1,388,150,33,-,9,143,52,1,261,1524,998
平成29,2017,2,13104,新宿区,Shinjuku-ku,24,牛込署,Ushigome F. Sta.,148,101,108,20,39,34,9,6,-,454,164,55,-,2,151,79,3,248,1910,1011
平成29,2017,2,13104,新宿区,Shinjuku-ku,25,新宿署,Shinjuku F. Sta.,470,301,348,43,124,116,50,15,11,1552,544,216,-,4,490,279,19,747,6480,3062
平成29,2017,2,13114,中野区,Nakano-ku,26,中野署,Nakano F. Sta.,247,177,196,30,71,69,16,10,-,710,265,82,-,1,253,104,5,371,2902,1473
平成29,2017,2,13114,中野区,Nakano-ku,27,野方署,Nogata F. Sta.,254,167,172,28,64,47,11,22,1,890,272,128,49,5,260,166,10,439,3644,1779
平成29,2017,2,13115,杉並区,Suginami-ku,28,杉並署,Suginami F. Sta.,451,331,390,52,113,165,32,28,-,1307,480,157,1,1,469,194,5,720,5156,2796
平成29,2017,2,13115,杉並区,Suginami-ku,29,荻窪署,Ogikubo F. Sta.,356,280,305,36,98,112,27,32,1,1179,321,134,101,35,372,207,9,753,4767,3023
平成29,2017,2,13105,文京区,Bunkyo-ku,30,小石川署,Koishikawa F. Sta.,152,100,106,22,39,30,11,4,5,483,182,60,-,2,155,82,2,238,1989,947
平成29,2017,2,13105,文京区,Bunkyo-ku,31,本郷署,Hongo F. Sta.,101,69,78,21,26,22,3,6,-,330,119,38,-,2,111,59,1,166,1351,673
平成29,2017,2,13116,豊島区,Toshima-ku,32,豊島署,Toshima F. Sta.,249,185,209,31,71,56,20,31,3,859,317,112,-,5,263,140,22,519,3629,2140
平成29,2017,2,13116,豊島区,Toshima-ku,33,池袋署,Ikebukuro F. Sta.,250,166,170,19,51,72,14,14,2,792,285,113,-,3,258,130,3,389,3306,1604
平成29,2017,2,13117,北区,Kita-ku,34,王子署,Oji F. Sta.,212,164,158,26,42,51,17,22,-,734,203,113,43,7,227,137,4,455,3052,1876
平成29,2017,2,13117,北区,Kita-ku,35,赤羽署,Akabane F. Sta.,283,206,204,32,70,44,30,28,-,971,266,160,49,2,285,180,29,530,4089,2226
平成29,2017,2,13117,北区,Kita-ku,36,滝野川署,Takinogawa F. Sta.,126,92,95,19,26,28,17,5,-,416,145,56,1,2,128,79,5,228,1729,943
平成29,2017,2,13119,板橋区,Itabashi-ku,37,板橋署,Itabashi F. Sta.,376,294,348,51,105,126,36,30,-,1197,352,168,93,3,390,183,8,676,4906,2762
平成29,2017,2,13119,板橋区,Itabashi-ku,38,志村署,Shimura F. Sta.,497,362,364,50,111,143,26,34,-,1708,444,243,182,6,516,299,18,944,7020,3820
平成29,2017,2,13120,練馬区,Nerima-ku,39,練馬署,Nerima F. Sta.,304,226,241,42,79,62,32,26,-,961,214,132,127,2,309,175,2,536,4029,2253
平成29,2017,2,13120,練馬区,Nerima-ku,40,光が丘署,Hikarigaoka F. Sta.,197,135,162,19,57,66,16,4,1,654,222,89,-,5,215,121,2,354,2702,1418
平成29,2017,2,13120,練馬区,Nerima-ku,41,石神井署,Shakujii F. Sta.,406,287,300,45,111,85,21,38,-,1216,428,176,4,4,391,207,6,747,5024,3055
平成29,2017,2,13106,台東区,Taito-ku,42,上野署,Ueno F. Sta.,198,160,158,39,50,48,9,12,-,617,227,79,-,1,207,100,3,406,2689,1765
平成29,2017,2,13106,台東区,Taito-ku,43,浅草署,Asakusa F. Sta.,99,79,84,15,33,25,6,5,-,326,116,37,-,2,107,51,13,221,1358,904
平成29,2017,2,13106,台東区,Taito-ku,44,日本堤署,Nihonzutsumi F. Sta.,145,112,107,24,41,22,8,12,-,483,187,49,2,3,151,68,23,311,2057,1306
平成29,2017,2,13118,荒川区,Arakawa-ku,45,荒川署,Arakawa F. Sta.,161,103,94,22,30,19,11,12,-,601,220,83,15,4,163,103,13,286,2449,1169
平成29,2017,2,13118,荒川区,Arakawa-ku,46,尾久署,Ogu F. Sta.,89,74,85,9,36,32,2,6,-,285,64,34,40,1,92,43,11,169,1160,685
平成29,2017,2,13121,足立区,Adachi-ku,47,千住署,Senju F. Sta.,165,130,133,20,42,52,4,15,1,627,202,86,27,3,173,115,21,396,2570,1613
平成29,2017,2,13121,足立区,Adachi-ku,48,足立署,Adachi F. Sta.,527,401,451,84,116,145,49,57,1,1737,496,238,103,3,553,319,25,1008,7197,4129
平成29,2017,2,13121,足立区,Adachi-ku,49,西新井署,Nishiarai F. Sta.,379,309,316,45,91,119,23,38,-,1188,418,149,14,4,405,188,10,711,4754,2821
平成29,2017,2,13107,墨田区,Sumida-ku,50,本所署,Honjo F. Sta.,268,196,214,29,83,64,22,16,2,882,314,113,2,2,277,134,40,499,3745,2087
平成29,2017,2,13107,墨田区,Sumida-ku,51,向島署,Mukojima F. Sta.,247,183,189,31,69,59,11,19,-,779,189,110,96,2,254,119,9,452,3151,1786
平成29,2017,2,13108,江東区,Koto-ku,52,深川署,Fukagawa F. Sta.,379,297,366,45,94,168,34,25,3,1266,395,146,89,5,419,172,40,825,5106,3268
平成29,2017,2,13108,江東区,Koto-ku,53,城東署,Joto F. Sta.,383,313,352,31,120,123,33,45,1,1343,324,180,142,11,414,248,24,868,5431,3496
平成29,2017,2,13122,葛飾区,Katsushika-ku,54,本田署,Honden F. Sta.,550,455,501,59,188,158,46,50,-,1747,523,218,130,3,571,256,46,1139,7084,4479
平成29,2017,2,13122,葛飾区,Katsushika-ku,55,金町署,Kanamachi F. Sta.,237,185,198,38,66,50,20,24,1,856,156,116,159,5,248,147,25,498,3295,1958
平成29,2017,2,13123,江戸川区,Edogawa-ku,56,江戸川署,Edogawa F. Sta.,315,239,273,44,85,105,15,24,-,1127,257,140,156,4,342,175,53,691,4558,2749
平成29,2017,2,13123,江戸川区,Edogawa-ku,57,葛西署,Kasai F. Sta.,261,185,223,33,41,99,23,27,-,858,257,108,52,2,278,143,18,484,3433,1897
平成29,2017,2,13123,江戸川区,Edogawa-ku,58,小岩署,Koiwa F. Sta.,293,224,247,39,91,80,12,25,-,918,305,101,48,2,305,136,21,532,3639,2035
平成29,2017,3,,消防事務受託地区,Entrusted districts,,,,7023,5589,6100,898,1978,2351,455,418,3,20657,7254,1087,995,44,7477,3309,491,13421,81453,52725
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-16  消防署別救助活動状況（平成27～29年） 20-16  RESCUE OPERATIONS BY FIRE STATION ( 2015-2017 ）,,,,,,,,,,,,,,,,,,,,,,,,,,,,
この表は， 区部及び消防事務受託地区で， 東京消防庁が扱った件数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures refer to the number of cases handled by the Tokyo Fire Department in the special ward (ku) area and entrusted districts.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注 1) その他には次のものが含まれる。照明車，指揮統制車，水難救助車，救出救助車，ヘリコプター，消防艇。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: 1)  ""Others"" include floodlight trucks， command and operations vehicles， water rescue vehicles， heavy vehicles for rescue， fire helicopters， and fireboats.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：東京消防庁企画調整部企画課 Source: Tokyo Fire Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層(0:東京都総数　1:区部　2:区市町村　3:消防事務受託地区),,,,,,,,,,,,,,,,,,,,,,,,,,,,
