年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,飲食店 Eateries／総数 Total,飲食店 Eateries／旅館・ホテル Ryokan ･ hotel,飲食店 Eateries／バー・キャバレー Bars ･ cabarets,飲食店 Eateries／一般飲食店 Restaurant,飲食店 Eateries／民生食堂 Low-cost eatery,飲食店 Eateries／すし屋 Sushi restaurant,飲食店 Eateries／そば屋 Soba restaurant,飲食店 Eateries／仕出し屋 Caterer,飲食店 Eateries／弁当屋 Bento shop,飲食店 Eateries／そうざい店 Deli,飲食店 Eateries／その他 Others,喫茶店 Cafes／店舗 Shop,喫茶店 Cafes／その他 Others,乳類販売業 Dairy product sales,食肉販売業 Processed meat sales,魚介類販売業 Seafood sales,食料品等販売業 Food sales,アイスクリーム販売業 Ice cream sales,菓子販売業 Confectionery sales,魚介類加工品販売業 Fishery products sales
平成29,2017,2,13113,13,渋谷区,Shibuya-ku,10014,92,747,7849,-,167,159,33,200,198,569,251,883,889,448,422,1056,343,1100,290
平成29,2017,2,13114,14,中野区,Nakano-ku,3778,3,172,2937,1,127,105,24,122,100,187,42,214,461,301,294,472,344,699,299
平成29,2017,2,13115,15,杉並区,Suginami-ku,5734,12,95,4457,-,124,147,58,221,253,367,65,225,693,451,437,774,713,752,389
平成29,2017,2,13116,16,豊島区,Toshima-ku,6959,95,529,5157,1,152,177,46,222,251,329,103,395,798,460,433,850,302,768,314
平成29,2017,2,13117,17,北区,Kita-ku,4050,15,175,3023,-,84,101,43,188,203,218,35,270,601,340,314,559,558,642,396
平成29,2017,2,13118,18,荒川区,Arakawa-ku,2323,14,29,1649,3,62,88,31,122,223,102,22,138,351,215,194,326,383,497,229
平成29,2017,2,13119,19,板橋区,Itabashi-ku,4766,4,77,3447,1,103,144,66,269,248,407,37,437,892,522,500,846,702,840,163
平成29,2017,2,13120,20,練馬区,Nerima-ku,4673,4,164,3209,-,111,166,88,270,250,411,64,282,836,556,526,836,596,809,460
平成29,2017,2,13121,21,足立区,Adachi-ku,6178,33,44,4201,-,136,201,82,342,633,506,41,404,1010,678,696,1134,885,1250,214
平成29,2017,2,13122,22,葛飾区,Katsushika-ku,4578,11,166,3011,-,100,170,46,247,491,336,40,255,692,455,427,686,980,754,498
平成29,2017,2,13123,23,江戸川区,Edogawa-ku,5932,35,264,4069,-,144,143,48,319,238,672,46,309,929,656,648,955,781,989,482
平成29,2017,1,13200,,市部,All shi,33115,243,1018,22597,-,793,846,390,1603,1541,4084,513,3542,6284,3397,3300,6416,6779,7260,5212
平成29,2017,2,13201,1,八王子市,Hachioji-shi,4919,46,219,3287,-,109,104,48,165,140,801,65,562,912,480,481,946,864,1033,690
平成29,2017,2,13202,2,立川市,Tachikawa-shi,2561,31,157,1710,-,42,53,14,103,102,349,35,275,376,205,202,375,370,580,348
平成29,2017,2,13203,3,武蔵野市,Musashino-shi,2407,8,106,1815,-,52,43,16,84,109,174,51,211,284,152,150,343,475,509,225
平成29,2017,2,13204,4,三鷹市,Mitaka-shi,1045,-,13,725,-,41,37,17,47,50,115,16,141,262,140,131,268,317,334,151
平成29,2017,2,13205,5,青梅市,Ome-shi,1508,45,13,716,-,38,41,19,40,59,537,20,137,228,123,127,286,140,203,60
平成29,2017,2,13206,6,府中市,Fuchu-shi,2140,15,48,1397,-,47,62,22,73,96,380,37,344,468,211,223,450,450,411,381
平成29,2017,2,13207,7,昭島市,Akishima-shi,911,9,7,669,-,28,21,14,50,39,74,15,163,196,105,108,199,184,269,175
平成29,2017,2,13208,8,調布市,Chofu-shi,1738,2,23,1289,-,52,63,16,101,63,129,30,134,311,198,188,351,474,237,311
平成29,2017,2,13209,9,町田市,Machida-shi,2937,23,143,1839,-,63,71,31,174,240,353,35,255,645,328,318,593,626,867,663
平成29,2017,2,13210,10,小金井市,Koganei-shi,767,1,6,571,-,16,19,11,44,36,63,17,54,138,87,77,161,214,207,191
平成29,2017,2,13211,11,小平市,Kodaira-shi,1233,3,6,751,-,31,32,17,77,61,255,16,146,287,146,141,261,310,179,450
平成29,2017,2,13212,12,日野市,Hino-shi,1022,2,8,639,-,24,29,21,67,43,189,13,155,235,122,126,230,176,196,92
平成29,2017,2,13213,13,東村山市,Higashimurayama-shi,1065,11,35,759,-,36,32,12,60,52,68,15,83,192,105,105,162,136,179,113
平成29,2017,2,13214,14,国分寺市,Kokubunji-shi,1024,4,32,794,-,22,25,7,50,27,63,14,60,151,80,73,164,189,101,162
平成29,2017,2,13215,15,国立市,Kunitachi-shi,641,5,4,484,-,13,19,7,32,36,41,13,58,120,70,63,117,107,156,107
平成29,2017,2,13218,16,福生市,Fussa-shi,774,2,68,613,-,16,13,4,20,19,19,4,37,88,60,58,91,84,152,42
平成29,2017,2,13219,17,狛江市,Komae-shi,437,1,3,308,-,14,16,11,25,29,30,4,31,87,59,52,85,250,109,131
平成29,2017,2,13220,18,東大和市,Higashiyamato-shi,555,3,12,377,-,16,21,7,49,36,34,11,43,118,70,63,113,80,109,46
平成29,2017,2,13221,19,清瀬市,Kiyose-shi,463,-,9,322,-,12,13,12,30,24,41,7,46,113,56,51,104,73,90,54
平成29,2017,2,13222,20,東久留米市,Higashikurume-shi,641,1,5,423,-,26,19,12,53,52,50,13,71,158,103,100,181,117,150,98
平成29,2017,2,13223,21,武蔵村山市,Musashimurayama-shi,453,3,2,322,-,14,19,17,25,25,26,10,70,111,70,64,115,73,104,71
平成29,2017,2,13224,22,多摩市,Tama-shi,992,10,21,677,-,21,20,13,75,60,95,24,155,221,102,99,251,169,186,88
平成29,2017,2,13225,23,稲城市,Inagi-shi,394,-,1,278,-,5,13,7,30,27,33,17,45,114,60,53,109,61,70,32
平成29,2017,2,13227,24,羽村市,Hamura-shi,691,1,46,527,-,16,11,6,23,23,38,4,109,103,56,54,97,75,139,40
平成29,2017,2,13228,25,あきる野市,Akiruno-shi,542,13,-,375,-,15,21,13,33,40,32,14,61,129,74,64,133,111,142,28
平成29,2017,2,13229,26,西東京市,Nishitokyo-shi,1255,4,31,930,-,24,29,16,73,53,95,13,96,237,135,129,231,654,548,463
平成29,2017,1,13300,,郡部,All gun,534,37,-,363,-,12,23,8,16,32,43,12,69,147,78,70,179,221,367,71
平成29,2017,1,13500,,島部,All islands,1089,417,10,460,-,18,11,9,56,51,57,17,6,122,83,106,175,170,212,139
,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,,,,,,,,,,,,
19-8  食品衛生営業施設数 (平成25～平成29年度末) 19-8  BUSINESS FACILITIES REGULATED BY THE FOOD SANITATION ACT ( End of Fiscal Years 2013-2017 )  ,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,,,,,,,,,,,,,,
