年度,Fiscal year,地域コード,項番 Item number,地域,District,総額 Total,地方税 Local taxes,地方譲与税 Local transfer tax,利子割交付金 Interest grants,配当割交付金等 Dividend grants,地方消費税 交付金 Local consumption tax allocations,ゴルフ場利用税交付金 Golf facilities tax allocations,特別地方消費税交付金 Special local consumption tax allocations,自動車取得税交付金 Automobile acquisition tax allocations,地方特例交付金 Special local grants,地方交付税 Local allocation tax,交通安全対策特別交付金 Special grants for traffic safety measures,分担金及び負担金 Beneficiary contribution,使用料 Facility use charges,手数料 Fees,国庫支出金 National treasury disbursements,国有提供施設等所在市町村助成交付金 Subsidies to municipalities where national facilities are located,都支出金 Metropolitan disbursements,財産収入 Revenue from property,寄附金 Contributions,繰入金 Funds transferred,繰越金 Balance brought forward,諸収入 Miscellaneous,地方債 Municipal bonds
平成29,2017,13214,14,国分寺市,Kokubunji-shi,56640,22564,176,46,383,2442,-,-,101,72,53,10,661,660,412,8448,-,7103,108,56,9688,1219,814,1625
平成29,2017,13215,15,国立市,Kunitachi-shi,29943,14963,114,30,244,1529,-,-,66,46,74,9,275,428,376,4815,-,4346,138,97,283,762,389,960
平成29,2017,13218,16,福生市,Fussa-shi,26594,8001,90,15,121,1182,-,-,52,32,2186,9,253,187,191,5649,1627,3691,17,2,1418,1113,142,616
平成29,2017,13219,17,狛江市,Komae-shi,28583,12077,110,27,223,1524,-,-,63,58,1546,7,296,260,331,4234,-,4282,32,91,395,1251,243,1531
平成29,2017,13220,18,東大和市,Higashiyamato-shi,33029,12672,145,23,188,1687,-,-,83,75,1873,11,390,140,335,6411,-,4871,5,6,770,1598,286,1462
平成29,2017,13221,19,清瀬市,Kiyose-shi,30939,9507,115,19,153,1464,-,-,66,61,3881,7,211,217,173,6166,34,4632,13,29,890,1045,157,2100
平成29,2017,13222,20,東久留米市,Higashikurume-shi,40893,16793,184,32,264,2276,-,-,105,94,2746,14,364,398,329,7482,-,6106,159,75,129,785,437,2124
平成29,2017,13223,21,武蔵村山市,Musashimurayama-shi,29315,10317,124,16,128,1473,-,-,71,69,1784,10,294,127,137,6262,465,4788,15,7,793,641,342,1451
平成29,2017,13224,22,多摩市,Tama-shi,56824,28630,249,46,376,3127,32,-,144,97,66,14,606,344,662,8435,26,7035,1490,12,1457,2089,435,1452
平成29,2017,13225,23,稲城市,Inagi-shi,32150,15131,148,29,239,1722,78,-,85,74,727,9,382,356,330,4588,244,5377,32,11,277,651,278,1381
平成29,2017,13227,24,羽村市,Hamura-shi,23481,10252,101,15,125,1211,-,-,58,42,114,7,250,203,197,3545,255,3301,22,1,2287,605,308,582
平成29,2017,13228,25,あきる野市,Akiruno-shi,30618,10765,172,19,157,1615,54,-,98,66,3779,12,404,167,271,4489,-,5644,748,18,115,406,194,1423
平成29,2017,13229,26,西東京市,Nishitokyo-shi,71805,31708,273,63,520,3896,-,-,156,149,3030,18,606,645,426,12141,-,9097,63,139,2360,1670,435,4408
平成27,2015,13300,,郡部,All gun,33233,10466,162,45,107,1471,-,-,73,40,4007,14,190,253,271,2771,752,8418,227,16,789,885,1285,990
平成28,2016,13300,,郡部,All gun,33566,10221,161,12,62,1321,-,-,73,41,4103,13,205,269,263,2543,788,8417,243,13,1331,1023,1256,1208
平成29,2017,13300,,郡部,All gun,34757,10152,160,13,104,1332,-,-,92,44,4156,13,215,275,266,2820,788,9064,190,12,1164,1177,1271,1452
平成29,2017,13303,1,瑞穂町,Mizuho-machi,15225,6573,78,8,64,783,-,-,45,29,77,8,64,80,156,1736,788,2339,26,0,837,558,128,850
平成29,2017,13305,2,日の出町,Hinode-machi,9153,2645,42,4,29,390,-,-,24,14,1064,3,124,51,81,814,-,2016,102,0,16,244,1043,446
平成29,2017,13307,3,檜原村,Hinohara-mura,3810,208,10,0,3,47,-,-,6,0,1282,1,6,22,8,95,-,1654,18,6,211,149,29,55
平成29,2017,13308,4,奥多摩町,Okutama-machi,6569,726,29,1,8,112,-,-,17,1,1733,1,21,122,20,176,-,3055,45,5,100,225,72,100
平成27,2015,13350,,島部,All islands,38990,3375,193,22,52,675,1,-,81,4,10995,10,61,938,258,2932,144,12086,180,70,1476,1123,868,3448
平成28,2016,13350,,島部,All islands,37864,3439,191,6,31,587,1,-,81,3,11139,10,35,929,283,2581,135,11615,141,117,1622,1388,830,2701
平成29,2017,13350,,島部,All islands,39225,3446,191,6,51,580,1,-,102,4,11104,9,30,952,292,2309,131,12983,130,117,2043,1050,871,2822
平成29,2017,13361,1,大島町,Oshima-machi,9707,954,58,2,14,169,1,-,33,2,2242,3,20,157,112,682,-,3578,17,3,406,30,217,1006
平成29,2017,13362,2,利島村,Toshima-mura,1925,48,2,0,1,8,-,-,1,0,355,-,-,19,0,120,-,696,4,0,507,15,100,49
平成29,2017,13363,3,新島村,Niijima-mura,4782,341,18,1,5,61,-,-,10,0,1389,1,-,102,10,364,17,1570,27,0,205,192,68,402
平成29,2017,13364,4,神津島村,Kozushima-mura,3014,232,8,0,3,42,-,-,5,0,905,1,0,40,16,125,-,1215,5,3,39,67,78,229
平成29,2017,13381,5,三宅村,Miyake-mura,4139,347,19,1,5,56,-,-,11,0,1309,1,-,77,113,184,-,1324,16,1,218,135,55,266
平成29,2017,13382,6,御蔵島村,Mikurajima-mura,1452,53,1,0,1,8,-,-,1,-,416,-,1,20,0,36,-,299,2,0,213,275,113,14
平成29,2017,13401,7,八丈町,Hachijo-machi,8116,937,73,2,13,163,-,-,35,1,2568,3,3,216,18,373,-,2835,2,103,5,123,74,571
平成29,2017,13402,8,青ヶ島村,Aogashima-mura,949,37,4,0,1,4,-,-,2,-,319,-,-,11,0,6,-,455,2,0,-,34,73,-
平成29,2017,13421,9,小笠原村,Ogasawara-mura,5141,497,7,1,9,69,-,-,4,0,1601,-,6,311,23,418,114,1010,55,7,449,181,92,285
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,,,,   ,,,,,,,,
21-6 市町村普通会計決算額 (1) 歳入 (平成27～29年度) 21-6  SETTLEMENTS OF THE ORDINARY ACCOUNTS OF SHI， MACHI， AND MURA (1) REVENUE ( Fiscal Years 2015-2017 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注) 配当割交付金等に株式等譲渡所得割交付金を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Dividend grants include stock etc. transfer income grants. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都総務局行政部市町村課 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
