事業階層,事業,Program,施設総数 Total facilities,公営 Public management／施設数 Facilities,公営 Public management／定員 Capacity,公営 Public management／在所者数 Service users,私営 Private management／施設数 Facilities,私営 Private management／定員 Capacity,私営 Private management／在所者数 Service users
2,児童発達支援センター（医療型）,Child development support centers (medical care type),5,4,145,211,1,35,56
2,情緒障害児短期治療施設,Short-term rehabilitation homes for children with emotional disorders,-,-,-,-,-,-,-
2,児童自立支援施設,Children's self-reliance support facilities,2,2,252,141,-,-,-
2,児童家庭支援センター,Child and family support centers,-,-,…,…,-,…,…
2,小型児童館,Child centers (small size),372,313,…,…,59,…,…
2,児童センター,Child centers,220,167,…,…,53,…,…
2,大型児童館A型,Large child centers type A,-,-,…,…,-,…,…
2,大型児童館B型,Large child centers type B,-,-,…,…,-,…,…
2,大型児童館C型,Large child centers type C,-,-,…,…,-,…,…
2,その他の児童館,Other child centers,-,-,…,…,-,…,…
2,児童遊園,Child play space,90,90,…,…,-,…,…
1,母子・父子福祉施設,Welfare facilities for single-mother/father families,-,-,…,…,-,…,…
2,母子・父子福祉センター,Welfare centers for single-mother/father families,-,-,…,…,-,…,…
2,母子・父子休養ホーム,Recreational facilities for single-mother/father families,-,-,…,…,-,…,…
1,その他の社会福祉施設,Other social welfare facilities,1233,2,31,10,1231,59666,35851
2,授産施設（社会福祉法）,Vocational facilities (Social Welfare Act),11,-,-,-,11,346,253
2,宿所提供施設（社会福祉法）,Facilities providing accommodation (Social Welfare Act),171,-,-,-,171,5205,3966
2,盲人ホーム,Vocational centers for the visually impaired,4,-,-,…,4,80,…
2,無料低額診療施設,Free or low cost medical facilities,52,-,…,…,52,…,…
2,隣保館,Social service facilities,-,-,…,…,-,…,…
2,へき地保健福祉館,Public health and welfare centers in remote areas,-,-,…,…,-,…,…
2,へき地保育所,Day care centers in remote areas,…,…,…,…,…,…,…
2,有料老人ホーム,Fee-based nursing homes for the elderly,995,2,31,10,993,54035,31632
,(別掲）介護老人福祉施設（特別養護老人ホーム）4),(Appendix) Long-term care welfare facilities (Special nursing homes for the elderly) 4),495,…,…,…,495,43638,35453
,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,
18-1  社会福祉施設数（平成28年） 18-1  SOCIAL WELFARE FACILITIES ( 2016 ),,,,,,,,,
10月1日現在休止中の施設を除く。 ,,,,,,,,,
Figures exclude facilities inactive as of Oct. 1 of the year.,,,,,,,,,
注 1) 施設数及び定員は基本票（行政情報），在所者数は詳細票（調査票が回収できた施設の状況）の結果である。,,,,,,,,,
2) 総数及び児童福祉施設の「定員」・「在所者数」には母子生活支援施設を含まない。,,,,,,,,,
3) 母子生活支援施設の定員は世帯数である。,,,,,,,,,
4) 介護老人福祉施設（特別養護老人ホーム）は，公営，私営別に集計していないため，私営部分に公営，私営を合算した数値を掲載している。,,,,,,,,,
Note: 1) The number of facilities and capacities are based on the basic records (government information)， and the number of residents is based on detailed records (facilities that responded to a survey). ,,,,,,,,,
"2) Living support facilities for single-mother families are not included in the total number of social welfare facilities or the child welfare facility ""capacity""  and ""number of service users.""",,,,,,,,,
3) The capacity of living support facilities for single-mother families is expressed in number of households.,,,,,,,,,
"4) Because figures for long-term care facilities for the elderly (special nursing homes for the elderly) are not tabulated separately as public or private， data are combined in the ""private"" column.   ",,,,,,,,,
資料：都福祉保健局総務部総務課 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,
事業階層(0:総数　1:保護施設・老人福祉施設・障害者支援施設等・身体障害者社会参加支援施設・婦人保護施設・児童福祉施設・母子・父子福祉施設・その他の社会福祉施設 2:各事業施設),,,,,,,,,
