年度,Fiscal year,地域階層,地域コード,地域,District,総数 Total,大気汚染 Air pollution,水質汚濁 Water pollution,土壌汚染 Soil pollution,騒音 Noises,振動 Vibration,地盤沈下 Ground subsidence,悪臭 Offensive odors,典型7公害以外計 Other pollution
平成29,2017,2,13202,立川市,Tachikawa-shi,135,41,-,-,43,3,-,22,26
平成29,2017,2,13203,武蔵野市,Musashino-shi,60,6,-,-,30,11,-,13,-
平成29,2017,2,13204,三鷹市,Mitaka-shi,88,24,-,-,37,6,-,20,1
平成29,2017,2,13205,青梅市,Ome-shi,156,29,3,-,39,1,-,77,7
平成29,2017,2,13206,府中市,Fuchu-shi,94,26,-,1,41,2,-,22,2
平成29,2017,2,13207,昭島市,Akishima-shi,30,-,-,-,2,-,-,-,28
平成29,2017,2,13208,調布市,Chofu-shi,73,18,-,-,38,1,-,12,4
平成29,2017,2,13209,町田市,Machida-shi,181,77,2,1,51,17,-,30,3
平成29,2017,2,13210,小金井市,Koganei-shi,88,15,-,-,25,3,-,6,39
平成29,2017,2,13211,小平市,Kodaira-shi,85,41,-,-,32,6,-,6,-
平成29,2017,2,13212,日野市,Hino-shi,70,3,2,1,33,-,-,31,-
平成29,2017,2,13213,東村山市,Higashimurayama-shi,56,23,7,-,21,3,-,2,-
平成29,2017,2,13214,国分寺市,Kokubunji-shi,58,23,-,-,17,15,-,3,-
平成29,2017,2,13215,国立市,Kunitachi-shi,49,1,-,-,29,-,-,18,1
平成29,2017,2,13218,福生市,Fussa-shi,29,4,-,-,13,-,-,4,8
平成29,2017,2,13219,狛江市,Komae-shi,89,9,-,-,23,-,-,2,55
平成29,2017,2,13220,東大和市,Higashiyamato-shi,56,11,3,1,10,-,-,4,27
平成29,2017,2,13221,清瀬市,Kiyose-shi,59,25,2,-,15,-,-,4,13
平成29,2017,2,13222,東久留米市,Higashikurume-shi,68,23,6,-,25,3,-,3,8
平成29,2017,2,13223,武蔵村山市,Musashimurayama-shi,112,7,2,1,25,2,-,13,62
平成29,2017,2,13224,多摩市,Tama-shi,86,17,11,-,44,3,-,11,-
平成29,2017,2,13225,稲城市,Inagi-shi,161,-,5,-,16,-,-,41,99
平成29,2017,2,13227,羽村市,Hamura-shi,17,-,-,-,4,-,-,4,9
平成29,2017,2,13228,あきる野市,Akiruno-shi,151,45,-,1,6,1,-,8,90
平成29,2017,2,13229,西東京市,Nishitokyo-shi,93,16,-,-,40,11,-,24,2
平成29,2017,1,13300,郡部,All gun,146,18,2,-,11,2,1,16,96
平成29,2017,2,13303,瑞穂町,Mizuho-machi,98,18,2,-,10,2,1,7,58
平成29,2017,2,13305,日の出町,Hinode-machi,48,-,-,-,1,-,-,9,38
平成29,2017,2,13307,檜原村,Hinohara-mura,-,-,-,-,-,-,-,-,-
平成29,2017,2,13308,奥多摩町,Okutama-machi,-,-,-,-,-,-,-,-,-
平成29,2017,1,13350,島部,All islands,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,
19-11 公害の種類別苦情件数（平成25～平成29年度） 19-11 COMPLAINTS ABOUT POLLUTIONS BY KIND  ( Fiscal Years 2013-2017 ),,,,,,,,,,,,,,
資料：都環境局総務部総務課 Source: Bureau of Environment， TMG,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,
