年次,Year,区分階層,項番 Item number,種類,Kind,受理 Received／総数 Total,受理 Received／旧受 Previously received,受理 Received／新受 Newly received,既済 Disposed／総数 Total,既済 Disposed／認容 Granted,既済 Disposed／却下 Rejected,既済 Disposed／取下 Withdrawn,既済 Disposed／その他 Others,未済 Pending
平成29,2017,2,22,養子をするについての許可,Permission for adoption,160,53,107,122,87,2,33,-,38
平成29,2017,2,23,離縁をするについての許可,Permission for dissolution of adoption ,287,17,270,264,255,2,7,-,23
平成29,2017,2,24,特別養子縁組の成立及びその離縁に関する処分,Disposition on establishment and dissolution of special adoption ,167,54,113,103,86,2,14,1,64
平成29,2017,3,,うち離縁に関する処分,(of which) Disposition regarding dissolution of special adoption ,-,-,-,-,-,-,-,-,-
平成29,2017,2,25,親権喪失，親権停止又は管理権喪失の審判及びその取消し,Adjudication on loss or suspension of parental authority or loss of the right of administration of property / rescission of such adjudication,35,8,27,25,7,5,13,-,10
平成29,2017,3,,うち親権喪失の審判,(of which) Adjudication on loss of parental authority,10,3,7,7,2,2,3,-,3
平成29,2017,3,,うち親権停止の審判,(of which) Adjudication on suspension of parental authority,25,5,20,18,5,3,10,-,7
平成29,2017,3,,うち管理権喪失の審判,(of which) Adjudication on loss of the right of administration of property,-,-,-,-,-,-,-,-,-
平成29,2017,2,26,親権・管理権の辞任・回復,Surrender or restoration of parental authority or the right of administration of property,3,2,1,3,-,-,3,-,-
平成29,2017,2,27,扶養義務の設定及びその取消し,Establishment of an obligation of support / rescission of such establishment,2,-,2,2,2,-,-,-,-
平成29,2017,2,28,推定相続人の廃除及びその取消し,Disinheritance of presumptive heirs / rescission of such disinheritance,51,13,38,26,4,13,9,-,25
平成29,2017,2,29,推定相続人廃除等に伴う遺産の管理に関する処分,Disposition regarding administration of estates upon disinheritance of presumptive heirs， etc.,1,-,1,1,1,-,-,-,-
平成29,2017,2,30,相続の承認又は放棄の期間の伸長,Extension of the period for acceptance or renunciation of inheritance,1024,60,964,969,905,6,48,10,55
平成29,2017,2,31,相続財産の保存又は管理に関する処分,Disposition regarding preservation or management of inherited property,284,17,267,277,256,4,17,-,7
平成29,2017,2,32,相続の限定承認又は放棄の取消し,Rescission of qualified acceptance or renunciation of inheritance,25,1,24,25,14,1,10,-,-
平成29,2017,2,33,相続の限定承認の申述受理,Acceptance of a statement of qualified acceptance of inheritance,112,12,100,106,105,-,1,-,6
平成29,2017,2,34,鑑定人の選任,Appointment of an appraiser,10,1,9,9,9,-,-,-,1
平成29,2017,2,35,相続の放棄の申述の受理,Acceptance of a statement of renunciation of inheritance,20826,1296,19530,19720,19136,22,382,180,1106
平成29,2017,2,36,相続財産の分離に関する処分,Disposition regarding separation of inherited property,1,-,1,1,-,1,-,-,-
平成29,2017,2,37,相続財産管理に関する処分（財産分離）,Disposition regarding the administration of inherited property (separation of property),-,-,-,-,-,-,-,-,-
平成29,2017,2,38,相続財産管理人選任等（相続人不分明）,Appointment of an administrator of inherited property， etc. (heirs unknown),2827,144,2683,2679,2592,5,62,20,148
平成29,2017,2,39,特別縁故者への相続財産の分与,Distribution of inherited property to a person with a special connection,155,53,102,103,69,8,26,-,52
平成29,2017,2,40,遺言の確認,Confirmation of a will,27,3,24,22,20,-,2,-,5
平成29,2017,2,41,遺言書の検認,Probate of a will,2988,263,2725,2777,2746,3,21,7,211
平成29,2017,2,42,遺言執行者の選任,Appointment of an executor,444,30,414,405,384,2,16,3,39
平成29,2017,2,43,遺言執行者に対する報酬の付与,Grant of remuneration to an executor ,91,8,83,76,75,-,1,-,15
平成29,2017,2,44,遺言執行者の解任及び辞任,Dismissal and resignation of an executor,53,13,40,41,20,3,17,1,12
平成29,2017,2,45,遺言の取消し,Rescission of a will,2,-,2,1,-,-,1,-,1
平成29,2017,2,46,遺留分の放棄についての許可,Permission for an heir's renunciation of said heir's legally reserved portion  ,206,12,194,185,176,1,7,1,21
平成29,2017,2,47,任意後見契約に関する法律関係,Legal relationship concerning a voluntary guardianship contract,678,30,648,641,616,3,12,10,37
平成29,2017,3,,うち任意後見監督人の選任,(of which) Appointment of a supervisor for a voluntarily appointed guardian,190,19,171,169,147,2,10,10,21
平成29,2017,3,,うち任意後見監督処分,(of which) Supervisory disposition of a voluntarily appointed guardianship ,3,1,2,3,3,-,-,-,-
平成29,2017,3,,うち任意後見監督人の辞任,(of which) Resignation of the supervisor of a voluntarily appointed guardian,2,-,2,2,2,-,-,-,-
平成29,2017,3,,うち任意後見人等の解任,(of which) Dismissal of a voluntarily appointed guardian， etc.,4,-,4,1,1,-,-,-,3
平成29,2017,3,,うち任意後見監督人に対する報酬の付与,(of which) Grant of remuneration to the supervisor of a voluntarily appointed guardian,472,9,463,462,462,-,-,-,10
平成29,2017,2,48,戸籍法による氏の変更についての許可,Permission for change of surname under the Family Register Act,1610,110,1500,1520,1306,44,167,3,90
平成29,2017,2,49,戸籍法による名の変更についての許可,Permission for change of first name under the Family Register Act,1097,87,1010,1011,699,41,270,1,86
平成29,2017,2,50,就籍についての許可,Permission for the registration of an unregistered person,30,4,26,20,8,-,12,-,10
平成29,2017,2,51,戸籍の訂正についての許可,Permission for correction of a family register,165,22,143,134,107,8,17,2,31
平成29,2017,2,52,戸籍事件についての処分に対する不服,Appeal against the disposition of a family register-related case,2,1,1,1,1,-,-,-,1
平成29,2017,2,53,性同一性障害者の性別の取扱いの特例に関する法律3条1項の事件,Cases under Article 3， Paragraph 1 of the Act on Special Cases in Handling Gender for People with Gender Identity Disorder,161,21,140,147,146,-,1,-,14
平成29,2017,2,54,児童福祉法28条1項の事件,Cases under Article 28， Paragraph 1 of the Child Welfare Act,44,11,33,32,24,-,8,-,12
平成29,2017,2,55,児童福祉法28条2項の事件,Cases under Article 28， Paragraph 2 of the Child Welfare Act,22,8,14,20,20,-,-,-,2
平成29,2017,2,56,生活保護法30条3項の事件,Cases under Article 30， Paragraph 3 of the Public Assistance Act,-,-,-,-,-,-,-,-,-
平成29,2017,2,57,心神喪失等の状態で重大な他害行為を行った者の医療及び観察等に関する法律23条の2第2項ただし書の事件,Cases under the proviso of Article 23-2， Paragraph 2 of the Act on Medical Care and Treatment for Persons Who Have Caused Serious Cases Under the Condition of Insanity,9,2,7,9,9,-,-,-,-
平成29,2017,2,58,破産法61条の事件,Cases under Article 61 of the Bankruptcy Act,-,-,-,-,-,-,-,-,-
平成29,2017,2,59,破産法238条の事件,Cases under Article 238 of the Bankruptcy Act,1,-,1,1,1,-,-,-,-
平成29,2017,2,60,中小企業における経営の承継の円滑化に関する法律8条1項の事件,Cases under Article 8， Paragraph 1 of the Act on Facilitation of Succession of Management of Small and Medium Sized Enterprises,5,4,1,5,5,-,-,-,-
平成29,2017,1,,別表第二審判事件総数,Total number of cases of adjudication of domestic relations under Appended Table 2 of the Domestic Relations Case Procedure Act,3431,1105,2326,2204,1132,274,354,444,1227
平成29,2017,2,1,夫婦の同居・協力扶助,Cohabitation， cooperation， and mutual assistance between husband and wife,17,6,11,12,-,6,5,1,5
平成29,2017,2,2,婚姻費用の分担,Sharing of living expenses arising from marriage,585,175,410,402,250,27,43,82,183
平成29,2017,2,3,子の監護者の指定その他の処分,Designation of a child custodian and other dispositions,1729,600,1129,1064,447,163,238,216,665
平成29,2017,3,,うち監護者の指定,(of which) Designation of a child custodian ,457,163,294,254,91,22,87,54,203
平成29,2017,3,,うち養育費請求,(of which) Claim for child support payments,371,116,255,278,165,34,11,68,93
平成29,2017,3,,うち面会交流,(of which) Visitation and contacts,499,190,309,303,172,29,42,60,196
平成29,2017,3,,うち子の引渡し,(of which) Surrender of child custody,392,129,263,222,18,74,96,34,170
平成29,2017,2,4,財産の分与に関する処分,Disposition regarding the distribution of property,95,55,40,56,21,7,9,19,39
平成29,2017,2,5,祭祀の承継者の指定,Appointment of a successor of rights relating to rituals,29,8,21,20,12,2,2,4,9
平成29,2017,2,6,離縁後の親権者の指定,Designation of person who is to have parental authority upon dissolution of adoptive relationship,-,-,-,-,-,-,-,-,-
平成29,2017,2,7,親権者の指定又は変更,Designation or change of person having parental authority,265,73,192,198,97,38,24,39,67
平成29,2017,2,8,扶養に関する処分,Disposition on support,42,14,28,24,8,10,4,2,18
平成29,2017,2,9,遺産の分割に関する処分など,Disposition on division of estate， etc. ,321,111,210,166,87,-,7,72,155
平成29,2017,2,10,寄与分を定める処分,Disposition to determine an heir's contributing portion,85,29,56,42,9,21,7,5,43
平成29,2017,2,11,請求すべき按分割合に関する処分,Disposition regarding the pro rata share to be requested,263,34,229,220,201,-,15,4,43
平成29,2017,2,12,生活保護法77条2項の事件,Cases under Article 77， Paragraph 2 of the Public Assistance Act,-,-,-,-,-,-,-,-,-
平成29,2017,2,13,推定相続人の廃除及びその取消し（家事審判法第9条乙類）,Disinheritance of a presumptive heir / rescission of such disinheritance (Article 9， Clause 2 of the Domestic Relations Trial Act),-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,
20-5  家事審判事件の種類別件数 （平成28， 29年） 20-5  CASES OF ADJUDICATION OF DOMESTIC RELATIONS BY KIND ( 2016 and 2017 ),,,,,,,,,,,,,,
資料：東京家庭裁判所事務局総務課 Source: Tokyo Family Court,,,,,,,,,,,,,,
区分階層(0:総数　1:区分　2:区分内訳),,,,,,,,,,,,,,
