年次,Year,区分階層,項番Itemnumber,種類,Kind,受理Received／総数Total,受理Received／旧受Previouslyreceived,受理Received／新受Newlyreceived,既済Disposed／総数Total,既済Disposed／調停成立Successfulconciliation,既済Disposed／調停不成立Unsuccessfulconciliation,既済Disposed／取下Withdrawal,既済Disposed／合意に相当する審判Adjudicationequivalenttoagreement,既済Disposed／調停に代わる審判Adjudicationinlieuofconciliation,既済Disposed／調停をしないものNon-conciliation,既済Disposed／その他Others,未済Pending,異議Objection／合意に相当する審判Adjudicationequivalenttoagreement,異議Objection／調停に代わる審判Adjudicationinlieuofconciliation
平成29,2017,2,9,遺産の分割に関する処分など,Dispositionondivisionofestate，etc.,"3,281","1,524","1,757","1,654",888,141,322,-,241,24,38,"1,627",-,11
平成29,2017,2,10,寄与分を定める処分,Dispositiontodetermineanheir'scontributoryportion,102,54,48,62,20,14,18,-,8,2,-,40,-,-
平成29,2017,2,11,請求すべき按分割合に関する処分,Dispositionregardingtheproratasharetoberequested,130,31,99,98,66,12,4,-,14,-,2,32,-,-
平成29,2017,2,12,生活保護法77条2項の事件,CasesunderArticle77，Paragraph2ofthePublicAssistanceAct,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成29,2017,2,13,推定相続人の廃除及びその取消し（家事審判法第9条乙類）,Disinheritanceofapresumptiveheir/rescissionofsuchdisinheritance(Article9，Clause2oftheDomesticRelationsTrialAct),-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成29,2017,1,,別表第二以外の調停事件総数,TotalnumberofcasesofconciliationofdomesticrelationsotherthanthosestipulatedinAppendedTable2oftheDomesticRelationsCaseProcedureAct,"9,861","3,087","6,774","6,621","2,730","2,150","1,200",230,131,61,119,"3,240",5,3
平成29,2017,2,1,婚姻中の夫婦間の事件,Casesbetweenmarriedcouple,"7,752","2,471","5,281","5,140","2,394","1,666",839,-,114,38,89,"2,612",-,3
平成29,2017,2,2,婚姻外の男女間の事件,Casesbetweenmenandwomenoutsideofmarriage,25,4,21,21,2,10,7,-,-,2,-,4,-,-
平成29,2017,2,3,離婚その他男女関係解消に基づく慰謝料,Compensationfordivorceorbreakupofamale-femalerelationship,60,18,42,41,12,18,10,-,-,1,-,19,-,-
平成29,2017,2,4,親族間の紛争,Disputeamongrelatives,279,57,222,203,38,69,87,-,1,4,4,76,-,-
平成29,2017,2,5,合意に相当する審判事項,Rulingequivalenttoagreement,617,163,454,464,-,105,103,230,3,11,12,153,5,-
平成29,2017,3,,うち協議離婚無効・取消し,(ofwhich)Invalidation/annulmentofdivorcebyagreement,58,11,47,48,-,19,6,20,-,1,2,10,1,-
平成29,2017,3,,うち認知,(ofwhich)Acknowledgementofpaternity,239,74,165,174,-,40,44,82,1,3,4,65,3,-
平成29,2017,3,,うち嫡出否認,(ofwhich)Rebuttalofpresumptionofachildinwedlock,98,23,75,71,-,2,9,59,-,1,-,27,-,-
平成29,2017,3,,うち親子関係不存在確認,(ofwhich)Clarificationofnon-existenceofaparent-childrelationship,138,42,96,99,-,14,20,55,2,6,2,39,1,-
平成29,2017,2,6,離縁,Dissolutionofanadoptiverelationship,125,26,99,94,19,49,19,-,6,-,1,31,-,-
平成29,2017,2,7,その他,Others,"1,003",348,655,658,265,233,135,-,7,5,13,345,-,-
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYOSTATISTICALYEARBOOK(2017)20司法・警察・消防20JUSTICE，POLICE，ANDFIREFIGHTINGSERVICES,,,,,,,,,,,,,,,,,,,
20-6家事調停事件の種類別件数（平成28，29年）20-6CASESOFCONCILIATIONOFDOMESTICRELATIONSBYKIND(2016and2017),,,,,,,,,,,,,,,,,,,
資料：東京家庭裁判所事務局総務課Source:TokyoFamilyCourt,,,,,,,,,,,,,,,,,,,
区分階層(0:総数1:区分2:区分内訳),,,,,,,,,,,,,,,,,,,
