年度末,End of fiscal year,地域階層,地域コード,地域,District,合計 Total／計 Total,合計 Total／計 Total／全部支給 Full payment,合計 Total／計 Total／一部支給 Partial payment,合計 Total／停止 Discontinued,都道府県知事支給対象者 Covered by Prefecture／計 Total,都道府県知事支給対象者 Covered by Prefecture／計 Total／全部支給 Full payment,都道府県知事支給対象者 Covered by Prefecture／計 Total／一部支給 Partial payment,都道府県知事支給対象者 Covered by Prefecture／停止 Discontinued,国支給対象者 Covered by the State／計 Total,国支給対象者 Covered by the State／計 Total／全部支給 Full payment,国支給対象者 Covered by the State／計 Total／一部支給 Partial payment,国支給対象者 Covered by the State／停止 Discontinued
平成29,2017,2,13218,福生市,Fussa-shi,533,290,243,101,533,290,243,101,-,-,-,-
平成29,2017,2,13219,狛江市,Komae-shi,300,139,161,90,300,139,161,90,-,-,-,-
平成29,2017,2,13220,東大和市,Higashiyamato-shi,701,398,303,96,701,398,303,96,-,-,-,-
平成29,2017,2,13221,清瀬市,Kiyose-shi,611,320,291,98,611,320,291,98,-,-,-,-
平成29,2017,2,13222,東久留米市,Higashikurume-shi,819,438,381,177,819,438,381,177,-,-,-,-
平成29,2017,2,13223,武蔵村山市,Musashimurayama-shi,765,418,347,101,765,418,347,101,-,-,-,-
平成29,2017,2,13224,多摩市,Tama-shi,859,405,454,250,859,405,454,250,-,-,-,-
平成29,2017,2,13225,稲城市,Inagi-shi,433,186,247,136,433,186,247,136,-,-,-,-
平成29,2017,2,13227,羽村市,Hamura-shi,480,230,250,105,480,230,250,105,-,-,-,-
平成29,2017,2,13228,あきる野市,Akiruno-shi,596,296,300,99,596,296,300,99,-,-,-,-
平成29,2017,2,13229,西東京市,Nishitokyo-shi,997,508,489,222,997,508,489,222,-,-,-,-
平成29,2017,1,13300,郡部,All gun,493,250,243,113,493,250,243,113,-,-,-,-
平成29,2017,1,13350,島部,All islands,187,79,108,57,187,79,108,57,-,-,-,-
,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,,,,,
18-5  児童扶養手当受給状況（平成25～29年度末） 18-5  RECIPIENTS OF CHILD CARE ALLOWANCES ( End of Fiscal Years 2013-2017 ),,,,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG    ,,,,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,,,,,
