年度平均,Average of fiscal year,水質状況 ,Water quality,江戸川 Edogawa river／篠崎水門 Shinozaki flood gate,江戸川 Edogawa river／浦安橋 Urayasu bridge,中川 Nakagawa river／潮止橋 Shiodome bridge,中川 Nakagawa river／飯塚橋 Iizuka bridge,中川 Nakagawa river／葛西小橋 Kasai kobashi bridge,綾瀬川 Ayase river／内匠橋 Takumi bridge,綾瀬川 Ayase river／四ツ木小橋 Yotsugi kobashi bridge,荒川 Arakawa river／新荒川大橋 New Arakawaohashi bridge,荒川 Arakawa river／葛西橋 Kasai bridge,新河岸川 Shingashi river／徳丸橋 Tokumaru bridge,新河岸川 Shingashi river／志茂橋 Shimo bridge,隅田川 Sumida river／小台橋 Odai bridge,隅田川 Sumida river／両国橋 Ryogoku bridge,旧中川 Old Nakagawa river／中平井橋 Nakahirai bridge,石神井川 Shakujii river／豊石橋 Hohseki bridge,神田川 Kanda river／柳橋 Yanagi bridge,目黒川 Meguro river／太鼓橋 Taiko bridge,多摩川 Tama river／拝島橋 Haijima bridge,多摩川 Tama river／調布取水堰 Chofu intake weir,多摩川 Tama river／大師橋 Daishi bridge,秋川 Akikawa river／東秋川橋 Higashiakikawa bridge
平成25,2013,化学的酸素要求量,Chemical oxygen demand， COD,3.0,3.9,5.8,6.0,4.8,6.1,5.6,…,6.1,5.8,5.8,5.7,4.9,4.0,3.8,5.3,6.3,1.1,3.4,4.1,0.8
平成26,2014,化学的酸素要求量,Chemical oxygen demand， COD,2.9,4.1,5.7,6.0,4.9,5.6,5.6,…,5.4,5.6,5.5,5.3,4.6,3.4,3.7,5.2,6.7,1.1,3.1,3.9,1.1
平成27,2015,化学的酸素要求量,Chemical oxygen demand， COD,3.0,4.2,6.2,5.6,4.8,5.8,5.5,…,5.2,5.8,6.0,6.0,5.4,4.0,4.0,5.8,7.2,1.2,3.5,4.3,1.5
平成28,2016,化学的酸素要求量,Chemical oxygen demand， COD,3.3,4.5,7.0,6.5,5.1,6.1,5.4,…,5.1,6.1,6.1,6.1,4.9,3.5,4.3,5.6,7.0,1.2,3.6,3.9,1.3
平成29,2017,化学的酸素要求量,Chemical oxygen demand， COD,3.0,4.6,6.3,6.6,5.5,6.2,6.3,…,5.6,6.5,6.4,6.1,5.2,4.2,4.6,6.1,10.0,1.4,3.6,4.0,1.6
平成25,2013,浮遊物質,Suspended solids， SS,11,9,21,22,12,24,12,…,17,6,9,12,8,4,5,5,5,3,4,7,1
平成26,2014,浮遊物質,Suspended solids， SS,12,11,14,19,16,21,15,…,26,7,10,13,7,3,5,4,3,3,6,6,1
平成27,2015,浮遊物質,Suspended solids， SS,10,11,16,13,14,17,16,…,26,6,8,12,9,2,4,4,4,2,3,6,1
平成28,2016,浮遊物質,Suspended solids， SS,14,14,25,20,21,25,14,…,21,9,9,21,13,3,8,6,3,2,4,5,2
平成29,2017,浮遊物質,Suspended solids， SS,10,16,19,17,23,21,16,…,18,7,8,12,9,2,6,6,12,2,4,5,1
平成25,2013,水素イオン濃度,Hydrogen-ion concentration， pH ,7.8,7.6,7.5,7.5,7.6,7.4,7.4,…,7.5,7.2,7.2,7.2,7.5,7.6,7.4,7.3,7.2,7.9,8.0,7.7,7.8
平成26,2014,水素イオン濃度,Hydrogen-ion concentration， pH ,7.7,7.6,7.4,7.4,7.6,7.4,7.5,…,7.5,7.2,7.3,7.2,7.4,7.6,7.4,7.3,7.3,8.0,7.8,7.6,7.7
平成27,2015,水素イオン濃度,Hydrogen-ion concentration， pH ,7.8,7.5,7.4,7.4,7.6,7.3,7.4,…,7.4,7.1,7.1,7.1,7.4,7.6,7.4,7.2,7.3,8.1,7.7,7.5,7.9
平成28,2016,水素イオン濃度,Hydrogen-ion concentration， pH ,7.9,7.6,7.6,7.6,7.6,7.4,7.5,…,7.4,7.1,7.1,7.2,7.4,7.6,7.3,7.2,7.1,8.2,7.9,7.7,7.9
平成29,2017,水素イオン濃度,Hydrogen-ion concentration， pH ,7.7,7.5,7.5,7.5,7.6,7.4,7.5,…,7.3,7.1,7.0,7.1,7.5,7.7,7.4,7.2,7.2,8.1,7.9,7.8,7.9
平成25,2013,陰イオン界面活性剤,Methylene blue active substances， MBAS ,<0.02,0.02,<0.02,0.02,0.02,0.02,…,…,<0.02,…,0.04,0.04,0.03,0.02,0.03,0.03,0.03,…,…,…,<0.02
平成26,2014,陰イオン界面活性剤,Methylene blue active substances， MBAS ,<0.02,0.02,0.03,0.02,0.02,0.02,…,…,0.02,…,0.03,0.03,0.02,0.02,0.02,0.03,0.03,…,…,…,<0.02
平成27,2015,陰イオン界面活性剤,Methylene blue active substances， MBAS ,<0.02,<0.02,0.02,0.02,<0.02,0.03,…,…,0.02,…,<0.02,<0.02,<0.02,0.02,0.03,0.04,<0.02,…,…,…,<0.02
平成28,2016,陰イオン界面活性剤,Methylene blue active substances， MBAS ,<0.02,<0.02,<0.02,0.03,<0.02,0.02,…,…,<0.02,…,0.02,<0.02,<0.02,<0.02,<0.02,<0.02,0.03,…,…,…,<0.02
平成29,2017,陰イオン界面活性剤,Methylene blue active substances， MBAS ,<0.02,<0.02,0.03,0.02,<0.02,0.02,…,…,<0.02,…,<0.02,<0.02,<0.02,<0.02,<0.02,<0.02,0.02,…,…,…,<0.02
,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,,,,,,,,,,
19-15  主要河川の水質状況 (平成25～29年度) 19-15  WATER QUALITY OF MAJOR  RIVERS  ( Fiscal Years  2013-2017 ）,,,,,,,,,,,,,,,,,,,,,,,,
注 1) 水素イオン濃度はpH (0～14)で表される。,,,,,,,,,,,,,,,,,,,,,,,,
2) ＜0.02は， 0.02未満の数値である。,,,,,,,,,,,,,,,,,,,,,,,,
3) 陰イオン界面活性剤は測定方法により表示法が異なるため， 江戸川の篠崎水門，中川の潮止橋，飯塚橋，綾瀬川の内匠橋，荒川の新荒川大橋，葛西橋の地点については，数値に0.83をかけて比較する。,,,,,,,,,,,,,,,,,,,,,,,,
Note: 1) Hydrogen ion density is indicated in pH (0-14).,,,,,,,,,,,,,,,,,,,,,,,,
2) <0.02…Figures less than 0.02,,,,,,,,,,,,,,,,,,,,,,,,
3) Since MBAS data are expressed differently depending on measurement methods， figures listed under Shinozaki flood gate of Edogawa river， Shiodome bridge， Iizuka bridge of Nakagawa river， Takumi bridge of Ayase river， New-Arakawa ohashi bridge， Kasai bridge of Arakawa river should be multiplied by 0.83 for the purpose of comparison.,,,,,,,,,,,,,,,,,,,,,,,,
資料：都環境局自然環境部水環境課 Source: Bureau of Environment， TMG,,,,,,,,,,,,,,,,,,,,,,,,
