年度末,End of fiscal year,地域階層,地域コード,地域,District,マーク Mark,総数 Total,都営住宅 Metropolitan housing,福祉住宅等 Welfare housing etc. 2),都民住宅 Tokyo Metropolitan Tomin housing／都施行 Built by TMG,都民住宅 Tokyo Metropolitan Tomin housing／その他 Others,区市町村住宅 Municipal housing 4)／公営 Public,区市町村住宅 Municipal housing 4)／その他 Others,高齢者向け優良賃貸住宅 Good quality rental housing for the elderly／都施行 Built by TMG,高齢者向け優良賃貸住宅 Good quality rental housing for the elderly／区市施行 Built by municipalities,公社一般賃貸住宅 Tokyo Metropolitan Public Housing Corporation housing,都市機構賃貸住宅 Urban Renaissance Agency housing 1)
平成29,2017,2,13205,青梅市,Ome-shi,,2133,405,0,16,0,704,0,0,0,1008,0
平成29,2017,2,13206,府中市,Fuchu-shi,,6555,4419,0,44,72,679,138,0,0,0,1203
平成29,2017,2,13207,昭島市,Akishima-shi,,6402,3842,0,16,20,20,13,0,0,991,1500
平成29,2017,2,13208,調布市,Chofu-shi,,8542,4327,0,82,104,275,15,0,0,670,3069
平成29,2017,2,13209,町田市,Machida-shi,,27390,8065,0,125,154,548,7,0,0,9830,8661
平成29,2017,2,13210,小金井市,Koganei-shi,,2789,654,0,0,52,179,20,0,0,1282,602
平成29,2017,2,13211,小平市,Kodaira-shi,,8087,5470,0,14,84,27,11,0,0,21,2460
平成29,2017,2,13212,日野市,Hino-shi,,9845,2844,0,8,87,651,2,12,17,906,5318
平成29,2017,2,13213,東村山市,Higashimurayama-shi,,8233,5686,0,35,42,91,0,0,0,622,1757
平成29,2017,2,13214,国分寺市,Kokubunji-shi,,2971,1687,0,3,405,20,13,0,0,0,843
平成29,2017,2,13215,国立市,Kunitachi-shi,,4893,2027,0,470,0,0,0,0,0,0,2396
平成29,2017,2,13218,福生市,Fussa-shi,,3584,757,0,2,0,322,5,0,0,1634,864
平成29,2017,2,13219,狛江市,Komae-shi,,2662,1801,0,0,17,45,3,0,0,786,10
平成29,2017,2,13220,東大和市,Higashiyamato-shi,,5200,3076,0,3,0,26,1,0,0,2094,0
平成29,2017,2,13221,清瀬市,Kiyose-shi,,7218,3761,0,40,0,133,1,0,13,1140,2130
平成29,2017,2,13222,東久留米市,Higashikurume-shi,,7689,2594,0,9,16,0,1,22,46,2865,2136
平成29,2017,2,13223,武蔵村山市,Musashimurayama-shi,,4430,4192,0,1,0,24,0,0,0,0,213
平成29,2017,2,13224,多摩市,Tama-shi,,12509,4704,0,4,0,112,1,0,0,1630,6058
平成29,2017,2,13225,稲城市,Inagi-shi,,4507,1240,0,146,59,10,0,0,0,1650,1402
平成29,2017,2,13227,羽村市,Hamura-shi,,1321,349,0,1,0,131,0,0,0,0,840
平成29,2017,2,13228,あきる野市,Akiruno-shi,,211,0,0,0,0,211,0,0,0,0,0
平成29,2017,2,13229,西東京市,Nishitokyo-shi,,11047,5489,0,179,197,47,39,0,0,841,4255
平成29,2017,1,13300,郡部,All gun,,1305,978,0,17,0,204,106,0,0,0,0
平成29,2017,2,13303,瑞穂町,Mizuho-machi,,1067,978,0,17,0,72,0,0,0,0,0
平成29,2017,2,13305,日の出町,Hinode-machi,,65,0,0,0,0,65,0,0,0,0,0
平成29,2017,2,13308,奥多摩町,Okutama-machi,,108,0,0,0,0,44,64,0,0,0,0
平成29,2017,2,13307,檜原村,Hinohara-mura,,65,0,0,0,0,23,42,0,0,0,0
平成29,2017,1,13350,島部,All islands,,1500,0,393,0,0,1055,52,0,0,0,0
平成29,2017,0,99999,*都外,Out of Tokyo-to,3),2,0,2,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
3-5  都営・区市町村・公社・都市機構等賃貸住宅管理戸数 （平成26～29年度末） ,,,,,,,,,,,,,,,,,
注 1) ２市以上にまたがる都市再生機構の各団地は，それぞれの戸数の多くが所在する市に統一集計した。 ,,,,,,,,,,,,,,,,,
2) 福祉住宅等には引揚者住宅及び小笠原住宅を含む。 ,,,,,,,,,,,,,,,,,
3) *神奈川県相模原市所在の引揚者住宅。 ,,,,,,,,,,,,,,,,,
4) 区市町村住宅の内訳は，公営：公営住宅，借上公営住宅 /その他：特定公共賃貸住宅，特定優良賃貸住宅，改良住宅，区市町村単独住宅等。 ,,,,,,,,,,,,,,,,,
5) 北区の都市機構賃貸住宅には、北区施行の高齢者向け優良賃貸住宅が含まれるため、区分ごとの合計が計と一致しない。 ,,,,,,,,,,,,,,,,,
資料：都都市整備局総務部企画経理課「事業概要」 ,,,,,,,,,,,,,,,,,
3-5 RENTAL HOUSING UNITS BY TYPE OF MANAGEMENT ( End of Fiscal Year 2014-2017 ） ,,,,,,,,,,,,,,,,,
　　Note: 1) Figures for Urban Renaissance Agency residences straddling two or more cities are included in the city where the majority ,,,,,,,,,,,,,,,,,
of the residential units are located. ,,,,,,,,,,,,,,,,,
　　         2) Welfare housing etc. includes repatriation housing and Ogasawara housing. ,,,,,,,,,,,,,,,,,
　　         3)  * Repatriation housing located in Kanagawa prefecture. ,,,,,,,,,,,,,,,,,
"　　         4) Municipal housing's ""public"" is public housing and leased public housing,and""others""includespecifiedpublicrentalhousing",,,,,,,,,,,,,,,,,
"specified good quality rental housing,upgradedhousing,andhousingbuiltwithoutstatesubsidies.",,,,,,,,,,,,,,,,,
"　            5) As data on UR housing in Kita-ku includes good quality rental housing for the elderly,thesumofthecategoriesdoesnotmatchthe",,,,,,,,,,,,,,,,,
total. ,,,,,,,,,,,,,,,,,
"　　Source: Bureau of Urban Development,TMG",,,,,,,,,,,,,,,,,
