年度,Fiscal year,地域階層,地域コード,地域,District,身体障害者手帳交付台帳  Physical impairment certificate ledger data／年度末現在 As of the end of the fiscal year,身体障害者手帳交付台帳  Physical impairment certificate ledger data／新規交付 New issues,身体障害者手帳交付台帳  Physical impairment certificate ledger data／返還 Returned,身体障害者手帳交付台帳  Physical impairment certificate ledger data／他県より転入 In-migrants from other prefectures,身体障害者手帳交付台帳  Physical impairment certificate ledger data／他県へ転出 Out-migrants to other prefectures,身体障害者手帳交付台帳  Physical impairment certificate ledger data／都内より転入 In-migrants  within Tokyo,身体障害者手帳交付台帳  Physical impairment certificate ledger data／都内へ転出 Out-migrants within Tokyo,「愛の手帳」交付数（年度末現在） Intellectual impairment certificates issued (As of the end of the fiscal year) 1)
平成28,2016,2,13218,福生市,Fussa-shi,2226,94,67,3,5,53,62,414
平成28,2016,2,13219,狛江市,Komae-shi,2853,132,101,14,11,46,46,452
平成28,2016,2,13220,東大和市,Higashiyamato-shi,3228,146,132,14,9,69,73,666
平成28,2016,2,13221,清瀬市,Kiyose-shi,4381,164,134,21,12,77,73,638
平成28,2016,2,13222,東久留米市,Higashikurume-shi,4616,239,372,22,20,98,96,956
平成28,2016,2,13223,武蔵村山市,Musashimurayama-shi,3163,133,132,15,12,102,88,674
平成28,2016,2,13224,多摩市,Tama-shi,5053,247,201,32,15,117,107,1063
平成28,2016,2,13225,稲城市,Inagi-shi,2685,123,150,18,16,66,59,511
平成28,2016,2,13227,羽村市,Hamura-shi,1835,88,56,9,5,43,44,469
平成28,2016,2,13228,あきる野市,Akiruno-shi,2826,139,131,15,6,76,59,703
平成28,2016,2,13229,西東京市,Nishitokyo-shi,6942,322,296,26,14,159,164,1334
平成28,2016,1,13300,郡部,All gun,2889,113,118,8,5,93,61,581
平成28,2016,1,13350,島部,All islands,1617,48,63,4,4,23,25,229
,,,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,
18-3  身体障害者手帳交付台帳登載状況及び「愛の手帳」交付状況（平成24～28年度） 18-3  DATA FROM THE PHYSICAL IMPAIRMENT CERTIFICATE ISSUE LEDGER AND ISSUE OF THE INTELLECTUAL IMPAIRMENT CERTIFICATE ( Fiscal Years 2012-2016 ),,,,,,,,,,,,,
注 1) 「愛の手帳」交付数の総数は，都外施設に入所している場合等で管轄区市町村が未定の者を含むため，内訳と一致しない。,,,,,,,,,,,,,
Note: 1) The total number of intellectual impairment certificates issued does not match the breakdown because it includes persons who were not under the jurisdiction of a municipality for reasons such as living in facilities outside Tokyo. ,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG    ,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,
