年度,Fiscal year,地域階層,地域コード,地域,District,第1号被保険者数 (1月末) Primary insured persons (as of the end of  January),要介護(要支援)認定者数 (1月末) Persons certified for LTC/support (as of the end of January) ／第1号 Primary,要介護(要支援)認定者数 (1月末) Persons certified for LTC/support (as of the end of January) ／第2号 Secondary,居宅介護(支援)サービス受給者数 (1月末) Recipients of in-home LTC services (as of the end of January)／第1号 Primary,居宅介護(支援)サービス受給者数 (1月末) Recipients of in-home LTC services (as of the end of January)／第2号 Secondary,地域密着型サービス受給者数 (1月末) Recipient of communitybased LTC services (as of the end of January)／第1号 Primary,地域密着型サービス受給者数 (1月末) Recipient of communitybased LTC services (as of the end of January)／第2号 Secondary,施設介護サービス受給者数 (1月末) Recipients of LTC services in facilities (as of the end of January)／第1号 Primary,施設介護サービス受給者数 (1月末) Recipient of LTC services in facilities (as of the end of January)／第2号 Secondary
平成29,2017,2,13114,中野区,Nakano-ku,68546,12958,217,8163,140,1807,24,1430,10
平成29,2017,2,13115,杉並区,Suginami-ku,119719,24482,458,14690,297,3645,87,2541,20
平成29,2017,2,13116,豊島区,Toshima-ku,58354,11720,220,6720,148,1300,22,1417,8
平成29,2017,2,13117,北　区,Kita-ku,88902,18078,356,9950,229,1602,26,2193,20
平成29,2017,2,13118,荒川区,Arakawa-ku,50563,9153,210,5675,123,1105,19,1271,23
平成29,2017,2,13119,板橋区,Itabashi-ku,130154,23999,492,13470,329,2488,41,2958,27
平成29,2017,2,13120,練馬区,Nerima-ku,159486,31852,638,19460,425,4490,90,3966,40
平成29,2017,2,13121,足立区,Adachi-ku,170253,33425,785,18447,495,3537,50,4412,57
平成29,2017,2,13122,葛飾区,Katsushika-ku,113299,21093,460,13000,333,3012,73,2739,24
平成29,2017,2,13123,江戸川区,Edogawa-ku,146701,23886,646,14370,412,3446,80,2722,49
平成29,2017,1,13200,市部,All shi,1019502,181610,4184,103347,2683,20491,410,26170,327
平成29,2017,2,13201,八王子市,Hachioji-shi,146262,26469,565,13504,348,3262,75,3475,40
平成29,2017,2,13202,立川市,Tachikawa-shi,43779,7997,187,4556,114,931,14,1139,16
平成29,2017,2,13203,武蔵野市,Musashino-shi,32280,6221,131,3726,92,666,17,965,9
平成29,2017,2,13204,三鷹市,Mitaka-shi,40260,7371,149,4532,108,927,18,951,10
平成29,2017,2,13205,青梅市,Ome-shi,37475,5519,146,2660,95,483,8,1211,9
平成29,2017,2,13206,府中市,Fuchu-shi,56011,10422,280,5963,178,991,24,1323,15
平成29,2017,2,13207,昭島市,Akishima-shi,28689,5052,133,2892,92,620,17,897,12
平成29,2017,2,13208,調布市,Chofu-shi,50177,9864,197,5634,133,959,15,1227,10
平成29,2017,2,13209,町田市,Machida-shi,112568,19788,419,11877,302,2434,39,2827,30
平成29,2017,2,13210,小金井市,Koganei-shi,25571,5146,127,3000,73,642,9,582,16
平成29,2017,2,13211,小平市,Kodaira-shi,43981,8354,184,4503,119,840,17,1035,15
平成29,2017,2,13212,日野市,Hino-shi,45412,8407,192,4673,119,830,19,1143,17
平成29,2017,2,13213,東村山市,Higashimurayama-shi,39167,7783,203,4451,122,969,19,1186,17
平成29,2017,2,13214,国分寺市,Kokubunji-shi,26920,5081,104,2972,71,641,15,662,11
平成29,2017,2,13215,国立市,Kunitachi-shi,17340,3351,81,1833,52,335,7,473,6
平成29,2017,2,13218,福生市,Fussa-shi,14576,2032,55,1190,39,141,3,482,8
平成29,2017,2,13219,狛江市,Komae-shi,19867,3823,76,2343,47,473,9,483,3
平成29,2017,2,13220,東大和市,Higashiyamato-shi,22703,3940,93,2149,47,267,8,618,8
平成29,2017,2,13221,清瀬市,Kiyose-shi,20682,3966,86,2419,53,335,10,591,7
平成29,2017,2,13222,東久留米市,Higashikurume-shi,32755,5532,121,3226,73,567,9,764,7
平成29,2017,2,13223,武蔵村山市,Musashimurayama-shi,18555,2641,80,1550,50,294,4,486,9
平成29,2017,2,13224,多摩市,Tama-shi,41023,5375,128,3398,87,738,12,764,12
平成29,2017,2,13225,稲城市,Inagi-shi,18808,2531,83,1458,54,325,10,444,7
平成29,2017,2,13227,羽村市,Hamura-shi,13948,1998,52,996,23,120,4,380,5
平成29,2017,2,13228,あきる野市,Akiruno-shi,22688,3269,84,1698,46,289,7,778,15
平成29,2017,2,13229,西東京市  ,Nishitokyo-shi,48005,9678,228,6144,146,1412,21,1284,13
平成29,2017,1,13300,郡部,All gun,17342,2497,72,1225,40,190,2,681,8
平成29,2017,1,13350,島部,All islands,9063,1685,26,998,12,194,-,403,2
,,,,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,,
"18-9  介護保険被保険者数 ・認定者・受給者の状況（平成27～29年度） 18-9  PERSONS INSURANCE, APPROVAL, RECIPIENT ( Fiscal Years 2015-2017 ) ",,,,,,,,,,,,,,
" 資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health, TMG",,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,,
