,,設備投資(ICT化投資を除く),人材の多能工化・兼任化,業務プロセスの見直し・自動化,業務の平準化,情報化(ICT化投資・利活用等),業務における作業時間管理の徹底,仕入費・物流費・人件費の抑制,業務の標準化・マニュアル化,アウトソーシングの活用(クラウドソーシングを含む),労働環境整備・改善,その他,無回答,n
従業者規模別,10～29人,22.2 ,40.7 ,46.3 ,33.3 ,31.5 ,29.6 ,9.3 ,40.7 ,31.5 ,38.9 ,0.0 ,0.0 ,54
従業者規模別,30人以上,25.5 ,25.5 ,49.1 ,27.3 ,40.0 ,40.0 ,20.0 ,52.7 ,30.9 ,40.0 ,0.0 ,0.0 ,55
年間売上高増減別（３年前）,大幅(10％以上)増加,22.9 ,27.1 ,56.3 ,37.5 ,45.8 ,29.2 ,4.2 ,52.1 ,35.4 ,37.5 ,0.0 ,0.0 ,48
年間売上高増減別（３年前）,やや(10％未満)増加,29.3 ,22.0 ,43.9 ,31.7 ,41.5 ,36.6 ,2.4 ,34.1 ,19.5 ,29.3 ,0.0 ,0.0 ,41
年間売上高増減別（３年前）,ほぼ(±５％未満)横ばい,23.5 ,27.2 ,33.3 ,21.0 ,22.2 ,24.7 ,16.0 ,45.7 ,11.1 ,24.7 ,1.2 ,0.0 ,81
年間売上高増減別（３年前）,やや(10％未満)減少,10.0 ,20.0 ,43.3 ,13.3 ,46.7 ,30.0 ,10.0 ,33.3 ,20.0 ,33.3 ,0.0 ,0.0 ,30
年間売上高増減別（３年前）,大幅(10％以上)減少,15.2 ,20.3 ,45.6 ,22.8 ,24.1 ,13.9 ,13.9 ,30.4 ,26.6 ,31.6 ,2.5 ,2.5 ,79
売上高経常利益率別,黒字,23.3 ,25.1 ,43.7 ,26.5 ,36.3 ,23.3 ,10.7 ,41.4 ,23.3 ,28.8 ,0.5 ,0.0 ,215
売上高経常利益率別,赤字,16.4 ,20.9 ,43.3 ,19.4 ,25.4 ,23.9 ,19.4 ,26.9 ,22.4 ,35.8 ,3.0 ,3.0 ,67
経常損益の変化別（３年前）,増益,23.3 ,20.0 ,50.0 ,26.7 ,40.0 ,30.0 ,6.7 ,46.7 ,28.9 ,24.4 ,1.1 ,0.0 ,90
経常損益の変化別（３年前）,横ばい,20.0 ,23.5 ,37.6 ,25.9 ,30.6 ,20.0 ,11.8 ,38.8 ,16.5 ,29.4 ,0.0 ,1.2 ,85
経常損益の変化別（３年前）,減益,18.8 ,27.7 ,41.6 ,22.8 ,27.7 ,23.8 ,12.9 ,32.7 ,20.8 ,36.6 ,2.0 ,1.0 ,101
