表側１,表側２,表側３,回答企業数(件),マーケットの巨大性(%),本社機能が集中(%),情報発信機能の発達(%),人口の集積(%),マーケットの先進性(%),人材が豊富(%),交通の利便性(%),小売業が集積(%),卸売業が集積(%),情報収集の利便性(%),ブランド力(%),その他(%),特になし(%),無回答(%)
売上高経常利益率別,,赤字（マイナス）,271,37.3,17.3,8.5,21.4,11.4,4.4,45.8,13.3,8.5,15.9,6.3,1.1,17.0,3.0
経常損益の変化別（3年前）,,増益,197,38.6,25.4,14.7,29.9,14.7,12.2,55.3,12.7,12.7,27.4,9.6,1.5,8.1,1.5
経常損益の変化別（3年前）,,横ばい,240,37.5,19.2,10.4,25.0,7.9,6.7,43.8,10.4,11.3,20.4,6.7,1.3,19.2,2.5
経常損益の変化別（3年前）,,減益,305,39.0,22.3,11.1,21.6,10.2,7.2,49.5,10.8,9.2,20.0,7.5,0.3,17.0,3.0
所在地別,,都心,183,39.3,31.1,13.1,21.9,10.9,13.1,55.7,8.2,9.8,24.6,12.6,2.2,7.7,3.3
所在地別,,副都心,115,40.0,25.2,13.9,23.5,14.8,10.4,52.2,10.4,13.0,30.4,13.0,1.7,13.9,0.9
所在地別,,城東,218,42.2,16.5,10.1,27.5,9.6,4.6,50.5,14.2,15.1,16.1,5.0,0.0,12.8,3.2
所在地別,,城南,64,31.3,25.0,17.2,20.3,9.4,9.4,48.4,10.9,9.4,29.7,7.8,0.0,20.3,0.0
所在地別,,城西,71,32.4,21.1,9.9,26.8,12.7,8.5,46.5,9.9,7.0,25.4,2.8,0.0,19.7,2.8
所在地別,,城北,28,28.6,25.0,10.7,25.0,0.0,0.0,57.1,10.7,7.1,17.9,3.6,0.0,17.9,3.6
所在地別,,多摩,80,36.3,6.3,8.8,23.8,7.5,3.8,31.3,11.3,5.0,12.5,2.5,1.3,33.8,1.3
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
