表側１,表側２,表側３,回答企業数(件),販売先の新規開拓(％),支払条件交渉(％),営業活動(％),販売コスト(％),価格交渉力(％),同業者との差別化(％),商品アイテム数が過多(％),商品アイテム数が過少(％),インターネット販売への対応(％),販売先の情報収集(％),販売先へのきめ細かいサービス・販促支援(％),商品価格の柔軟な変更(％),流行（トレンド）の把握(％),販売ロスの削減(％),返品削減に向けた販売先への対応(％),キャッシュレス化への対応(％),その他(％),特になし(％),無回答(％)
取引形態別,その他,その他卸,65,41.5,3.1,41.5,12.3,18.5,30.8,3.1,3.1,7.7,18.5,12.3,4.6,13.8,3.1,3.1,3.1,1.5,18.5,7.7
年間売上高増減別（3年前）,,大幅増加（10％以上）,120,53.3,10.8,49.2,18.3,11.7,33.3,4.2,0.0,19.2,19.2,17.5,5.0,20.8,11.7,5.8,5.0,0.8,6.7,6.7
年間売上高増減別（3年前）,,やや増加（10％未満）,108,53.7,9.3,37.0,21.3,19.4,39.8,4.6,3.7,24.1,13.9,19.4,10.2,8.3,11.1,0.9,3.7,0.9,4.6,5.6
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,154,56.5,5.2,31.8,17.5,16.2,29.9,3.9,5.2,16.9,11.7,18.2,13.0,5.8,5.8,2.6,2.6,1.9,14.3,1.9
年間売上高増減別（3年前）,,やや減少（10％未満）,124,55.6,9.7,37.9,23.4,21.0,28.2,4.8,2.4,21.0,10.5,16.1,9.7,6.5,8.9,3.2,7.3,0.0,9.7,4.8
年間売上高増減別（3年前）,,大幅減少（10％以上）,233,50.2,8.2,39.1,17.2,16.7,28.8,0.9,5.2,19.7,12.0,17.6,7.3,13.3,6.9,4.3,1.3,0.4,10.7,5.2
売上高経常利益率別,,黒字（プラス）,462,55.6,7.8,40.7,19.9,17.1,34.8,3.7,3.0,19.9,13.9,18.6,8.7,12.1,10.0,3.5,4.5,0.9,8.2,5.4
売上高経常利益率別,,赤字（マイナス）,271,49.8,9.2,35.8,16.6,16.6,25.8,2.2,5.2,19.6,11.8,15.9,7.7,9.2,5.9,4.1,1.5,1.1,13.3,3.7
経常損益の変化別（3年前）,,増益,197,58.4,10.7,45.2,19.8,13.2,33.0,4.6,2.0,27.9,18.3,18.8,6.1,14.7,13.2,4.1,4.1,0.5,8.6,5.6
経常損益の変化別（3年前）,,横ばい,240,47.9,6.7,29.6,16.7,15.8,25.0,3.3,2.9,15.8,9.6,18.3,10.8,8.8,6.7,3.3,2.9,0.4,12.9,4.2
経常損益の変化別（3年前）,,減益,305,54.4,8.2,41.3,19.7,20.0,34.8,2.0,5.6,18.0,12.8,16.7,8.5,10.5,6.9,3.6,3.6,1.3,8.5,4.9
