,,時間がとれない,育成コストが負担,育成方法がわからない,教えた技術がすぐに陳腐化する,人材が定着しない,対象人材に意欲がない,教える側の人材・ノウハウ不足,その他,特に問題はない,人材育成が必要な対象者がいない,無回答,n
年間売上高増減別（３年前）,ほぼ(±５％未満)横ばい,31.5 ,13.5 ,5.4 ,3.9 ,9.4 ,13.1 ,16.7 ,0.7 ,32.3 ,5.7 ,4.2 ,406
年間売上高増減別（３年前）,やや(10％未満)減少,30.6 ,18.0 ,7.1 ,7.1 ,11.5 ,12.0 ,18.6 ,3.3 ,33.9 ,4.4 ,3.3 ,183
年間売上高増減別（３年前）,大幅(10％以上)減少,28.3 ,22.3 ,5.6 ,3.9 ,13.6 ,13.6 ,17.4 ,1.9 ,24.7 ,10.4 ,2.9 ,413
売上高経常利益率別,黒字,33.1 ,17.3 ,8.2 ,4.0 ,11.3 ,14.6 ,20.6 ,1.6 ,28.8 ,5.2 ,3.2 ,936
売上高経常利益率別,赤字,29.8 ,20.4 ,5.2 ,2.1 ,10.6 ,10.3 ,15.2 ,1.5 ,30.4 ,10.3 ,3.0 ,329
経常損益の変化別（３年前）,増益,37.9 ,20.1 ,11.6 ,2.5 ,12.9 ,14.7 ,26.3 ,1.6 ,25.4 ,5.6 ,1.6 ,319
経常損益の変化別（３年前）,横ばい,30.7 ,13.8 ,5.6 ,4.1 ,10.8 ,12.4 ,16.0 ,0.5 ,32.3 ,7.0 ,4.1 ,443
経常損益の変化別（３年前）,減益,30.7 ,20.0 ,6.0 ,4.4 ,11.4 ,13.3 ,17.4 ,1.8 ,29.3 ,7.0 ,3.0 ,570
代表者の年齢別,40歳未満,55.6 ,27.8 ,11.1 ,5.6 ,13.9 ,19.4 ,22.2 ,0.0 ,13.9 ,2.8 ,0.0 ,36
代表者の年齢別,40歳代,33.8 ,25.8 ,13.6 ,5.6 ,16.9 ,18.8 ,23.5 ,2.3 ,22.5 ,5.6 ,0.5 ,213
代表者の年齢別,50歳代,34.2 ,19.2 ,6.9 ,3.8 ,13.3 ,13.8 ,20.9 ,1.4 ,27.8 ,5.0 ,1.9 ,421
代表者の年齢別,60歳代,33.5 ,16.3 ,5.8 ,4.4 ,9.5 ,12.4 ,18.9 ,1.2 ,29.9 ,7.0 ,3.4 ,412
代表者の年齢別,70歳以上,23.9 ,10.5 ,3.9 ,0.7 ,5.6 ,8.4 ,12.3 ,2.1 ,39.3 ,9.1 ,6.3 ,285
