,,都心（千代田、中央、港）,副都心（新宿、文京、渋谷、豊島）,城東（台東、墨田、荒川、江東、足立、葛飾、江戸川）,城南（品川、目黒、大田）,城北（北、板橋）,城西（世田谷、中野、杉並、練馬）,多摩地域,近県（神奈川、千葉、埼玉）,東京、近県以外の道府県,海外,無回答            ,ｎ
特定10業種,デザイン業,41.3 ,20.2 ,7.7 ,8.7 ,1.0 ,1.9 ,1.9 ,5.8 ,10.6 ,1.0 ,0.0 ,104 
特定10業種,経営コンサルタント業,33.0 ,16.8 ,4.5 ,2.8 ,0.6 ,4.5 ,3.9 ,11.2 ,19.0 ,3.4 ,0.6 ,179 
特定10業種,建築設計業,31.1 ,15.0 ,8.9 ,2.8 ,0.6 ,5.0 ,8.9 ,10.6 ,15.0 ,0.0 ,2.2 ,180 
特定10業種,自動車整備業,7.4 ,1.9 ,22.2 ,7.4 ,5.6 ,3.7 ,27.8 ,5.6 ,5.6 ,0.0 ,13.0 ,54 
特定10業種,建物サービス業,27.0 ,18.0 ,19.8 ,6.3 ,0.9 ,7.2 ,10.8 ,6.3 ,2.7 ,0.0 ,0.9 ,111 
従業者規模別,1～2人,29.4 ,17.4 ,9.6 ,4.7 ,1.9 ,5.3 ,8.3 ,9.2 ,10.7 ,1.6 ,2.0 ,971
従業者規模別,3～5人,30.9 ,15.7 ,10.5 ,5.2 ,0.9 ,4.4 ,8.7 ,9.4 ,11.0 ,1.4 ,1.9 ,573
従業者規模別,6～9人,36.4 ,14.4 ,9.6 ,7.2 ,2.0 ,6.0 ,7.2 ,4.0 ,9.2 ,0.0 ,4.0 ,250
従業者規模別,10～29人,42.7 ,12.3 ,8.9 ,7.9 ,0.9 ,2.8 ,5.1 ,8.9 ,7.9 ,0.3 ,2.2 ,316
従業者規模別,30人以上,43.3 ,12.9 ,7.6 ,5.7 ,0.0 ,2.9 ,8.1 ,6.7 ,7.1 ,2.9 ,2.9 ,210
年間売上高増減別（３年前）,大幅(10％以上)増加,41.9 ,14.1 ,9.0 ,3.8 ,2.1 ,2.1 ,4.7 ,7.3 ,10.7 ,2.6 ,1.7 ,234
年間売上高増減別（３年前）,やや(10％未満)増加,33.6 ,13.9 ,10.1 ,6.7 ,0.0 ,2.9 ,6.7 ,10.1 ,11.8 ,1.7 ,2.5 ,238
年間売上高増減別（３年前）,ほぼ(±５％未満)横ばい,33.4 ,14.5 ,8.9 ,6.8 ,1.8 ,5.0 ,9.7 ,8.5 ,7.4 ,1.4 ,2.7 ,662
年間売上高増減別（３年前）,やや(10％未満)減少,32.5 ,15.3 ,9.4 ,6.2 ,1.0 ,7.1 ,10.4 ,8.4 ,7.5 ,0.3 ,1.9 ,308
年間売上高増減別（３年前）,大幅(10％以上)減少,31.6 ,16.5 ,10.9 ,4.5 ,1.3 ,4.7 ,6.7 ,8.4 ,11.9 ,1.0 ,2.5 ,795
売上高経常利益率別,黒字,34.4 ,16.1 ,9.1 ,5.4 ,1.3 ,4.7 ,8.1 ,8.5 ,9.2 ,1.1 ,2.2 ,1409
売上高経常利益率別,赤字,31.6 ,14.9 ,9.7 ,5.8 ,1.0 ,4.5 ,6.2 ,8.8 ,13.1 ,2.0 ,2.5 ,693
経常損益の変化別（３年前）,増益,36.5 ,15.6 ,9.4 ,4.5 ,0.6 ,4.1 ,6.8 ,7.5 ,11.5 ,2.1 ,1.5 ,469
経常損益の変化別（３年前）,横ばい,33.1 ,13.6 ,9.5 ,6.9 ,1.6 ,4.7 ,9.2 ,7.7 ,9.7 ,1.0 ,3.0 ,765
経常損益の変化別（３年前）,減益,32.8 ,16.2 ,10.2 ,5.1 ,1.5 ,4.9 ,7.6 ,9.5 ,9.0 ,1.0 ,2.1 ,973
所在地別,都心,53.4 ,12.0 ,6.6 ,4.2 ,0.7 ,2.5 ,1.5 ,5.3 ,9.2 ,1.9 ,2.7 ,590
所在地別,副都心,34.8 ,27.6 ,4.5 ,4.3 ,0.8 ,3.5 ,1.2 ,8.3 ,11.8 ,1.8 ,1.4 ,492
所在地別,城東,22.7 ,8.8 ,34.2 ,3.6 ,0.8 ,1.9 ,0.8 ,11.5 ,12.1 ,1.1 ,2.5 ,365
所在地別,城南,31.7 ,7.0 ,3.5 ,25.6 ,0.5 ,3.0 ,2.0 ,12.6 ,11.6 ,0.5 ,2.0 ,199
所在地別,城北,27.8 ,20.8 ,5.6 ,1.4 ,19.4 ,1.4 ,1.4 ,8.3 ,11.1 ,0.0 ,2.8 ,72
所在地別,城西,25.0 ,20.4 ,5.0 ,3.8 ,1.2 ,20.0 ,3.1 ,6.5 ,11.2 ,1.5 ,2.3 ,260
所在地別,多摩,19.4 ,11.4 ,3.3 ,2.8 ,0.6 ,2.5 ,41.9 ,9.4 ,4.7 ,0.6 ,3.3 ,360
