職種別～４系列職種+１１職種,年齢（歳）,高校卒／扶養家族数（人）,高校卒／集計企業数（社）,高校卒／所定時間内賃金（円）,高校卒／上昇係数,高専・短大卒／扶養家族数（人）,高専・短大卒／集計企業数（社）,高専・短大卒／所定時間内賃金（円）,高専・短大卒／上昇係数,専門学校卒／扶養家族数（人）,専門学校卒／集計企業数（社）,専門学校卒／所定時間内賃金（円）,専門学校卒／上昇係数,大学卒／扶養家族数（人）,大学卒／集計企業数（社）,大学卒／所定時間内賃金（円）,大学卒／上昇係数
[(１)営業],35,3,79,285623,152,3,70,289994,144,3,74,287966,143.2,3,126,315704,145.4
[(１)営業],40,3,77,318419,169.4,3,70,324003,160.9,3,73,323334,160.8,3,127,359336,165.5
[(１)営業],45,3,73,347808,185,3,66,357926,177.7,3,70,355499,176.8,3,113,402255,185.3
[(１)営業],50,3,74,378659,201.5,3,69,390296,193.8,3,70,387674,192.8,3,115,435740,200.7
[(１)営業],55,2,71,397524,211.5,2,66,409256,203.2,2,66,408764,203.3,2,107,459729,211.7
[(１)営業],60,1,69,407578,216.8,1,65,420889,209,1,66,418311,208,1,102,467600,215.4
[(２)販売],18,0,62,189966,100,-,-,-,-,-,-,-,-,-,-,-,-
[(２)販売],20,0,24,200554,105.6,0,60,199025,100,0,61,198026,100,-,-,-,-
[(２)販売],22,0,25,195316,102.8,0,22,210359,105.7,0,22,205191,103.6,0,74,212499,100
[(２)販売],25,0,24,221100,116.4,0,22,225745,113.4,0,22,219627,110.9,0,27,228548,107.6
[(２)販売],30,2,24,248588,130.9,2,23,250661,125.9,2,22,249005,125.7,2,28,262000,123.3
[(２)販売],35,3,23,274587,144.5,3,22,282268,141.8,3,22,274591,138.7,3,27,294370,138.5
[(２)販売],40,3,23,303635,159.8,3,21,310148,155.8,3,21,303052,153,3,28,330325,155.4
[(２)販売],45,3,22,324995,171.1,3,20,331745,166.7,3,20,326265,164.8,3,25,360920,169.8
[(２)販売],50,3,22,352077,185.3,3,20,362635,182.2,3,20,356200,179.9,3,26,393765,185.3
[(２)販売],55,2,22,371155,195.4,2,20,382720,192.3,2,19,377974,190.9,2,25,419928,197.6
[(２)販売],60,1,22,381905,201,1,20,393020,197.5,1,19,387974,195.9,1,25,432832,203.7
[事務系],18,0,237,187056,100,-,-,-,-,-,-,-,-,-,-,-,-
[事務系],20,0,93,190737,102,0,235,197726,100,0,233,198444,100,-,-,-,-
[事務系],22,0,96,201028,107.5,0,90,202796,102.6,0,95,203348,102.5,0,320,213788,100
[事務系],25,0,92,216611,115.8,0,89,217981,110.2,0,91,218387,110,0,139,229238,107.2
[事務系],30,2,93,248704,133,2,89,251548,127.2,2,89,253447,127.7,2,137,266705,124.8
[事務系],35,3,89,279289,149.3,3,84,282880,143.1,3,87,282303,142.3,3,128,304628,142.5
[事務系],40,3,89,308336,164.8,3,83,314448,159,3,83,315253,158.9,3,128,344752,161.3
[事務系],45,3,86,336464,179.9,3,81,347127,175.6,3,84,347457,175.1,3,118,383036,179.2
[事務系],50,3,85,366694,196,3,82,381460,192.9,3,80,378311,190.6,3,117,423044,197.9
[事務系],55,2,85,384742,205.7,2,80,401064,202.8,2,78,401619,202.4,2,113,447716,209.4
[事務系],60,1,79,393834,210.5,1,78,411136,207.9,1,77,408616,205.9,1,107,456381,213.5
[(３)一般事務],18,0,197,186085,100,-,-,-,-,-,-,-,-,-,-,-,-
[(３)一般事務],20,0,76,189634,101.9,0,194,196734,100,0,189,197880,100,-,-,-,-
[(３)一般事務],22,0,77,200116,107.5,0,72,201703,102.5,0,72,202368,102.3,0,268,213768,100
[(３)一般事務],25,0,73,214785,115.4,0,71,216377,110,0,69,216996,109.7,0,114,229661,107.4
[(３)一般事務],30,2,75,246561,132.5,2,71,250139,127.1,2,68,251713,127.2,2,111,266619,124.7
[(３)一般事務],35,3,71,276625,148.7,3,67,282482,143.6,3,65,282105,142.6,3,105,306944,143.6
[(３)一般事務],40,3,71,305699,164.3,3,66,312865,159,3,64,312117,157.7,3,104,346715,162.2
[(３)一般事務],45,3,70,335429,180.3,3,66,345118,175.4,3,64,344764,174.2,3,97,386127,180.6
[(３)一般事務],50,3,70,369087,198.3,3,65,379646,193,3,63,377962,191,3,96,425603,199.1
[(３)一般事務],55,2,68,384613,206.7,2,64,401859,204.3,2,62,400032,202.2,2,95,451166,211.1
[(３)一般事務],60,1,65,394043,211.8,1,63,409516,208.2,1,61,405821,205.1,1,90,457757,214.1
[(４)会計事務],18,0,87,186005,100,-,-,-,-,-,-,-,-,-,-,-,-
[(４)会計事務],20,0,35,191551,103,0,83,196487,100,0,84,195474,100,-,-,-,-
[(４)会計事務],22,0,36,199989,107.5,0,33,202570,103.1,0,36,201119,102.9,0,112,213581,100
[(４)会計事務],25,0,36,215803,116,0,32,218759,111.3,0,35,217300,111.2,0,54,229289,107.4
[(４)会計事務],30,2,35,248940,133.8,2,33,253458,129,2,35,254143,130,2,55,266724,124.9
[(４)会計事務],35,3,35,279034,150,3,32,286838,146,3,36,282947,144.7,3,52,305288,142.9
[(４)会計事務],40,3,37,306670,164.9,3,33,319148,162.4,3,34,319871,163.6,3,55,346575,162.3
[(４)会計事務],45,3,35,336783,181.1,3,30,355400,180.9,3,34,350894,179.5,3,50,388910,182.1
[(４)会計事務],50,3,34,369668,198.7,3,32,390672,198.8,3,32,379694,194.2,3,49,432631,202.6
[(４)会計事務],55,2,35,394300,212,2,31,407568,207.4,2,31,405465,207.4,2,48,461813,216.2
[(４)会計事務],60,1,31,400068,215.1,1,30,417460,212.5,1,31,408803,209.1,1,45,469971,220
[(５)営業事務・販売事務],18,0,101,186454,100,-,-,-,-,-,-,-,-,-,-,-,-
[(５)営業事務・販売事務],20,0,48,195031,104.6,0,97,198351,100,0,99,197378,100,-,-,-,-
[(５)営業事務・販売事務],22,0,50,204966,109.9,0,44,208791,105.3,0,48,207550,105.2,0,127,213967,100
[(５)営業事務・販売事務],25,0,48,222902,119.5,0,43,226437,114.2,0,46,225254,114.1,0,66,231986,108.4
[(５)営業事務・販売事務],30,2,48,259552,139.2,2,42,264874,133.5,2,45,262856,133.2,2,65,273449,127.8
[(５)営業事務・販売事務],35,3,48,291363,156.3,3,42,297874,150.2,3,46,294083,149,3,64,315203,147.3
[(５)営業事務・販売事務],40,3,47,326211,175,3,41,333827,168.3,3,43,332144,168.3,3,63,357100,166.9
[(５)営業事務・販売事務],45,3,44,357164,191.6,3,39,371479,187.3,3,42,366788,185.8,3,57,397923,186
[(５)営業事務・販売事務],50,3,43,385288,206.6,3,39,403928,203.6,3,39,398377,201.8,3,56,437821,204.6
[(５)営業事務・販売事務],55,2,43,409486,219.6,2,39,429854,216.7,2,38,427797,216.7,2,54,469394,219.4
[(５)営業事務・販売事務],60,1,41,418378,224.4,1,38,441805,222.7,1,38,433997,219.9,1,51,482261,225.4
[技術系],18,0,172,189351,100,-,-,-,-,-,-,-,-,-,-,-,-
[技術系],20,0,69,196626,103.8,0,163,199852,100,0,173,199958,100,-,-,-,-
[技術系],22,0,69,208930,110.3,0,67,210700,105.4,0,77,210839,105.4,0,214,216717,100
[技術系],25,0,69,226246,119.5,0,64,227333,113.8,0,73,228032,114,0,100,235164,108.5
[技術系],30,2,69,258433,136.5,2,63,263973,132.1,2,72,263410,131.7,2,98,273149,126
[技術系],35,3,62,290137,153.2,3,58,295062,147.6,3,68,294441,147.3,3,91,312408,144.2
[技術系],40,3,63,317697,167.8,3,57,326337,163.3,3,64,325517,162.8,3,90,351729,162.3
[技術系],45,3,61,343979,181.7,3,58,356643,178.5,3,64,354159,177.1,3,85,383686,177
[技術系],50,3,63,371790,196.3,3,57,388535,194.4,3,62,384755,192.4,3,86,422670,195
[技術系],55,2,60,394347,208.3,2,57,411182,205.7,2,62,406681,203.4,2,84,446808,206.2
[技術系],60,1,59,405390,214.1,1,57,422426,211.4,1,62,417135,208.6,1,78,458873,211.7
[(６)機械技術],18,0,54,188746,100,-,-,-,-,-,-,-,-,-,-,-,-
[(６)機械技術],20,0,26,197550,104.7,0,47,199400,100,0,46,199948,100,-,-,-,-
[(６)機械技術],22,0,25,209352,110.9,0,19,213547,107.1,0,22,209245,104.6,0,58,217721,100
[(６)機械技術],25,0,25,225092,119.3,0,18,230378,115.5,0,21,225586,112.8,0,29,235024,107.9
[(６)機械技術],30,2,24,256483,135.9,2,17,265418,133.1,2,20,258335,129.2,2,28,272829,125.3
[(６)機械技術],35,3,22,285186,151.1,3,16,296594,148.7,3,19,285642,142.9,3,26,312723,143.6
[(６)機械技術],40,3,22,317677,168.3,3,16,328581,164.8,3,18,319528,159.8,3,26,348735,160.2
[(６)機械技術],45,3,20,340315,180.3,3,15,359213,180.1,3,17,350029,175.1,3,24,388008,178.2
[(６)機械技術],50,3,20,373155,197.7,3,15,398460,199.8,3,16,384706,192.4,3,24,434067,199.4
[(６)機械技術],55,2,20,397355,210.5,2,15,427540,214.4,2,16,412500,206.3,2,23,461383,211.9
[(６)機械技術],60,1,20,401400,212.7,1,15,436013,218.7,1,16,417838,209,1,21,465124,213.6
[(７)電気技術],18,0,43,185816,100,-,-,-,-,-,-,-,-,-,-,-,-
[(７)電気技術],20,0,18,193939,104.4,0,33,199806,100,0,33,197876,100,-,-,-,-
[(７)電気技術],22,0,18,203517,109.5,0,13,211569,105.9,0,14,206750,104.5,0,44,216139,100
[(７)電気技術],25,0,18,218194,117.4,0,13,226600,113.4,0,14,222129,112.3,0,18,236611,109.5
[(７)電気技術],30,2,19,251211,135.2,2,13,262408,131.3,2,14,255929,129.3,2,18,275222,127.3
[(７)電気技術],35,3,18,290517,156.3,3,13,305054,152.7,3,14,293893,148.5,3,18,323272,149.6
[(７)電気技術],40,3,19,323516,174.1,3,13,341477,170.9,3,14,330329,166.9,3,18,363972,168.4
[(７)電気技術],45,3,17,358941,193.2,3,12,376867,188.6,3,13,363800,183.9,3,17,409953,189.7
[(７)電気技術],50,3,18,390589,210.2,3,12,418742,209.6,3,13,400254,202.3,3,17,456706,211.3
[(７)電気技術],55,2,17,423076,227.7,2,12,451925,226.2,2,13,431538,218.1,2,17,495112,229.1
[(７)電気技術],60,1,17,425382,228.9,1,12,459708,230.1,1,13,435515,220.1,1,16,506663,234.4
[(８)情報処理技術],18,0,33,191839,100,-,-,-,-,-,-,-,-,-,-,-,-
[(８)情報処理技術],20,0,19,200547,104.5,0,42,201424,100,0,44,199859,100,-,-,-,-
[(８)情報処理技術],22,0,19,211789,110.4,0,21,213557,106,0,23,210609,105.4,0,57,220235,100
[(８)情報処理技術],25,0,20,229550,119.7,0,21,231424,114.9,0,23,227665,113.9,0,33,237252,107.7
[(８)情報処理技術],30,2,20,261900,136.5,2,21,266495,132.3,2,23,262087,131.1,2,33,273748,124.3
[(８)情報処理技術],35,3,19,291921,152.2,3,20,302960,150.4,3,23,294943,147.6,3,31,318787,144.7
[(８)情報処理技術],40,3,18,314328,163.8,3,19,336263,166.9,3,21,326233,163.2,3,32,364469,165.5
[(８)情報処理技術],45,3,17,342547,178.6,3,19,366000,181.7,3,21,360448,180.4,3,27,394259,179
[(８)情報処理技術],50,3,18,375739,195.9,3,18,400578,198.9,3,20,390435,195.4,3,28,437168,198.5
[(８)情報処理技術],55,2,17,392741,204.7,2,18,418244,207.6,2,20,406640,203.5,2,27,458522,208.2
[(８)情報処理技術],60,1,17,404694,211,1,18,423650,210.3,1,20,413635,207,1,24,458946,208.4
[(９)その他の技術],18,0,82,189878,100,-,-,-,-,-,-,-,-,-,-,-,-
[(９)その他の技術],20,0,35,195997,103.2,0,80,200381,100,0,88,200502,100,-,-,-,-
[(９)その他の技術],22,0,36,209436,110.3,0,36,211886,105.7,0,41,213373,106.4,0,109,216904,100
[(９)その他の技術],25,0,34,227297,119.7,0,33,228327,113.9,0,37,230943,115.2,0,54,235354,108.5
[(９)その他の技術],30,2,34,260288,137.1,2,33,267867,133.7,2,37,268259,133.8,2,53,275626,127.1
[(９)その他の技術],35,3,31,288035,151.7,3,30,299107,149.3,3,34,298953,149.1,3,50,315278,145.4
[(９)その他の技術],40,3,32,316994,166.9,3,30,328527,164,3,33,327958,163.6,3,48,352398,162.5
[(９)その他の技術],45,3,32,347309,182.9,3,30,361753,180.5,3,32,353119,176.1,3,48,389333,179.5
[(９)その他の技術],50,3,32,370441,195.1,3,30,391287,195.3,3,32,381069,190.1,3,48,424235,195.6
[(９)その他の技術],55,2,31,391410,206.1,2,30,415197,207.2,2,32,402669,200.8,2,48,451119,208
[(９)その他の技術],60,1,30,404370,213,1,30,429957,214.6,1,32,415613,207.3,1,43,465167,214.5
[生産系],18,0,147,188739,100,-,-,-,-,-,-,-,-,-,-,-,-
[生産系],20,0,51,197245,104.5,0,120,200294,100,0,123,200125,100,-,-,-,-
[生産系],22,0,50,206884,109.6,0,34,211485,105.6,0,38,209276,104.6,0,145,214579,100
[生産系],25,0,49,219102,116.1,0,35,222351,111,0,36,219375,109.6,0,48,230033,107.2
[生産系],30,2,48,245133,129.9,2,34,254182,126.9,2,36,252617,126.2,2,44,259743,121
[生産系],35,3,45,269311,142.7,3,32,281531,140.6,3,36,274328,137.1,3,43,290098,135.2
[生産系],40,3,46,295989,156.8,3,31,303274,151.4,3,32,302509,151.2,3,43,316853,147.7
[生産系],45,3,44,317491,168.2,3,28,330993,165.3,3,33,329170,164.5,3,39,346497,161.5
[生産系],50,3,44,343173,181.8,3,30,365273,182.4,3,31,355494,177.6,3,40,383835,178.9
[生産系],55,2,45,359693,190.6,2,29,376097,187.8,2,29,377810,188.8,2,39,404054,188.3
[生産系],60,1,42,365052,193.4,1,28,388654,194,1,29,384924,192.3,1,39,423523,197.4
[(10)生産・作業],18,0,132,185060,100,-,-,-,-,-,-,-,-,-,-,-,-
[(10)生産・作業],20,0,47,194081,104.9,0,108,197348,100,0,110,196852,100,-,-,-,-
[(10)生産・作業],22,0,46,204272,110.4,0,33,211379,107.1,0,37,209122,106.2,0,128,212487,100
[(10)生産・作業],25,0,44,217802,117.7,0,32,224009,113.5,0,34,220103,111.8,0,45,229947,108.2
[(10)生産・作業],30,2,44,244652,132.2,2,33,254067,128.7,2,35,252463,128.3,2,43,259784,122.3
[(10)生産・作業],35,3,41,270617,146.2,3,31,281742,142.8,3,35,274309,139.3,3,42,290457,136.7
[(10)生産・作業],40,3,42,298662,161.4,3,30,302783,153.4,3,31,302010,153.4,3,42,316826,149.1
[(10)生産・作業],45,3,40,322023,174,3,27,331030,167.7,3,32,329144,167.2,3,38,346932,163.3
[(10)生産・作業],50,3,40,348573,188.4,3,29,364317,184.6,3,30,354243,180,3,39,383600,180.5
[(10)生産・作業],55,2,41,366207,197.9,2,28,375136,190.1,2,28,376911,191.5,2,38,404082,190.2
[(10)生産・作業],60,1,38,372250,201.2,1,27,387752,196.5,1,28,383921,195,1,37,416335,195.9
[(11)運転・運搬],18,0,24,209208,100,-,-,-,-,-,-,-,-,-,-,-,-
[(11)運転・運搬],20,0,9,207156,99,0,20,218860,100,0,22,216832,100,-,-,-,-
[(11)運転・運搬],22,0,9,213956,102.3,0,3,x,x,0,4,x,x,0,26,225777,100
[(11)運転・運搬],25,0,10,221480,105.9,0,5,214900,98.2,0,5,207700,95.8,0,7,229271,101.5
[(11)運転・運搬],30,2,9,250389,119.7,2,3,x,x,2,4,x,x,2,5,269720,119.5
[(11)運転・運搬],35,3,9,266311,127.3,3,3,x,x,3,4,x,x,3,5,329160,145.8
[(11)運転・運搬],40,3,9,285678,136.6,3,3,x,x,3,4,x,x,3,5,364960,161.6
[(11)運転・運搬],45,3,9,304700,145.6,3,3,x,x,3,4,x,x,3,5,396640,175.7
[(11)運転・運搬],50,3,9,321822,153.8,3,3,x,x,3,4,x,x,3,5,443240,196.3
[(11)運転・運搬],55,2,9,333544,159.4,2,3,x,x,2,4,x,x,2,5,470820,208.5
[(11)運転・運搬],60,1,9,332567,159,1,3,x,x,1,4,x,x,1,6,518150,229.5
