,,情報収集・活用力,語学力,統率力・リーダーシップ力,企画・開発力,専門知識,営業力,データ分析力,コミュニケーション力,プレゼンテーション力,事務処理力,交渉力,その他,無回答,n,
従業者規模別,30人以上,44.7 ,11.1 ,62.5 ,42.8 ,65.4 ,46.2 ,27.4 ,74.5 ,31.3 ,38.0 ,44.2 ,3.4 ,0.0 ,208,
年間売上高増減別（３年前）,大幅(10％以上)増加,52.9 ,18.8 ,42.9 ,46.5 ,64.7 ,42.9 ,31.2 ,62.4 ,37.1 ,38.8 ,32.9 ,1.2 ,1.2 ,170,
年間売上高増減別（３年前）,やや(10％未満)増加,39.2 ,14.0 ,39.8 ,31.6 ,68.4 ,35.1 ,26.9 ,65.5 ,26.3 ,38.6 ,35.1 ,2.3 ,0.0 ,171,
年間売上高増減別（３年前）,ほぼ(±５％未満)横ばい,34.2 ,7.4 ,26.4 ,22.4 ,61.3 ,31.5 ,14.0 ,42.4 ,16.3 ,33.3 ,22.4 ,3.7 ,3.0 ,406,
年間売上高増減別（３年前）,やや(10％未満)減少,36.6 ,13.1 ,32.2 ,29.5 ,62.3 ,35.5 ,19.1 ,44.8 ,17.5 ,39.3 ,27.3 ,5.5 ,1.6 ,183,
年間売上高増減別（３年前）,大幅(10％以上)減少,36.6 ,10.9 ,24.5 ,39.7 ,54.2 ,38.0 ,20.1 ,45.5 ,24.2 ,28.6 ,29.8 ,3.4 ,1.7 ,413,
売上高経常利益率別,黒字,37.7 ,10.9 ,33.1 ,33.5 ,65.0 ,36.5 ,22.0 ,51.4 ,24.0 ,36.0 ,29.4 ,3.0 ,1.4 ,936,
売上高経常利益率別,赤字,40.7 ,14.9 ,26.4 ,35.0 ,48.3 ,38.3 ,18.5 ,44.4 ,21.9 ,28.0 ,27.7 ,4.9 ,2.1 ,329,
経常損益の変化別（３年前）,増益,43.9 ,14.4 ,41.4 ,41.1 ,61.4 ,40.1 ,23.2 ,55.2 ,29.8 ,31.7 ,32.3 ,1.9 ,0.9 ,319,
経常損益の変化別（３年前）,横ばい,34.3 ,8.1 ,26.0 ,28.4 ,61.2 ,34.3 ,18.3 ,45.4 ,21.9 ,35.0 ,26.6 ,3.2 ,2.7 ,443,
経常損益の変化別（３年前）,減益,38.1 ,12.5 ,27.7 ,31.8 ,59.5 ,34.9 ,20.0 ,48.8 ,19.3 ,34.2 ,27.7 ,4.2 ,1.6 ,570,
代表者の年齢別,40歳未満,44.4 ,25.0 ,44.4 ,58.3 ,63.9 ,38.9 ,27.8 ,69.4 ,36.1 ,47.2 ,50.0 ,0.0 ,0.0 ,36,
代表者の年齢別,40歳代,46.5 ,16.0 ,33.3 ,39.9 ,61.5 ,47.4 ,23.5 ,67.1 ,29.1 ,28.2 ,32.9 ,3.3 ,0.0 ,213,
代表者の年齢別,50歳代,39.7 ,12.1 ,36.1 ,35.9 ,58.4 ,38.7 ,22.6 ,54.4 ,24.0 ,34.2 ,28.3 ,3.6 ,1.7 ,421,
代表者の年齢別,60歳代,38.8 ,10.7 ,31.6 ,32.8 ,61.4 ,34.2 ,19.9 ,46.1 ,21.8 ,32.8 ,28.9 ,3.2 ,1.7 ,412,
代表者の年齢別,70歳以上,30.5 ,8.4 ,16.5 ,21.1 ,62.5 ,27.0 ,15.8 ,30.2 ,17.2 ,41.1 ,22.8 ,3.5 ,2.8 ,285,
