施設ID,施設名,施設紹介,区市町村コード,都道府県,区市町村,エリア,郵便番号,住所,アクセス,電話番号,URL,月曜日 営業開始時間,月曜日 営業終了時間,火曜日 営業開始時間,火曜日 営業終了時間,水曜日 営業開始時間,水曜日 営業終了時間,木曜日 営業開始時間,木曜日 営業終了時間,金曜日 営業開始時間,金曜日 営業終了時間,土曜日 営業開始時間,土曜日 営業終了時間,日曜日 営業開始時間,日曜日 営業終了時間,営業時間補足,定休日,最大利用規模,料金,施設種別,設備,事前の会員登録,事前の法人契約,入室方法,更新日,作成日
3101,ZXY中央林間,"ZXYは法人向けのサテライトオフィスサービスです。
セキュリティに特化したオフィス空間で、15分単位でご利用いただくことができ、固定費なしの完全従量課金制となっています。
現在首都圏を中心に多数拠点を展開しており、好きなときに好きな場所を選べる「ジザイな働き方」＝「ジザイワーク」を実現できます。
郊外エリアにある15拠点にはキッズスペースを併設しており、
お子様を預けながら隣のワークスペースでお仕事をしていただくことが出来る「子連れワーク」の実現も可能です。",142131,神奈川県,大和市,東京近郊,242-0007,神奈川県大和市中央林間4-14-25 中央林間ジョイモアーズ３F,"小田急江ノ島線「中央林間駅」南口改札から徒歩2分
東急田園都市線「中央林間駅」正面口から徒歩1分",0120-934-505,https://zxy.work/location/chuo-rinkan/,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,,,,,,土日祝日,14名,"固定費なしの完全従量課金制です。
席ごとに利用料金が異なり、165円(税込)/15分からご利用いただけます。
詳しくは以下URLからご確認ください

https://zxy.work/price/",共用サテライトオフィス, ―,要,要,システム予約,2023/12/21,2023/9/20
3100,ZXY人形町,"ZXYは法人向けのサテライトオフィスサービスです。
セキュリティに特化したオフィス空間で、15分単位でご利用いただくことができ、固定費なしの完全従量課金制となっています。
現在首都圏を中心に多数拠点を展開しており、好きなときに好きな場所を選べる「ジザイな働き方」＝「ジザイワーク」を実現できます。
郊外エリアにある15拠点にはキッズスペースを併設しており、
お子様を預けながら隣のワークスペースでお仕事をしていただくことが出来る「子連れワーク」の実現も可能です。",131024,東京都,中央区,千代田・中央・港,103-0013,東京都中央区日本橋人形町3-7-14セブンビル8F,日比谷線、 都営浅草線 「人形町駅」A5出口から徒歩1分,0120-934-505,https://zxy.work/location/ningyocho/,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,,,,,,土日祝日,8名,"固定費なしの完全従量課金制です。
席ごとに利用料金が異なり、165円(税込)/15分からご利用いただけます。
詳しくは以下URLからご確認ください

https://zxy.work/price/
",共用サテライトオフィス, ―,要,要,システム予約,2023/12/21,2023/9/20
3095,ZXYBOX小田急マルシェ東林間,"ZXYは法人向けのサテライトオフィスサービスです。
セキュリティに特化したオフィス空間で、15分単位でご利用いただくことができ、固定費なしの完全従量課金制となっています。
現在首都圏を中心に多数拠点を展開しており、好きなときに好きな場所を選べる「ジザイな働き方」＝「ジザイワーク」を実現できます。
郊外エリアにある15拠点にはキッズスペースを併設しており、
お子様を預けながら隣のワークスペースでお仕事をしていただくことが出来る「子連れワーク」の実現も可能です。",141500,神奈川県,相模原市,東京近郊,252-0302,神奈川県相模原市南区上鶴間7-7-6　小田急マルシェ東林間 2F,小田急江ノ島線「東林間駅」徒歩1分,0120-934-505,https://zxy.work/location/zxyboxodakyumarchehigashi-rinkan/,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,,,,,,土日祝日,3名,"固定費なしの完全従量課金制です。
席ごとに利用料金が異なり、165円(税込)/15分からご利用いただけます。
詳しくは以下URLからご確認ください

https://zxy.work/price/",共用サテライトオフィス, ―,要,要,システム予約,2023/12/21,2023/8/14
3094,ZXY錦糸町2,"ZXYは法人向けのサテライトオフィスサービスです。
セキュリティに特化したオフィス空間で、15分単位でご利用いただくことができ、固定費なしの完全従量課金制となっています。
現在首都圏を中心に多数拠点を展開しており、好きなときに好きな場所を選べる「ジザイな働き方」＝「ジザイワーク」を実現できます。
郊外エリアにある15拠点にはキッズスペースを併設しており、
お子様を預けながら隣のワークスペースでお仕事をしていただくことが出来る「子連れワーク」の実現も可能です。",131075,東京都,墨田区,墨田・江東・葛飾・江戸川,130-0013,東京都墨田区錦糸1-2-1　アルカセントラルビル2階,"JR「錦糸町駅」北口から徒歩3分
半蔵門線「錦糸町駅」3番出口から徒歩4分",0120-934-505,https://zxy.work/location/kinshicho2/,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,,,,,,土日祝日,11名,"固定費なしの完全従量課金制です。
席ごとに利用料金が異なり、165円(税込)/15分からご利用いただけます。
詳しくは以下URLからご確認ください

https://zxy.work/price/",共用サテライトオフィス, ―,要,要,システム予約,2023/12/21,2023/8/14
3093,ZXY津田沼2,"ZXYは法人向けのサテライトオフィスサービスです。
セキュリティに特化したオフィス空間で、15分単位でご利用いただくことができ、固定費なしの完全従量課金制となっています。
現在首都圏を中心に多数拠点を展開しており、好きなときに好きな場所を選べる「ジザイな働き方」＝「ジザイワーク」を実現できます。
郊外エリアにある15拠点にはキッズスペースを併設しており、
お子様を預けながら隣のワークスペースでお仕事をしていただくことが出来る「子連れワーク」の実現も可能です。",122041,千葉県,船橋市,東京近郊,274-0825,千葉県船橋市前原西2-19-1津田沼ビート6F,JR「津田沼駅」北口から徒歩3分,0120-934-505,https://zxy.work/location/tsudanuma2/,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,,,,,,土日祝日,26名,"固定費なしの完全従量課金制です。
席ごとに利用料金が異なり、165円(税込)/15分からご利用いただけます。
詳しくは以下URLからご確認ください

https://zxy.work/price/",共用サテライトオフィス, ―,要,要,システム予約,2023/12/21,2023/8/10
3092,ZXY調布2,"ZXYは法人向けのサテライトオフィスサービスです。
セキュリティに特化したオフィス空間で、15分単位でご利用いただくことができ、固定費なしの完全従量課金制となっています。
現在首都圏を中心に多数拠点を展開しており、好きなときに好きな場所を選べる「ジザイな働き方」＝「ジザイワーク」を実現できます。
郊外エリアにある15拠点にはキッズスペースを併設しており、
お子様を預けながら隣のワークスペースでお仕事をしていただくことが出来る「子連れワーク」の実現も可能です。",132080,東京都,調布市,多摩,182-0024,東京都調布市布田1-39-1いちご調布駅前ビル７F,京王相模原線、京王線「調布駅」中央口から徒歩1分,0120-934-505,https://zxy.work/location/chofu2/,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,,,,,,土日祝日,24名,"ZXYは法人向けのサテライトオフィスサービスです。
セキュリティに特化したオフィス空間で、15分単位でご利用いただくことができ、固定費なしの完全従量課金制となっています。
現在首都圏を中心に多数拠点を展開しており、好きなときに好きな場所を選べる「ジザイな働き方」＝「ジザイワーク」を実現できます。
郊外エリアにある15拠点にはキッズスペースを併設しており、
お子様を預けながら隣のワークスペースでお仕事をしていただくことが出来る「子連れワーク」の実現も可能です。",共用サテライトオフィス, ―,要,要,システム予約,2023/12/21,2023/8/10
3091,ZXY神谷町,"ZXYは法人向けのサテライトオフィスサービスです。
セキュリティに特化したオフィス空間で、15分単位でご利用いただくことができ、固定費なしの完全従量課金制となっています。
現在首都圏を中心に多数拠点を展開しており、好きなときに好きな場所を選べる「ジザイな働き方」＝「ジザイワーク」を実現できます。
郊外エリアにある15拠点にはキッズスペースを併設しており、
お子様を預けながら隣のワークスペースでお仕事をしていただくことが出来る「子連れワーク」の実現も可能です。",131032,東京都,港区,千代田・中央・港,105-0001,東京都港区虎ノ門3-7-11神谷町アネックス2号館３F,日比谷線「神谷町駅」4a出口から徒歩2分,0120-934-505,https://zxy.work/location/kamiyacho/,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00,,,,,,土日祝日,14名,"固定費なしの完全従量課金制です。
席ごとに利用料金が異なり、165円(税込)/15分からご利用いただけます。
詳しくは以下URLからご確認ください

https://zxy.work/price/",共用サテライトオフィス, ―,要,要,システム予約,2023/12/21,2023/8/10
2811,ZXY本八幡2,"ZXYは法人向けのサテライトオフィスサービスです。
セキュリティに特化したオフィス空間で、15分単位でご利用いただくことができ、固定費なしの完全従量課金制となっています。
現在首都圏を中心に多数拠点を展開しており、好きなときに好きな場所を選べる「ジザイな働き方」＝「ジザイワーク」を実現できます。
郊外エリアにある15拠点にはキッズスペースを併設しており、
お子様を預けながら隣のワークスペースでお仕事をしていただくことが出来る「子連れワーク」の実現も可能です。",122033,千葉県,市川市,東京近郊,272-0021,千葉県市川市八幡2-16-15 本八幡駅西口ビル3F,"JR線「本八幡駅」都営線方面改札から徒歩2分
都営新宿線「本八幡駅」直結
京成線「京成八幡駅」徒歩3分",0120-934-505,https://zxy.work/location/motoyawata2/,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,,,,,,土日祝日,10名,"固定費なしの完全従量課金制です。
席ごとに利用料金が異なり、165円(税込)/15分からご利用いただけます。
詳しくは以下URLからご確認ください

https://zxy.work/price/",共用サテライトオフィス, ―,要,要,システム予約,2023/12/21,2023/8/7
2810,ZXY茅場町,"ZXYは法人向けのサテライトオフィスサービスです。
セキュリティに特化したオフィス空間で、15分単位でご利用いただくことができ、固定費なしの完全従量課金制となっています。
現在首都圏を中心に多数拠点を展開しており、好きなときに好きな場所を選べる「ジザイな働き方」＝「ジザイワーク」を実現できます。
郊外エリアにある15拠点にはキッズスペースを併設しており、
お子様を預けながら隣のワークスペースでお仕事をしていただくことが出来る「子連れワーク」の実現も可能です。",131024,東京都,中央区,千代田・中央・港,103-0025,東京都中央区日本橋茅場町1-3-12岡地茅場町ビル1F,東西線、日比谷線「茅場町駅」7番出口から徒歩1分,0120-934-505,https://zxy.work/location/kayabacho/,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,,,,,,土日祝日,16名,"固定費なしの完全従量課金制です。
席ごとに利用料金が異なり、165円(税込)/15分からご利用いただけます。
詳しくは以下URLからご確認ください

https://zxy.work/price/",共用サテライトオフィス, ―,要,要,システム予約,2023/12/21,2023/8/7
2805,ZXY上野3,"ZXYは法人向けのサテライトオフィスサービスです。
セキュリティに特化したオフィス空間で、15分単位でご利用いただくことができ、固定費なしの完全従量課金制となっています。
現在首都圏を中心に多数拠点を展開しており、好きなときに好きな場所を選べる「ジザイな働き方」＝「ジザイワーク」を実現できます。
郊外エリアにある15拠点にはキッズスペースを併設しており、
お子様を預けながら隣のワークスペースでお仕事をしていただくことが出来る「子連れワーク」の実現も可能です。",131067,東京都,台東区,台東・荒川・足立,110-0005,東京都台東区上野6-16-18あいおい都信ビル4F,"JR「上野駅」広小路口から徒歩2分
銀座線、日比谷線「上野駅」4番出口から徒歩1分",0120-934-505,https://zxy.work/location/ueno3/,07:30,21:00,07:30,21:00,07:30,21:00,07:30,21:00,07:30,21:00,,,,,・正面エントランスの開放時間が7時30分のためご注意ください。,土日祝日,34名,"固定費なしの完全従量課金制です。
席ごとに利用料金が異なり、165円(税込)/15分からご利用いただけます。
詳しくは以下URLからご確認ください

https://zxy.work/price/",共用サテライトオフィス, ―,要,要,システム予約,2023/12/21,2023/7/27
2803,ZXY稲毛,"ZXYは法人向けのサテライトオフィスサービスです。
セキュリティに特化したオフィス空間で、15分単位でご利用いただくことができ、固定費なしの完全従量課金制となっています。
現在首都圏を中心に多数拠点を展開しており、好きなときに好きな場所を選べる「ジザイな働き方」＝「ジザイワーク」を実現できます。
郊外エリアにある15拠点にはキッズスペースを併設しており、
お子様を預けながら隣のワークスペースでお仕事をしていただくことが出来る「子連れワーク」の実現も可能です。",121002,千葉県,千葉市,東京近郊,263-0043,千葉県千葉市稲毛区小仲台2-3-12 こみなと稲毛ビル5F,JR線「稲毛駅」東口から徒歩2分,0120-934-505,https://zxy.work/location/inage/,07:30,21:00,07:30,21:00,07:30,21:00,07:30,21:00,07:30,21:00,,,,,正面エントランスの開放時間が7時30分のためご注意ください。,土日祝日,19名,"固定費なしの完全従量課金制です。
席ごとに利用料金が異なり、165円(税込)/15分からご利用いただけます。
詳しくは以下URLからご確認ください

https://zxy.work/price/",共用サテライトオフィス, ―,要,要,システム予約,2023/12/21,2023/7/21
2802,ZXY浅草3,"ZXYは法人向けのサテライトオフィスサービスです。
セキュリティに特化したオフィス空間で、15分単位でご利用いただくことができ、固定費なしの完全従量課金制となっています。
現在首都圏を中心に多数拠点を展開しており、好きなときに好きな場所を選べる「ジザイな働き方」＝「ジザイワーク」を実現できます。
郊外エリアにある15拠点にはキッズスペースを併設しており、
お子様を預けながら隣のワークスペースでお仕事をしていただくことが出来る「子連れワーク」の実現も可能です。",131067,東京都,台東区,台東・荒川・足立,111-0032,東京都台東区浅草1-33-8 エーワンビル7F,"銀座線「浅草駅」出口7から徒歩1分
東武伊勢崎線「浅草駅」正面改札口から徒歩1分
都営浅草線「浅草駅」A5出口から徒歩2分",0120-934-505,https://zxy.work/location/asakusa3/,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,,,,,正面エントランスの開放時間が8時のためご注意ください,土日祝日,9名,"ZXYは法人向けのサテライトオフィスサービスです。
セキュリティに特化したオフィス空間で、15分単位でご利用いただくことができ、固定費なしの完全従量課金制となっています。
現在首都圏を中心に多数拠点を展開しており、好きなときに好きな場所を選べる「ジザイな働き方」＝「ジザイワーク」を実現できます。
郊外エリアにある15拠点にはキッズスペースを併設しており、
お子様を預けながら隣のワークスペースでお仕事をしていただくことが出来る「子連れワーク」の実現も可能です。",共用サテライトオフィス, ―,要,要,システム予約,2023/12/21,2023/7/21
2801,ZXY京橋,"ZXYは法人向けのサテライトオフィスサービスです。
セキュリティに特化したオフィス空間で、15分単位でご利用いただくことができ、固定費なしの完全従量課金制となっています。
現在首都圏を中心に多数拠点を展開しており、好きなときに好きな場所を選べる「ジザイな働き方」＝「ジザイワーク」を実現できます。
郊外エリアにある15拠点にはキッズスペースを併設しており、
お子様を預けながら隣のワークスペースでお仕事をしていただくことが出来る「子連れワーク」の実現も可能です。",131024,東京都,中央区,千代田・中央・港,104-0031,東京都中央区京橋2-8-7 読売八重洲ビル1F,"銀座線「京橋駅」6番出口から徒歩2分
都営浅草線「宝町駅」A6出口から徒歩3分",0120-934-505,https://zxy.work/location/kyobashi/,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,,,,,"・正面エントランスの開放時間が8時のためご注意ください。
・19時以降はビル裏口よりご入館、ご退館ください。",土日祝日,15名,"固定費なしの完全従量課金制です。
席ごとに利用料金が異なり、165円(税込)/15分からご利用いただけます。
詳しくは以下URLからご確認ください

https://zxy.work/price/",共用サテライトオフィス, ―,要,要,システム予約,2023/12/21,2023/7/21
2800,ZXY蒲田2,"ZXYは法人向けのサテライトオフィスサービスです。
セキュリティに特化したオフィス空間で、15分単位でご利用いただくことができ、固定費なしの完全従量課金制となっています。
現在首都圏を中心に多数拠点を展開しており、好きなときに好きな場所を選べる「ジザイな働き方」＝「ジザイワーク」を実現できます。
郊外エリアにある15拠点にはキッズスペースを併設しており、
お子様を預けながら隣のワークスペースでお仕事をしていただくことが出来る「子連れワーク」の実現も可能です。",131113,東京都,大田区,品川・目黒・大田・世田谷,144-0052,東京都大田区蒲田5-44-5 蒲田プライム2F,JR、東急池上線、東急多摩川線 「蒲田駅」東口から徒歩6分,0120-934-505,https://zxy.work/location/kamata2/,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,07:00,21:00,,,,,,土日祝日,36名,"固定費なしの完全従量課金制です。
席ごとに利用料金が異なり、165円(税込)/15分からご利用いただけます。
詳しくは以下URLからご確認ください

https://zxy.work/price/",共用サテライトオフィス, ―,要,要,システム予約,2023/12/21,2023/7/20
