,,,問4(6).友達に迷惑をかけたときに、謝らない人がいたら／合計,気にならない,あまり気にならない,少し気になる,気になる,不明
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,2.8,6.5,23.6,67.0,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,262,8,10,65,179,6
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,3.1,3.8,24.8,68.3,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,198,5,20,44,129,3
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,2.5,10.1,22.2,65.2,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,0,0,1,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,0.0,0.0,100.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,762,24,50,214,474,9
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,3.1,6.6,28.1,62.2,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,316,12,24,88,192,5
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,3.8,7.6,27.8,60.8,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,365,12,24,104,225,4
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,3.3,6.6,28.5,61.6,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,81,0,2,22,57,0
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,0.0,2.5,27.2,70.4,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,814,32,46,241,495,5
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,3.9,5.7,29.6,60.8,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,250,10,12,70,158,2
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,4.0,4.8,28.0,63.2,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,355,15,24,101,215,3
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,4.2,6.8,28.5,60.6,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,209,7,10,70,122,0
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,3.3,4.8,33.5,58.4,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,527,18,35,176,298,4
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,3.4,6.6,33.4,56.5,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,282,7,17,92,166,4
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,2.5,6.0,32.6,58.9,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,233,11,16,80,126,0
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,4.7,6.9,34.3,54.1,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,0,2,4,6,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,0.0,16.7,33.3,50.0,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,713,26,36,172,479,5
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,3.6,5.0,24.1,67.2,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,201,6,15,43,137,2
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,3.0,7.5,21.4,68.2,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,343,18,15,87,223,2
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,5.2,4.4,25.4,65.0,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,169,2,6,42,119,1
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,1.2,3.6,24.9,70.4,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,642,28,38,180,396,12
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,4.4,5.9,28.0,61.7,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,296,11,16,72,197,9
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,3.7,5.4,24.3,66.6,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,265,17,18,85,145,3
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,6.4,6.8,32.1,54.7,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,81,0,4,23,54,0
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,0.0,4.9,28.4,66.7,
